,Agricultural_Bank_of_China_601288,AVIC_Aviation_Engine_600893,Bank_of_Beijing_601169,Bank_of_China_601988,Bank_of_Communications_601328,China_CITIC_Bank_601998,China_Communications_Construction_601800,China_Everbright_Bank_601818,China_Life_Insurance_601628,China_Merchants_Bank_600036,China_Merchants_Securities_600999,China_Minsheng_Bank_600016,China_National_Nuclear_Power_601985,China_Northern_Rare_Earth_600111,China_Pacific_Insurance_601601,China_Railway_Construction_601186,China_Railway_[Engineering]_601390,China_Shenhua_Energy_601088,China_Shipbuilding_Industry_601989,China_Southern_Airlines_600029,China_State_Construction_Engineering_601668,China_Unicom_600050,CITIC_Securities_600030,CRRC_Corporation_601766,Daqin_Railway_601006,Dongxing_Securities_601198,Everbright_Securities_601788,Founder_Securities_601901,Guotai_Junan_Securities_601211,Haitong_Securities_600837,Huatai_Securities_601688,Industrial_and_Commercial_Bank_of_China_601398,Industrial_Bank_601166,Industrial_Securities_601377,Kangmei_Pharmaceutical_600518,Kweichow_Moutai_600519,New_China_Life_Insurance_601336,Orient_Securities_600958,PetroChina_601857,Ping_An_Insurance_601318,Poly_Real_Estate_Group_600048,SAIC_Motor_600104,Shandong_Gold_Mining_600547,Shanghai_Oriental_Pearl_Media_600637,Shanghai_Pudong_Development_Bank_600000,Sinolink_Securities_600109,Sinopec_600028,Tsinghua_Tongfang_600100,Xinwei_Group_600485,Yili_Group_600887
2000-10,,0.04027420814479638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11,,0.05198831092928112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12,,0.03047129186602871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00668118466898955,,,,
2001-01,,-0.04924442926662681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06532674571805008,,-0.01654358405190813,,,,
2001-02,,-0.031752943073697804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,-0.007065653547340561,,,,
2001-03,,0.008342595165323706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03545679355376495,0.0029318532223250047,0.0042811221507890115,,,,
2001-04,,0.026208946929702708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03787609585037991,-0.0017977790765634119,0.008774400935125659,,,,
2001-05,,0.021159371251038173,,,,,,,,,,0.0023022212495896724,,,,,,,,,,,,,,,,,,,,,,,0.0020287050475729707,,,,,,,-0.003255098588083299,,0.010752099418622528,-0.003778645913439354,0.005184718078070689,,-0.0170817312128949,,0.0
2001-06,,-0.010639392168322612,,,,,,,,,,-0.0029444769140853314,,-0.022269865392965698,,,,,,,,,,,,,,,,,,,,,-0.001908825248392753,,,,,,,-0.010307863295359822,,-0.037296902396259504,-0.00288720046756283,0.0,,-0.04653320366768547,,-0.0017469316189362952
2001-07,,-0.03433493589743591,,,,,,,,,,-0.009009696620583717,,-0.028956293706293712,,,,,,,,,,,,,,,,,,,,,-0.00719361888111888,,,,,,,-0.01708916083916084,,-0.08411057692307691,-0.01875961538461538,-0.004479166666666668,,-0.05327141608391609,,-0.0058754370629370625
2001-08,,-0.03377655677655679,,,,,,,,,,-0.003021580922162624,,-0.014088287879932515,,,,,,,,,,,,,,,,,,,,,-0.004955128205128207,,,,,,,-0.015036630036630043,,-0.045246794871794886,-0.02026641705069124,-0.009086309523809526,,-0.024924908424908437,,-0.00594803113553114
2001-09,,0.0,,,,,,,,,,0.005078428830697433,,0.007623119751453446,,,,,,,,,,,,,,,,,,,,,-0.005141428174492917,,,,,,,-0.008003056404556825,,0.0,-0.0026943308007013438,-0.011633787163100866,,-0.01198166157265907,,-0.003342317310363993
2001-10,,0.009777676950998184,,,,,,,,,,0.003680211633701435,,0.010506222452683431,,,,,,,,,,,,,,,,,,,,,-0.0070029222676797195,,,,,,,-0.012172998246639396,,0.0,0.005976498815712571,0.0,,-0.03824956165984805,,0.0
2001-11,,-0.024337875665200404,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,-0.011135315365379274,,0.011263004091174752,0.002543762156154486,0.0036335476329631806,,-0.010883578771881085,,0.0026079466518477376
2001-12,,-0.06939764800684949,,,,,,,,,,-0.004615547329455314,,-0.025809725265039916,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,-0.009236483593966411,,-0.03538551031200423,-0.009274508322631011,-0.00826599682707562,,-0.03162499055677268,,-0.001881342701014833
2002-01,,-0.08154045618247298,,,,,,,,,,-0.005636734693877548,,-0.028810564225690276,,,,,,,,,,,,,,,,,,,,,-0.0027390156062424955,,,,,,,-0.011877551020408165,,-0.038442256902761124,-0.01364285714285714,-0.009901020408163265,,0.0,,-0.003457863145258106
2002-02,,0.0,,,,,,,,,,0.0,,0.013584633853541419,,,,,,,,,,,,,,,,,,,,,0.002304441776710683,,,,,,,0.004284273709483795,,0.023445858343337327,0.01128469387755102,0.005040096038415366,,0.06284993997599038,,0.0026626650660264116
2002-03,,0.024081789464697342,,,,,,,,,,0.0,,0.0066117647058823534,,,,,,,,,,,,,,,,,,,,,0.0014590625800392691,-0.00846434573829532,,,,,,0.002871493212669685,,0.009846324596602066,0.010846153846153844,0.005786732690173311,,-0.017974899684111666,,-0.0011794587210791436
2002-04,,0.018112799532437173,,,,,,,,,,-0.002446399458611462,,-0.004389861269186997,,,,,,,,,,,,,,,,,,,,,-0.0008527177089421382,-0.01535204223395388,,,,,,-0.004054354178842784,,-0.00797895967270602,0.0,0.0032414559599888873,,-0.030102863822326124,,-0.0031700472353431513
2002-05,,0.0,,,,,,,,,,-0.004132097485092042,,-0.011000000000000001,,,,,,,,,,,,,,,,,,,,,-0.0016072472238457018,-0.008653911224583958,,,,,,-0.0033396905472330776,,-0.01422713710049525,-0.007416407764003812,-0.0014706696607093427,0.0,-0.022702328585930045,,-0.003192346734750375
2002-06,,0.007437325048448124,,,,,,,,,,0.006140268848626532,,0.0,,,,,,,,,,,,,,,,,,,,,0.0028912916423144354,0.003832846288720047,,,,,,0.010051125312586832,,0.013413793103448274,0.010189947399181765,-0.0009754529514903548,0.009820572764465227,0.01115897136177673,,0.002801285797779076
2002-07,,0.01076228878648233,,,,,,,,,,0.007671245421245423,,0.004052882072977262,,,,,,,,,,,,,,,,,,,,,0.004340201465201468,-0.0057411674347158225,,,,,,0.008225732600732607,,0.008035943223443224,0.012283026113671274,0.0031787634408602145,0.006020545314900153,-0.009618818681318681,,0.0
2002-08,,-0.016704899267399275,,,,,,,,,,0.0,,-0.005158890168970813,,,,,,,,,,,,,,,,,,,,,0.0014752747252747267,-0.01750320512820513,,,,,,-0.004538919413919418,,-0.01605750768049155,0.004696620583717359,0.0025388824884792598,-0.0027474816849816885,-0.030695970695970694,,-0.0034062239510975257
2002-09,,-0.02508766803039159,,,,,,,,,,-0.005528930450029222,,-0.007634132086499125,,,,,,,,,,,,,,,,,,,,,-0.0025388661601402707,-0.021,,,,,,-0.006573348918760962,,-0.02603248331231351,-0.00575655972192316,0.0007511765972499904,-0.006913500876680305,-0.011003506721215672,,-0.0010245310245310247
2002-10,,0.006200744409240519,,,,,,,,,,-0.00514534436617552,,-0.012791677469535911,,,,,,,,,,,,,,,,,,,,,-0.003958288473961056,-0.0189810733730879,,,,,,0.0,,-0.01567669172932331,-0.012333419756287269,0.0,-0.006558491494663014,-0.023803254483373837,,-0.0008231566643083461
2002-11,,0.02526408071610938,,,,,,,,,,-0.004560490940970193,,-0.012039742840444184,,,,,,,,,,,,,,,,0.0,,,,,-0.0007465962767435387,-0.004147866744593805,,,,,,0.002881911642122813,,0.009457071408724645,-0.007295359822172828,-0.001724137931034481,-0.002798277299249791,-0.02723367602111698,,0.0
2002-12,,0.025904149620105198,,,,,,,,,,-0.005033315705975675,,-0.006733474352194603,,,,,,,,,,,,,,,,0.005572511394827631,,,,,0.001634056054997354,0.0,,,,,,0.004341870010828238,,0.0,-0.006724599341720755,-0.0019344262295081945,0.0,-0.007140087129510723,,0.0006685804940696525
2003-01,,0.03404692791485245,,,,,,,,0.008696768347931138,,0.0,,0.004440191387559809,,,,,,,,,,,,,,,,0.01026110731373889,,,,,0.0034740259740259727,0.0,,,,,,0.01291319207108681,,-0.007881673881673887,0.0,0.0009199134199134176,0.0071353383458646604,0.020243677375256324,,0.0032600820232399153
2003-02,,0.010345340194396797,,,,,,,,0.004575036075036078,,0.00443834572136459,,0.0,,,,,,,,-0.007449963536180213,,,,,,,,0.004711399711399711,,,,,0.0013051948051948066,0.004023088023088021,,,,,,0.01958946608946609,,0.013656184486373162,0.00323529411764706,0.0030072150072150052,0.005882395382395386,0.0,,0.003575036075036075
