,nan_ADS,nan_ALV,nan_BAS,nan_BEI,nan_BMW,nan_CBK,nan_DAI,nan_DB1,nan_DBK,nan_DPW,nan_DTE,nan_EOAN,nan_FME,nan_FRE,nan_HEI,nan_HEN3,nan_IFX,nan_LHA,nan_LIN,nan_MRK,nan_PSM,nan_RWE,nan_SAP,nan_TKA,nan_VNA
2002-05,0.055837230527144004,-0.35800261211644374,0.03860232887490165,-0.01924632572777341,0.03919710464201417,,0.04422863886703383,0.03204978756884344,0.0,-0.011401793863099925,-0.06848619984264358,-0.012579732494099138,-0.026262124311565698,-0.016594492525570416,-0.07374454760031471,0.03480037765538945,-0.08583754523996853,-0.02476525570416995,0.036145743509047985,-0.03869548387096774,0.04572579071597167,-0.02522297403619197,-0.5198318174665618,0.0,
2002-06,0.035181689708141305,-0.8276294930875573,0.0,-0.0560516743471582,-0.02595969278033793,,0.0,-0.040286635944700444,-0.027686758832565262,-0.0364468817204301,-0.06314814132104453,-0.03334549923195084,-0.04995225806451612,-0.031800921658986174,-0.09548239631336401,0.008807864823348695,-0.1091475883256528,-0.051413087557603675,-0.04022838709677419,-0.052672503840245764,0.018236190476190475,-0.05188792626728109,-0.8193339477726574,-0.02533124423963133,
2002-07,-0.021767611079865027,-1.3820731392950882,-0.0599439327896513,-0.11010680305586804,-0.06995190054368204,,-0.07565089520059995,-0.0988467847769029,-0.11741569413198351,-0.058598143982002256,-0.06144843222722161,-0.06323631421072368,-0.08650918635170605,-0.047830837551556066,-0.11663456130483692,-0.016153976846644172,-0.12495523997000377,-0.06025438226471694,-0.10166736970378702,-0.06991446381702288,-0.018091722909636298,-0.0668155347769029,-0.9164607939632545,-0.047002366891638545,
2002-08,-0.10660822193737414,-1.6100708718641277,-0.08268348860098884,-0.13782219945980592,-0.09771232947262408,,-0.1128735865683941,-0.11571584302325585,-0.17387769524812313,-0.059770961133492055,-0.045682309787584696,-0.09375051501556494,-0.10533639099981693,-0.05480174761948364,-0.12451688678813409,-0.025623884132942695,-0.12073052096685594,-0.056101646905328706,-0.14399480406518955,-0.07168544566013553,-0.03261487708295185,-0.08567023553378506,-0.8313358359274859,-0.053968166315693115,
2002-09,-0.1437222411886002,-1.4742099987709791,-0.10241674746343662,-0.09874896557374814,-0.10513769135178688,,-0.14837643556514496,-0.1096133225907769,-0.2791281869204824,-0.055374810525884555,-0.017545726419860987,-0.10029884335440879,-0.08598650807740103,-0.0464447691488345,-0.11946543036228818,-0.029320706277567637,-0.10820849663384728,-0.049802673804094005,-0.16541635144546563,-0.05509172595556408,-0.0346777642737167,-0.09110794903658388,-0.5937542776768767,-0.059255486214477876,
2002-10,-0.059563394454382815,-1.0040468470483004,-0.08059475626118069,-0.05532183586762075,-0.08007558139534884,,-0.13610291815742398,-0.051959414132379256,-0.23651665921288018,-0.03144381708407871,0.005523758944543828,-0.10101928667262969,-0.0468769007155635,-0.026008217799642214,-0.09290451699463327,-0.023433922182468692,-0.07997847719141324,-0.02912382602862254,-0.15675508720930234,-0.01876229874776386,-0.035333966905187836,-0.08364887075134167,-0.23104125670840786,-0.05186108005366727,
2002-11,0.027849350862392215,-0.6147590926134232,-0.04642657949006375,-0.013753808117735283,-0.07352860189351332,,-0.13162612485939257,-0.02016574100112486,-0.1869161276715411,-0.009337797619047619,0.010635486970378704,-0.10302382124109487,0.0,-0.0051353346456692915,-0.0844469441319835,-0.01849755108736408,-0.06257100674915636,-0.021577205193100864,-0.12918887092238474,0.009914405230596177,-0.02800466347956506,-0.09540436351706037,0.0,-0.03149254780652418,
2002-12,0.056294953130858666,-0.30715086614173237,-0.0373277240344957,0.02840329958755156,-0.08679364079490065,,-0.13824524934383206,-0.015957315335583054,-0.1542757855268092,0.0,0.02474552680914886,-0.09814797150356208,0.035274450693663306,0.011480134983127112,-0.07661822272215975,-0.02590542182227222,-0.030553760779902524,-0.02505106861642296,-0.08547284589426327,0.03094326209223848,-0.01567400074990627,-0.09823235095613053,0.17918881139857523,-0.017683479565054373,
2003-01,0.03832456333595595,-0.28356714398111726,-0.03997998426435877,0.013866341463414632,-0.09161343823760819,,-0.1119882297403619,-0.02136456333595594,-0.12491874114870179,0.004050542879622345,0.024871282454760026,-0.10319121951219513,0.04366564909520063,0.016189708890637294,-0.1149378127458694,-0.03596484657749803,-0.01765290322580645,-0.024916191974822973,-0.07974064516129031,0.03309400472069237,-0.010290857592446892,-0.1016100708103855,0.28080963021243116,-0.014558709677419355,
2003-02,0.0,-0.42539534225019676,-0.03660185680566484,-0.015419166011014951,-0.10420371361132967,,-0.08766577498033043,-0.02774876475216365,-0.07880428009441383,0.0,0.0,-0.09639474429583007,0.03346593233674273,0.012710023603461844,-0.12602653029110938,-0.03432909520062942,-0.021955908733280884,-0.029442738001573564,-0.10641070023603462,0.015870590086546028,-0.006993705743509048,-0.10693472856018883,0.12382439024390242,-0.023012336742722267,
