Date,Open,High,Low,Close,Volume
31-Mar-17,15.07,15.79,15.06,15.54,8005550
30-Mar-17,14.98,15.17,14.92,15.08,4261769
29-Mar-17,14.71,14.93,14.70,14.93,4525584
28-Mar-17,14.87,14.98,14.55,14.70,5271823
27-Mar-17,14.93,14.97,14.69,14.79,3986366
24-Mar-17,15.01,15.37,14.90,15.17,5570948
23-Mar-17,14.58,14.92,14.56,14.92,4521036
22-Mar-17,14.47,14.58,14.32,14.50,2944524
21-Mar-17,14.68,14.72,14.44,14.54,4182345
20-Mar-17,14.65,14.74,14.55,14.66,3158279
17-Mar-17,14.82,14.82,14.58,14.68,6323754
16-Mar-17,14.65,14.77,14.56,14.77,5468926
15-Mar-17,14.70,14.74,14.32,14.54,7058544
14-Mar-17,14.62,15.02,14.05,14.62,18741753
13-Mar-17,13.84,13.86,13.62,13.72,3189501
10-Mar-17,14.00,14.16,13.81,13.81,3920398
9-Mar-17,13.86,13.96,13.72,13.94,4400927
8-Mar-17,13.81,13.94,13.64,13.92,4193046
7-Mar-17,13.98,14.04,13.81,13.90,3615745
6-Mar-17,13.97,14.04,13.78,14.02,2794869
3-Mar-17,13.90,14.08,13.84,14.00,4360577
2-Mar-17,13.76,13.95,13.68,13.92,3155733
1-Mar-17,13.52,13.84,13.52,13.82,4796115
28-Feb-17,13.43,13.50,13.34,13.46,3676329
27-Feb-17,13.23,13.41,13.18,13.36,2655654
24-Feb-17,13.38,13.50,13.12,13.22,4342806
23-Feb-17,13.05,13.48,13.05,13.39,5344147
22-Feb-17,13.18,13.66,13.05,13.40,9499356
21-Feb-17,13.50,13.52,13.35,13.50,3491450
20-Feb-17,13.29,13.46,13.28,13.46,3319793
17-Feb-17,13.26,13.26,13.05,13.22,4284466
16-Feb-17,13.18,13.31,13.15,13.26,3761774
15-Feb-17,13.15,13.40,13.08,13.18,4383424
14-Feb-17,13.15,13.36,13.04,13.06,6121365
13-Feb-17,12.90,13.06,12.87,12.95,3011675
10-Feb-17,12.90,13.04,12.84,12.90,4665644
9-Feb-17,12.60,12.92,12.58,12.82,5872236
8-Feb-17,12.18,12.60,12.12,12.55,5678060
7-Feb-17,12.02,12.24,11.98,12.20,3866371
6-Feb-17,12.18,12.24,11.98,11.98,3438341
3-Feb-17,12.16,12.26,12.02,12.17,3169505
2-Feb-17,12.08,12.20,12.00,12.12,3397995
1-Feb-17,12.30,12.38,12.06,12.08,4362532
31-Jan-17,12.18,12.34,12.05,12.26,3927331
30-Jan-17,12.55,12.56,12.14,12.14,4814915
27-Jan-17,12.58,12.64,12.50,12.56,3306236
26-Jan-17,12.72,12.77,12.55,12.56,3527709
25-Jan-17,12.86,12.86,12.49,12.66,7642266
24-Jan-17,12.72,12.89,12.58,12.78,3573233
23-Jan-17,12.68,12.78,12.62,12.72,3009109
20-Jan-17,12.72,12.86,12.68,12.75,3058368
19-Jan-17,12.80,12.84,12.64,12.72,4696243
18-Jan-17,12.80,13.04,12.66,12.80,3639119
17-Jan-17,12.68,12.74,12.64,12.70,4234291
16-Jan-17,12.44,13.00,12.38,12.67,5187701
13-Jan-17,12.50,12.51,12.26,12.44,3477907
12-Jan-17,12.22,12.66,12.20,12.44,7069116
11-Jan-17,11.94,12.30,11.90,12.22,7220067
10-Jan-17,11.80,11.90,11.60,11.81,3152845
9-Jan-17,11.85,11.98,11.72,11.80,2787562
6-Jan-17,11.94,12.02,11.80,11.80,3304833
5-Jan-17,11.85,12.00,11.84,11.98,2357164
4-Jan-17,12.00,12.04,11.82,11.86,3354236
3-Jan-17,12.16,12.28,11.98,11.98,4979070
2-Jan-17,11.95,12.20,11.85,12.08,3706107
30-Dec-16,11.70,11.82,11.60,11.82,1774842
29-Dec-16,11.64,11.72,11.58,11.69,1364048
28-Dec-16,11.66,11.81,11.62,11.68,2344731
27-Dec-16,11.58,11.70,11.58,11.68,1237269
23-Dec-16,11.58,11.64,11.54,11.58,1409605
22-Dec-16,11.56,11.67,11.48,11.60,2615376
21-Dec-16,11.50,11.62,11.48,11.58,3005157
20-Dec-16,11.40,11.54,11.38,11.52,2771786
19-Dec-16,11.34,11.48,11.32,11.40,4810477
16-Dec-16,11.20,11.33,11.14,11.32,9084871
15-Dec-16,11.36,11.37,11.02,11.18,9680691
14-Dec-16,11.34,11.48,11.12,11.39,6396820
13-Dec-16,11.55,11.63,11.29,11.38,6464437
12-Dec-16,11.55,11.60,11.38,11.58,6892849
9-Dec-16,11.18,11.30,11.14,11.20,5930404
8-Dec-16,11.69,11.72,11.04,11.16,14134483
7-Dec-16,12.09,12.09,11.56,11.60,7636984
6-Dec-16,11.80,12.48,11.78,11.92,11480986
5-Dec-16,11.56,11.80,11.50,11.74,4117626
2-Dec-16,11.51,11.72,11.48,11.60,3608508
1-Dec-16,11.88,11.88,11.56,11.62,4596487
30-Nov-16,12.04,12.10,11.86,11.86,4678293
29-Nov-16,11.72,12.05,11.64,12.02,4351743
28-Nov-16,11.51,11.76,11.34,11.66,4890857
25-Nov-16,11.76,11.84,11.60,11.77,2983088
24-Nov-16,11.89,11.93,11.70,11.72,2729939
23-Nov-16,11.96,12.07,11.84,11.87,3306474
22-Nov-16,11.95,12.17,11.89,11.95,3858432
21-Nov-16,11.80,11.86,11.66,11.86,3635853
18-Nov-16,12.04,12.10,11.68,11.74,6166814
