Date,Open,High,Low,Close,Volume
31-Mar-17,15.00,15.25,15.00,15.20,4413989
30-Mar-17,14.92,15.08,14.92,15.06,3269268
29-Mar-17,14.98,15.02,14.85,14.94,2560307
28-Mar-17,14.96,15.05,14.77,14.96,3229356
27-Mar-17,14.90,14.95,14.56,14.87,5269231
24-Mar-17,15.06,15.12,14.94,15.06,3082806
23-Mar-17,14.64,15.13,14.63,15.10,5870923
22-Mar-17,14.54,14.58,14.23,14.58,5800818
21-Mar-17,15.03,15.03,14.55,14.60,6112499
20-Mar-17,15.26,15.31,15.00,15.05,4235319
17-Mar-17,15.17,15.60,15.16,15.29,9934890
16-Mar-17,14.88,15.29,14.78,15.17,12474779
15-Mar-17,14.18,14.52,14.16,14.42,6424691
14-Mar-17,14.30,14.34,14.13,14.16,4009893
13-Mar-17,14.35,14.54,14.32,14.32,3676349
10-Mar-17,14.49,14.52,14.31,14.34,4241881
9-Mar-17,14.05,14.70,14.04,14.49,6595310
8-Mar-17,13.70,14.18,13.66,14.12,4724929
7-Mar-17,13.90,13.95,13.64,13.72,3062131
6-Mar-17,13.80,13.99,13.80,13.88,2423292
3-Mar-17,13.85,14.01,13.70,13.90,3314217
2-Mar-17,14.03,14.14,13.86,13.93,3142074
1-Mar-17,13.88,14.11,13.83,14.06,5075817
28-Feb-17,13.84,13.96,13.77,13.83,3328716
27-Feb-17,13.74,13.92,13.72,13.80,2992489
24-Feb-17,13.69,13.94,13.54,13.71,4248641
23-Feb-17,13.80,13.80,13.62,13.70,3036692
22-Feb-17,13.70,13.83,13.64,13.79,3658464
21-Feb-17,13.42,13.74,13.42,13.66,4060032
20-Feb-17,13.55,13.64,13.42,13.46,2228885
17-Feb-17,13.31,13.50,13.19,13.50,4716406
16-Feb-17,13.10,13.55,13.10,13.34,8387813
15-Feb-17,12.88,13.13,12.85,13.06,6969810
14-Feb-17,12.79,12.92,12.77,12.84,2867915
13-Feb-17,12.64,12.88,12.64,12.81,3634316
10-Feb-17,12.78,12.82,12.58,12.60,4150876
9-Feb-17,12.51,12.77,12.36,12.72,4633767
8-Feb-17,12.28,12.59,12.28,12.45,6004292
7-Feb-17,12.15,12.16,12.04,12.06,2180560
