Date,Open,High,Low,Close,Volume
31-Mar-17,22.80,22.98,22.65,22.96,2043149
30-Mar-17,22.74,23.01,22.68,22.94,1491524
29-Mar-17,22.77,22.96,22.65,22.74,1463455
28-Mar-17,22.50,22.71,22.38,22.68,2194439
27-Mar-17,22.16,22.54,21.87,22.35,2984489
24-Mar-17,22.73,22.97,22.65,22.68,1621121
23-Mar-17,22.62,22.82,22.53,22.76,2116520
22-Mar-17,22.50,22.68,22.33,22.58,2288038
21-Mar-17,23.41,23.49,22.77,22.82,2513884
20-Mar-17,23.62,23.65,23.24,23.40,1249564
17-Mar-17,23.34,23.80,23.10,23.68,3395782
16-Mar-17,23.63,23.94,23.30,23.42,2796648
15-Mar-17,23.00,23.38,23.00,23.32,2111090
14-Mar-17,23.04,23.12,22.74,22.94,2114327
13-Mar-17,22.68,23.12,22.64,23.08,2649227
10-Mar-17,22.62,23.00,22.42,22.56,2402079
9-Mar-17,22.60,22.72,22.39,22.58,2412928
8-Mar-17,22.81,23.05,22.66,22.72,1826297
7-Mar-17,23.20,23.26,22.88,22.96,1664978
6-Mar-17,23.29,23.30,22.94,23.17,2996366
3-Mar-17,23.41,23.65,23.20,23.61,2420940
2-Mar-17,23.96,24.10,23.45,23.52,1917068
1-Mar-17,23.78,24.04,23.70,23.92,1994217
28-Feb-17,23.70,23.74,23.34,23.60,2050196
27-Feb-17,24.01,24.14,23.58,23.74,2403180
24-Feb-17,24.19,24.35,23.42,23.90,3349736
23-Feb-17,24.35,24.69,24.08,24.26,3222852
22-Feb-17,24.15,24.64,24.10,24.24,6454674
21-Feb-17,22.96,23.28,22.92,23.17,1906730
20-Feb-17,23.07,23.20,22.86,22.92,1064991
17-Feb-17,23.04,23.16,22.68,22.90,2664072
16-Feb-17,23.38,23.39,23.06,23.14,1744598
15-Feb-17,23.45,23.54,23.07,23.46,1921054
14-Feb-17,23.54,23.54,23.20,23.35,1936486
13-Feb-17,23.75,23.92,23.40,23.58,2800219
10-Feb-17,23.26,23.71,23.25,23.61,3237958
9-Feb-17,22.95,23.47,22.14,23.05,4238612
8-Feb-17,23.50,23.78,22.91,23.26,2243449
7-Feb-17,23.30,23.56,23.20,23.46,2414256
