TimeLog,Hyundai Green Food Co Ltd_005440_Beta_12_3,"Isu Chemical Co., Ltd._005950_Beta_12_1",Seah Besteel Corporation_001430_Beta_12_2,Seah Besteel Corporation_001430_Beta_12_3,"Chokwang Leather Co., Ltd_004700_Beta_12_1",Handsome Corp_020000_Beta_12_1,Hyundai Motor Co_005380_Beta_6_3,SK Networks Co Ltd_001740_Beta_6_1,Sebang Global Battery Co Ltd_004490_Beta_12_3,SKC LTD_011790_Beta_12_1,Able C&C_078520_Beta_3_1,Cheil Worldwide Inc_030000_Beta_12_1,"Dae Won Kang Up Co., Ltd._000430_Beta_12_3",Cheil Worldwide Inc_030000_Beta_12_3,"Dong-Ah Tire Ind. Co., Ltd._007340_Beta_12_3","Yungjin Pharm Ind. Co., Ltd._003520_Beta_12_3",Sindoh Co Ltd_029530_Beta_12_3,Nexen Tire Corp_002350_Beta_12_1,Daeduck Electronics Co Ltd_008060_Beta_12_1,Able C&C_078520_Beta_3_3,Hyundai Motor Co_005380_Beta_12_2,Sebang Global Battery Co Ltd_004490_Beta_12_1,Kumho Tire Co Inc_073240_Beta_12_3,Daeduck Electronics Co Ltd_008060_Beta_12_2,"Dae Won Kang Up Co., Ltd._000430_Beta_12_1",Seah Steel Corp_003030_Beta_12_1,Kia Motors Corporation_000270_Beta_12_3,Kia Motors Corporation_000270_Beta_12_2,Able C&C_078520_Beta_3_2,Hotel Shilla Co Ltd_008770_Beta_12_2,Huchems Fine Chemical Corporation_069260_Beta_12_3,Hotel Shilla Co Ltd_008770_Beta_12_1,Hyundai Glovis Co Ltd_086280_Beta_12_1,SK Networks Co Ltd_001740_Beta_12_3,Nexen Tire Corp_002350_Beta_3_1,"Korea Circuit Co., Ltd._007810_Beta_6_3"
2003-05,-2975.2524766176666,1995.0306059683178,-6444.00581827345,-6470.749852201521,0.0,37032.01199772833,0.0,-72616.67116262724,-6079.052268062253,-2131.492247917452,-359.38119186042263,-4631.093849936577,27176.013472889786,-4485.234077544911,23344.97606771131,1926.2450892806544,7866.884012919581,34287.522996482,0.0,-1100.6422827459337,-1064.0900837233469,-5773.547215631242,4997.790432087931,0.0,81179.70151393364,1950.1392284375374,-1736.9925383175814,-1585.8197769461995,-759.8683213130769,-751.579532802132,3041.589210000324,-533.0167135038706,-623.2845295878826,20256.296308669575,3769.8798773305552,-6063.177873639671
2003-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2003-07,7.002406581958978e-11,1.5199291746265104e-10,2.4112098931678325e-10,2.411209893167833e-10,3.1567497552434346e-11,3.8705304201574265e-11,1.1326124466083677e-11,-8.602725594544551e-12,3.242155110298568e-11,5.8103972834803266e-11,-3.9347085684335015e-11,9.936892419493513e-11,2.8733451941834236e-10,9.936892419493513e-11,5.247697102288186e-11,-8.361630150264682e-10,-7.934904978634977e-11,9.164144948172345e-11,-5.648599014538228e-10,-3.934708568433501e-11,1.1358845417216946e-11,3.242155110298568e-11,-2.587333384373008e-11,-5.648599014538228e-10,2.8733451941834226e-10,1.9929360936463057e-11,3.419953068609134e-11,3.419953068609135e-11,-3.934708568433503e-11,1.9955450547868088e-11,6.416427123751126e-11,1.9955450547868088e-11,6.6621162136089084e-12,-1.5108034371893443e-11,-8.352862948288524e-10,2.0708698504406e-10
2003-08,-7.002406581958978e-11,-1.5199291746265112e-10,-2.411209893167833e-10,-2.411209893167833e-10,-3.1567497552434346e-11,-3.8705304201574265e-11,-8.132167607214548e-12,8.602725594544554e-12,-3.242155110298568e-11,-5.810397283480326e-11,3.934708568433503e-11,-9.936892419493513e-11,-2.8733451941834216e-10,-9.936892419493513e-11,-5.247697102288188e-11,8.361630150264682e-10,7.934904978634977e-11,-9.164144948172349e-11,5.648599014538228e-10,3.934708568433501e-11,-1.1358845417216946e-11,-3.242155110298568e-11,2.587333384373009e-11,5.648599014538226e-10,-2.8733451941834226e-10,-1.9929360936463057e-11,-3.419953068609134e-11,-3.419953068609134e-11,3.934708568433501e-11,-1.9955450547868088e-11,-6.416427123751127e-11,-1.9955450547868088e-11,-6.66211621360891e-12,1.5108034371893443e-11,-6.227864655275207e-10,8.73617800880738e-11
2003-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2003-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
2003-11,7.002406581958978e-11,1.5199291746265104e-10,2.4112098931678335e-10,2.411209893167831e-10,3.156749755243436e-11,3.8705304201574265e-11,3.4379480791944047e-12,-2.394087255234093e-13,3.242155110298568e-11,5.810397283480328e-11,-3.9347085684335015e-11,9.936892419493513e-11,2.8733451941834216e-10,9.936892419493513e-11,5.247697102288188e-11,-8.361630150264682e-10,-7.934904978634977e-11,9.164144948172349e-11,-5.648599014538228e-10,-3.9347085684335e-11,1.1358845417216943e-11,3.242155110298568e-11,-2.587333384373008e-11,-5.648599014538229e-10,2.8733451941834216e-10,1.992936093646307e-11,3.419953068609134e-11,3.419953068609133e-11,-3.9347085684335e-11,1.9955450547868088e-11,6.416427123751123e-11,1.9955450547868088e-11,6.6621162136089084e-12,-1.5108034371893443e-11,0.0,3.5137640810586254e-11
2003-12,-7.002406581958979e-11,-1.5199291746265104e-10,-2.411209893167831e-10,-2.4112098931678315e-10,-3.156749755243436e-11,-3.8705304201574265e-11,-4.95768207102621e-12,4.658530386590405e-13,-3.242155110298568e-11,-5.8103972834803286e-11,3.9347085684335e-11,-9.936892419493513e-11,-2.8733451941834205e-10,-9.936892419493513e-11,-5.247697102288188e-11,8.361630150264682e-10,7.934904978634977e-11,-9.164144948172349e-11,5.648599014538229e-10,3.934708568433501e-11,-1.1358845417216943e-11,-3.242155110298568e-11,2.587333384373009e-11,5.648599014538228e-10,-2.8733451941834216e-10,-1.992936093646307e-11,-3.419953068609134e-11,-3.419953068609134e-11,3.9347085684335e-11,-1.9955450547868088e-11,-6.416427123751127e-11,-1.9955450547868088e-11,-6.6621162136089084e-12,1.5108034371893443e-11,1.2026954412955292e-09,-5.276152236092182e-11
2004-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
2004-02,1.4721467103086236e-10,1.519929174626511e-10,2.411209893167832e-10,2.4112098931678325e-10,3.156749755243436e-11,3.8705304201574265e-11,2.9291143258419797e-12,-4.884493898830859e-13,9.568185833570806e-10,5.810397283480328e-11,-3.934708568433501e-11,9.936892419493513e-11,8.620583276594016e-11,3.080096937497681e-11,6.194429410706039e-10,6.009283171637001e-11,1.4151244256730683e-11,9.164144948172345e-11,-5.648599014538225e-10,-3.934708568433501e-11,1.1358845417216943e-11,3.242155110298568e-11,-2.587333384373009e-11,-5.648599014538226e-10,2.8733451941834205e-10,1.992936093646307e-11,4.1359747632428527e-11,3.419953068609133e-11,-3.934708568433501e-11,1.9955450547868088e-11,1.2356552037334998e-10,1.9955450547868088e-11,6.6621162136089084e-12,-1.5108034371893443e-11,-1.8184841287115373e-10,9.467115366488303e-11
