,Agricultural Bank of China_601288,AVIC Aviation Engine_600893,Bank of Beijing_601169,Bank of China_601988,Bank of Communications_601328,China CITIC Bank_601998,China Communications Construction_601800,China Everbright Bank_601818,China Life Insurance_601628,China Merchants Bank_600036,China Merchants Securities_600999,China Minsheng Bank_600016,China National Nuclear Power_601985,China Northern Rare Earth_600111,China Pacific Insurance_601601,China Railway Construction_601186,China Railway [Engineering]_601390,China Shenhua Energy_601088,China Shipbuilding Industry_601989,China Southern Airlines_600029,China State Construction Engineering_601668,China Unicom_600050,CITIC Securities_600030,CRRC Corporation_601766,Daqin Railway_601006,Dongxing Securities_601198,Everbright Securities_601788,Founder Securities_601901,Guotai Junan Securities_601211,Haitong Securities_600837,Huatai Securities_601688,Industrial and Commercial Bank of China_601398,Industrial Bank_601166,Industrial Securities_601377,Kangmei Pharmaceutical_600518,Kweichow Moutai_600519,New China Life Insurance_601336,Orient Securities_600958,PetroChina_601857,Ping An Insurance_601318,Poly Real Estate Group_600048,SAIC Motor_600104,Shandong Gold Mining_600547,Shanghai Oriental Pearl Media_600637,Shanghai Pudong Development Bank_600000,Sinolink Securities_600109,Sinopec_600028,SSE50,Tsinghua Tongfang_600100,Xinwei Group_600485,Yili Group_600887
Agricultural Bank of China_601288,,,0.82521312079,0.926457751268,0.90201946997,0.82188384921,0.879720345093,0.953433600196,0.89914448018,0.815588924674,0.882563283181,0.5604554943,,0.337051852843,0.883545612689,0.905238475682,0.854459014712,0.704135587934,0.73244005061,0.746217167617,0.817790069575,0.668743682334,0.871656265168,,0.805544269052,,0.8916836466,0.779176901937,,0.865396986198,0.859088213447,0.933100380039,0.690584187669,0.845401301139,0.65671332657,0.378871506558,0.910106890658,,0.805729942377,0.909842696563,0.852944566843,,,0.402154663979,0.702468168697,0.717534119711,0.736653955403,,0.558977222034,0.429612623097,0.346888885553
AVIC Aviation Engine_600893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank of Beijing_601169,,,,0.692192659705,0.825163487211,0.598956736464,0.759308806899,0.826323126468,0.619174870325,0.526006867742,0.769381115018,0.405642158349,,0.22086464632,0.539466073989,0.537716639182,0.515330780665,0.65202453575,0.68761021592,0.430501980274,0.605404459071,0.566048767079,0.56341156053,,0.610374950148,,0.719587708118,0.711844001243,,0.568431063714,0.704355634796,0.703885373103,0.795705644759,0.729424035179,0.394950999786,0.191727937178,0.875374501718,,0.693140241374,0.576735417848,0.597210651965,,,0.336200774266,0.632491550932,0.461633732877,0.812819975355,,0.407225243648,0.264256770538,0.235480117175
Bank of China_601988,,,,,0.786852248712,0.819479942552,0.876392685902,0.920488049536,0.882788465061,0.760495268648,0.851984678627,0.567635598575,,0.170369460861,0.792190023175,0.845467233166,0.763779875724,0.55254130359,0.770124268093,0.695438730165,0.79223995524,0.730131246782,0.802494655085,,0.771726170244,,0.864692502438,0.733435938734,,0.779287802671,0.821068679156,0.862755820139,0.607194188297,0.822758714263,0.352642853663,0.284160169587,0.93064612388,,0.789660431882,0.770399817865,0.670874630902,,,0.290083619685,0.701492142972,0.691664974667,0.815178997381,,0.539093857743,0.293073017796,0.218562741948
Bank of Communications_601328,,,,,,0.721189120074,0.828277409167,0.928071145987,0.702424274869,0.714815088367,0.788271631314,0.449907584297,,0.210889762437,0.590411089709,0.650245361002,0.559612327327,0.62714419126,0.701487220346,0.494436152828,0.715359061941,0.605274850869,0.613582618695,,0.66183068865,,0.816959774674,0.650502256267,,0.622743466436,0.733497087931,0.813484291786,0.785670082258,0.757534281985,0.355759530319,0.22812242915,0.901590190933,,0.70763343488,0.637241084593,0.654418612016,,,0.281303450068,0.721643621,0.526018473784,0.73944097685,,0.308830825878,0.278970452799,0.210156452626
China CITIC Bank_601998,,,,,,,0.771575834451,0.895096450484,0.72323031705,0.694944262503,0.776423170014,0.434107173436,,0.154079988617,0.672840982858,0.743083189862,0.668269846718,0.446395229782,0.655142649661,0.566459547011,0.729789047,0.611914971955,0.665119238958,,0.61984905761,,0.789566735711,0.712197753226,,0.707291567569,0.729816395671,0.730181376501,0.575765010624,0.796658376758,0.371571716464,0.231761831629,0.831767693113,,0.619574263469,0.749195232413,0.526139459659,,,0.270910516872,0.702045125027,0.620703375067,0.585599877463,,0.392436091047,0.430544440373,0.351910938047
China Communications Construction_601800,,,,,,,,0.857606735776,0.883866608786,0.747549369337,0.83604338547,0.36961367917,,0.478104965084,0.842083284929,0.897022620566,0.877280213021,0.763071343332,0.746529826935,0.742989367297,0.870751695879,0.79565475398,0.774599255831,,0.757744041939,,0.766411615424,0.699856618405,,0.767043346689,0.822642953864,0.867702194811,0.607878914073,0.768038716438,0.712303307898,0.512517502828,0.868344590715,,0.796447510886,0.904683693788,0.827127215401,,,0.32912809141,0.709214516467,0.760932469802,0.712160041277,0.908850273849,0.615923312166,0.433472469749,0.448128972491
China Everbright Bank_601818,,,,,,,,,0.861633496275,0.862278490094,0.88178302693,0.582446505523,,0.358155065678,0.818381401563,0.933193778335,0.894286229074,0.74447778492,0.775137215414,0.792691352552,0.80370344715,0.726995348131,0.841161086426,,0.799564618383,,0.884580577577,0.816752134747,,0.879256851474,0.811345094673,0.943118582469,0.731266980955,0.86886828565,0.664675947383,0.379463434331,0.901290391584,,0.810743166853,0.897110551298,0.801521459205,,,0.399999314352,0.793677807635,0.701453582737,0.735374575489,0.956230892725,0.617103814981,0.447750254622,0.396284869614
China Life Insurance_601628,,,,,,,,,,0.605366825629,0.884475164274,0.46453768088,,0.192862218287,0.875021609386,0.858110853581,0.769475695415,0.549575318936,0.67121640585,0.548011387265,0.767138656515,0.610865977635,0.871088996005,,0.715205309411,,0.862501931524,0.787600299111,,0.721599671377,0.849067393094,0.773330946685,0.558610446755,0.862851732346,0.463500638889,0.279711009446,0.893273431545,,0.781295247185,0.805017155478,0.723039232238,,,0.267216674613,0.604642925713,0.670320961493,0.701481059724,,0.405600191741,0.409435315963,0.256804585763
China Merchants Bank_600036,,,,,,,,,,,0.704905233553,0.681169524187,,0.14524010259,0.632844414859,0.700182212394,0.521205763518,0.492066151013,0.606216777432,0.638405540039,0.722541866174,0.650637259593,0.61636687884,,0.5670427879,,0.719985874372,0.608515735636,,0.680930937598,0.686155999226,0.823672401339,0.578686947842,0.634223519595,0.210191415438,0.462306482251,0.785580391116,,0.522308537744,0.654590143453,0.520826838257,,,0.200635929878,0.826320230894,0.492216355955,0.694672263917,,0.472449292718,0.1995209181,0.23422529717
China Merchants Securities_600999,,,,,,,,,,,,0.532187973908,,0.403122336861,0.873533091364,0.872231161193,0.817574776061,0.610661726642,0.701055920551,0.625384023731,0.75365389789,0.601949314259,0.920736337644,,0.779194454267,,0.881698723143,0.896614788321,,0.923678936305,0.888716764878,0.790103562455,0.638443449436,0.902785241548,0.662492002193,0.317415726899,0.835242066082,,0.766697203983,0.891454183279,0.811693784694,,,0.500267881508,0.730403685795,0.829701313254,0.692438972227,,0.629649749634,0.526351710899,0.405093849034
China Minsheng Bank_600016,,,,,,,,,,,,,,0.190992862119,0.355428940583,0.437892016871,0.368947230681,0.401233569525,0.292472031545,0.404417869477,0.400441955729,0.423354917369,0.565870815532,,0.432675427296,,0.525474073513,0.553139583394,,0.614027497131,0.429387790774,0.519389665724,0.555024949945,0.474825448366,0.415037477069,0.418417202054,0.368394643151,,0.416512486891,0.541097865156,0.563456402683,,,0.403860864188,0.734180596451,0.571420255268,0.480162581434,,0.366753830031,0.218894552356,0.4089479029
China National Nuclear Power_601985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
