,nan_ADS,nan_ALV,nan_BAS,nan_BEI,nan_BMW,nan_DAI,nan_DB1,nan_DBK,nan_DPW,nan_DTE,nan_EOAN,nan_FME,nan_FRE,nan_HEI,nan_HEN3,nan_IFX,nan_LHA,nan_LIN,nan_MRK,nan_PSM,nan_RWE,nan_SAP,nan_TKA
nan_ADS,,0.09879092375307315,0.13085582711652588,0.14903318590194076,0.07863852789037322,0.08771697657559918,0.11124827925328724,0.05588536079351593,0.1913618911845278,0.16307911052421806,0.07404458824187463,0.08432903541043507,0.07690789491730873,0.08024342044637169,0.09681551958281573,0.13315779834865615,0.09909127529000451,0.14352186407300976,0.156552243654878,0.07372546745325971,0.12660110624662094,0.30836616827699304,0.1290165864311468
nan_ALV,,,0.3513675044674473,0.24590000173163976,0.32451742599925343,0.40660108248299714,0.20330186948159595,0.2041533712973098,0.3607274193204433,0.34553848152181105,0.12238455902515029,0.12783384168285378,0.12952374326845087,0.1998974253124743,0.2612952366259298,0.3768396663070493,0.2676093933388174,0.2749306217758837,0.18122894809935458,0.18372139935585727,0.17253751386270144,0.16589986618185332,0.27260099984477665
nan_BAS,,,,0.3334628680626251,0.3341921286524149,0.46903676928310056,0.19349724760384077,0.1291082455927035,0.45696327392580627,0.20475318865662478,0.1993552640420191,0.1744084599201023,0.20768396041245576,0.2693606314903973,0.2677838766767066,0.1775255063730754,0.28769199934434,0.3818202636826624,0.25509980471400284,0.2764123040981947,0.17400774207643246,0.14320744633053809,0.3158928692726823
nan_BEI,,,,,0.36935773627270035,0.36790162739952864,0.13216901688656782,0.18770071391930293,0.352260777855161,0.1932003642898329,0.24605310851845616,0.4267188653213361,0.46910935370232126,0.14265044667689275,0.5425850518487714,0.12708259976722872,0.12580211506639968,0.4122865780708812,0.4207518030474836,0.33862441241102625,0.2426846718764241,0.25431106978142726,0.15149835073528822
nan_BMW,,,,,,0.5488084000306684,0.1406611498936914,0.19810248333209476,0.36678953290204,0.2284068603645368,0.21467065307483787,0.4058787239690988,0.4148211026418492,0.14713014750967507,0.5059770866023332,0.15999265662943613,0.14641295968200022,0.5059968507899401,0.40832927307592176,0.3815671385819356,0.2433576055554371,0.11592439974093453,0.22677015417005666
nan_DAI,,,,,,,0.18776995614063338,0.11833390294711803,0.4222910112362184,0.29010061386429276,0.1310461889328957,0.3635582678907047,0.3200822229472193,0.2140234120541033,0.4035494042434918,0.19382266749688112,0.21718325111762588,0.4521085131034852,0.334375666651136,0.3752925357277741,0.20841355714534265,0.1149599743187562,0.3043965889060406
nan_DB1,,,,,,,,0.16865926361723846,0.28218589526187515,0.15471000863500273,0.16896541381699245,0.051850112452858636,0.0437036896318443,0.31853226085917946,0.15567615992132008,0.13666536430136716,0.16972889768417052,0.18371150825164625,0.1525180011828402,0.11043018962951433,0.2765117515897572,0.18479359545162216,0.26812854664514363
nan_DBK,,,,,,,,,0.13613267884292765,0.13660732111529816,0.4711541698914922,0.21890881036920884,0.2953060197532749,0.22789484826923165,0.27031163581341955,0.0635236708470439,0.21927830533878975,0.24478522729745172,0.17282187228496984,0.11195029971055621,0.3251210111386644,0.10303388124093511,0.1640669296841739
nan_DPW,,,,,,,,,,0.352037719272986,0.13463947168536203,0.29878817603822205,0.26559026590890983,0.2557171014816295,0.35592733719072384,0.208870624252493,0.2404042013224819,0.3484385162072848,0.3943983055855634,0.336407140040539,0.24090227507761167,0.20569469692827788,0.27818677094530714
nan_DTE,,,,,,,,,,,0.13075934853908686,0.1957975310058776,0.17034578629725874,0.14434005434944633,0.26610470852701684,0.24983306003604802,0.07594154392409891,0.2262005992131423,0.1616983073515448,0.17795042545023668,0.17423075541582836,0.2004265216368965,0.18061890480366238
nan_EOAN,,,,,,,,,,,,0.23962305226566077,0.33166383571461755,0.30802759101385585,0.2786444548358041,0.03816501299482201,0.1316436533819289,0.2800096253830209,0.17684148027246732,0.11847711889875663,0.48515105917784146,0.18059646617240996,0.21205992040028354
nan_FME,,,,,,,,,,,,,0.6283616185550396,0.11895181802234281,0.48201484507619935,0.09774864445344489,0.09015561983784347,0.3717116930846743,0.4561153720862118,0.40122988215756694,0.2170745713942093,0.05886578961365356,0.03910858092806158
nan_FRE,,,,,,,,,,,,,,0.17913756925705956,0.5638404262555616,0.10689397232707157,0.1046214619730111,0.44545444029013825,0.4772445828573291,0.40165337371978643,0.24300890073913542,0.05876078503224782,0.041591425292499616
nan_HEI,,,,,,,,,,,,,,,0.15781377676017747,0.10884910110120287,0.251468602128933,0.24015555031055752,0.18016071270185774,0.13916556886748513,0.16599033540764238,0.10349333553865515,0.2359986926246807
nan_HEN3,,,,,,,,,,,,,,,,0.12146839888303812,0.10376461545381943,0.542884310644944,0.49133117905553314,0.39122634277796053,0.2979510346214811,0.10080994449491026,0.14896533649432536
nan_IFX,,,,,,,,,,,,,,,,,0.11089747485230499,0.0891215802563271,0.1192219145374149,0.14599699420699086,0.0775971238910562,0.14618767548998632,0.10444528692660446
nan_LHA,,,,,,,,,,,,,,,,,,0.16852609577314356,0.11270546006033891,0.12262372329649991,0.151318592946838,0.09623937456624376,0.2735445442908655
nan_LIN,,,,,,,,,,,,,,,,,,,0.40463601244316977,0.34462749442147267,0.2710275287953139,0.20214933301763982,0.2543062169601266
nan_MRK,,,,,,,,,,,,,,,,,,,,0.3737355194511125,0.21666965163742874,0.15259721363593493,0.1573524327597431
nan_PSM,,,,,,,,,,,,,,,,,,,,,0.1929692683264567,0.05281235647963701,0.1238888371289376
nan_RWE,,,,,,,,,,,,,,,,,,,,,,0.17222476738396522,0.28419163849659734
nan_SAP,,,,,,,,,,,,,,,,,,,,,,,0.22758342135469556
