Date,Open,High,Low,Close,Volume
31-Mar-17,32.58,33.04,32.55,33.03,1400053
30-Mar-17,32.80,32.80,32.56,32.72,1138883
29-Mar-17,32.45,32.76,32.30,32.76,1366373
28-Mar-17,32.67,32.76,32.32,32.46,1358644
27-Mar-17,32.60,32.77,32.40,32.60,990944
24-Mar-17,32.52,32.76,32.48,32.68,948258
23-Mar-17,32.44,32.59,32.32,32.59,1372593
22-Mar-17,32.40,32.61,32.40,32.44,1331064
21-Mar-17,32.58,32.58,32.40,32.50,1034376
20-Mar-17,32.64,32.74,32.52,32.55,933804
17-Mar-17,32.52,32.74,32.38,32.71,2486474
16-Mar-17,32.49,32.65,32.43,32.58,2091661
15-Mar-17,32.27,32.27,31.98,32.22,1154450
14-Mar-17,32.02,32.29,31.92,32.18,1367474
13-Mar-17,32.00,32.28,32.00,32.10,1344172
10-Mar-17,32.76,32.76,32.00,32.05,2805533
9-Mar-17,32.55,32.87,32.43,32.66,1521825
8-Mar-17,32.59,32.59,32.27,32.55,1583434
7-Mar-17,32.80,33.18,32.44,32.62,2264252
6-Mar-17,32.66,32.90,32.58,32.90,1485150
3-Mar-17,33.02,33.04,32.66,32.82,1780099
2-Mar-17,33.10,33.15,32.89,33.10,1392995
1-Mar-17,33.00,33.09,32.81,33.06,1587643
28-Feb-17,33.02,33.18,32.62,32.89,2165586
27-Feb-17,33.31,33.32,32.87,33.04,1242571
24-Feb-17,33.35,33.46,33.08,33.25,1569880
23-Feb-17,33.34,33.40,33.15,33.35,1112515
22-Feb-17,33.00,33.48,32.97,33.31,1981963
21-Feb-17,32.78,33.08,32.75,32.95,1321345
20-Feb-17,33.00,33.05,32.84,32.86,701112
17-Feb-17,32.83,33.06,32.62,32.88,1609227
16-Feb-17,32.76,32.94,32.60,32.86,1368754
15-Feb-17,32.62,32.88,32.54,32.86,1999129
14-Feb-17,32.35,32.52,32.14,32.50,1588415
13-Feb-17,32.36,32.40,32.15,32.18,1471864
10-Feb-17,32.26,32.29,32.06,32.29,1471607
9-Feb-17,32.36,32.38,31.94,32.20,2312232
8-Feb-17,31.32,32.32,31.22,32.20,2809351
7-Feb-17,30.67,31.38,30.59,31.36,1724119
6-Feb-17,30.66,30.84,30.55,30.58,1514442
3-Feb-17,30.80,31.02,30.66,30.78,1105674
2-Feb-17,30.76,30.92,30.60,30.66,1362135
1-Feb-17,30.63,30.95,30.50,30.76,1953175
31-Jan-17,30.01,30.36,29.90,30.27,1571973
30-Jan-17,30.05,30.19,29.74,30.06,1261362
27-Jan-17,30.04,30.08,29.73,30.02,1361939
26-Jan-17,30.07,30.12,29.81,29.98,1881781
25-Jan-17,30.11,30.14,29.82,29.96,1918842
24-Jan-17,30.46,30.52,30.05,30.05,1782575
23-Jan-17,30.44,30.56,30.15,30.38,1923439
20-Jan-17,30.42,30.54,30.00,30.38,1727697
19-Jan-17,30.96,30.96,30.34,30.45,1737477
18-Jan-17,30.95,31.06,30.78,31.00,1194228
17-Jan-17,31.16,31.17,30.79,30.90,1208729
16-Jan-17,30.93,31.35,30.93,31.19,920478
13-Jan-17,31.22,31.38,30.88,30.95,1134887
12-Jan-17,31.40,31.44,31.10,31.16,1269233
11-Jan-17,31.39,31.54,31.26,31.40,1181293
10-Jan-17,31.09,31.52,31.02,31.48,1241573
9-Jan-17,31.38,31.48,31.02,31.02,1007257
6-Jan-17,31.42,31.75,31.18,31.25,1236453
5-Jan-17,31.06,31.45,31.03,31.40,1652789
4-Jan-17,30.85,30.96,30.44,30.80,1265640
3-Jan-17,31.48,31.48,30.74,30.80,1613584
2-Jan-17,31.05,31.48,30.86,31.35,574317
30-Dec-16,30.61,30.95,30.58,30.90,563930
29-Dec-16,30.29,30.69,30.12,30.69,658211
28-Dec-16,30.60,30.70,30.33,30.42,641634
27-Dec-16,30.66,30.76,30.50,30.68,453783
23-Dec-16,30.21,30.62,30.06,30.59,923600
22-Dec-16,30.35,30.42,30.12,30.36,1073287
21-Dec-16,30.05,30.39,29.94,30.32,918214
20-Dec-16,30.15,30.38,30.10,30.10,1384155
19-Dec-16,29.73,30.08,29.64,30.08,1421844
16-Dec-16,29.50,29.79,29.38,29.72,2500230
15-Dec-16,30.08,30.08,29.15,29.54,2727388
14-Dec-16,30.01,30.25,29.82,30.17,1506351
13-Dec-16,29.62,30.09,29.62,30.08,1436012
12-Dec-16,29.90,29.92,29.25,29.59,1537496
9-Dec-16,29.15,29.95,29.12,29.84,2264946
8-Dec-16,29.60,29.74,28.66,29.20,2516465
7-Dec-16,29.56,30.15,29.34,29.50,2023496
6-Dec-16,29.24,29.54,29.17,29.32,1271689
5-Dec-16,29.44,29.87,29.30,29.32,1386365
2-Dec-16,29.26,29.57,29.17,29.50,1736448
1-Dec-16,30.28,30.34,29.42,29.44,1960727
30-Nov-16,30.75,31.10,30.28,30.43,2668074
29-Nov-16,30.85,30.97,30.66,30.84,1007199
28-Nov-16,30.60,31.00,30.54,30.98,1150936
25-Nov-16,30.50,30.80,30.44,30.77,931964
24-Nov-16,30.70,30.79,30.40,30.53,683363
23-Nov-16,30.67,30.98,30.60,30.62,1697655
22-Nov-16,30.44,30.78,30.26,30.62,1266053
21-Nov-16,30.40,30.53,30.18,30.30,1204458
18-Nov-16,30.67,30.85,30.34,30.34,1989596
17-Nov-16,30.50,30.70,30.27,30.62,1526139
16-Nov-16,30.60,30.64,30.26,30.44,1296068
15-Nov-16,30.25,31.04,30.23,30.52,2009767
14-Nov-16,30.75,30.75,29.72,30.02,2894054
11-Nov-16,30.30,30.84,30.15,30.60,2130188
10-Nov-16,32.26,32.29,30.11,30.22,4363397
9-Nov-16,32.06,33.00,31.92,32.18,2203229
8-Nov-16,32.50,32.80,32.28,32.60,1403130
7-Nov-16,32.16,32.50,31.96,32.50,1339829
4-Nov-16,31.85,32.11,31.51,31.72,1802876
3-Nov-16,32.20,33.00,31.70,31.82,2155390
2-Nov-16,31.16,31.72,31.00,31.52,1344259
1-Nov-16,32.11,32.18,31.28,31.30,1552975
31-Oct-16,31.75,32.08,31.31,32.08,1503831
28-Oct-16,31.30,31.79,30.94,31.58,1882425
27-Oct-16,32.13,32.48,31.30,31.44,1637388
26-Oct-16,32.90,32.92,32.08,32.20,1072324
25-Oct-16,32.78,33.13,32.74,32.94,1102493
24-Oct-16,32.80,32.98,32.62,32.76,1195627
21-Oct-16,32.67,32.73,32.48,32.64,1458452
20-Oct-16,32.00,32.70,31.90,32.59,1665086
19-Oct-16,32.08,32.08,31.88,32.02,970727
18-Oct-16,31.51,32.06,31.51,32.04,1293001
17-Oct-16,31.66,31.71,31.36,31.40,1001623
14-Oct-16,31.73,31.80,31.34,31.68,1274450
13-Oct-16,31.12,31.62,31.04,31.60,1603353
12-Oct-16,31.70,31.70,31.15,31.18,2035767
11-Oct-16,32.18,32.34,31.66,31.66,1514264
10-Oct-16,31.92,32.22,31.78,32.14,1331170
7-Oct-16,31.68,32.22,31.50,31.82,1990053
6-Oct-16,32.40,32.52,31.44,31.60,2600261
5-Oct-16,33.05,33.18,32.23,32.26,2500267
4-Oct-16,33.80,33.94,33.08,33.30,1860276
30-Sep-16,33.34,33.87,33.28,33.70,1718344
29-Sep-16,34.58,34.72,33.66,33.75,927133
28-Sep-16,34.50,34.59,34.24,34.30,657287
27-Sep-16,34.28,34.48,33.92,34.48,1117334
26-Sep-16,34.16,34.28,33.94,34.12,843428
23-Sep-16,34.43,34.50,34.22,34.34,839990
22-Sep-16,33.99,34.40,33.79,34.40,1143500
21-Sep-16,34.43,34.44,33.69,33.75,1014866
20-Sep-16,33.92,34.50,33.76,34.22,1068455
19-Sep-16,34.36,34.48,33.58,33.86,1330687
16-Sep-16,33.72,34.19,33.68,34.16,2670181
