Date,Open,High,Low,Close,Volume
"Mar 31, 2017",16.37,16.39,16.24,16.27,"6,843,442"
"Mar 30, 2017",16.38,16.43,16.23,16.36,"13,437,806"
"Mar 29, 2017",16.43,16.56,16.37,16.37,"8,371,508"
"Mar 28, 2017",16.60,16.66,16.42,16.44,"6,547,706"
"Mar 27, 2017",16.59,16.71,16.50,16.58,"7,245,422"
"Mar 24, 2017",16.41,16.66,16.37,16.58,"12,148,952"
"Mar 23, 2017",16.48,16.60,16.38,16.42,"12,534,976"
"Mar 22, 2017",16.54,16.60,16.47,16.48,"11,042,536"
"Mar 21, 2017",16.73,16.75,16.56,16.58,"12,007,363"
"Mar 20, 2017",16.78,16.79,16.55,16.71,"11,327,483"
"Mar 17, 2017",17.03,17.05,16.71,16.78,"13,756,591"
"Mar 16, 2017",16.75,17.10,16.72,17.00,"28,189,529"
"Mar 15, 2017",16.64,16.72,16.61,16.68,"8,287,097"
"Mar 14, 2017",16.68,16.74,16.64,16.65,"7,396,874"
"Mar 13, 2017",16.62,16.73,16.51,16.69,"9,407,774"
"Mar 10, 2017",16.69,16.70,16.60,16.62,"7,303,264"
"Mar 9, 2017",16.69,16.73,16.51,16.70,"11,609,282"
"Mar 8, 2017",16.77,16.81,16.67,16.70,"5,881,204"
"Mar 7, 2017",16.78,16.84,16.71,16.77,"6,563,617"
"Mar 6, 2017",16.72,16.85,16.68,16.83,"11,646,983"
"Mar 3, 2017",16.72,16.80,16.61,16.78,"11,624,665"
"Mar 2, 2017",16.83,16.98,16.76,16.80,"17,573,809"
"Mar 1, 2017",16.84,16.93,16.76,16.78,"11,376,971"
"Feb 28, 2017",16.76,16.88,16.76,16.84,"6,449,812"
"Feb 27, 2017",17.00,17.00,16.73,16.78,"11,132,003"
"Feb 24, 2017",16.86,17.00,16.85,16.98,"8,692,332"
"Feb 23, 2017",17.10,17.11,16.83,16.90,"16,499,246"
"Feb 22, 2017",17.16,17.20,16.95,17.07,"12,097,445"
"Feb 21, 2017",17.13,17.32,17.09,17.14,"16,541,192"
"Feb 20, 2017",16.95,17.15,16.87,17.10,"15,166,631"
"Feb 17, 2017",17.03,17.44,16.94,16.96,"26,267,163"
"Feb 16, 2017",16.76,17.08,16.70,16.96,"11,513,031"
"Feb 15, 2017",17.07,17.08,16.75,16.83,"14,615,835"
"Feb 14, 2017",17.00,17.04,16.83,16.89,"10,049,307"
"Feb 13, 2017",16.87,17.09,16.81,16.98,"17,244,438"
"Feb 10, 2017",16.80,16.98,16.75,16.87,"15,821,478"
"Feb 9, 2017",16.75,16.92,16.70,16.82,"14,237,792"
"Feb 8, 2017",16.45,16.82,16.42,16.82,"15,208,382"
"Feb 7, 2017",16.49,16.52,16.38,16.46,"7,693,441"
"Feb 6, 2017",16.50,16.58,16.43,16.53,"6,206,484"
"Feb 3, 2017",16.76,16.85,16.47,16.53,"6,953,676"
"Jan 26, 2017",16.70,16.85,16.69,16.76,"7,198,486"
"Jan 25, 2017",16.70,16.77,16.60,16.68,"7,725,057"
"Jan 24, 2017",16.75,16.76,16.66,16.69,"6,498,848"
"Jan 23, 2017",16.74,16.88,16.70,16.80,"9,275,623"
"Jan 20, 2017",16.63,16.84,16.61,16.76,"11,608,927"
"Jan 19, 2017",16.55,16.71,16.51,16.59,"8,238,616"
"Jan 18, 2017",16.53,16.72,16.44,16.55,"8,783,235"
"Jan 17, 2017",16.50,16.59,16.37,16.53,"7,573,550"
"Jan 16, 2017",16.24,16.70,16.07,16.62,"39,557,971"
"Jan 13, 2017",16.24,16.45,16.20,16.38,"9,954,768"
"Jan 12, 2017",16.30,16.42,16.25,16.29,"8,629,129"
"Jan 11, 2017",16.43,16.52,16.31,16.32,"10,325,932"
"Jan 10, 2017",16.47,16.54,16.40,16.48,"6,423,482"
"Jan 9, 2017",16.47,16.59,16.43,16.48,"9,163,066"
"Jan 6, 2017",16.63,16.65,16.48,16.50,"9,141,263"
"Jan 5, 2017",16.68,16.68,16.59,16.61,"9,389,337"
"Jan 4, 2017",16.51,16.66,16.47,16.64,"14,879,364"
"Jan 3, 2017",16.31,16.65,16.30,16.51,"23,594,067"
"Dec 30, 2016",16.28,16.37,16.15,16.34,"20,034,030"
"Dec 29, 2016",16.45,16.47,16.23,16.27,"18,507,221"
"Dec 28, 2016",16.53,16.58,16.39,16.45,"12,280,834"
"Dec 27, 2016",16.65,16.69,16.52,16.58,"8,295,156"
"Dec 26, 2016",16.43,16.74,16.25,16.64,"11,258,689"
"Dec 23, 2016",16.70,16.73,16.48,16.54,"10,592,510"
"Dec 22, 2016",16.79,16.82,16.60,16.70,"9,625,141"
"Dec 21, 2016",16.66,16.93,16.66,16.80,"22,883,425"
"Dec 20, 2016",16.56,16.65,16.47,16.62,"12,155,203"
"Dec 19, 2016",16.79,16.80,16.50,16.54,"16,353,572"
"Dec 16, 2016",16.81,16.92,16.68,16.79,"15,881,604"
"Dec 15, 2016",16.95,17.09,16.68,16.79,"17,459,488"
"Dec 14, 2016",17.11,17.18,16.90,16.93,"14,946,627"
"Dec 13, 2016",17.16,17.27,17.05,17.15,"17,043,754"
"Dec 12, 2016",17.68,17.72,16.83,17.38,"47,575,806"
"Dec 9, 2016",17.66,17.83,17.60,17.66,"23,523,117"
"Dec 8, 2016",17.93,17.97,17.63,17.66,"17,092,629"
"Dec 7, 2016",17.86,17.94,17.73,17.93,"15,897,947"
"Dec 6, 2016",18.06,18.25,17.83,17.87,"20,033,354"
"Dec 5, 2016",18.43,18.65,17.95,18.10,"32,676,293"
"Dec 2, 2016",19.17,19.21,18.49,18.77,"32,972,901"
"Dec 1, 2016",18.91,19.25,18.91,19.17,"26,463,348"
"Nov 30, 2016",19.13,19.42,18.93,19.08,"27,963,557"
"Nov 29, 2016",19.20,19.50,18.91,19.25,"37,177,729"
"Nov 28, 2016",19.58,19.85,19.15,19.27,"40,041,659"
"Nov 25, 2016",19.08,19.47,18.72,19.42,"26,408,271"
"Nov 24, 2016",18.89,19.35,18.79,19.07,"23,502,986"
"Nov 23, 2016",19.25,19.25,18.81,18.92,"25,088,719"
"Nov 22, 2016",18.96,19.30,18.88,19.13,"29,648,958"
"Nov 21, 2016",18.67,19.11,18.64,18.94,"23,105,112"
"Nov 18, 2016",19.15,19.16,18.71,18.75,"23,491,098"
"Nov 17, 2016",19.16,19.42,18.89,19.29,"20,643,296"
"Nov 16, 2016",19.41,19.48,19.08,19.22,"20,005,517"
"Nov 15, 2016",19.50,19.69,19.14,19.28,"26,760,507"
"Nov 14, 2016",19.23,20.09,19.10,19.51,"61,817,061"
"Nov 11, 2016",18.69,19.40,18.54,19.33,"70,503,678"
"Nov 10, 2016",18.23,18.70,18.23,18.67,"43,251,328"
"Nov 9, 2016",18.41,18.47,17.81,18.04,"28,658,842"
"Nov 8, 2016",18.52,18.67,18.24,18.41,"22,326,408"
"Nov 7, 2016",18.19,18.45,18.17,18.31,"18,829,348"
"Nov 4, 2016",18.40,18.70,18.10,18.16,"34,414,888"
"Nov 3, 2016",17.92,18.85,17.89,18.39,"50,713,483"
"Nov 2, 2016",17.92,18.36,17.88,17.97,"24,657,391"
"Nov 1, 2016",17.90,18.26,17.80,18.05,"28,529,434"
"Oct 31, 2016",17.80,18.31,17.45,17.96,"29,000,467"
"Oct 28, 2016",18.03,18.76,18.00,18.19,"56,305,207"
"Oct 27, 2016",17.77,18.03,17.77,17.90,"13,438,624"
"Oct 26, 2016",17.81,18.04,17.70,17.88,"15,218,307"
"Oct 25, 2016",17.98,18.09,17.73,17.89,"16,731,957"
"Oct 24, 2016",17.37,18.34,17.35,18.04,"54,011,512"
"Oct 21, 2016",17.28,17.54,17.26,17.35,"16,414,644"
"Oct 20, 2016",17.37,17.42,17.25,17.27,"8,789,916"
"Oct 19, 2016",17.48,17.49,17.28,17.35,"10,207,085"
"Oct 18, 2016",17.00,17.48,16.97,17.47,"24,272,697"
"Oct 17, 2016",17.24,17.35,16.96,17.02,"10,103,479"
"Oct 14, 2016",17.18,17.24,17.07,17.24,"7,723,752"
"Oct 13, 2016",17.19,17.33,17.13,17.24,"8,596,231"
"Oct 12, 2016",17.30,17.30,17.13,17.20,"9,396,464"
"Oct 11, 2016",17.40,17.44,17.20,17.30,"13,300,549"
"Oct 10, 2016",17.30,17.48,17.12,17.40,"14,146,477"
"Sep 30, 2016",16.90,17.22,16.88,17.20,"9,425,243"
"Sep 29, 2016",16.82,17.17,16.76,16.97,"12,249,073"
"Sep 28, 2016",16.94,17.04,16.87,16.90,"7,259,326"
"Sep 27, 2016",16.78,16.99,16.74,16.96,"12,881,861"
"Sep 26, 2016",17.26,17.36,16.81,16.82,"16,391,797"
"Sep 23, 2016",17.47,17.53,17.37,17.39,"6,639,955"
"Sep 22, 2016",17.48,17.59,17.40,17.44,"13,092,683"
"Sep 21, 2016",17.13,17.46,17.12,17.37,"12,370,655"
"Sep 20, 2016",17.22,17.25,17.10,17.14,"6,466,927"
"Sep 19, 2016",17.18,17.27,17.17,17.20,"6,263,280"
"Sep 14, 2016",17.12,17.25,17.03,17.19,"9,447,246"
"Sep 13, 2016",17.34,17.35,17.09,17.27,"11,411,202"
"Sep 12, 2016",17.39,17.39,16.90,17.33,"34,920,916"
"Sep 9, 2016",17.86,17.96,17.65,17.66,"15,681,903"
"Sep 8, 2016",18.00,18.01,17.77,17.88,"14,352,724"
"Sep 7, 2016",17.92,18.38,17.88,17.99,"30,503,170"
"Sep 6, 2016",17.71,17.98,17.50,17.95,"19,126,251"
"Sep 5, 2016",17.85,18.03,17.71,17.78,"14,827,752"
"Sep 2, 2016",17.60,17.96,17.55,17.84,"18,824,262"
"Sep 1, 2016",17.89,18.06,17.60,17.61,"16,990,187"
"Aug 31, 2016",17.85,18.10,17.73,17.97,"17,327,793"
"Aug 30, 2016",17.82,17.98,17.68,17.87,"21,422,616"
"Aug 29, 2016",17.73,17.83,17.63,17.81,"12,773,822"
"Aug 26, 2016",18.00,18.03,17.73,17.78,"14,466,133"
"Aug 25, 2016",17.68,18.07,17.64,17.95,"23,949,105"
"Aug 24, 2016",18.08,18.09,17.65,17.82,"22,234,483"
"Aug 23, 2016",17.95,18.11,17.84,18.07,"20,087,668"
"Aug 22, 2016",18.22,18.42,17.86,17.94,"23,695,915"
"Aug 19, 2016",18.40,18.50,18.16,18.22,"22,065,062"
"Aug 18, 2016",18.30,18.65,18.18,18.41,"34,370,080"
"Aug 17, 2016",18.65,18.85,18.18,18.39,"52,426,259"
"Aug 16, 2016",18.68,19.07,18.44,18.56,"111,319,859"
"Aug 15, 2016",17.47,19.17,17.31,19.10,"158,676,616"
"Aug 12, 2016",16.68,17.47,16.60,17.43,"30,230,343"
"Aug 11, 2016",16.73,17.01,16.66,16.73,"27,506,361"
"Aug 10, 2016",16.84,16.85,16.64,16.70,"12,564,097"
"Aug 9, 2016",16.75,16.85,16.63,16.78,"12,920,395"
"Aug 8, 2016",16.59,16.76,16.43,16.75,"10,721,608"
"Aug 5, 2016",16.48,16.73,16.37,16.58,"13,667,069"
"Aug 4, 2016",16.39,16.51,16.24,16.48,"9,215,212"
"Aug 3, 2016",16.55,16.57,16.29,16.41,"15,297,287"
"Aug 2, 2016",16.56,16.63,16.45,16.57,"9,124,016"
"Aug 1, 2016",16.71,16.87,16.39,16.54,"11,471,057"
"Jul 29, 2016",16.86,17.01,16.72,16.81,"9,630,087"
"Jul 28, 2016",17.04,17.09,16.59,16.92,"17,957,721"
"Jul 27, 2016",17.46,17.59,16.50,17.24,"34,826,873"
"Jul 26, 2016",17.17,17.60,17.15,17.60,"19,385,795"
"Jul 25, 2016",17.20,17.32,17.06,17.18,"7,216,522"
"Jul 22, 2016",17.38,17.38,17.14,17.24,"14,658,996"
"Jul 21, 2016",17.22,17.57,17.22,17.40,"15,721,328"
"Jul 20, 2016",17.22,17.46,17.20,17.20,"9,624,124"
"Jul 19, 2016",17.19,17.38,17.01,17.31,"16,907,771"
"Jul 18, 2016",17.49,17.50,17.16,17.19,"16,103,252"
"Jul 15, 2016",17.69,17.77,17.38,17.49,"15,354,601"
"Jul 14, 2016",17.50,17.82,17.50,17.71,"14,757,926"
"Jul 13, 2016",17.82,18.17,17.59,17.65,"30,489,968"
"Jul 12, 2016",17.44,17.81,17.16,17.76,"30,811,305"
"Jul 11, 2016",17.31,17.81,17.21,17.45,"29,568,953"
"Jul 8, 2016",17.43,17.67,17.28,17.31,"27,629,330"
"Jul 7, 2016",17.39,17.70,17.19,17.47,"23,327,209"
"Jul 6, 2016",17.11,17.66,17.06,17.47,"24,673,519"
"Jul 5, 2016",17.11,17.59,17.11,17.24,"27,491,941"
"Jul 4, 2016",16.43,17.40,16.37,17.25,"55,377,995"
"Jul 1, 2016",16.58,16.85,16.50,16.58,"21,545,426"
"Jun 30, 2016",16.46,16.70,16.45,16.51,"23,446,688"
"Jun 29, 2016",16.40,16.74,16.39,16.48,"31,552,276"
"Jun 28, 2016",16.03,16.55,15.95,16.37,"21,641,464"
"Jun 27, 2016",15.73,16.16,15.71,16.14,"18,082,317"
"Jun 24, 2016",16.15,16.33,15.48,15.81,"27,181,614"
"Jun 23, 2016",16.09,16.10,15.80,15.91,"10,622,427"
"Jun 22, 2016",15.76,16.09,15.67,16.06,"13,622,651"
"Jun 21, 2016",15.67,16.36,15.67,15.80,"29,370,181"
"Jun 20, 2016",15.52,15.64,15.40,15.53,"8,221,064"
"Jun 17, 2016",15.51,15.78,15.43,15.49,"13,342,426"
"Jun 16, 2016",15.70,15.86,15.53,15.62,"15,836,447"
"Jun 15, 2016",15.25,16.07,15.21,15.75,"22,246,498"
"Jun 14, 2016",15.44,15.55,15.30,15.48,"13,484,311"
"Jun 13, 2016",16.01,16.16,15.43,15.44,"17,305,594"
"Jun 8, 2016",16.30,16.39,16.10,16.27,"12,357,573"
"Jun 7, 2016",16.27,16.44,16.22,16.30,"15,172,412"
"Jun 6, 2016",16.53,16.55,16.23,16.24,"13,359,883"
"Jun 3, 2016",16.40,16.63,16.25,16.42,"22,426,654"
"Jun 2, 2016",16.39,16.49,16.24,16.40,"14,286,130"
"Jun 1, 2016",16.61,16.70,16.33,16.34,"26,133,027"
"May 31, 2016",15.58,16.82,15.58,16.57,"47,330,861"
"May 30, 2016",15.48,15.63,15.38,15.54,"6,119,786"
"May 27, 2016",15.59,15.66,15.40,15.50,"7,330,754"
"May 26, 2016",15.56,15.64,15.40,15.59,"10,413,358"
"May 25, 2016",15.70,15.85,15.52,15.52,"10,163,575"
"May 24, 2016",15.70,15.70,15.52,15.57,"8,056,901"
"May 23, 2016",15.72,15.92,15.58,15.72,"13,376,198"
"May 20, 2016",15.55,15.79,15.40,15.76,"12,604,940"
"May 19, 2016",15.63,15.76,15.55,15.65,"11,641,727"
"May 18, 2016",15.51,15.75,15.38,15.65,"21,458,822"
"May 17, 2016",15.71,15.88,15.49,15.64,"13,693,777"
"May 16, 2016",15.45,15.70,15.32,15.69,"9,810,764"
"May 13, 2016",15.56,15.83,15.50,15.62,"15,221,996"
"May 12, 2016",15.34,15.65,15.23,15.61,"20,323,282"
"May 11, 2016",15.55,15.63,15.39,15.49,"15,723,661"
"May 10, 2016",15.40,15.65,15.40,15.53,"17,656,342"
"May 9, 2016",16.18,16.19,15.40,15.59,"37,859,607"
"May 6, 2016",17.00,17.08,16.21,16.24,"27,291,456"
"May 5, 2016",16.83,17.08,16.83,16.97,"13,848,507"
