Date,Open,High,Low,Close,Volume
"Mar 31, 2017",9.45,9.58,9.39,9.53,"32,098,876"
"Mar 30, 2017",9.48,9.52,9.34,9.48,"44,109,663"
"Mar 29, 2017",9.57,9.61,9.47,9.50,"45,161,352"
"Mar 28, 2017",9.70,9.70,9.55,9.58,"34,019,363"
"Mar 27, 2017",9.67,9.74,9.60,9.66,"34,392,889"
"Mar 24, 2017",9.68,9.72,9.54,9.68,"50,666,311"
"Mar 23, 2017",9.57,9.77,9.55,9.65,"51,686,119"
"Mar 22, 2017",9.63,9.73,9.52,9.56,"51,063,614"
"Mar 21, 2017",9.63,9.78,9.57,9.74,"63,565,052"
"Mar 20, 2017",9.68,9.73,9.51,9.62,"80,549,823"
"Mar 17, 2017",10.04,10.08,9.71,9.74,"116,622,190"
"Mar 16, 2017",10.11,10.21,9.94,10.01,"87,903,583"
"Mar 15, 2017",10.09,10.18,9.99,10.09,"56,566,553"
"Mar 14, 2017",10.07,10.25,9.97,10.10,"110,357,885"
"Mar 13, 2017",9.62,10.23,9.54,10.09,"191,109,099"
"Mar 10, 2017",9.63,9.78,9.61,9.62,"43,216,527"
"Mar 9, 2017",9.55,9.67,9.51,9.66,"60,775,254"
"Mar 8, 2017",9.49,9.66,9.46,9.59,"56,929,055"
"Mar 7, 2017",9.49,9.51,9.40,9.46,"23,966,757"
"Mar 6, 2017",9.41,9.51,9.39,9.47,"28,751,364"
"Mar 3, 2017",9.41,9.47,9.28,9.44,"37,696,731"
"Mar 2, 2017",9.54,9.57,9.42,9.43,"24,311,151"
"Mar 1, 2017",9.53,9.58,9.48,9.52,"34,051,134"
"Feb 28, 2017",9.44,9.51,9.43,9.47,"19,549,605"
"Feb 27, 2017",9.54,9.54,9.41,9.46,"30,566,922"
"Feb 24, 2017",9.59,9.63,9.46,9.63,"37,744,905"
"Feb 23, 2017",9.71,9.75,9.56,9.63,"37,740,435"
"Feb 22, 2017",9.67,9.73,9.63,9.68,"45,395,383"
"Feb 21, 2017",9.57,9.76,9.57,9.71,"98,132,643"
"Feb 20, 2017",9.32,9.60,9.31,9.58,"67,061,414"
"Feb 17, 2017",9.45,9.51,9.30,9.32,"43,958,851"
"Feb 16, 2017",9.37,9.47,9.34,9.45,"29,946,882"
"Feb 15, 2017",9.52,9.53,9.36,9.37,"45,366,298"
"Feb 14, 2017",9.50,9.54,9.46,9.52,"21,441,391"
"Feb 13, 2017",9.47,9.55,9.40,9.52,"33,492,358"
"Feb 10, 2017",9.49,9.56,9.40,9.48,"37,734,307"
"Feb 9, 2017",9.30,9.65,9.29,9.49,"88,005,615"
"Feb 8, 2017",9.17,9.30,9.12,9.29,"44,698,337"
