Date,Open,High,Low,Close,Volume
"Mar 31, 2017",35.46,35.80,35.39,35.77,"13,070,776"
"Mar 30, 2017",36.70,36.74,35.65,35.75,"21,695,462"
"Mar 29, 2017",37.50,37.50,36.47,36.56,"39,097,477"
"Mar 28, 2017",36.52,36.86,36.34,36.48,"22,422,451"
"Mar 27, 2017",36.30,36.87,36.03,36.78,"35,719,857"
"Mar 24, 2017",36.12,36.21,35.81,35.90,"19,468,591"
"Mar 23, 2017",36.00,36.80,35.52,36.49,"34,203,832"
"Mar 22, 2017",36.00,36.35,35.83,35.99,"21,941,447"
"Mar 21, 2017",35.98,35.98,35.42,35.54,"15,750,351"
"Mar 20, 2017",36.28,36.42,35.78,35.97,"14,861,093"
"Mar 17, 2017",36.34,36.52,35.92,36.03,"17,547,422"
"Mar 16, 2017",36.85,37.16,36.21,36.33,"27,747,723"
"Mar 15, 2017",35.90,36.35,35.78,36.19,"16,383,410"
"Mar 14, 2017",35.90,36.17,35.72,36.00,"14,500,924"
"Mar 13, 2017",35.18,36.21,35.18,36.16,"30,274,609"
"Mar 10, 2017",34.91,35.26,34.88,35.19,"11,454,577"
"Mar 9, 2017",35.40,35.40,35.00,35.16,"16,008,792"
"Mar 8, 2017",35.52,35.68,35.42,35.51,"13,228,784"
"Mar 7, 2017",35.53,35.81,35.40,35.75,"14,091,276"
"Mar 6, 2017",35.54,35.75,35.41,35.68,"12,665,522"
"Mar 3, 2017",36.00,36.00,35.38,35.55,"26,784,650"
"Mar 2, 2017",36.78,36.86,36.40,36.48,"17,218,672"
"Mar 1, 2017",36.70,36.88,36.60,36.85,"15,676,622"
"Feb 28, 2017",37.11,37.24,36.90,37.07,"15,517,581"
"Feb 27, 2017",37.55,37.99,37.40,37.46,"25,570,204"
"Feb 24, 2017",37.60,37.60,37.11,37.51,"24,785,728"
"Feb 23, 2017",36.92,37.25,36.71,37.05,"19,738,905"
"Feb 22, 2017",37.18,37.38,36.87,36.98,"14,553,993"
"Feb 21, 2017",36.88,37.24,36.56,37.22,"16,954,145"
"Feb 20, 2017",37.00,37.11,36.56,37.09,"12,651,457"
"Feb 17, 2017",37.49,37.49,37.08,37.19,"12,621,882"
"Feb 16, 2017",37.31,37.44,37.06,37.22,"14,225,497"
"Feb 15, 2017",37.52,37.59,37.00,37.06,"20,125,834"
"Feb 14, 2017",37.67,37.77,37.31,37.75,"16,622,861"
"Feb 13, 2017",37.81,38.07,37.68,37.88,"17,825,151"
"Feb 10, 2017",37.80,37.97,37.67,37.85,"21,896,192"
"Feb 9, 2017",38.67,38.78,38.29,38.49,"22,173,858"
"Feb 8, 2017",38.40,38.80,38.21,38.43,"21,669,527"
"Feb 7, 2017",38.26,38.88,37.90,38.71,"37,864,831"
"Feb 6, 2017",37.68,38.11,37.68,37.83,"16,248,524"
"Feb 3, 2017",37.85,38.10,37.37,37.41,"21,427,970"
"Jan 26, 2017",36.86,37.11,36.70,37.01,"15,713,493"
"Jan 25, 2017",37.00,37.41,36.87,37.14,"16,694,967"
"Jan 24, 2017",38.24,38.24,37.63,37.66,"15,092,479"
"Jan 23, 2017",37.57,38.37,37.57,37.86,"22,019,142"
"Jan 20, 2017",37.11,37.58,37.01,37.30,"14,285,868"
"Jan 19, 2017",37.50,37.50,36.88,37.15,"19,237,773"
"Jan 18, 2017",38.06,38.45,37.69,38.10,"35,851,186"
"Jan 17, 2017",36.86,38.05,36.62,37.81,"29,840,457"
"Jan 16, 2017",36.60,37.20,35.72,37.07,"26,227,594"
"Jan 13, 2017",37.35,37.35,36.43,36.54,"19,117,195"
"Jan 12, 2017",37.30,37.70,37.20,37.69,"22,151,356"
"Jan 11, 2017",37.47,37.51,36.89,37.15,"13,843,965"
"Jan 10, 2017",37.15,37.47,36.91,37.44,"22,812,864"
"Jan 9, 2017",37.17,37.17,36.53,36.78,"18,881,553"
"Jan 6, 2017",37.87,38.29,37.20,37.28,"30,837,324"
"Jan 5, 2017",37.30,38.20,37.01,37.63,"40,190,775"
"Jan 4, 2017",36.81,37.04,36.50,36.91,"18,402,142"
"Jan 3, 2017",36.40,36.88,36.18,36.77,"15,765,525"
"Dec 30, 2016",37.35,37.50,36.42,36.51,"26,394,102"
"Dec 29, 2016",36.00,36.90,36.00,36.45,"42,312,690"
"Dec 28, 2016",35.52,35.89,35.39,35.65,"19,558,773"
"Dec 27, 2016",34.80,35.55,34.61,35.41,"17,734,898"
"Dec 26, 2016",35.30,35.31,34.33,34.93,"23,048,304"
"Dec 23, 2016",35.62,35.95,35.31,35.41,"16,065,820"
"Dec 22, 2016",35.98,35.98,35.55,35.67,"19,281,331"
"Dec 21, 2016",35.62,36.22,35.53,36.13,"18,934,615"
"Dec 20, 2016",36.10,36.33,35.82,35.89,"20,310,874"
"Dec 19, 2016",36.54,36.59,35.98,36.39,"24,621,069"
"Dec 16, 2016",36.30,36.50,35.62,36.42,"49,373,760"
"Dec 15, 2016",37.61,37.80,36.80,37.22,"66,497,942"
"Dec 14, 2016",37.11,39.27,36.80,39.09,"64,567,224"
"Dec 13, 2016",38.21,38.54,36.50,37.24,"29,019,035"
"Dec 12, 2016",37.48,38.65,37.38,38.09,"48,176,521"
"Dec 9, 2016",37.20,38.18,37.11,37.98,"26,462,478"
"Dec 8, 2016",37.33,38.10,37.16,37.79,"33,971,625"
"Dec 7, 2016",36.96,37.07,36.51,37.05,"16,328,723"
