TimeLog,KR_kr_stocks,KR_stocks,KR_kr_economy,KR_economy,KR_kr_kospi,KR_kospi
2004-01-01,23,17,64,11,17,8
2004-02-01,10,21,62,8,0,8
2004-03-01,13,19,80,7,0,20
2004-04-01,15,26,90,12,0,0
2004-05-01,0,13,91,9,0,10
2004-06-01,26,35,94,11,0,0
2004-07-01,14,24,63,12,0,15
2004-08-01,28,19,72,12,0,0
2004-09-01,0,9,85,6,0,14
2004-10-01,14,18,97,16,0,14
2004-11-01,0,18,97,16,0,0
2004-12-01,9,26,78,11,7,0
2005-01-01,0,31,68,11,0,0
2005-02-01,22,16,56,14,0,24
2005-03-01,27,19,69,12,0,6
2005-04-01,8,17,92,17,0,6
2005-05-01,14,18,92,16,5,5
2005-06-01,15,23,92,11,0,6
2005-07-01,18,18,79,13,7,20
2005-08-01,9,18,70,18,7,7
2005-09-01,12,24,87,15,0,12
2005-10-01,11,14,100,12,0,11
2005-11-01,17,10,100,18,10,18
2005-12-01,48,17,88,13,10,13
2006-01-01,42,32,82,12,8,13
2006-02-01,24,17,62,7,16,13
2006-03-01,32,32,76,12,4,9
2006-04-01,31,19,88,13,4,15
2006-05-01,37,27,97,12,8,14
2006-06-01,19,22,89,13,4,12
2006-07-01,10,8,61,8,6,16
2006-08-01,19,12,57,11,9,4
2006-09-01,7,19,70,13,0,7
2006-10-01,15,13,75,10,6,7
2006-11-01,9,11,77,11,3,9
2006-12-01,17,17,64,13,6,3
2007-01-01,28,28,54,8,8,4
2007-02-01,24,21,53,8,4,4
2007-03-01,22,21,57,9,2,5
2007-04-01,14,10,56,10,9,7
2007-05-01,22,12,67,9,6,4
2007-06-01,38,23,66,9,7,7
2007-07-01,34,10,48,6,9,14
2007-08-01,54,15,59,11,14,17
2007-09-01,37,12,58,10,8,7
2007-10-01,56,17,73,8,4,11
2007-11-01,55,14,68,11,13,7
2007-12-01,46,7,60,9,9,9
2008-01-01,57,8,60,9,10,12
2008-02-01,38,20,49,7,10,6
2008-03-01,26,24,57,11,7,7
2008-04-01,25,7,64,11,7,8
2008-05-01,25,13,67,10,7,5
2008-06-01,23,16,63,13,9,13
2008-07-01,31,22,53,10,7,11
2008-08-01,20,18,49,10,4,8
2008-09-01,34,29,68,13,9,16
2008-10-01,50,24,82,18,30,27
2008-11-01,23,12,75,14,15,11
2008-12-01,30,12,64,12,8,10
2009-01-01,17,11,58,9,6,6
2009-02-01,20,9,50,10,6,10
2009-03-01,23,21,56,14,8,10
2009-04-01,20,25,62,12,9,13
2009-05-01,11,18,61,14,6,4
2009-06-01,17,14,57,13,9,9
2009-07-01,13,20,47,9,7,3
2009-08-01,18,16,44,8,8,6
2009-09-01,17,11,53,14,13,6
2009-10-01,10,26,64,14,13,3
2009-11-01,20,18,63,13,13,13
2009-12-01,19,14,60,11,8,7
2010-01-01,19,21,49,9,7,6
2010-02-01,16,22,48,11,9,7
2010-03-01,21,26,60,12,5,7
2010-04-01,17,32,66,12,15,7
2010-05-01,27,20,58,13,6,6
2010-06-01,18,14,56,12,8,5
2010-07-01,31,9,48,8,16,4
2010-08-01,35,13,50,8,20,7
2010-09-01,88,7,39,5,24,4
2010-10-01,29,10,45,5,25,3
2010-11-01,47,9,46,6,53,4
2010-12-01,27,3,38,4,60,3
2011-01-01,35,7,36,4,38,3
2011-02-01,26,11,30,5,30,7
2011-03-01,31,13,40,6,35,4
2011-04-01,21,12,41,7,33,4
2011-05-01,23,7,39,6,29,3
2011-06-01,29,11,37,5,28,3
2011-07-01,31,7,31,4,29,4
2011-08-01,100,12,36,4,100,10
2011-09-01,81,8,36,4,64,5
2011-10-01,83,5,35,4,59,4
