Date,Open,High,Low,Close,Volume
31-Mar-17,24500.00,25150.00,24350.00,24600.00,153992
30-Mar-17,25100.00,25200.00,24250.00,24850.00,175091
29-Mar-17,25400.00,25550.00,24800.00,25100.00,253221
28-Mar-17,24150.00,25450.00,23900.00,25300.00,449539
27-Mar-17,23950.00,24300.00,23600.00,24100.00,339634
24-Mar-17,21950.00,24000.00,21950.00,23800.00,947824
23-Mar-17,22000.00,22100.00,21450.00,21700.00,61071
22-Mar-17,21300.00,21950.00,21300.00,21650.00,123348
21-Mar-17,22000.00,22000.00,21200.00,21300.00,115806
20-Mar-17,21900.00,22050.00,21350.00,21900.00,82359
17-Mar-17,20900.00,22000.00,20900.00,21900.00,188724
16-Mar-17,20800.00,21250.00,20650.00,21100.00,82480
15-Mar-17,20850.00,20950.00,20350.00,20550.00,69184
14-Mar-17,21800.00,21800.00,20800.00,20950.00,133446
13-Mar-17,20550.00,21950.00,20500.00,21650.00,250419
10-Mar-17,20550.00,20950.00,19950.00,20500.00,136435
9-Mar-17,20250.00,21100.00,20150.00,20250.00,141849
8-Mar-17,20300.00,20300.00,19800.00,20050.00,68697
7-Mar-17,20250.00,20500.00,19900.00,20200.00,84341
6-Mar-17,20000.00,20500.00,19400.00,20300.00,161686
3-Mar-17,21100.00,21150.00,20150.00,20400.00,266570
2-Mar-17,21850.00,22100.00,21400.00,21600.00,166233
28-Feb-17,22450.00,22600.00,22050.00,22100.00,72765
27-Feb-17,22700.00,22700.00,21900.00,22650.00,140359
24-Feb-17,22300.00,22750.00,21900.00,22500.00,196174
23-Feb-17,22150.00,22700.00,22000.00,22150.00,128240
22-Feb-17,22100.00,22200.00,21600.00,22100.00,123053
21-Feb-17,22050.00,22350.00,21750.00,21950.00,144170
20-Feb-17,21700.00,22350.00,21600.00,22250.00,320065
17-Feb-17,19900.00,21800.00,19650.00,21700.00,497771
16-Feb-17,20150.00,20300.00,19500.00,19900.00,79249
15-Feb-17,19550.00,20750.00,19500.00,20150.00,202988
14-Feb-17,19100.00,19550.00,19000.00,19550.00,87319
13-Feb-17,18700.00,19250.00,18600.00,19200.00,87293
10-Feb-17,18750.00,18800.00,18400.00,18550.00,38787
9-Feb-17,18400.00,18650.00,18250.00,18550.00,29586
8-Feb-17,18650.00,18800.00,18450.00,18550.00,38584
7-Feb-17,18550.00,18800.00,18500.00,18750.00,48698
6-Feb-17,18400.00,18700.00,18250.00,18600.00,26455
3-Feb-17,18500.00,18550.00,18200.00,18300.00,48622
2-Feb-17,18550.00,18800.00,18350.00,18350.00,48931
1-Feb-17,18500.00,18700.00,18400.00,18600.00,40770
31-Jan-17,18400.00,18850.00,18400.00,18650.00,45565
26-Jan-17,18650.00,18850.00,18200.00,18400.00,98782
25-Jan-17,19150.00,19350.00,18800.00,18800.00,56888
24-Jan-17,18850.00,19250.00,18850.00,19250.00,63829
23-Jan-17,19150.00,19350.00,18800.00,18850.00,85686
20-Jan-17,19300.00,19500.00,19200.00,19400.00,38269
19-Jan-17,19700.00,19800.00,19300.00,19300.00,67338
18-Jan-17,19500.00,19950.00,19500.00,19800.00,43432
17-Jan-17,20000.00,20100.00,19550.00,19600.00,52146
