Date,Open,High,Low,Close,Volume
31-Mar-17,9210.00,9270.00,9170.00,9180.00,602900
30-Mar-17,9230.00,9270.00,9170.00,9200.00,428772
29-Mar-17,9350.00,9350.00,9190.00,9220.00,532890
28-Mar-17,9220.00,9340.00,9160.00,9310.00,866808
27-Mar-17,9360.00,9360.00,9160.00,9210.00,1004269
24-Mar-17,9410.00,9500.00,9350.00,9400.00,836083
23-Mar-17,9300.00,9440.00,9230.00,9390.00,918378
22-Mar-17,9330.00,9380.00,9220.00,9280.00,1318745
21-Mar-17,9440.00,9450.00,9330.00,9420.00,801584
20-Mar-17,9470.00,9470.00,9320.00,9360.00,728497
17-Mar-17,9340.00,9530.00,9340.00,9450.00,1570234
16-Mar-17,9360.00,9360.00,9220.00,9310.00,1238590
15-Mar-17,9250.00,9320.00,9150.00,9320.00,1232391
14-Mar-17,9220.00,9370.00,9210.00,9250.00,1899635
13-Mar-17,8960.00,9240.00,8940.00,9180.00,2008006
10-Mar-17,8750.00,8940.00,8730.00,8910.00,1046982
9-Mar-17,8700.00,8810.00,8680.00,8710.00,1092671
8-Mar-17,8660.00,8720.00,8640.00,8700.00,760385
7-Mar-17,8690.00,8790.00,8660.00,8690.00,554679
6-Mar-17,8700.00,8740.00,8610.00,8670.00,515923
3-Mar-17,8710.00,8750.00,8680.00,8710.00,496547
2-Mar-17,8760.00,8880.00,8700.00,8720.00,1169568
28-Feb-17,8700.00,8720.00,8600.00,8680.00,1091304
27-Feb-17,8720.00,8740.00,8630.00,8670.00,638035
24-Feb-17,8680.00,8740.00,8520.00,8720.00,3118286
23-Feb-17,8890.00,8910.00,8840.00,8890.00,775178
22-Feb-17,8860.00,8870.00,8780.00,8840.00,514433
21-Feb-17,8810.00,8920.00,8810.00,8860.00,469333
20-Feb-17,8900.00,8920.00,8780.00,8830.00,670552
17-Feb-17,8910.00,8960.00,8840.00,8930.00,660446
16-Feb-17,9040.00,9050.00,8930.00,8930.00,962459
15-Feb-17,8950.00,9000.00,8880.00,8990.00,919898
14-Feb-17,8960.00,8960.00,8840.00,8930.00,557569
13-Feb-17,8900.00,8990.00,8860.00,8900.00,964115
10-Feb-17,8730.00,8950.00,8700.00,8900.00,2584560
9-Feb-17,8530.00,8740.00,8510.00,8650.00,1302505
8-Feb-17,8530.00,8600.00,8500.00,8570.00,878943
7-Feb-17,8570.00,8580.00,8490.00,8550.00,933828
6-Feb-17,8550.00,8700.00,8550.00,8570.00,1089789
3-Feb-17,8600.00,8650.00,8550.00,8630.00,726083
