Date,Open,High,Low,Close,Volume
31-Mar-17,167500.00,167500.00,165500.00,166500.00,23642
30-Mar-17,169000.00,169000.00,165500.00,168000.00,28622
29-Mar-17,171000.00,173000.00,168500.00,169000.00,31566
28-Mar-17,169000.00,170000.00,168000.00,170000.00,24676
27-Mar-17,172000.00,174000.00,167000.00,168000.00,41156
24-Mar-17,166000.00,172500.00,165500.00,171000.00,78686
23-Mar-17,161000.00,166000.00,160000.00,165500.00,43192
22-Mar-17,164500.00,165500.00,158500.00,160000.00,46461
21-Mar-17,164000.00,166000.00,163000.00,164000.00,26956
20-Mar-17,163500.00,165000.00,162000.00,162500.00,13819
17-Mar-17,164500.00,164500.00,162000.00,164500.00,21572
16-Mar-17,162500.00,166500.00,161500.00,164000.00,32386
15-Mar-17,164000.00,164500.00,162000.00,163500.00,20352
14-Mar-17,167500.00,167500.00,163500.00,164000.00,35138
13-Mar-17,165000.00,168500.00,163500.00,167500.00,40229
10-Mar-17,165000.00,166000.00,162500.00,165500.00,36539
9-Mar-17,167000.00,167000.00,164500.00,166000.00,31896
8-Mar-17,163000.00,169000.00,163000.00,167000.00,58069
7-Mar-17,163500.00,164000.00,160500.00,161000.00,43743
6-Mar-17,166000.00,166000.00,157500.00,163000.00,82192
3-Mar-17,170000.00,170000.00,165500.00,166000.00,48410
2-Mar-17,173500.00,174500.00,169000.00,171000.00,52558
28-Feb-17,171000.00,172500.00,166500.00,172500.00,54922
27-Feb-17,171000.00,171000.00,168500.00,171000.00,25351
24-Feb-17,169000.00,169500.00,167000.00,169500.00,29533
23-Feb-17,170500.00,170500.00,167500.00,169000.00,38626
22-Feb-17,167000.00,170000.00,166000.00,170000.00,49888
21-Feb-17,167500.00,169000.00,164500.00,168500.00,57174
20-Feb-17,167000.00,168000.00,166000.00,167500.00,26753
17-Feb-17,169000.00,169500.00,166000.00,168000.00,49782
16-Feb-17,169500.00,171000.00,166500.00,170500.00,93220
15-Feb-17,157500.00,169500.00,157000.00,169000.00,189928
14-Feb-17,157000.00,157500.00,155000.00,156500.00,42714
13-Feb-17,157500.00,158000.00,155000.00,156000.00,45979
10-Feb-17,161000.00,161000.00,156000.00,156500.00,55378
9-Feb-17,159000.00,160500.00,156500.00,159500.00,66191
8-Feb-17,158000.00,159500.00,156000.00,158500.00,50211
7-Feb-17,159500.00,159500.00,157000.00,158000.00,45541
6-Feb-17,157000.00,159000.00,155500.00,158500.00,35959
3-Feb-17,155000.00,157500.00,155000.00,155500.00,55465
2-Feb-17,160000.00,161000.00,155000.00,155500.00,87743
1-Feb-17,163500.00,163500.00,159000.00,160000.00,48660
31-Jan-17,161000.00,163000.00,160500.00,163000.00,30318
26-Jan-17,165500.00,166000.00,161000.00,162500.00,58676
25-Jan-17,167500.00,168000.00,163500.00,165500.00,33017
24-Jan-17,173000.00,173000.00,167000.00,167000.00,53782
23-Jan-17,171500.00,173000.00,169500.00,172000.00,41694
20-Jan-17,169500.00,174000.00,169500.00,170500.00,58848
19-Jan-17,166500.00,171000.00,166500.00,169500.00,62402
18-Jan-17,169000.00,169000.00,166500.00,166500.00,40471
17-Jan-17,167000.00,168500.00,166000.00,167000.00,35521
16-Jan-17,165500.00,169500.00,165000.00,166500.00,66752
