Date,Open,High,Low,Close,Volume
31-Mar-17,67100.00,69500.00,67100.00,68000.00,15680
30-Mar-17,67500.00,68900.00,66500.00,67700.00,13567
29-Mar-17,67300.00,68200.00,65500.00,68200.00,24637
28-Mar-17,68500.00,69200.00,66600.00,66800.00,31127
27-Mar-17,64100.00,69500.00,64000.00,68000.00,70711
24-Mar-17,60100.00,64800.00,59600.00,64300.00,63350
23-Mar-17,58700.00,59400.00,58500.00,59300.00,19020
22-Mar-17,58600.00,59300.00,57500.00,57600.00,18597
21-Mar-17,58100.00,58800.00,57600.00,58500.00,9085
20-Mar-17,59600.00,59600.00,57900.00,57900.00,10720
17-Mar-17,59400.00,60000.00,58600.00,59300.00,9404
16-Mar-17,59700.00,59700.00,58400.00,59300.00,11151
15-Mar-17,60300.00,60500.00,58500.00,58700.00,19650
14-Mar-17,62000.00,62000.00,60000.00,60300.00,13431
13-Mar-17,61300.00,61800.00,61300.00,61600.00,4486
10-Mar-17,61200.00,61700.00,60400.00,61600.00,6712
9-Mar-17,60800.00,61200.00,60500.00,60700.00,6401
8-Mar-17,60700.00,61100.00,60300.00,60700.00,10153
7-Mar-17,60600.00,61500.00,59800.00,60500.00,4786
6-Mar-17,60000.00,61400.00,60000.00,61000.00,5358
3-Mar-17,61000.00,61000.00,59700.00,60000.00,8152
2-Mar-17,61400.00,61600.00,60100.00,61200.00,13835
28-Feb-17,62400.00,62400.00,60700.00,61100.00,11582
27-Feb-17,63400.00,63900.00,61100.00,62100.00,20338
24-Feb-17,62700.00,63200.00,62100.00,62800.00,13190
23-Feb-17,61200.00,63700.00,61200.00,62600.00,28065
22-Feb-17,61400.00,61700.00,60800.00,61100.00,7776
21-Feb-17,62100.00,62600.00,60700.00,61400.00,19981
20-Feb-17,62900.00,63000.00,61500.00,62100.00,9009
17-Feb-17,61200.00,63100.00,60400.00,62700.00,21866
16-Feb-17,61900.00,61900.00,60600.00,61200.00,7281
15-Feb-17,60700.00,62100.00,60700.00,61600.00,11928
14-Feb-17,60400.00,60700.00,60100.00,60500.00,4101
13-Feb-17,59300.00,60500.00,58800.00,60400.00,5538
10-Feb-17,58900.00,59400.00,58600.00,59300.00,8718
9-Feb-17,59400.00,59400.00,58200.00,58900.00,7669
8-Feb-17,60600.00,60600.00,58900.00,59200.00,15891
7-Feb-17,60300.00,62500.00,59700.00,60400.00,20643
6-Feb-17,59600.00,60700.00,59000.00,60500.00,14426
3-Feb-17,59000.00,59300.00,58000.00,59300.00,11378
2-Feb-17,59700.00,60200.00,58100.00,58300.00,9638
1-Feb-17,59000.00,59900.00,58500.00,59700.00,8847
31-Jan-17,57600.00,59100.00,57500.00,59100.00,10717
26-Jan-17,57200.00,57700.00,56500.00,57600.00,11804
25-Jan-17,58600.00,59200.00,56400.00,56900.00,25419
24-Jan-17,60000.00,60600.00,58400.00,58800.00,14844
23-Jan-17,61400.00,61800.00,59500.00,60000.00,19427
20-Jan-17,61800.00,62300.00,61600.00,61700.00,5516
19-Jan-17,62900.00,62900.00,61600.00,61600.00,10091
18-Jan-17,62500.00,63000.00,62100.00,62300.00,9201
17-Jan-17,62800.00,63200.00,61900.00,62500.00,12037
16-Jan-17,63500.00,63900.00,62600.00,62800.00,7674
13-Jan-17,62500.00,63800.00,62500.00,63500.00,5598
12-Jan-17,64300.00,64700.00,62300.00,62600.00,20607
11-Jan-17,65000.00,65300.00,64100.00,64800.00,11524
10-Jan-17,64600.00,66500.00,64500.00,64900.00,16624
9-Jan-17,65700.00,66300.00,64800.00,64800.00,9735
6-Jan-17,67500.00,68000.00,65400.00,65700.00,24838
5-Jan-17,66200.00,67900.00,66200.00,67500.00,16614
4-Jan-17,66200.00,66700.00,65100.00,65900.00,25647
3-Jan-17,67500.00,67500.00,65900.00,66200.00,10696
2-Jan-17,69000.00,69000.00,66900.00,67300.00,9568
29-Dec-16,68300.00,68900.00,67900.00,68900.00,13380
28-Dec-16,69000.00,69500.00,68200.00,69000.00,13100
27-Dec-16,68700.00,69400.00,68400.00,69000.00,11498
26-Dec-16,68900.00,70400.00,68800.00,69300.00,18326
23-Dec-16,66600.00,69000.00,66500.00,68600.00,12191
22-Dec-16,67700.00,67900.00,66700.00,67300.00,10528
21-Dec-16,68300.00,68400.00,66900.00,67700.00,6981
20-Dec-16,67300.00,68300.00,66700.00,68300.00,9834
19-Dec-16,67400.00,68600.00,66500.00,66800.00,5818
16-Dec-16,68500.00,69000.00,67800.00,68000.00,8234
15-Dec-16,68500.00,69800.00,67900.00,68800.00,13071
14-Dec-16,70100.00,70100.00,67400.00,68800.00,25342
13-Dec-16,65600.00,70200.00,65600.00,70000.00,35969
12-Dec-16,65100.00,66100.00,64900.00,65500.00,13473
9-Dec-16,65200.00,66300.00,63800.00,64900.00,13157
8-Dec-16,65400.00,65900.00,64400.00,65200.00,5942
7-Dec-16,65500.00,66300.00,62200.00,65000.00,17313
6-Dec-16,65000.00,66700.00,64900.00,65500.00,6933
5-Dec-16,63800.00,65000.00,63300.00,65000.00,11153
2-Dec-16,65500.00,66900.00,63800.00,65300.00,15809
1-Dec-16,63100.00,66500.00,62200.00,66300.00,18855
30-Nov-16,61600.00,64000.00,61200.00,64000.00,17766
29-Nov-16,61400.00,63100.00,60300.00,61600.00,44919
28-Nov-16,62800.00,62800.00,61600.00,61700.00,2226
25-Nov-16,60800.00,62900.00,60800.00,62500.00,5895
24-Nov-16,62100.00,62700.00,61100.00,61100.00,7542
23-Nov-16,63100.00,63100.00,61700.00,62100.00,11460
22-Nov-16,65900.00,65900.00,62800.00,63300.00,11254
21-Nov-16,66500.00,66500.00,64600.00,65000.00,6138
18-Nov-16,67400.00,67400.00,65900.00,66100.00,3821
17-Nov-16,68000.00,68000.00,66600.00,67400.00,6389
16-Nov-16,66300.00,68400.00,66000.00,68100.00,11601
15-Nov-16,65700.00,67400.00,65100.00,66100.00,7286
14-Nov-16,67100.00,67500.00,65500.00,65700.00,5644
11-Nov-16,67700.00,69400.00,66100.00,66700.00,20508
10-Nov-16,64200.00,68300.00,64200.00,67700.00,29607
9-Nov-16,65000.00,65500.00,60800.00,62800.00,18080
8-Nov-16,66300.00,66300.00,64600.00,65000.00,8653
7-Nov-16,66100.00,66800.00,64500.00,65500.00,13541
4-Nov-16,66300.00,66900.00,65100.00,66300.00,4637
3-Nov-16,62600.00,66700.00,62600.00,66300.00,14850
2-Nov-16,64800.00,65400.00,64200.00,64400.00,19098
1-Nov-16,65400.00,67100.00,64600.00,65200.00,21017
31-Oct-16,66600.00,67400.00,64700.00,66400.00,13550
28-Oct-16,68200.00,69300.00,66200.00,66300.00,9164
27-Oct-16,67000.00,69200.00,66500.00,68800.00,11743
26-Oct-16,66100.00,67700.00,65100.00,67100.00,11598
25-Oct-16,65300.00,67600.00,64400.00,67000.00,19565
24-Oct-16,68300.00,68700.00,66200.00,66300.00,17116
21-Oct-16,67600.00,68900.00,67300.00,67700.00,16924
20-Oct-16,68200.00,68400.00,67300.00,67700.00,8448
19-Oct-16,69100.00,69300.00,68100.00,68200.00,7439
18-Oct-16,67300.00,69100.00,67300.00,69100.00,10602
17-Oct-16,68700.00,68700.00,67200.00,67600.00,12028
14-Oct-16,68300.00,69600.00,67600.00,68100.00,8585
13-Oct-16,70100.00,70300.00,68100.00,68200.00,15260
12-Oct-16,69500.00,70100.00,68700.00,70000.00,18172
11-Oct-16,70200.00,70400.00,68200.00,68800.00,32276
10-Oct-16,68600.00,70200.00,68600.00,69500.00,15003
7-Oct-16,71700.00,72100.00,68200.00,68600.00,65733
6-Oct-16,73100.00,73900.00,71100.00,71200.00,25310
5-Oct-16,74900.00,76100.00,73100.00,73400.00,21551
4-Oct-16,75100.00,76600.00,74000.00,75100.00,17123
30-Sep-16,81800.00,81800.00,76300.00,76500.00,59844
29-Sep-16,80100.00,82500.00,79500.00,81700.00,22483
28-Sep-16,80700.00,81900.00,79900.00,80200.00,11546
27-Sep-16,78000.00,80700.00,78000.00,79900.00,17474
26-Sep-16,77500.00,79500.00,76300.00,78100.00,13508
23-Sep-16,75700.00,78100.00,75700.00,77400.00,20272
22-Sep-16,77100.00,77700.00,75400.00,75600.00,15170
21-Sep-16,76500.00,77600.00,75500.00,77100.00,18199
20-Sep-16,73500.00,76800.00,73300.00,76600.00,26963
19-Sep-16,73400.00,74700.00,73300.00,73500.00,10931
13-Sep-16,75000.00,75600.00,73200.00,73400.00,14404
12-Sep-16,75300.00,75700.00,74400.00,74900.00,11901
9-Sep-16,78800.00,78800.00,76400.00,76500.00,10877
8-Sep-16,77700.00,79200.00,75900.00,79000.00,22669
7-Sep-16,79300.00,81200.00,77600.00,77700.00,16365
6-Sep-16,81700.00,81700.00,79800.00,80400.00,6854
5-Sep-16,80700.00,81700.00,79100.00,81700.00,11792
2-Sep-16,80400.00,80500.00,78900.00,79900.00,7604
1-Sep-16,81300.00,81300.00,78100.00,80400.00,24920
31-Aug-16,82700.00,82800.00,80300.00,81300.00,14161
30-Aug-16,83400.00,83900.00,82900.00,82900.00,3587
29-Aug-16,84200.00,85600.00,83100.00,83300.00,11926
26-Aug-16,85600.00,85600.00,84200.00,85300.00,4455
25-Aug-16,83500.00,85100.00,83200.00,85100.00,5023
24-Aug-16,84500.00,84800.00,83100.00,84600.00,7260
23-Aug-16,82800.00,85100.00,81600.00,84200.00,9335
22-Aug-16,85400.00,85500.00,82600.00,82600.00,23883
19-Aug-16,86400.00,88000.00,84900.00,85400.00,14021
18-Aug-16,87400.00,87400.00,86400.00,86600.00,5970
17-Aug-16,87900.00,88400.00,86200.00,87400.00,10699
16-Aug-16,87800.00,88600.00,87200.00,87900.00,7650
12-Aug-16,87100.00,88500.00,87100.00,87700.00,8788
11-Aug-16,88000.00,88800.00,87400.00,87700.00,9526
