Date,Open,High,Low,Close,Volume
31-Mar-17,175000.00,176000.00,173000.00,176000.00,2203
30-Mar-17,177000.00,177000.00,175000.00,176500.00,709
29-Mar-17,178000.00,178500.00,175500.00,177000.00,940
28-Mar-17,177000.00,177500.00,176000.00,177500.00,722
27-Mar-17,176000.00,177000.00,174500.00,177000.00,739
24-Mar-17,174000.00,177000.00,173500.00,176000.00,1335
23-Mar-17,174000.00,175500.00,172500.00,173500.00,4379
22-Mar-17,176000.00,177500.00,173500.00,177000.00,2337
21-Mar-17,176000.00,177500.00,175500.00,177500.00,684
20-Mar-17,176000.00,177000.00,174500.00,177000.00,1203
17-Mar-17,177000.00,177000.00,175000.00,176500.00,2518
16-Mar-17,177000.00,177500.00,175500.00,177000.00,1248
15-Mar-17,180000.00,180000.00,174500.00,176500.00,2618
14-Mar-17,178500.00,180000.00,177000.00,179500.00,1610
13-Mar-17,180500.00,180500.00,178500.00,180000.00,498
10-Mar-17,179000.00,181000.00,178000.00,180000.00,787
9-Mar-17,178500.00,181000.00,178500.00,179000.00,610
8-Mar-17,178500.00,181000.00,178000.00,180500.00,1356
7-Mar-17,179000.00,181500.00,179000.00,179500.00,801
6-Mar-17,181000.00,181500.00,178000.00,181500.00,1832
3-Mar-17,183500.00,184500.00,182000.00,183000.00,1190
2-Mar-17,184000.00,185000.00,183000.00,184000.00,1061
28-Feb-17,185000.00,185500.00,183500.00,184000.00,844
27-Feb-17,185500.00,186500.00,183500.00,185000.00,988
24-Feb-17,189000.00,189000.00,185000.00,187500.00,920
23-Feb-17,187500.00,190000.00,186500.00,189000.00,1443
22-Feb-17,187500.00,190000.00,185500.00,188000.00,1148
21-Feb-17,185000.00,190000.00,184500.00,189500.00,2315
20-Feb-17,190000.00,191000.00,184500.00,186000.00,2463
17-Feb-17,185000.00,190500.00,183000.00,190500.00,1872
16-Feb-17,185000.00,185500.00,184000.00,185000.00,1334
15-Feb-17,185000.00,186000.00,183000.00,185000.00,1460
14-Feb-17,181500.00,184000.00,181500.00,183500.00,1675
13-Feb-17,185000.00,185000.00,181000.00,183000.00,1242
10-Feb-17,184500.00,185000.00,182000.00,185000.00,2222
9-Feb-17,182000.00,184500.00,180500.00,183500.00,1750
8-Feb-17,185000.00,185500.00,182000.00,184000.00,1142
7-Feb-17,188000.00,188500.00,183500.00,185000.00,3425
6-Feb-17,188000.00,190000.00,188000.00,189500.00,965
3-Feb-17,191500.00,192000.00,188000.00,190000.00,942
2-Feb-17,191000.00,193500.00,190000.00,192000.00,984
1-Feb-17,188500.00,191000.00,188000.00,191000.00,1687
31-Jan-17,186000.00,189500.00,186000.00,188500.00,798
26-Jan-17,187000.00,189000.00,185500.00,189000.00,566
25-Jan-17,190500.00,192000.00,186500.00,186500.00,1138
24-Jan-17,193000.00,195000.00,189000.00,190500.00,1669
23-Jan-17,188500.00,194000.00,188500.00,193000.00,2600
20-Jan-17,186500.00,188500.00,186500.00,188500.00,1052
19-Jan-17,187000.00,188000.00,186000.00,187000.00,913
18-Jan-17,184500.00,187500.00,183500.00,187000.00,2057
17-Jan-17,181500.00,184000.00,181500.00,184000.00,666
16-Jan-17,182000.00,183000.00,181500.00,183000.00,1045
