Date,Open,High,Low,Close,Volume
31-Mar-17,12450.00,12450.00,12300.00,12350.00,3615
30-Mar-17,12300.00,12550.00,12250.00,12350.00,3562
29-Mar-17,12600.00,12600.00,12250.00,12500.00,3575
28-Mar-17,12750.00,12750.00,12350.00,12500.00,7100
27-Mar-17,12850.00,12850.00,12200.00,12450.00,11132
24-Mar-17,12900.00,12900.00,12700.00,12800.00,3540
23-Mar-17,13000.00,13000.00,12700.00,12800.00,8886
22-Mar-17,13100.00,13150.00,12800.00,12800.00,14712
21-Mar-17,13100.00,13400.00,12800.00,13100.00,44872
20-Mar-17,13200.00,13200.00,12850.00,12950.00,2512
17-Mar-17,13450.00,13500.00,13050.00,13050.00,17135
16-Mar-17,13250.00,13250.00,12900.00,13200.00,11915
15-Mar-17,12950.00,13700.00,12900.00,13050.00,12443
14-Mar-17,13150.00,13200.00,12900.00,12950.00,2240
13-Mar-17,13100.00,13150.00,12850.00,12900.00,2448
10-Mar-17,12900.00,12950.00,12800.00,12850.00,5350
9-Mar-17,12850.00,13000.00,12800.00,12900.00,9304
8-Mar-17,13300.00,14150.00,12900.00,12900.00,84785
7-Mar-17,12900.00,13100.00,12800.00,12950.00,3721
6-Mar-17,13050.00,13100.00,12800.00,12900.00,5521
3-Mar-17,13050.00,13050.00,12850.00,13000.00,3400
2-Mar-17,13000.00,13150.00,12850.00,12900.00,2791
28-Feb-17,13150.00,13200.00,12800.00,12850.00,5554
27-Feb-17,13200.00,13200.00,12950.00,13150.00,2987
24-Feb-17,13200.00,13200.00,12850.00,13000.00,4166
23-Feb-17,13100.00,13250.00,12900.00,13100.00,2843
22-Feb-17,13200.00,13200.00,12900.00,13100.00,4311
21-Feb-17,12900.00,13200.00,12900.00,13200.00,5494
20-Feb-17,12900.00,13000.00,12700.00,12700.00,3304
17-Feb-17,13100.00,13150.00,12800.00,12850.00,4159
16-Feb-17,13250.00,13250.00,12900.00,12950.00,4348
15-Feb-17,12900.00,13200.00,12800.00,13100.00,11022
14-Feb-17,13250.00,13400.00,12900.00,13100.00,9194
13-Feb-17,13350.00,13350.00,13050.00,13250.00,3621
10-Feb-17,13300.00,13450.00,12950.00,13250.00,7736
9-Feb-17,13400.00,13450.00,12700.00,13250.00,4540
8-Feb-17,13450.00,13450.00,12950.00,13250.00,15546
7-Feb-17,13600.00,13600.00,13250.00,13400.00,2662
6-Feb-17,13800.00,13800.00,13300.00,13550.00,5483
3-Feb-17,14000.00,14050.00,13750.00,14000.00,6030
2-Feb-17,13950.00,14000.00,13600.00,13900.00,6787
1-Feb-17,13950.00,13950.00,13700.00,13900.00,3094
31-Jan-17,13450.00,13800.00,13350.00,13650.00,7760
26-Jan-17,13500.00,13500.00,13100.00,13250.00,1784
25-Jan-17,13350.00,13550.00,12950.00,13300.00,37539
24-Jan-17,13050.00,13550.00,13050.00,13350.00,8273
23-Jan-17,13300.00,13350.00,13000.00,13150.00,12824
20-Jan-17,14300.00,14300.00,13000.00,13350.00,21103
19-Jan-17,13800.00,14100.00,13650.00,13900.00,20781
18-Jan-17,14000.00,14200.00,13400.00,13900.00,13603
17-Jan-17,14600.00,14650.00,13900.00,14000.00,20897
16-Jan-17,14300.00,14350.00,13750.00,14300.00,10053
13-Jan-17,14300.00,14300.00,13750.00,14100.00,18793
12-Jan-17,14350.00,14600.00,13900.00,14350.00,11081
11-Jan-17,14000.00,14650.00,13800.00,14300.00,56637
10-Jan-17,15650.00,15650.00,14000.00,14400.00,62514
9-Jan-17,15700.00,16500.00,15300.00,15650.00,6396
6-Jan-17,15800.00,16000.00,15500.00,15500.00,3697
5-Jan-17,15600.00,15650.00,15200.00,15650.00,5716
4-Jan-17,15200.00,15500.00,14800.00,15300.00,14197
3-Jan-17,14550.00,14850.00,14350.00,14800.00,3898
2-Jan-17,14750.00,14750.00,14300.00,14700.00,4082
29-Dec-16,14450.00,14550.00,14100.00,14550.00,1783
28-Dec-16,14450.00,14550.00,14100.00,14400.00,3842
27-Dec-16,14200.00,14500.00,13850.00,14300.00,1577
26-Dec-16,14300.00,14350.00,13800.00,14200.00,3443
23-Dec-16,14300.00,14300.00,14050.00,14200.00,1248
22-Dec-16,14350.00,14700.00,13900.00,14200.00,4214
21-Dec-16,14300.00,14650.00,14100.00,14500.00,3744
20-Dec-16,14500.00,14800.00,14000.00,14300.00,8854
19-Dec-16,14600.00,14600.00,14400.00,14500.00,3064
16-Dec-16,14600.00,14700.00,14400.00,14600.00,3466
15-Dec-16,14500.00,14500.00,14200.00,14500.00,3531
14-Dec-16,14300.00,14500.00,14200.00,14450.00,4503
13-Dec-16,14600.00,14600.00,13900.00,14500.00,3583
12-Dec-16,14950.00,14950.00,14450.00,14550.00,2133
9-Dec-16,14250.00,14650.00,14250.00,14600.00,4336
8-Dec-16,14300.00,14650.00,14150.00,14650.00,1629
7-Dec-16,14450.00,14500.00,14050.00,14200.00,6930
6-Dec-16,14600.00,14600.00,14350.00,14450.00,5178
5-Dec-16,14300.00,14750.00,14250.00,14400.00,2845
2-Dec-16,14500.00,14600.00,14200.00,14500.00,2035
1-Dec-16,14250.00,14650.00,14200.00,14500.00,4513
30-Nov-16,13900.00,14400.00,13900.00,14300.00,5943
29-Nov-16,14300.00,14300.00,14000.00,14150.00,2321
28-Nov-16,13900.00,14100.00,13600.00,14050.00,2353
25-Nov-16,14000.00,14100.00,13550.00,13850.00,7134
24-Nov-16,13300.00,13800.00,13300.00,13650.00,2903
23-Nov-16,13500.00,13900.00,13050.00,13300.00,7104
22-Nov-16,14050.00,14100.00,13600.00,13700.00,13089
21-Nov-16,14250.00,14250.00,13600.00,14100.00,8407
18-Nov-16,14450.00,14900.00,14000.00,14100.00,3955
17-Nov-16,13900.00,14400.00,13900.00,14400.00,4148
16-Nov-16,14700.00,14700.00,13900.00,14100.00,3847
15-Nov-16,14850.00,14850.00,13850.00,14200.00,5401
14-Nov-16,14600.00,14600.00,14150.00,14300.00,3016
11-Nov-16,14400.00,14600.00,14100.00,14550.00,18313
10-Nov-16,13900.00,15000.00,13400.00,14500.00,20166
9-Nov-16,13500.00,14100.00,12100.00,13950.00,17896
8-Nov-16,13950.00,13950.00,13100.00,13300.00,5611
7-Nov-16,12950.00,15200.00,12550.00,13750.00,61919
4-Nov-16,12000.00,12900.00,11800.00,12700.00,14797
3-Nov-16,12000.00,12450.00,11850.00,12000.00,8285
2-Nov-16,12950.00,12950.00,11850.00,12100.00,12967
1-Nov-16,12700.00,13100.00,12400.00,12700.00,8539
31-Oct-16,13900.00,13900.00,12400.00,12800.00,10892
28-Oct-16,13700.00,13700.00,13100.00,13400.00,2778
27-Oct-16,13550.00,13600.00,13050.00,13350.00,6898
26-Oct-16,13450.00,13700.00,13050.00,13550.00,6441
25-Oct-16,13700.00,13700.00,13250.00,13450.00,6158
24-Oct-16,13950.00,13950.00,13550.00,13600.00,2677
21-Oct-16,14000.00,14000.00,13550.00,13850.00,8015
20-Oct-16,13900.00,14800.00,13500.00,14000.00,18024
19-Oct-16,13700.00,14000.00,13400.00,13850.00,3684
18-Oct-16,14100.00,14100.00,13500.00,13800.00,5152
17-Oct-16,13950.00,13950.00,13400.00,13850.00,6549
14-Oct-16,13950.00,14000.00,13600.00,13900.00,6842
13-Oct-16,14150.00,14150.00,13600.00,13900.00,5827
12-Oct-16,13900.00,14100.00,13850.00,14000.00,4577
11-Oct-16,14300.00,14300.00,13850.00,13900.00,2891
10-Oct-16,14100.00,14200.00,13750.00,14000.00,7620
7-Oct-16,14700.00,14700.00,13900.00,13950.00,9932
6-Oct-16,14750.00,14900.00,14200.00,14650.00,9785
5-Oct-16,15000.00,15000.00,14450.00,14800.00,4231
4-Oct-16,14900.00,15100.00,14500.00,14750.00,10176
30-Sep-16,15050.00,15100.00,14650.00,14850.00,4644
29-Sep-16,15050.00,15200.00,14750.00,15000.00,6130
28-Sep-16,14850.00,15200.00,14600.00,15050.00,15030
27-Sep-16,14300.00,15000.00,14150.00,14750.00,7094
26-Sep-16,14500.00,14650.00,14100.00,14300.00,7184
23-Sep-16,14750.00,14750.00,14450.00,14650.00,4957
22-Sep-16,14650.00,14900.00,14500.00,14650.00,9335
21-Sep-16,14600.00,15000.00,14500.00,14700.00,7042
20-Sep-16,14900.00,14900.00,14400.00,14450.00,11568
19-Sep-16,15600.00,15650.00,13650.00,14550.00,41456
13-Sep-16,15850.00,16000.00,15400.00,15600.00,8690
12-Sep-16,15700.00,16100.00,15600.00,15750.00,6224
9-Sep-16,16800.00,16800.00,15900.00,16150.00,8670
8-Sep-16,16500.00,16900.00,16400.00,16500.00,6174
7-Sep-16,17400.00,17400.00,16800.00,16850.00,15087
6-Sep-16,17300.00,17300.00,16800.00,17000.00,15754
5-Sep-16,17550.00,17550.00,16800.00,17250.00,8921
2-Sep-16,17250.00,17500.00,16550.00,17300.00,10555
1-Sep-16,16600.00,17150.00,16300.00,17000.00,29221
31-Aug-16,17150.00,17200.00,16050.00,16450.00,8510
30-Aug-16,17100.00,17100.00,16000.00,16850.00,19262
29-Aug-16,17350.00,17600.00,16550.00,16600.00,12060
26-Aug-16,16550.00,17400.00,16350.00,16850.00,17704
25-Aug-16,16200.00,19850.00,15800.00,17000.00,206828
24-Aug-16,16100.00,16450.00,15750.00,16150.00,10450
23-Aug-16,16400.00,16400.00,16000.00,16100.00,6365
22-Aug-16,16600.00,16600.00,16100.00,16200.00,4798
19-Aug-16,16450.00,16450.00,15950.00,16250.00,7109
18-Aug-16,16000.00,16400.00,16000.00,16100.00,3719
17-Aug-16,16450.00,16500.00,16000.00,16350.00,10628
16-Aug-16,16650.00,16650.00,15950.00,16100.00,4795
12-Aug-16,15400.00,16400.00,15250.00,16100.00,13611
11-Aug-16,15400.00,15800.00,15000.00,15350.00,4102
10-Aug-16,15650.00,15650.00,15150.00,15350.00,8638
9-Aug-16,15700.00,15700.00,15050.00,15550.00,6558
8-Aug-16,15650.00,16100.00,15500.00,15500.00,4748
5-Aug-16,15500.00,15700.00,15350.00,15650.00,3071
4-Aug-16,15850.00,15850.00,15300.00,15500.00,8506
3-Aug-16,15700.00,16150.00,15500.00,15650.00,7238
2-Aug-16,16500.00,16500.00,15850.00,15950.00,10427
1-Aug-16,16250.00,16400.00,15950.00,15950.00,5582
29-Jul-16,16300.00,16450.00,15950.00,16250.00,5925
28-Jul-16,16250.00,16450.00,15800.00,16200.00,4012
27-Jul-16,16000.00,16150.00,15650.00,16000.00,9229
26-Jul-16,16350.00,16550.00,16100.00,16100.00,9950
25-Jul-16,16750.00,16750.00,16100.00,16200.00,5934
22-Jul-16,16900.00,16900.00,16400.00,16450.00,9803
21-Jul-16,16900.00,16950.00,16650.00,16800.00,5739
20-Jul-16,16900.00,16900.00,16500.00,16900.00,6262
19-Jul-16,16950.00,17050.00,16600.00,16700.00,4126
18-Jul-16,17100.00,17100.00,16700.00,16800.00,5016
15-Jul-16,16750.00,17400.00,16750.00,17000.00,9241
14-Jul-16,17100.00,17200.00,16400.00,16900.00,13077
13-Jul-16,17250.00,17500.00,17000.00,17050.00,24971
12-Jul-16,17250.00,17300.00,16800.00,17150.00,10215
11-Jul-16,17400.00,17400.00,16750.00,17350.00,22346
8-Jul-16,16950.00,17150.00,16750.00,17000.00,10913
7-Jul-16,16750.00,17000.00,16700.00,16750.00,5674
6-Jul-16,17150.00,17300.00,16500.00,16800.00,17068
5-Jul-16,17050.00,17250.00,16750.00,17150.00,13963
4-Jul-16,16700.00,17100.00,16450.00,16950.00,27825
1-Jul-16,16750.00,17700.00,16700.00,17100.00,45929
30-Jun-16,16300.00,16750.00,16150.00,16600.00,14663
29-Jun-16,16450.00,16650.00,16000.00,16300.00,19131
28-Jun-16,16000.00,17200.00,15500.00,16200.00,22373
27-Jun-16,14100.00,17350.00,14100.00,16100.00,67650
24-Jun-16,15900.00,16200.00,14000.00,14650.00,39974
23-Jun-16,16500.00,16500.00,15300.00,15850.00,30274
22-Jun-16,16900.00,16900.00,16100.00,16300.00,16885
21-Jun-16,16400.00,17100.00,16100.00,16200.00,24795
20-Jun-16,16750.00,16800.00,16100.00,16150.00,26678
17-Jun-16,16850.00,16950.00,16200.00,16600.00,17550
16-Jun-16,17650.00,18050.00,16300.00,16700.00,28875
15-Jun-16,19700.00,19750.00,16300.00,17250.00,170881
