Date,Open,High,Low,Close,Volume
31-Mar-17,30700.00,31050.00,30400.00,30700.00,326438
30-Mar-17,31100.00,31550.00,30300.00,30650.00,337115
29-Mar-17,31500.00,31500.00,30600.00,31300.00,403779
28-Mar-17,30500.00,31300.00,30500.00,30900.00,515546
27-Mar-17,31250.00,31650.00,30000.00,30200.00,651014
24-Mar-17,32300.00,32450.00,31050.00,31250.00,562939
23-Mar-17,31000.00,32300.00,30950.00,32150.00,644837
22-Mar-17,30900.00,31450.00,30750.00,30950.00,547981
21-Mar-17,31450.00,32000.00,31250.00,31400.00,535586
20-Mar-17,32000.00,32150.00,30950.00,31100.00,479734
17-Mar-17,31950.00,32400.00,31600.00,32000.00,580844
16-Mar-17,31900.00,32000.00,31550.00,31950.00,469488
15-Mar-17,31350.00,31600.00,30950.00,31450.00,335218
14-Mar-17,31650.00,32050.00,31150.00,31200.00,615631
13-Mar-17,31150.00,31400.00,30800.00,31150.00,412838
10-Mar-17,30500.00,31450.00,30150.00,31250.00,541766
9-Mar-17,30600.00,30850.00,30150.00,30500.00,351277
8-Mar-17,31300.00,31600.00,30700.00,30850.00,698937
7-Mar-17,29850.00,31200.00,29750.00,31100.00,967239
6-Mar-17,30250.00,30250.00,29450.00,29750.00,359172
3-Mar-17,30200.00,30550.00,29850.00,30100.00,319534
2-Mar-17,30450.00,30600.00,30100.00,30350.00,793904
28-Feb-17,29100.00,29900.00,29050.00,29800.00,459535
27-Feb-17,28900.00,29400.00,28600.00,29100.00,270200
24-Feb-17,28700.00,29250.00,28700.00,28850.00,244439
23-Feb-17,29500.00,29500.00,29000.00,29000.00,242013
22-Feb-17,29000.00,29600.00,28900.00,29500.00,426135
21-Feb-17,28050.00,29350.00,27850.00,29150.00,574379
20-Feb-17,28500.00,28600.00,27750.00,28050.00,392930
17-Feb-17,28750.00,29150.00,28450.00,28550.00,206519
16-Feb-17,28700.00,29250.00,28700.00,29000.00,283060
15-Feb-17,29000.00,29050.00,28450.00,28450.00,228431
14-Feb-17,29350.00,29350.00,28700.00,28850.00,373327
13-Feb-17,29500.00,29600.00,29200.00,29450.00,291552
10-Feb-17,29000.00,29550.00,28700.00,29450.00,612257
9-Feb-17,28200.00,29100.00,28050.00,28750.00,471239
8-Feb-17,28400.00,28450.00,27700.00,28200.00,277243
7-Feb-17,28200.00,28500.00,27850.00,28500.00,215103
6-Feb-17,28750.00,28800.00,27850.00,28350.00,353836
3-Feb-17,28800.00,29150.00,28450.00,28700.00,392654
2-Feb-17,28850.00,29500.00,28400.00,28600.00,764991
1-Feb-17,27950.00,29100.00,27850.00,28600.00,1076887
31-Jan-17,28000.00,28200.00,27300.00,27700.00,636610
26-Jan-17,26100.00,28200.00,26100.00,28000.00,1250516
25-Jan-17,26400.00,26650.00,25450.00,25950.00,364653
24-Jan-17,26200.00,26500.00,25800.00,26350.00,259641
23-Jan-17,26050.00,26650.00,26000.00,26400.00,261647
20-Jan-17,26200.00,26300.00,25850.00,26050.00,345788
19-Jan-17,26850.00,26950.00,26150.00,26400.00,345151
18-Jan-17,27150.00,27150.00,26600.00,26800.00,214522
17-Jan-17,27050.00,27600.00,26800.00,27250.00,154455
16-Jan-17,27300.00,27350.00,26750.00,27300.00,223336
13-Jan-17,27300.00,27450.00,26800.00,27300.00,347346
12-Jan-17,27600.00,28150.00,27500.00,27500.00,364358
11-Jan-17,27250.00,27950.00,27200.00,27800.00,272254
10-Jan-17,28150.00,28150.00,27150.00,27300.00,303014
9-Jan-17,28050.00,28300.00,27350.00,28250.00,335920
6-Jan-17,27500.00,28400.00,27450.00,28250.00,469591
5-Jan-17,27250.00,28050.00,27200.00,27650.00,523998
4-Jan-17,27000.00,27250.00,26650.00,27100.00,244900
3-Jan-17,26600.00,27000.00,26450.00,26950.00,256376
2-Jan-17,26500.00,26900.00,26300.00,26600.00,273204
29-Dec-16,26000.00,26600.00,25850.00,26500.00,427369
28-Dec-16,25400.00,26200.00,25400.00,26050.00,267620
27-Dec-16,25550.00,25700.00,25250.00,25400.00,196164
26-Dec-16,25900.00,25900.00,25450.00,25600.00,140234
23-Dec-16,25750.00,25950.00,25450.00,25700.00,154360
22-Dec-16,25700.00,26000.00,25300.00,25750.00,160874
21-Dec-16,25700.00,26000.00,25400.00,25750.00,205105
20-Dec-16,25350.00,25700.00,25100.00,25600.00,203479
19-Dec-16,25900.00,25900.00,25100.00,25100.00,239569
16-Dec-16,26000.00,26250.00,25350.00,25750.00,299808
15-Dec-16,25250.00,25900.00,25100.00,25750.00,245374
14-Dec-16,26200.00,26250.00,25400.00,25500.00,300393
13-Dec-16,26300.00,26400.00,25950.00,26050.00,303791
12-Dec-16,25350.00,26450.00,25350.00,26000.00,510084
9-Dec-16,24700.00,25350.00,24650.00,24850.00,320761
8-Dec-16,24950.00,25250.00,24600.00,24750.00,429149
7-Dec-16,24800.00,25150.00,24700.00,24850.00,223799
6-Dec-16,24700.00,25000.00,24550.00,24800.00,178492
5-Dec-16,24400.00,24650.00,23850.00,24600.00,236292
2-Dec-16,24500.00,24750.00,23950.00,24500.00,323952
1-Dec-16,24050.00,25250.00,24050.00,24450.00,839112
30-Nov-16,24100.00,24200.00,23050.00,23650.00,700513
29-Nov-16,24150.00,24450.00,24000.00,24100.00,258140
28-Nov-16,24400.00,24500.00,24050.00,24350.00,306022
25-Nov-16,25450.00,25550.00,23950.00,24500.00,1206268
24-Nov-16,26600.00,26600.00,25500.00,25650.00,342805
23-Nov-16,26100.00,26850.00,25950.00,26550.00,313657
22-Nov-16,26250.00,26500.00,25700.00,26150.00,334429
21-Nov-16,26500.00,26500.00,25850.00,26000.00,280875
18-Nov-16,26950.00,26950.00,26350.00,26450.00,199212
17-Nov-16,27350.00,27350.00,26750.00,26950.00,179578
16-Nov-16,26650.00,27650.00,26400.00,27400.00,571078
15-Nov-16,26450.00,26600.00,26100.00,26300.00,210960
14-Nov-16,26400.00,26650.00,26300.00,26450.00,242421
11-Nov-16,26750.00,27100.00,26300.00,26600.00,311167
10-Nov-16,26700.00,27150.00,26500.00,26900.00,486428
9-Nov-16,27200.00,27550.00,24900.00,25950.00,859918
8-Nov-16,26550.00,27400.00,26400.00,27150.00,411210
7-Nov-16,26350.00,26550.00,25850.00,26250.00,302396
4-Nov-16,26400.00,26550.00,25900.00,26150.00,245912
3-Nov-16,25750.00,26900.00,25550.00,26500.00,453010
2-Nov-16,26600.00,26900.00,25750.00,25900.00,527103
1-Nov-16,27000.00,27200.00,26250.00,26950.00,450641
31-Oct-16,27600.00,27600.00,26650.00,26800.00,613913
28-Oct-16,28400.00,28400.00,27600.00,27600.00,556416
27-Oct-16,28300.00,28800.00,27650.00,28700.00,930935
26-Oct-16,29850.00,30150.00,28600.00,28750.00,633202
25-Oct-16,29800.00,30350.00,29350.00,30250.00,444548
24-Oct-16,29550.00,30100.00,29500.00,29900.00,211782
21-Oct-16,28850.00,29650.00,28850.00,29650.00,201890
20-Oct-16,29600.00,29950.00,29000.00,29050.00,212142
19-Oct-16,29850.00,30100.00,29400.00,29500.00,224795
18-Oct-16,28900.00,29900.00,28450.00,29900.00,330474
17-Oct-16,30050.00,30150.00,28650.00,28800.00,534827
14-Oct-16,30000.00,30300.00,29800.00,30000.00,280817
13-Oct-16,30550.00,30700.00,29600.00,29900.00,347861
12-Oct-16,30600.00,31000.00,30250.00,30550.00,401312
11-Oct-16,30300.00,31000.00,30200.00,30950.00,700873
10-Oct-16,29900.00,30550.00,29800.00,30100.00,468240
7-Oct-16,30100.00,30400.00,29650.00,29850.00,319371
6-Oct-16,30000.00,30500.00,29750.00,30150.00,522146
5-Oct-16,29500.00,29950.00,29200.00,29900.00,282494
4-Oct-16,29800.00,30100.00,29550.00,29700.00,370404
30-Sep-16,29500.00,29700.00,29100.00,29350.00,334666
29-Sep-16,29350.00,30000.00,29300.00,29650.00,833203
28-Sep-16,29000.00,29400.00,28700.00,28700.00,251859
27-Sep-16,28250.00,29050.00,28250.00,29000.00,172663
26-Sep-16,28600.00,28950.00,28500.00,28600.00,123458
23-Sep-16,28900.00,29000.00,28650.00,28800.00,162354
22-Sep-16,28800.00,29250.00,28450.00,28900.00,413669
21-Sep-16,28000.00,28300.00,27650.00,28300.00,189925
20-Sep-16,27300.00,27700.00,27000.00,27650.00,166027
19-Sep-16,27100.00,27350.00,26600.00,27300.00,306764
13-Sep-16,27850.00,28000.00,27100.00,27350.00,230240
12-Sep-16,28300.00,28500.00,27500.00,27500.00,459773
9-Sep-16,28850.00,29200.00,28650.00,28800.00,149280
8-Sep-16,28950.00,29400.00,28650.00,29000.00,219287
7-Sep-16,29150.00,29350.00,28850.00,28950.00,190953
6-Sep-16,29750.00,29750.00,28950.00,29050.00,272301
5-Sep-16,29400.00,29850.00,29200.00,29700.00,251221
2-Sep-16,29750.00,29900.00,29000.00,29100.00,192377
1-Sep-16,28750.00,29800.00,28550.00,29650.00,308531
31-Aug-16,28650.00,29150.00,28500.00,28750.00,270009
30-Aug-16,29050.00,29250.00,28750.00,28900.00,150915
29-Aug-16,29100.00,29600.00,28700.00,28850.00,218075
26-Aug-16,29600.00,29650.00,28850.00,29600.00,325459
25-Aug-16,29650.00,29950.00,29450.00,29650.00,296698
24-Aug-16,30550.00,30600.00,29600.00,29600.00,568530
23-Aug-16,30950.00,31450.00,30400.00,30550.00,670442
22-Aug-16,30700.00,30750.00,30300.00,30600.00,367969
19-Aug-16,29600.00,30900.00,29500.00,30800.00,1220197
18-Aug-16,29100.00,29600.00,29100.00,29400.00,202658
17-Aug-16,29650.00,29800.00,29000.00,29100.00,339482
16-Aug-16,29900.00,30300.00,29600.00,29650.00,261478
12-Aug-16,29800.00,30000.00,29600.00,29950.00,274817
11-Aug-16,29500.00,29850.00,29250.00,29600.00,282248
10-Aug-16,29800.00,29900.00,29450.00,29600.00,295487
9-Aug-16,29850.00,30050.00,29700.00,29950.00,320497
8-Aug-16,29800.00,30050.00,29600.00,29800.00,348591
5-Aug-16,29050.00,29600.00,28900.00,29500.00,341513
4-Aug-16,29200.00,29350.00,28700.00,29000.00,341991
3-Aug-16,28800.00,29250.00,28450.00,29150.00,309313
2-Aug-16,29000.00,29600.00,28850.00,29150.00,556244
1-Aug-16,29150.00,29600.00,28700.00,29150.00,797931
29-Jul-16,27950.00,29300.00,27200.00,28700.00,1762438
28-Jul-16,27600.00,28800.00,27550.00,28500.00,862578
27-Jul-16,27800.00,28200.00,27500.00,27600.00,578835
26-Jul-16,27200.00,27700.00,27050.00,27600.00,263132
25-Jul-16,27150.00,27400.00,26950.00,27250.00,218423
22-Jul-16,26400.00,27150.00,26350.00,26900.00,387150
21-Jul-16,26400.00,26750.00,26200.00,26500.00,322264
20-Jul-16,26100.00,26450.00,26100.00,26300.00,257075
19-Jul-16,26350.00,26550.00,25850.00,26250.00,259852
18-Jul-16,26500.00,26800.00,26500.00,26550.00,151313
15-Jul-16,27000.00,27050.00,26500.00,26500.00,318852
14-Jul-16,26700.00,27000.00,26350.00,26700.00,398378
13-Jul-16,26500.00,27150.00,26400.00,26650.00,480823
12-Jul-16,26050.00,26350.00,25950.00,26150.00,492826
11-Jul-16,25900.00,26250.00,25700.00,26200.00,447892
8-Jul-16,26250.00,26550.00,25150.00,25800.00,2005191
7-Jul-16,27600.00,27800.00,27050.00,27300.00,376927
6-Jul-16,28000.00,28050.00,27200.00,27350.00,349687
5-Jul-16,28550.00,28650.00,28000.00,28200.00,262737
4-Jul-16,28100.00,28700.00,27750.00,28650.00,280398
1-Jul-16,28150.00,28600.00,27900.00,28050.00,266570
30-Jun-16,28000.00,28350.00,27650.00,27750.00,263598
29-Jun-16,27900.00,28000.00,27450.00,27550.00,316394
28-Jun-16,26400.00,27800.00,26300.00,27600.00,350913
27-Jun-16,26800.00,27150.00,26300.00,26800.00,659081
24-Jun-16,29500.00,29500.00,26700.00,27450.00,1029378
23-Jun-16,28400.00,28950.00,28150.00,28950.00,285681
22-Jun-16,28200.00,28600.00,28000.00,28400.00,181276
21-Jun-16,28200.00,28650.00,28100.00,28150.00,259543
20-Jun-16,26900.00,28550.00,26900.00,28400.00,536476
17-Jun-16,27150.00,27450.00,26450.00,26550.00,519920
16-Jun-16,27450.00,27750.00,26550.00,27000.00,548786
15-Jun-16,28150.00,28150.00,27250.00,27300.00,548131
14-Jun-16,28600.00,29000.00,27900.00,28150.00,522482
13-Jun-16,29600.00,29650.00,28700.00,28850.00,322169
10-Jun-16,29600.00,30200.00,29550.00,29800.00,345610
9-Jun-16,28700.00,30200.00,28700.00,29450.00,899778
8-Jun-16,28950.00,29050.00,28450.00,28800.00,239980
7-Jun-16,28550.00,29150.00,28550.00,28900.00,281051
3-Jun-16,28950.00,29150.00,28150.00,28600.00,303390
2-Jun-16,30000.00,30000.00,28850.00,28900.00,391755
1-Jun-16,29400.00,30050.00,29300.00,29700.00,309855
31-May-16,28850.00,29650.00,28550.00,29600.00,424905
30-May-16,28750.00,29050.00,28500.00,28850.00,297150
27-May-16,28500.00,29300.00,28500.00,28600.00,314768
26-May-16,29450.00,29450.00,28550.00,28600.00,240262
25-May-16,29300.00,29800.00,29150.00,29200.00,329746
24-May-16,29150.00,29450.00,28400.00,28600.00,390410
23-May-16,29150.00,29750.00,28750.00,29450.00,343276
20-May-16,29050.00,29700.00,29000.00,29500.00,407395
19-May-16,30350.00,30450.00,28750.00,29150.00,925743
18-May-16,29850.00,30950.00,29800.00,30450.00,495431
17-May-16,31300.00,31600.00,30150.00,30300.00,722842
16-May-16,31200.00,31800.00,30700.00,31250.00,543245
13-May-16,31100.00,31550.00,30800.00,31500.00,472758
12-May-16,30800.00,31500.00,30550.00,31500.00,757473
11-May-16,30350.00,31150.00,30300.00,31050.00,1149640
10-May-16,29350.00,30200.00,28850.00,30100.00,636883
9-May-16,29650.00,29950.00,28950.00,29400.00,816605
4-May-16,30700.00,30850.00,29350.00,29750.00,1106440
3-May-16,31350.00,31450.00,30050.00,30750.00,1142947
2-May-16,31250.00,31600.00,30800.00,30950.00,1112727
29-Apr-16,29800.00,31350.00,29250.00,31000.00,2167280
28-Apr-16,28400.00,30050.00,28150.00,30000.00,2442500
27-Apr-16,28150.00,28600.00,27800.00,28300.00,486954
26-Apr-16,28100.00,28250.00,27700.00,28000.00,466804
25-Apr-16,29300.00,29450.00,28300.00,28350.00,688112
22-Apr-16,29200.00,29200.00,28300.00,28500.00,773275
21-Apr-16,28900.00,29500.00,28250.00,29400.00,1085330
20-Apr-16,29050.00,29250.00,28300.00,28450.00,642199
19-Apr-16,28700.00,29400.00,28500.00,28600.00,987523
18-Apr-16,27800.00,28050.00,27300.00,28050.00,700826
15-Apr-16,29000.00,29000.00,27900.00,28200.00,761401
14-Apr-16,28450.00,29150.00,28050.00,29150.00,1144468
12-Apr-16,25950.00,28300.00,25900.00,28250.00,1858850
11-Apr-16,26350.00,26750.00,26050.00,26150.00,752434
8-Apr-16,26400.00,26750.00,26050.00,26550.00,448770
7-Apr-16,27200.00,27400.00,26300.00,26500.00,554322
6-Apr-16,25950.00,27200.00,25950.00,27200.00,578739
5-Apr-16,25800.00,26200.00,25400.00,25900.00,418746
4-Apr-16,26650.00,26750.00,25300.00,25800.00,1074822
1-Apr-16,27300.00,27450.00,26500.00,26900.00,428535
31-Mar-16,28000.00,28000.00,26900.00,27300.00,599573
30-Mar-16,27900.00,28200.00,27450.00,27850.00,403869
29-Mar-16,27150.00,27650.00,26800.00,27650.00,284791
28-Mar-16,27300.00,27400.00,26650.00,27000.00,400248
25-Mar-16,27300.00,28000.00,27050.00,27600.00,559371
24-Mar-16,27050.00,27550.00,27000.00,27050.00,375941
23-Mar-16,28050.00,28100.00,27200.00,27400.00,532018
22-Mar-16,28650.00,29000.00,27550.00,27950.00,1210864
21-Mar-16,28050.00,28500.00,27500.00,28350.00,516633
18-Mar-16,27350.00,28450.00,27350.00,28200.00,907649
17-Mar-16,26600.00,27300.00,26550.00,27050.00,971477
16-Mar-16,27550.00,27750.00,26050.00,26200.00,1343600
15-Mar-16,27750.00,28200.00,27450.00,27950.00,421461
14-Mar-16,29000.00,29200.00,27600.00,27600.00,665761
11-Mar-16,28700.00,28900.00,28150.00,28650.00,745174
