Date,Open,High,Low,Close,Volume
31-Mar-17,54100.00,54900.00,54100.00,54500.00,186359
30-Mar-17,54800.00,55200.00,53300.00,54500.00,363872
29-Mar-17,55900.00,56100.00,54600.00,54700.00,275980
28-Mar-17,57300.00,57300.00,55900.00,55900.00,286842
27-Mar-17,55600.00,56900.00,55500.00,56600.00,292493
24-Mar-17,55300.00,56000.00,55100.00,55400.00,203915
23-Mar-17,56200.00,56200.00,55100.00,55100.00,260186
22-Mar-17,55400.00,56600.00,55200.00,55700.00,311367
21-Mar-17,56400.00,56900.00,55000.00,55000.00,369189
20-Mar-17,55700.00,55900.00,55200.00,55700.00,107128
17-Mar-17,56300.00,56600.00,54800.00,55800.00,456906
16-Mar-17,56600.00,57100.00,56000.00,56800.00,244576
15-Mar-17,57000.00,57700.00,55900.00,56100.00,220458
14-Mar-17,57300.00,57600.00,56700.00,57400.00,210151
13-Mar-17,57700.00,58400.00,57000.00,57100.00,245540
10-Mar-17,58000.00,58700.00,57100.00,58300.00,182480
9-Mar-17,57500.00,59400.00,57300.00,58600.00,294448
8-Mar-17,57000.00,58200.00,56900.00,58000.00,205031
7-Mar-17,57400.00,59300.00,56800.00,57500.00,195030
6-Mar-17,56500.00,57800.00,56200.00,56500.00,244273
3-Mar-17,58200.00,58400.00,56600.00,57300.00,253293
2-Mar-17,59300.00,60200.00,58000.00,58100.00,460642
28-Feb-17,59900.00,60300.00,58700.00,59800.00,323569
27-Feb-17,60700.00,61900.00,59700.00,59800.00,200924
24-Feb-17,60700.00,60700.00,59300.00,60200.00,160664
23-Feb-17,57500.00,60100.00,57500.00,60000.00,358687
22-Feb-17,59300.00,59500.00,58400.00,58400.00,255811
21-Feb-17,59200.00,59900.00,58900.00,59300.00,188425
20-Feb-17,60700.00,60700.00,58700.00,59100.00,255886
17-Feb-17,60500.00,61700.00,59900.00,60100.00,209898
16-Feb-17,61800.00,61800.00,59800.00,60300.00,227799
15-Feb-17,60200.00,62500.00,59800.00,61100.00,392275
14-Feb-17,58300.00,62000.00,58000.00,60300.00,739588
13-Feb-17,56800.00,58600.00,56200.00,57400.00,523660
10-Feb-17,57200.00,57300.00,55700.00,55800.00,279948
9-Feb-17,56000.00,57000.00,55200.00,56600.00,405482
8-Feb-17,56500.00,56700.00,55000.00,56200.00,397603
7-Feb-17,56400.00,57500.00,55300.00,57000.00,379698
6-Feb-17,59500.00,59500.00,55900.00,56000.00,651798
3-Feb-17,60700.00,60800.00,58700.00,58900.00,369291
2-Feb-17,58400.00,61700.00,58300.00,60300.00,534136
1-Feb-17,56800.00,59700.00,56300.00,59200.00,571683
31-Jan-17,56600.00,57000.00,55900.00,56600.00,287988
26-Jan-17,57700.00,58000.00,55900.00,57300.00,263239
25-Jan-17,58200.00,58500.00,57100.00,57500.00,180523
24-Jan-17,58400.00,58900.00,57300.00,58100.00,271256
23-Jan-17,58300.00,59200.00,57800.00,59000.00,285121
20-Jan-17,60400.00,60400.00,58100.00,58700.00,435574
