Date,Open,High,Low,Close,Volume
31-Mar-17,24400.00,24750.00,24200.00,24250.00,140046
30-Mar-17,24550.00,24700.00,24250.00,24500.00,165009
29-Mar-17,24300.00,24600.00,23800.00,24500.00,193320
28-Mar-17,25200.00,25250.00,24050.00,24200.00,486644
27-Mar-17,24400.00,25500.00,24200.00,25350.00,519802
24-Mar-17,23400.00,24200.00,23400.00,24150.00,238976
23-Mar-17,23900.00,24000.00,23250.00,23350.00,214193
22-Mar-17,23700.00,24000.00,23450.00,23850.00,107419
21-Mar-17,24400.00,24400.00,23550.00,23650.00,345864
20-Mar-17,24800.00,24900.00,24150.00,24350.00,186689
17-Mar-17,24000.00,24750.00,24000.00,24450.00,272075
16-Mar-17,24350.00,24700.00,24000.00,24150.00,217528
15-Mar-17,25150.00,25400.00,23900.00,24050.00,388254
14-Mar-17,25750.00,26000.00,25000.00,25250.00,331456
13-Mar-17,26400.00,26600.00,25700.00,25900.00,193700
10-Mar-17,26300.00,26450.00,25500.00,26450.00,230568
9-Mar-17,26850.00,26900.00,25950.00,26250.00,333477
8-Mar-17,25200.00,26750.00,25200.00,26700.00,448142
7-Mar-17,25150.00,25800.00,25100.00,25350.00,212117
6-Mar-17,24750.00,25150.00,24500.00,24900.00,121149
3-Mar-17,25700.00,25750.00,24750.00,25050.00,182608
2-Mar-17,26350.00,26450.00,25700.00,25700.00,149474
28-Feb-17,26250.00,26300.00,25600.00,26050.00,133044
27-Feb-17,26500.00,27400.00,25800.00,26250.00,456638
24-Feb-17,25300.00,26650.00,25300.00,26350.00,351758
23-Feb-17,26800.00,26800.00,25500.00,25600.00,269563
22-Feb-17,26550.00,26850.00,26250.00,26500.00,239268
21-Feb-17,25100.00,26700.00,24850.00,26500.00,411735
20-Feb-17,25500.00,25650.00,24600.00,25100.00,257271
17-Feb-17,23800.00,25700.00,23550.00,25050.00,670994
16-Feb-17,26300.00,26350.00,25500.00,25800.00,208851
15-Feb-17,26400.00,27300.00,25750.00,26250.00,500079
14-Feb-17,27200.00,27200.00,26000.00,26500.00,478800
13-Feb-17,25700.00,27700.00,25650.00,27050.00,906357
10-Feb-17,24050.00,25650.00,23900.00,25400.00,518376
9-Feb-17,24000.00,24400.00,23700.00,23700.00,114711
8-Feb-17,23850.00,24000.00,23350.00,24000.00,157518
7-Feb-17,22100.00,23900.00,22100.00,23800.00,313647
6-Feb-17,22000.00,22600.00,22000.00,22200.00,94503
3-Feb-17,22400.00,22600.00,21900.00,22250.00,199248
2-Feb-17,22550.00,23150.00,22500.00,22600.00,151945
1-Feb-17,22300.00,23050.00,22300.00,22750.00,119814
31-Jan-17,22600.00,23150.00,22000.00,22500.00,274588
26-Jan-17,23250.00,23450.00,22700.00,22950.00,137726
25-Jan-17,23100.00,23700.00,22850.00,23250.00,143780
24-Jan-17,22900.00,23300.00,22750.00,23200.00,146235
23-Jan-17,24000.00,24000.00,23200.00,23250.00,213258
20-Jan-17,24550.00,24900.00,24100.00,24200.00,107470
19-Jan-17,24850.00,24850.00,24450.00,24550.00,79617
18-Jan-17,24250.00,24900.00,24150.00,24700.00,121613
17-Jan-17,24250.00,24600.00,24100.00,24150.00,117219
16-Jan-17,24700.00,24700.00,23950.00,24400.00,172872
13-Jan-17,24350.00,25200.00,24300.00,24700.00,167570
12-Jan-17,24250.00,24700.00,24000.00,24550.00,165325
11-Jan-17,24300.00,24800.00,24150.00,24250.00,189986
10-Jan-17,25000.00,25050.00,24150.00,24250.00,256347
9-Jan-17,25700.00,25750.00,24350.00,25050.00,330787
6-Jan-17,25800.00,25950.00,25250.00,25450.00,226752
5-Jan-17,26600.00,26600.00,25050.00,25550.00,842806
4-Jan-17,26600.00,27500.00,26500.00,26900.00,220733
3-Jan-17,26900.00,27100.00,26100.00,26900.00,271155
2-Jan-17,25650.00,27250.00,25650.00,26900.00,374663
29-Dec-16,24450.00,25900.00,24300.00,25650.00,294140
28-Dec-16,24800.00,25300.00,24300.00,24400.00,207180
27-Dec-16,25800.00,25800.00,24900.00,24900.00,191060
26-Dec-16,25550.00,26100.00,25300.00,25500.00,283519
23-Dec-16,23100.00,26200.00,22800.00,25700.00,795830
22-Dec-16,23700.00,23700.00,22700.00,23100.00,148212
21-Dec-16,23650.00,23800.00,23250.00,23500.00,112995
20-Dec-16,23750.00,24000.00,23550.00,23650.00,111236
19-Dec-16,23750.00,24050.00,23050.00,23600.00,158332
16-Dec-16,24500.00,24550.00,23650.00,23800.00,195226
