Date,Open,High,Low,Close,Volume
31-Mar-17,44800.00,45450.00,44750.00,45100.00,410540
30-Mar-17,45050.00,45050.00,44350.00,44500.00,235394
29-Mar-17,45700.00,45700.00,44850.00,45100.00,259272
28-Mar-17,45800.00,45800.00,44950.00,45350.00,329782
27-Mar-17,45650.00,46250.00,45150.00,45400.00,376411
24-Mar-17,44450.00,45300.00,44450.00,45300.00,434352
23-Mar-17,44450.00,44700.00,44200.00,44350.00,302026
22-Mar-17,44500.00,45450.00,44200.00,44300.00,410230
21-Mar-17,44650.00,44900.00,44050.00,44700.00,394230
20-Mar-17,45450.00,45450.00,44100.00,44500.00,364176
17-Mar-17,43800.00,45550.00,43800.00,45300.00,571761
16-Mar-17,43900.00,44350.00,43750.00,43800.00,304051
15-Mar-17,44550.00,44750.00,43650.00,43750.00,484773
14-Mar-17,45300.00,45400.00,44300.00,44900.00,427702
13-Mar-17,45550.00,45900.00,44700.00,44900.00,610731
10-Mar-17,45200.00,46500.00,44400.00,45000.00,939174
9-Mar-17,43850.00,45850.00,43850.00,45450.00,983391
8-Mar-17,43900.00,44300.00,43350.00,43800.00,387051
7-Mar-17,44200.00,44700.00,43600.00,44200.00,601322
6-Mar-17,42350.00,44600.00,42100.00,44100.00,1271290
3-Mar-17,46000.00,46900.00,43700.00,43800.00,3014831
2-Mar-17,51000.00,51800.00,50000.00,50400.00,419172
28-Feb-17,52300.00,52300.00,50000.00,51100.00,820208
27-Feb-17,52900.00,53100.00,51600.00,52300.00,585369
24-Feb-17,52000.00,53400.00,51700.00,52000.00,998176
23-Feb-17,48750.00,52600.00,48200.00,51500.00,2471686
22-Feb-17,48200.00,48900.00,48000.00,48600.00,349057
21-Feb-17,46900.00,48600.00,46900.00,48450.00,733880
20-Feb-17,47600.00,47750.00,46100.00,46700.00,606293
17-Feb-17,49850.00,50800.00,47200.00,47400.00,3017061
16-Feb-17,47850.00,47950.00,46150.00,46950.00,519951
15-Feb-17,46000.00,47500.00,45800.00,47350.00,1185930
14-Feb-17,45500.00,45750.00,44950.00,45600.00,483468
13-Feb-17,44250.00,45250.00,44100.00,45150.00,571100
10-Feb-17,43000.00,43800.00,42900.00,43650.00,322685
9-Feb-17,43450.00,43500.00,42350.00,42800.00,398591
8-Feb-17,43850.00,43900.00,43300.00,43300.00,208603
7-Feb-17,43350.00,44300.00,43350.00,43850.00,256973
6-Feb-17,43300.00,43550.00,43200.00,43350.00,201411
3-Feb-17,43250.00,43550.00,43150.00,43300.00,296397
2-Feb-17,43400.00,43800.00,43100.00,43150.00,295074
1-Feb-17,43200.00,43750.00,43200.00,43350.00,297621
31-Jan-17,43700.00,43700.00,43050.00,43350.00,561523
26-Jan-17,45850.00,45950.00,43900.00,43950.00,1022081
25-Jan-17,46050.00,46200.00,45550.00,46050.00,180720
24-Jan-17,45400.00,46000.00,45350.00,45700.00,137439
23-Jan-17,46300.00,46500.00,45600.00,45600.00,179435
20-Jan-17,46200.00,46500.00,45950.00,46000.00,188914
19-Jan-17,47350.00,47400.00,46100.00,46150.00,666212
18-Jan-17,47700.00,48700.00,47400.00,48450.00,594018
17-Jan-17,47600.00,47900.00,46950.00,47150.00,257674
16-Jan-17,46400.00,48100.00,46150.00,47300.00,523540
13-Jan-17,45200.00,46600.00,45200.00,46500.00,409730
12-Jan-17,45500.00,45500.00,45050.00,45200.00,352169
11-Jan-17,46000.00,46100.00,45050.00,45500.00,369436
10-Jan-17,47350.00,47600.00,46050.00,46100.00,513681
9-Jan-17,48500.00,48550.00,47350.00,47600.00,192429
6-Jan-17,48400.00,48550.00,48000.00,48550.00,144320
5-Jan-17,47600.00,48600.00,47250.00,48400.00,306792
4-Jan-17,47050.00,47600.00,47050.00,47500.00,140864
3-Jan-17,47400.00,47900.00,47200.00,47200.00,178048
2-Jan-17,47550.00,47700.00,47150.00,47450.00,203168
29-Dec-16,47300.00,48250.00,47300.00,48150.00,196660
28-Dec-16,47250.00,47750.00,47150.00,47300.00,161951
27-Dec-16,47800.00,47950.00,47250.00,47300.00,251559
26-Dec-16,48350.00,48450.00,47600.00,47750.00,249312
23-Dec-16,48450.00,48500.00,48150.00,48400.00,176797
22-Dec-16,48300.00,48500.00,48250.00,48350.00,139929
21-Dec-16,48850.00,48850.00,48100.00,48150.00,247256
20-Dec-16,48650.00,48800.00,48250.00,48250.00,277062
19-Dec-16,49150.00,49400.00,48400.00,48450.00,825144
16-Dec-16,50900.00,51000.00,50300.00,50700.00,164686
15-Dec-16,52100.00,52100.00,51000.00,51200.00,205157
14-Dec-16,51500.00,52800.00,51200.00,52200.00,275404
13-Dec-16,50000.00,51700.00,50000.00,50900.00,235664
12-Dec-16,50600.00,50900.00,49950.00,50200.00,201739
9-Dec-16,49350.00,50500.00,49150.00,50300.00,259735
8-Dec-16,49000.00,49850.00,48550.00,49850.00,198121
