Date,Open,High,Low,Close,Volume
31-Mar-17,27400.00,27400.00,26750.00,26900.00,77174
30-Mar-17,27750.00,27900.00,27000.00,27250.00,47501
29-Mar-17,27000.00,27700.00,26700.00,27600.00,58859
28-Mar-17,27350.00,27350.00,26750.00,26850.00,46407
27-Mar-17,27350.00,27450.00,26850.00,27250.00,50072
24-Mar-17,26800.00,27300.00,26500.00,27300.00,66811
23-Mar-17,27700.00,27700.00,26450.00,26750.00,109463
22-Mar-17,26700.00,27450.00,26450.00,27200.00,63045
21-Mar-17,27150.00,27400.00,26450.00,26600.00,81306
20-Mar-17,27400.00,27700.00,26750.00,27100.00,35181
17-Mar-17,27300.00,27800.00,26800.00,27400.00,37581
16-Mar-17,27000.00,27800.00,27000.00,27400.00,66641
15-Mar-17,27500.00,27800.00,26700.00,26850.00,92621
14-Mar-17,29200.00,29200.00,27350.00,27350.00,236133
13-Mar-17,29350.00,29750.00,29050.00,29200.00,60229
10-Mar-17,29900.00,29900.00,28650.00,29200.00,90065
9-Mar-17,29350.00,30050.00,29050.00,29750.00,126050
8-Mar-17,29700.00,30150.00,28850.00,29050.00,138158
7-Mar-17,28100.00,29500.00,27750.00,29350.00,235921
6-Mar-17,28500.00,28650.00,27150.00,27900.00,112685
3-Mar-17,28000.00,29550.00,28000.00,28500.00,124686
2-Mar-17,29000.00,29000.00,28050.00,28250.00,94718
28-Feb-17,29600.00,29600.00,28400.00,28800.00,114984
27-Feb-17,30100.00,30100.00,29450.00,29550.00,46240
24-Feb-17,29750.00,30000.00,29350.00,29800.00,34388
23-Feb-17,30000.00,30300.00,29400.00,29650.00,100032
22-Feb-17,29000.00,30350.00,28550.00,29850.00,197846
21-Feb-17,28750.00,29500.00,28550.00,29000.00,77723
20-Feb-17,29050.00,29100.00,28050.00,28750.00,103023
17-Feb-17,28850.00,29250.00,28350.00,28950.00,66433
16-Feb-17,29300.00,29450.00,28000.00,28650.00,200011
15-Feb-17,27600.00,29350.00,27350.00,29100.00,336559
14-Feb-17,27450.00,27800.00,26950.00,27500.00,172422
13-Feb-17,27600.00,27700.00,27200.00,27450.00,199882
10-Feb-17,25600.00,27900.00,25400.00,27400.00,473055
9-Feb-17,24800.00,26100.00,24500.00,25700.00,590940
8-Feb-17,23050.00,23850.00,22750.00,23850.00,79197
7-Feb-17,22750.00,23100.00,22300.00,23000.00,65496
6-Feb-17,22700.00,23100.00,22350.00,22800.00,33960
3-Feb-17,23150.00,23250.00,22450.00,22550.00,86646
2-Feb-17,23300.00,23500.00,23100.00,23100.00,59095
1-Feb-17,23650.00,23750.00,23000.00,23450.00,63561
31-Jan-17,23500.00,23750.00,23200.00,23450.00,38504
26-Jan-17,23650.00,23900.00,23200.00,23600.00,41056
25-Jan-17,24650.00,24800.00,23650.00,23700.00,78671
24-Jan-17,24800.00,24900.00,24100.00,24600.00,35800
