Date,Open,High,Low,Close,Volume
31-Mar-17,67200.00,69200.00,67000.00,67900.00,131846
30-Mar-17,68300.00,69000.00,66500.00,66900.00,200142
29-Mar-17,69200.00,69900.00,68100.00,68400.00,144053
28-Mar-17,69600.00,70000.00,68600.00,69000.00,137203
27-Mar-17,71400.00,71500.00,69300.00,69600.00,198927
24-Mar-17,71500.00,72600.00,71000.00,71400.00,157625
23-Mar-17,71600.00,72400.00,70500.00,71700.00,153154
22-Mar-17,73300.00,73800.00,70700.00,71200.00,395320
21-Mar-17,68400.00,74700.00,68200.00,74400.00,732617
20-Mar-17,68400.00,68800.00,67700.00,68100.00,91013
17-Mar-17,68000.00,68300.00,67100.00,68300.00,109515
16-Mar-17,66800.00,68300.00,66700.00,67800.00,135720
15-Mar-17,67800.00,67900.00,66100.00,66200.00,137686
14-Mar-17,67100.00,68000.00,66800.00,67400.00,116047
13-Mar-17,66000.00,67100.00,66000.00,66800.00,80508
10-Mar-17,66200.00,67000.00,65800.00,66400.00,70068
9-Mar-17,66900.00,67100.00,65700.00,65700.00,106387
8-Mar-17,67100.00,67400.00,65600.00,66400.00,109808
7-Mar-17,65300.00,66600.00,65000.00,66400.00,111836
6-Mar-17,64000.00,65300.00,63900.00,65100.00,130121
3-Mar-17,66500.00,66500.00,63800.00,64300.00,185851
2-Mar-17,66900.00,68000.00,66100.00,66100.00,199767
28-Feb-17,69000.00,69300.00,66100.00,66900.00,247551
27-Feb-17,68500.00,69100.00,67900.00,68700.00,105256
24-Feb-17,67600.00,69300.00,67600.00,68700.00,149637
23-Feb-17,67900.00,68300.00,67200.00,67800.00,139187
22-Feb-17,67000.00,68100.00,66700.00,67800.00,116600
21-Feb-17,66200.00,67500.00,66200.00,67400.00,162131
20-Feb-17,66500.00,67000.00,65800.00,66400.00,98170
17-Feb-17,66400.00,67000.00,64500.00,66800.00,172588
16-Feb-17,66800.00,68300.00,65600.00,66100.00,277066
15-Feb-17,66200.00,67100.00,65600.00,66700.00,309359
14-Feb-17,63100.00,65500.00,63000.00,65500.00,388072
13-Feb-17,62500.00,62800.00,62100.00,62800.00,86011
10-Feb-17,62200.00,62800.00,61800.00,62300.00,122498
9-Feb-17,62400.00,62600.00,61600.00,61900.00,151381
8-Feb-17,61500.00,62200.00,61200.00,62200.00,198420
7-Feb-17,60900.00,62200.00,60900.00,61500.00,271050
6-Feb-17,61600.00,62000.00,60400.00,60600.00,324497
3-Feb-17,62800.00,63700.00,61100.00,61500.00,403334
2-Feb-17,64600.00,64700.00,61900.00,62200.00,443217
1-Feb-17,64700.00,65300.00,64100.00,64500.00,259658
31-Jan-17,68700.00,68700.00,64400.00,64600.00,616315
26-Jan-17,71300.00,72200.00,69200.00,69300.00,295938
25-Jan-17,72900.00,73300.00,71100.00,71400.00,117685
24-Jan-17,75100.00,75700.00,71900.00,72600.00,244771
23-Jan-17,76600.00,76900.00,75400.00,75400.00,101498
20-Jan-17,77700.00,77900.00,76500.00,76600.00,93411
19-Jan-17,79400.00,79900.00,77400.00,77900.00,186121
18-Jan-17,76200.00,79900.00,75700.00,79900.00,373319
17-Jan-17,75300.00,76300.00,74600.00,75700.00,74077
16-Jan-17,76400.00,76600.00,74800.00,75300.00,101849
13-Jan-17,74500.00,76700.00,74500.00,76300.00,132741
12-Jan-17,73800.00,75400.00,73400.00,74200.00,200118
11-Jan-17,74200.00,74500.00,73100.00,73700.00,117067
10-Jan-17,74400.00,75500.00,74100.00,74100.00,107917
9-Jan-17,76000.00,76300.00,74100.00,74900.00,136442
6-Jan-17,76800.00,76800.00,75200.00,75500.00,158871
5-Jan-17,78300.00,78400.00,76600.00,76800.00,196853
4-Jan-17,78200.00,79200.00,77600.00,78000.00,271347
3-Jan-17,75100.00,78600.00,74000.00,78000.00,298859
2-Jan-17,73100.00,74500.00,73000.00,74200.00,125456
29-Dec-16,72300.00,73900.00,72100.00,73000.00,65510
28-Dec-16,72700.00,73600.00,72700.00,72800.00,70651
27-Dec-16,72700.00,73700.00,72600.00,73400.00,61311
26-Dec-16,73500.00,75100.00,73000.00,73000.00,123238
23-Dec-16,71200.00,74000.00,71200.00,73500.00,158305
22-Dec-16,72000.00,72400.00,71000.00,71400.00,82834
21-Dec-16,72000.00,72700.00,71800.00,72000.00,54222
20-Dec-16,71800.00,72300.00,71700.00,71800.00,70478
19-Dec-16,72900.00,73000.00,71600.00,71900.00,99755
16-Dec-16,73100.00,73400.00,71600.00,73400.00,107593
15-Dec-16,72300.00,73600.00,72200.00,73200.00,50429
14-Dec-16,74300.00,74300.00,72500.00,72600.00,67204
13-Dec-16,73800.00,73900.00,72500.00,73800.00,75922
12-Dec-16,73200.00,73800.00,72700.00,73500.00,76113
9-Dec-16,72600.00,73700.00,72200.00,73200.00,86502
8-Dec-16,68800.00,72900.00,68600.00,72900.00,242239
7-Dec-16,68900.00,69200.00,67700.00,68200.00,84178
6-Dec-16,68400.00,69100.00,68200.00,68900.00,87581
5-Dec-16,69900.00,70000.00,68000.00,68300.00,80314
2-Dec-16,68900.00,71300.00,68900.00,70100.00,74733
1-Dec-16,68800.00,69800.00,68200.00,69200.00,56297
30-Nov-16,69100.00,69400.00,68000.00,68800.00,116184
29-Nov-16,69200.00,69700.00,68300.00,69500.00,73442
28-Nov-16,70600.00,70600.00,69100.00,69300.00,87485
25-Nov-16,69900.00,70700.00,69300.00,70600.00,40829
24-Nov-16,70800.00,71300.00,69500.00,69800.00,101460
23-Nov-16,70700.00,71500.00,70200.00,70800.00,95399
22-Nov-16,71500.00,72100.00,70600.00,70800.00,73537
21-Nov-16,72400.00,72400.00,71100.00,71900.00,80941
18-Nov-16,72700.00,73000.00,71600.00,72300.00,84705
17-Nov-16,72200.00,73000.00,72000.00,72500.00,63073
16-Nov-16,72800.00,73500.00,72200.00,72800.00,76952
15-Nov-16,71800.00,73000.00,70600.00,72600.00,126871
14-Nov-16,70900.00,72400.00,70800.00,71400.00,93848
11-Nov-16,70400.00,71600.00,70400.00,70800.00,190300
10-Nov-16,75500.00,75500.00,70400.00,71000.00,394172
9-Nov-16,78100.00,79200.00,72500.00,74600.00,255053
8-Nov-16,76400.00,78600.00,75800.00,78000.00,168186
7-Nov-16,75500.00,75600.00,74400.00,75600.00,87160
4-Nov-16,75700.00,75800.00,74100.00,74500.00,127731
3-Nov-16,75000.00,76400.00,74600.00,75200.00,122996
2-Nov-16,76200.00,76900.00,75000.00,75300.00,149201
1-Nov-16,78000.00,79400.00,76000.00,76900.00,230882
31-Oct-16,83000.00,83300.00,78500.00,78700.00,337710
28-Oct-16,84200.00,84500.00,83200.00,83500.00,65129
27-Oct-16,83800.00,84500.00,82600.00,84500.00,112834
26-Oct-16,85400.00,85400.00,83800.00,84200.00,69801
25-Oct-16,84500.00,85700.00,84400.00,85700.00,73432
24-Oct-16,84800.00,84800.00,83600.00,84400.00,45071
21-Oct-16,83300.00,84900.00,83200.00,84900.00,92387
20-Oct-16,84600.00,85200.00,83300.00,83500.00,80601
19-Oct-16,86500.00,86800.00,84300.00,84400.00,77843
18-Oct-16,86000.00,86900.00,85800.00,86400.00,53790
17-Oct-16,85800.00,87300.00,85400.00,86000.00,103656
14-Oct-16,84700.00,85400.00,84400.00,84900.00,59053
13-Oct-16,86800.00,86800.00,84500.00,84500.00,67651
12-Oct-16,85800.00,86900.00,85300.00,85800.00,71444
11-Oct-16,86800.00,87500.00,85400.00,85600.00,120264
10-Oct-16,84200.00,86200.00,83600.00,85600.00,95980
7-Oct-16,85000.00,85800.00,83600.00,83700.00,135423
6-Oct-16,86300.00,86800.00,85100.00,85100.00,113013
5-Oct-16,85700.00,86800.00,84900.00,86800.00,66609
4-Oct-16,86700.00,87600.00,85700.00,85900.00,123936
30-Sep-16,87900.00,87900.00,86500.00,86600.00,129968
29-Sep-16,89700.00,90200.00,88000.00,88400.00,146242
28-Sep-16,90900.00,91500.00,89200.00,89200.00,101005
27-Sep-16,90200.00,91000.00,89200.00,90400.00,85226
26-Sep-16,92500.00,93000.00,90600.00,90900.00,86768
23-Sep-16,91200.00,93300.00,90100.00,93100.00,121661
22-Sep-16,90700.00,91700.00,89800.00,90300.00,92105
21-Sep-16,91500.00,91800.00,89200.00,89800.00,159129
20-Sep-16,91900.00,92000.00,90800.00,91500.00,64607
19-Sep-16,91600.00,92700.00,90600.00,91900.00,64100
13-Sep-16,94500.00,95000.00,91900.00,91900.00,96563
12-Sep-16,92700.00,95400.00,92500.00,93200.00,106189
9-Sep-16,96000.00,96000.00,94000.00,94400.00,108773
8-Sep-16,95000.00,96500.00,93600.00,96200.00,244349
7-Sep-16,91900.00,95000.00,91500.00,94700.00,306992
6-Sep-16,91400.00,91800.00,90600.00,91800.00,74986
5-Sep-16,89400.00,91400.00,88800.00,91200.00,103554
2-Sep-16,90700.00,92200.00,87900.00,88800.00,124622
1-Sep-16,91300.00,91400.00,89500.00,90200.00,78329
31-Aug-16,92100.00,92900.00,90300.00,91000.00,155875
30-Aug-16,87900.00,92700.00,87900.00,92000.00,267062
29-Aug-16,89600.00,89600.00,87900.00,87900.00,74865
26-Aug-16,89700.00,90100.00,88400.00,89700.00,101735
25-Aug-16,87500.00,89700.00,86600.00,89600.00,353842
24-Aug-16,83500.00,87500.00,83500.00,87000.00,171358
23-Aug-16,83700.00,84200.00,83200.00,83400.00,59739
22-Aug-16,85300.00,85300.00,83400.00,83700.00,69598
19-Aug-16,86400.00,86400.00,84900.00,85200.00,57340
18-Aug-16,86900.00,87100.00,85800.00,86400.00,68078
17-Aug-16,86300.00,86600.00,85700.00,86500.00,64768
16-Aug-16,86100.00,86700.00,85700.00,86300.00,111082
12-Aug-16,83800.00,85400.00,83800.00,85300.00,107712
11-Aug-16,84500.00,85000.00,83600.00,83600.00,88820
10-Aug-16,84700.00,85200.00,84500.00,84500.00,65641
9-Aug-16,84700.00,85900.00,84500.00,84800.00,76941
8-Aug-16,85400.00,85400.00,84300.00,84700.00,67274
5-Aug-16,82900.00,85300.00,82800.00,84900.00,134086
4-Aug-16,83100.00,83600.00,82500.00,83100.00,101032
3-Aug-16,83100.00,83400.00,82000.00,83000.00,157685
2-Aug-16,85000.00,85000.00,83200.00,83400.00,213134
1-Aug-16,85900.00,87000.00,84600.00,85200.00,181520
29-Jul-16,87100.00,87200.00,85200.00,85900.00,268808
28-Jul-16,89200.00,90800.00,86600.00,87300.00,250292
27-Jul-16,89400.00,90400.00,88700.00,88900.00,124251
26-Jul-16,89300.00,90700.00,88700.00,89400.00,161105
25-Jul-16,86500.00,90000.00,86500.00,89900.00,341279
22-Jul-16,85000.00,86600.00,84800.00,86400.00,101768
21-Jul-16,85200.00,86300.00,85000.00,85200.00,106193
20-Jul-16,85800.00,85900.00,84900.00,85200.00,57372
19-Jul-16,85300.00,85900.00,84500.00,85800.00,90643
18-Jul-16,85700.00,85900.00,85000.00,85700.00,84211
15-Jul-16,85900.00,86800.00,84800.00,85700.00,184652
14-Jul-16,86100.00,86100.00,84900.00,85300.00,94943
13-Jul-16,85200.00,86600.00,85100.00,86300.00,107697
12-Jul-16,84300.00,85300.00,83800.00,85200.00,91046
11-Jul-16,83000.00,84900.00,82900.00,84300.00,104358
8-Jul-16,83900.00,84500.00,82000.00,82500.00,153094
7-Jul-16,84600.00,85300.00,83800.00,84000.00,126709
6-Jul-16,87600.00,87600.00,84000.00,84000.00,261763
5-Jul-16,88100.00,88300.00,87500.00,87600.00,90255
4-Jul-16,88600.00,88900.00,87600.00,88000.00,156961
1-Jul-16,89300.00,89400.00,88000.00,88500.00,137451
30-Jun-16,90300.00,90600.00,89000.00,89100.00,88117
29-Jun-16,90000.00,90600.00,89600.00,89900.00,66214
28-Jun-16,88100.00,89800.00,88000.00,89500.00,81935
27-Jun-16,88400.00,89800.00,87500.00,89100.00,91512
24-Jun-16,93500.00,93500.00,87900.00,88800.00,237084
23-Jun-16,92000.00,93500.00,91500.00,93000.00,96421
22-Jun-16,91400.00,93700.00,91300.00,92500.00,137457
21-Jun-16,92800.00,92800.00,91300.00,91900.00,131729
20-Jun-16,92900.00,93600.00,92400.00,92700.00,111153
17-Jun-16,91500.00,92900.00,91300.00,92300.00,150437
16-Jun-16,91100.00,91400.00,90500.00,91200.00,94195
15-Jun-16,90900.00,91600.00,90400.00,91100.00,92888
14-Jun-16,92300.00,92800.00,90800.00,90900.00,123731
13-Jun-16,91600.00,93100.00,91200.00,91800.00,142579
10-Jun-16,90700.00,91700.00,90500.00,91600.00,100336
9-Jun-16,90900.00,91600.00,90300.00,90400.00,134872
8-Jun-16,90600.00,91700.00,90200.00,90800.00,122548
7-Jun-16,90900.00,91000.00,89900.00,90700.00,116904
3-Jun-16,90300.00,91200.00,89900.00,90800.00,105859
2-Jun-16,91500.00,92200.00,89800.00,90200.00,145264
1-Jun-16,92600.00,92600.00,91200.00,91500.00,114220
31-May-16,89500.00,93200.00,89500.00,92600.00,268702
30-May-16,90300.00,90400.00,88900.00,89300.00,133428
27-May-16,90500.00,91000.00,89300.00,89900.00,126814
26-May-16,90600.00,92100.00,89600.00,90200.00,157986
25-May-16,89900.00,91300.00,88500.00,90200.00,140492
24-May-16,90900.00,90900.00,89000.00,89000.00,128815
23-May-16,90100.00,91400.00,89800.00,90900.00,113319
20-May-16,90300.00,90800.00,89300.00,89600.00,125597
19-May-16,90400.00,91500.00,90100.00,90200.00,150167
18-May-16,92000.00,92700.00,90300.00,90500.00,219902
17-May-16,93500.00,93900.00,92000.00,92000.00,111299
16-May-16,94300.00,94500.00,92200.00,93100.00,159868
13-May-16,95700.00,95800.00,94300.00,94500.00,90749
12-May-16,95600.00,95900.00,94700.00,95900.00,96292
11-May-16,98200.00,98200.00,95900.00,96400.00,97059
10-May-16,94200.00,98200.00,94200.00,98200.00,180974
9-May-16,96300.00,96500.00,94100.00,94200.00,147937
4-May-16,94800.00,96300.00,94600.00,96300.00,203525
3-May-16,96200.00,96600.00,94700.00,95200.00,146766
2-May-16,96600.00,96600.00,95300.00,95300.00,148629
29-Apr-16,97400.00,97500.00,95900.00,96600.00,228767
28-Apr-16,101000.00,101000.00,97500.00,97800.00,446317
27-Apr-16,108500.00,109500.00,99800.00,100500.00,427976
26-Apr-16,108000.00,110000.00,106500.00,110000.00,91235
25-Apr-16,109000.00,110500.00,107000.00,108000.00,53458
22-Apr-16,110000.00,110500.00,108000.00,108500.00,63952
21-Apr-16,108500.00,110500.00,108000.00,110500.00,177703
20-Apr-16,108000.00,110000.00,107500.00,108000.00,156472
19-Apr-16,107000.00,109500.00,106000.00,107500.00,266740
18-Apr-16,103000.00,106500.00,102500.00,106000.00,164397
15-Apr-16,104500.00,105000.00,102000.00,103000.00,179380
14-Apr-16,102000.00,105000.00,101500.00,105000.00,176965
12-Apr-16,101000.00,103000.00,100500.00,101000.00,75225
11-Apr-16,100000.00,101500.00,99800.00,101000.00,67930
8-Apr-16,100500.00,101000.00,99500.00,100000.00,76151
7-Apr-16,100500.00,101500.00,99800.00,100500.00,85920
6-Apr-16,102000.00,102500.00,100000.00,100000.00,100505
5-Apr-16,100500.00,103000.00,100000.00,102000.00,70260
4-Apr-16,102500.00,104000.00,100500.00,100500.00,140196
1-Apr-16,104500.00,105500.00,101000.00,103000.00,156827
31-Mar-16,108500.00,108500.00,105000.00,105000.00,118765
30-Mar-16,108000.00,109000.00,106500.00,107500.00,110189
29-Mar-16,107500.00,108500.00,106000.00,107000.00,109038
28-Mar-16,107500.00,109000.00,106000.00,107500.00,84159
25-Mar-16,109500.00,110000.00,107000.00,107500.00,94534
24-Mar-16,111500.00,112500.00,109000.00,110000.00,85858
23-Mar-16,114500.00,115000.00,111000.00,112000.00,114546
22-Mar-16,108000.00,114500.00,107500.00,114500.00,226143
21-Mar-16,109000.00,109500.00,106500.00,108000.00,144181
18-Mar-16,109000.00,109000.00,107500.00,108500.00,65682
17-Mar-16,107000.00,109500.00,106500.00,108500.00,90633
16-Mar-16,106500.00,108500.00,106000.00,106000.00,67013
15-Mar-16,108000.00,109000.00,105500.00,106000.00,70986
14-Mar-16,109500.00,109500.00,107000.00,108000.00,79488
11-Mar-16,112000.00,112500.00,108000.00,108000.00,152958
10-Mar-16,115000.00,115500.00,111500.00,113000.00,107322
9-Mar-16,114000.00,116000.00,112500.00,114500.00,93717
8-Mar-16,110500.00,115000.00,110500.00,114500.00,157185
7-Mar-16,111000.00,112500.00,110000.00,110500.00,63598
4-Mar-16,108000.00,110500.00,107000.00,110000.00,95275
