Date,Open,High,Low,Close,Volume
31-Mar-17,44800.00,45650.00,44550.00,45550.00,97499
30-Mar-17,44450.00,45200.00,44000.00,44450.00,72720
29-Mar-17,44400.00,44500.00,43850.00,44450.00,60817
28-Mar-17,43200.00,44500.00,43150.00,44300.00,157798
27-Mar-17,43000.00,43600.00,42850.00,43000.00,71893
24-Mar-17,42700.00,43600.00,42500.00,42950.00,62568
23-Mar-17,42450.00,42900.00,41800.00,42300.00,27539
22-Mar-17,43200.00,43300.00,42100.00,42300.00,37296
21-Mar-17,42550.00,43550.00,42450.00,43000.00,75537
20-Mar-17,41750.00,42450.00,41500.00,42400.00,49451
17-Mar-17,42050.00,42350.00,41700.00,42150.00,62687
16-Mar-17,42050.00,42150.00,41500.00,41900.00,38148
15-Mar-17,41600.00,41950.00,40800.00,41800.00,49834
14-Mar-17,42250.00,42400.00,41550.00,41600.00,34191
13-Mar-17,41600.00,42200.00,40900.00,42050.00,46274
10-Mar-17,41100.00,41700.00,40950.00,41250.00,51328
9-Mar-17,41100.00,41450.00,40850.00,40850.00,42931
8-Mar-17,41250.00,41550.00,40850.00,41450.00,32464
7-Mar-17,41300.00,41600.00,40550.00,41250.00,35244
6-Mar-17,42250.00,42550.00,40950.00,41000.00,71798
3-Mar-17,42100.00,42550.00,41800.00,42250.00,60494
2-Mar-17,43200.00,43350.00,42100.00,42150.00,61799
28-Feb-17,43050.00,43400.00,42700.00,42700.00,34281
27-Feb-17,43750.00,43750.00,42750.00,42950.00,42581
24-Feb-17,44000.00,44000.00,43250.00,43350.00,44132
23-Feb-17,43900.00,44500.00,43600.00,43950.00,73599
22-Feb-17,42600.00,44250.00,42450.00,44000.00,108535
21-Feb-17,42200.00,42650.00,42200.00,42500.00,37197
20-Feb-17,42400.00,42750.00,42100.00,42500.00,30583
17-Feb-17,42300.00,43350.00,42150.00,42700.00,40250
16-Feb-17,42800.00,43000.00,42150.00,42300.00,40335
15-Feb-17,43000.00,43050.00,42450.00,42800.00,43167
14-Feb-17,43550.00,43550.00,42400.00,42900.00,32724
13-Feb-17,43650.00,43650.00,42500.00,42900.00,43627
10-Feb-17,44800.00,44900.00,42650.00,43550.00,95486
9-Feb-17,43300.00,45000.00,43300.00,44400.00,114450
8-Feb-17,42800.00,43150.00,42100.00,43150.00,59751
7-Feb-17,42000.00,43150.00,42000.00,42900.00,69416
