Date,Open,High,Low,Close,Volume
31-Mar-17,15750.00,16450.00,15750.00,16450.00,122651
30-Mar-17,16050.00,16050.00,15700.00,15700.00,88521
29-Mar-17,15950.00,16050.00,15850.00,16050.00,63464
28-Mar-17,15550.00,15900.00,15550.00,15850.00,83259
27-Mar-17,16000.00,16100.00,15500.00,15650.00,135209
24-Mar-17,16200.00,16400.00,15900.00,16200.00,99997
23-Mar-17,16250.00,16450.00,16150.00,16350.00,50286
22-Mar-17,16450.00,16600.00,16150.00,16350.00,96551
21-Mar-17,16350.00,16550.00,16100.00,16450.00,44440
20-Mar-17,16550.00,16650.00,16300.00,16350.00,42996
17-Mar-17,16500.00,16700.00,16350.00,16700.00,49538
16-Mar-17,16200.00,16600.00,16100.00,16500.00,84274
15-Mar-17,16900.00,16900.00,16100.00,16200.00,123215
14-Mar-17,16900.00,17200.00,16850.00,16850.00,63689
13-Mar-17,17050.00,17100.00,16850.00,17000.00,50540
10-Mar-17,16900.00,17400.00,16800.00,17150.00,61559
9-Mar-17,17700.00,17800.00,17150.00,17150.00,133666
8-Mar-17,17200.00,17200.00,16950.00,17200.00,37435
7-Mar-17,17000.00,17200.00,16800.00,17200.00,34943
6-Mar-17,16800.00,17000.00,16550.00,17000.00,71056
3-Mar-17,17350.00,17450.00,16650.00,16800.00,103007
2-Mar-17,17550.00,17600.00,17300.00,17350.00,27175
28-Feb-17,17050.00,17750.00,16800.00,17550.00,117854
27-Feb-17,17950.00,17950.00,16850.00,17150.00,135740
24-Feb-17,17750.00,18200.00,17750.00,18000.00,57468
23-Feb-17,18000.00,18200.00,17800.00,17800.00,57464
22-Feb-17,18250.00,18250.00,17800.00,18000.00,77611
21-Feb-17,17300.00,18200.00,17200.00,18200.00,161953
20-Feb-17,17650.00,17750.00,17300.00,17300.00,64833
17-Feb-17,17500.00,17950.00,17250.00,17800.00,65680
16-Feb-17,17500.00,17750.00,17350.00,17600.00,51941
15-Feb-17,17750.00,17800.00,17350.00,17650.00,79985
14-Feb-17,17900.00,17900.00,17300.00,17750.00,107694
13-Feb-17,17200.00,17850.00,17150.00,17700.00,138156
10-Feb-17,16600.00,17500.00,16500.00,17300.00,271463
9-Feb-17,16250.00,16550.00,16100.00,16550.00,78909
8-Feb-17,16200.00,16350.00,15800.00,16350.00,72847
7-Feb-17,15800.00,16150.00,15400.00,16050.00,76332
6-Feb-17,16100.00,16100.00,15700.00,15700.00,55021
3-Feb-17,16300.00,16300.00,15700.00,16000.00,60283
2-Feb-17,16200.00,16400.00,16050.00,16200.00,72361
1-Feb-17,15900.00,16200.00,15750.00,16100.00,71033
31-Jan-17,16100.00,16200.00,15650.00,15850.00,60459
26-Jan-17,15300.00,16150.00,15150.00,16100.00,136942
25-Jan-17,15250.00,15600.00,15200.00,15200.00,73499
24-Jan-17,15000.00,15350.00,14800.00,15300.00,61102
23-Jan-17,15100.00,15150.00,14900.00,14950.00,37514
20-Jan-17,15000.00,15150.00,14900.00,15100.00,30083
19-Jan-17,15050.00,15200.00,14850.00,15150.00,50069
18-Jan-17,14900.00,15050.00,14750.00,14950.00,53651
17-Jan-17,15250.00,15250.00,14900.00,15000.00,40694
16-Jan-17,15550.00,15550.00,14900.00,15100.00,68139
13-Jan-17,15650.00,15650.00,15250.00,15500.00,47654
12-Jan-17,15450.00,15800.00,15350.00,15650.00,85873
11-Jan-17,15400.00,15600.00,15200.00,15450.00,72434
10-Jan-17,15400.00,15450.00,14800.00,15350.00,187466
9-Jan-17,16250.00,16300.00,15300.00,15450.00,175259
6-Jan-17,16450.00,16500.00,16050.00,16150.00,92780
5-Jan-17,16700.00,16700.00,16300.00,16450.00,53586
4-Jan-17,16650.00,16900.00,16350.00,16650.00,69718
3-Jan-17,16750.00,16850.00,16400.00,16650.00,124473
2-Jan-17,16350.00,16800.00,16100.00,16750.00,94370
29-Dec-16,16350.00,16350.00,15800.00,16300.00,64872
28-Dec-16,15800.00,16350.00,15700.00,16350.00,57962
27-Dec-16,16400.00,16500.00,15900.00,16200.00,96338
26-Dec-16,16500.00,16600.00,16300.00,16350.00,43557
23-Dec-16,16700.00,16700.00,16250.00,16500.00,39103
22-Dec-16,16500.00,16650.00,16400.00,16600.00,26079
21-Dec-16,16450.00,16750.00,16300.00,16550.00,79220
20-Dec-16,16550.00,16550.00,16300.00,16500.00,43890
19-Dec-16,16400.00,16450.00,16200.00,16450.00,45206
16-Dec-16,16400.00,16450.00,16250.00,16400.00,60894
15-Dec-16,15700.00,16450.00,15600.00,16250.00,122965
14-Dec-16,16100.00,16100.00,15500.00,15950.00,138524
13-Dec-16,15750.00,16150.00,15650.00,16100.00,67925
12-Dec-16,15600.00,15950.00,15600.00,15750.00,91644
9-Dec-16,15400.00,15400.00,15050.00,15350.00,61692
8-Dec-16,15300.00,15500.00,15250.00,15400.00,60582
7-Dec-16,15400.00,15500.00,14950.00,15300.00,86859
6-Dec-16,15150.00,15700.00,15100.00,15450.00,172375
5-Dec-16,14600.00,15100.00,14500.00,15050.00,125597
2-Dec-16,14450.00,14950.00,14350.00,14650.00,158333
1-Dec-16,14100.00,14450.00,13800.00,14300.00,91399
30-Nov-16,14050.00,14050.00,13650.00,13950.00,115119
29-Nov-16,13900.00,14200.00,13850.00,14100.00,73962
28-Nov-16,14050.00,14050.00,13750.00,13950.00,58728
25-Nov-16,14150.00,14150.00,13800.00,14050.00,93933
24-Nov-16,14000.00,14100.00,13550.00,14100.00,113773
23-Nov-16,14400.00,14450.00,13800.00,14000.00,171258
22-Nov-16,14250.00,14500.00,14150.00,14450.00,61419
21-Nov-16,14500.00,14600.00,14200.00,14200.00,47434
18-Nov-16,15000.00,15000.00,14500.00,14650.00,53077
17-Nov-16,15250.00,15400.00,14750.00,14950.00,96242
16-Nov-16,15200.00,15600.00,15100.00,15400.00,69095
15-Nov-16,15300.00,15500.00,14950.00,15100.00,30972
14-Nov-16,14950.00,15350.00,14800.00,15300.00,43047
11-Nov-16,14850.00,15100.00,14700.00,14950.00,49921
10-Nov-16,14650.00,15100.00,14650.00,15100.00,92758
9-Nov-16,15250.00,15400.00,13900.00,14250.00,159686
8-Nov-16,15750.00,15800.00,14700.00,15050.00,152710
7-Nov-16,15550.00,16100.00,15350.00,15700.00,82902
4-Nov-16,15500.00,15700.00,15300.00,15350.00,35173
3-Nov-16,15150.00,15800.00,15150.00,15700.00,37430
2-Nov-16,15800.00,15950.00,14950.00,15550.00,79157
1-Nov-16,15500.00,16050.00,15500.00,16000.00,83970
31-Oct-16,16100.00,16200.00,15400.00,15500.00,82727
28-Oct-16,16900.00,16950.00,16100.00,16350.00,100435
27-Oct-16,16900.00,17000.00,16550.00,16900.00,53597
26-Oct-16,17150.00,17350.00,16450.00,16700.00,86591
25-Oct-16,17750.00,17750.00,17200.00,17350.00,34048
24-Oct-16,17150.00,17800.00,17150.00,17500.00,80512
21-Oct-16,17050.00,17250.00,16850.00,17100.00,43923
20-Oct-16,17650.00,17650.00,17100.00,17150.00,44743
19-Oct-16,17400.00,17850.00,17100.00,17650.00,65380
18-Oct-16,17750.00,17850.00,17200.00,17250.00,74331
17-Oct-16,17800.00,17800.00,17550.00,17750.00,44009
14-Oct-16,17700.00,18000.00,17550.00,17800.00,41099
13-Oct-16,17800.00,18300.00,17600.00,17700.00,104243
12-Oct-16,18450.00,18450.00,17700.00,17700.00,94283
11-Oct-16,18300.00,18600.00,18050.00,18500.00,54226
10-Oct-16,18550.00,18750.00,18150.00,18300.00,71237
7-Oct-16,18900.00,19350.00,18450.00,18600.00,118036
6-Oct-16,18050.00,19000.00,18000.00,18950.00,182966
5-Oct-16,18100.00,18150.00,17850.00,17950.00,76154
4-Oct-16,18250.00,18300.00,17900.00,18100.00,60169
30-Sep-16,17900.00,18350.00,17700.00,18050.00,84685
29-Sep-16,18000.00,18150.00,17450.00,18050.00,71340
28-Sep-16,18050.00,18100.00,17650.00,17800.00,30783
27-Sep-16,17500.00,18100.00,17250.00,18050.00,67447
26-Sep-16,17750.00,17750.00,17300.00,17400.00,71176
23-Sep-16,18250.00,18250.00,17750.00,17750.00,54857
