Date,Open,High,Low,Close,Volume
31-Mar-17,17700.00,17800.00,17300.00,17500.00,132931
30-Mar-17,16650.00,17600.00,16650.00,17450.00,219038
29-Mar-17,16850.00,16950.00,16350.00,16500.00,125795
28-Mar-17,16350.00,17000.00,16300.00,16950.00,108167
27-Mar-17,16550.00,16700.00,16300.00,16350.00,83680
24-Mar-17,15950.00,16600.00,15950.00,16500.00,95156
23-Mar-17,16400.00,16500.00,15700.00,15950.00,153313
22-Mar-17,16600.00,16650.00,16100.00,16400.00,251629
21-Mar-17,16750.00,17000.00,16600.00,16900.00,73392
20-Mar-17,17450.00,17450.00,15900.00,16700.00,274254
17-Mar-17,18000.00,18150.00,17600.00,17600.00,155383
16-Mar-17,17800.00,18050.00,17750.00,17900.00,107101
15-Mar-17,17450.00,17850.00,17350.00,17600.00,67765
14-Mar-17,17500.00,17950.00,17200.00,17550.00,134370
13-Mar-17,17550.00,17900.00,17400.00,17600.00,68498
10-Mar-17,17000.00,17750.00,16950.00,17700.00,119699
9-Mar-17,17150.00,17400.00,16900.00,17000.00,52352
8-Mar-17,17600.00,17700.00,17000.00,17150.00,136006
7-Mar-17,18100.00,18100.00,17450.00,17600.00,77646
6-Mar-17,17550.00,18100.00,17450.00,18100.00,77070
3-Mar-17,17300.00,17650.00,17250.00,17650.00,30119
2-Mar-17,17550.00,17700.00,17350.00,17400.00,33839
28-Feb-17,17600.00,17750.00,17300.00,17500.00,31335
27-Feb-17,17600.00,17700.00,17100.00,17650.00,75516
24-Feb-17,18300.00,18300.00,17250.00,17450.00,170345
23-Feb-17,18350.00,18500.00,18100.00,18300.00,52335
22-Feb-17,18700.00,18700.00,18150.00,18300.00,114912
21-Feb-17,19450.00,19600.00,18350.00,18550.00,233766
20-Feb-17,18850.00,19500.00,18800.00,19300.00,138882
17-Feb-17,18650.00,19250.00,18400.00,18850.00,137659
16-Feb-17,18100.00,18900.00,18100.00,18650.00,114235
15-Feb-17,18000.00,18500.00,17900.00,18300.00,92019
14-Feb-17,18650.00,18650.00,18000.00,18000.00,118674
13-Feb-17,19200.00,19200.00,18350.00,18500.00,130783
10-Feb-17,19150.00,19500.00,18750.00,19100.00,163656
9-Feb-17,19000.00,19100.00,18450.00,19000.00,63899
8-Feb-17,18900.00,19050.00,18300.00,18900.00,85207
7-Feb-17,19150.00,19200.00,18600.00,19000.00,110056
6-Feb-17,19600.00,19600.00,18800.00,18950.00,184378
3-Feb-17,18600.00,19750.00,18600.00,19500.00,269222
2-Feb-17,18850.00,19200.00,18500.00,18850.00,208480
1-Feb-17,19300.00,19900.00,19200.00,19250.00,280390
31-Jan-17,19100.00,19400.00,19050.00,19250.00,163534
26-Jan-17,19200.00,19800.00,19000.00,19200.00,425403
25-Jan-17,17400.00,20350.00,17300.00,19450.00,1061823
24-Jan-17,16850.00,17250.00,16600.00,17250.00,74712
23-Jan-17,16750.00,16950.00,16500.00,16650.00,34182
20-Jan-17,16600.00,16650.00,16150.00,16600.00,34421
19-Jan-17,16700.00,16700.00,16400.00,16550.00,56389
18-Jan-17,16550.00,16600.00,16000.00,16550.00,58233
17-Jan-17,16100.00,16500.00,16100.00,16300.00,24356
16-Jan-17,16600.00,16600.00,16000.00,16250.00,62378
13-Jan-17,16600.00,16650.00,15900.00,16350.00,131775
12-Jan-17,16950.00,16950.00,16550.00,16700.00,58925
11-Jan-17,16700.00,17050.00,16700.00,16850.00,50945
10-Jan-17,17150.00,17200.00,16700.00,16700.00,73485
9-Jan-17,17300.00,17300.00,17000.00,17150.00,49895
6-Jan-17,16950.00,17250.00,16850.00,17150.00,64506
5-Jan-17,16900.00,17050.00,16700.00,16800.00,65409
4-Jan-17,17300.00,17450.00,16900.00,16950.00,72060
3-Jan-17,17300.00,17800.00,17150.00,17300.00,131840
2-Jan-17,17050.00,17400.00,16850.00,17200.00,71902
29-Dec-16,17100.00,17200.00,16800.00,17050.00,63103
28-Dec-16,17500.00,17550.00,17050.00,17200.00,97858
27-Dec-16,16350.00,17600.00,16350.00,17500.00,205814
26-Dec-16,16650.00,16800.00,16300.00,16500.00,81304
23-Dec-16,16550.00,17000.00,16550.00,16650.00,84696
22-Dec-16,17000.00,17250.00,16550.00,16600.00,98888
21-Dec-16,17100.00,17400.00,16700.00,17050.00,144859
20-Dec-16,16500.00,17400.00,16100.00,17100.00,253445
19-Dec-16,15750.00,16450.00,15650.00,16300.00,164070
16-Dec-16,15150.00,15700.00,15000.00,15500.00,122848
15-Dec-16,14950.00,15100.00,14600.00,15100.00,127396
14-Dec-16,15100.00,15100.00,14700.00,14950.00,147530
13-Dec-16,13900.00,15200.00,13900.00,15150.00,177161
12-Dec-16,14050.00,14200.00,13750.00,14000.00,59398
9-Dec-16,13600.00,14100.00,13550.00,13750.00,107670
8-Dec-16,13650.00,14200.00,13500.00,13500.00,131112
7-Dec-16,13650.00,13700.00,13350.00,13450.00,42591
6-Dec-16,13100.00,13700.00,13000.00,13700.00,55583
5-Dec-16,13100.00,13250.00,12900.00,13000.00,74820
2-Dec-16,13250.00,13450.00,13050.00,13200.00,30084
1-Dec-16,13450.00,13450.00,13150.00,13200.00,54385
30-Nov-16,13600.00,13650.00,13400.00,13500.00,49963
29-Nov-16,14000.00,14000.00,13400.00,13550.00,49499
28-Nov-16,13650.00,13800.00,13450.00,13700.00,38858
25-Nov-16,13600.00,13800.00,13250.00,13600.00,39644
24-Nov-16,13450.00,13800.00,13350.00,13600.00,46512
23-Nov-16,13750.00,13800.00,13450.00,13450.00,62506
22-Nov-16,13850.00,14050.00,13400.00,13750.00,74566
21-Nov-16,14000.00,14050.00,13800.00,13850.00,38969
18-Nov-16,14500.00,14750.00,14000.00,14100.00,96288
17-Nov-16,14150.00,14550.00,14050.00,14550.00,83087
16-Nov-16,13850.00,14250.00,13750.00,14200.00,101244
