Date,Open,High,Low,Close,Volume
31-Mar-17,58300.00,62500.00,57900.00,62500.00,303202
30-Mar-17,57500.00,58000.00,56900.00,57800.00,63792
29-Mar-17,56400.00,57400.00,56100.00,56800.00,57740
28-Mar-17,57800.00,58100.00,55900.00,56300.00,90591
27-Mar-17,58100.00,58800.00,57500.00,57800.00,59423
24-Mar-17,57400.00,57900.00,56900.00,57800.00,39427
23-Mar-17,56900.00,57600.00,56500.00,57400.00,51025
22-Mar-17,57100.00,57700.00,56500.00,56700.00,62086
21-Mar-17,57600.00,58300.00,57400.00,57700.00,80749
20-Mar-17,56700.00,57600.00,56300.00,57300.00,90452
17-Mar-17,55200.00,56300.00,54900.00,56000.00,80342
16-Mar-17,53600.00,54800.00,53600.00,54600.00,53402
15-Mar-17,54100.00,54200.00,53000.00,53300.00,46477
14-Mar-17,54600.00,54800.00,53600.00,53900.00,45837
13-Mar-17,54800.00,55400.00,54200.00,54500.00,70190
10-Mar-17,54100.00,54500.00,53100.00,54300.00,68458
9-Mar-17,53700.00,55000.00,53500.00,54000.00,75213
8-Mar-17,54500.00,54500.00,53400.00,53700.00,69032
7-Mar-17,54400.00,54900.00,53800.00,54500.00,62939
6-Mar-17,53400.00,54600.00,53300.00,54000.00,53847
3-Mar-17,54900.00,54900.00,53400.00,54000.00,60217
2-Mar-17,56800.00,57100.00,54600.00,54900.00,85330
28-Feb-17,57600.00,58200.00,56300.00,56300.00,66820
27-Feb-17,59100.00,60300.00,57200.00,57300.00,90085
24-Feb-17,59500.00,59600.00,58300.00,58900.00,60813
23-Feb-17,59900.00,60200.00,58300.00,58400.00,64504
22-Feb-17,59700.00,60500.00,58900.00,59000.00,87039
21-Feb-17,57400.00,59200.00,57400.00,58900.00,65096
20-Feb-17,57000.00,57700.00,56300.00,57300.00,32601
17-Feb-17,57900.00,59000.00,56800.00,57400.00,44359
16-Feb-17,58900.00,59400.00,57600.00,58200.00,38608
15-Feb-17,55500.00,58400.00,55300.00,58300.00,81670
14-Feb-17,56200.00,56300.00,55100.00,55500.00,41197
13-Feb-17,56000.00,56300.00,55100.00,56200.00,39861
10-Feb-17,54000.00,56000.00,53600.00,55700.00,38909
9-Feb-17,52500.00,53600.00,52300.00,53500.00,23905
8-Feb-17,53200.00,53400.00,52100.00,52500.00,31336
7-Feb-17,53000.00,53700.00,52400.00,53200.00,32582
6-Feb-17,54800.00,54800.00,53000.00,53000.00,45202
3-Feb-17,55700.00,56200.00,54300.00,54700.00,34294
2-Feb-17,56000.00,56200.00,55500.00,56100.00,29415
1-Feb-17,55500.00,56000.00,55000.00,56000.00,24672
31-Jan-17,55200.00,55800.00,54800.00,55600.00,19524
26-Jan-17,54600.00,55200.00,53500.00,54700.00,16354
25-Jan-17,55600.00,56100.00,53900.00,54400.00,42103
24-Jan-17,56000.00,56500.00,53900.00,55400.00,60849
23-Jan-17,57600.00,58000.00,55700.00,56300.00,63700
20-Jan-17,58400.00,59000.00,57500.00,57600.00,25973
19-Jan-17,59400.00,60000.00,58500.00,58500.00,22315
18-Jan-17,58900.00,59600.00,58100.00,59400.00,24723
17-Jan-17,59600.00,60000.00,58500.00,58900.00,34785
16-Jan-17,59600.00,60800.00,59300.00,59500.00,22547
13-Jan-17,58500.00,60700.00,58500.00,59900.00,27905
12-Jan-17,59600.00,59600.00,58400.00,58900.00,37417
11-Jan-17,60600.00,61300.00,59100.00,59200.00,58735
10-Jan-17,61300.00,61300.00,60100.00,60400.00,29981
9-Jan-17,60900.00,61300.00,58600.00,61300.00,61577
6-Jan-17,60500.00,61200.00,59800.00,60000.00,48758
5-Jan-17,59900.00,62000.00,59500.00,60400.00,118825
4-Jan-17,58600.00,59600.00,58000.00,59100.00,30442
3-Jan-17,59800.00,59800.00,58300.00,58700.00,42870
2-Jan-17,58500.00,59600.00,57600.00,59400.00,45813
29-Dec-16,58000.00,58900.00,57500.00,58600.00,43478
28-Dec-16,56300.00,58800.00,56200.00,58800.00,51220
27-Dec-16,56400.00,57600.00,55600.00,56300.00,46832
26-Dec-16,56300.00,57200.00,55500.00,56400.00,30468
23-Dec-16,55500.00,56900.00,55300.00,55900.00,37720
22-Dec-16,57000.00,57400.00,55300.00,55500.00,43879
21-Dec-16,58000.00,58000.00,56900.00,57000.00,28757
20-Dec-16,57400.00,58200.00,56200.00,57400.00,50851
19-Dec-16,58300.00,58400.00,57200.00,57600.00,50535
16-Dec-16,56600.00,58200.00,56100.00,57800.00,139191
15-Dec-16,53700.00,56300.00,53200.00,56000.00,72306
14-Dec-16,54200.00,55500.00,53100.00,53800.00,63151
13-Dec-16,52400.00,54400.00,52300.00,53900.00,60783
12-Dec-16,49900.00,52500.00,49850.00,52400.00,94875
9-Dec-16,49950.00,50500.00,49300.00,50000.00,72556
8-Dec-16,49750.00,50900.00,49750.00,49800.00,49866
7-Dec-16,50900.00,50900.00,49300.00,49750.00,55398
6-Dec-16,50700.00,51300.00,50300.00,50800.00,27812
5-Dec-16,50500.00,50600.00,49550.00,50300.00,44547
2-Dec-16,51100.00,51500.00,50500.00,51000.00,26295
1-Dec-16,51600.00,52300.00,50600.00,51100.00,23545
30-Nov-16,52400.00,52400.00,50000.00,51400.00,47605
29-Nov-16,49700.00,51700.00,49700.00,51300.00,25732
28-Nov-16,51500.00,52000.00,50400.00,50500.00,30153
25-Nov-16,51100.00,52100.00,50700.00,51900.00,19026
24-Nov-16,51500.00,52700.00,51300.00,51400.00,32270
23-Nov-16,53900.00,53900.00,52200.00,52200.00,44119
22-Nov-16,54500.00,54500.00,52500.00,53500.00,42474
21-Nov-16,55500.00,55500.00,53500.00,54000.00,56541
