Date,Open,High,Low,Close,Volume
"Mar 31, 2017","2,166.62","2,166.93","2,159.80","2,160.23","441,640,000"
"Mar 30, 2017","2,170.18","2,174.16","2,159.16","2,164.64","643,563,000"
"Mar 29, 2017","2,172.31","2,172.31","2,162.04","2,166.98","626,792,000"
"Mar 28, 2017","2,166.58","2,169.14","2,157.71","2,163.31","393,970,000"
"Mar 27, 2017","2,161.17","2,165.25","2,153.14","2,155.66","395,862,000"
"Mar 24, 2017","2,171.36","2,179.34","2,163.34","2,168.95","358,673,000"
"Mar 23, 2017","2,174.09","2,182.42","2,170.56","2,172.72","358,607,000"
"Mar 22, 2017","2,159.97","2,170.00","2,158.96","2,168.30","394,425,000"
"Mar 21, 2017","2,162.95","2,181.99","2,160.25","2,178.38","303,940,000"
"Mar 20, 2017","2,160.32","2,160.57","2,151.51","2,157.01","264,946,000"
"Mar 17, 2017","2,150.47","2,164.59","2,148.86","2,164.58","302,788,000"
"Mar 16, 2017","2,154.98","2,156.85","2,143.01","2,150.08","402,424,000"
"Mar 15, 2017","2,128.42","2,135.38","2,127.26","2,133.00","374,699,000"
"Mar 14, 2017","2,127.12","2,135.50","2,124.42","2,133.78","365,074,000"
"Mar 13, 2017","2,102.37","2,122.88","2,100.91","2,117.59","382,129,000"
"Mar 10, 2017","2,088.67","2,102.05","2,082.31","2,097.35","500,860,000"
"Mar 9, 2017","2,098.29","2,100.08","2,090.73","2,091.06","408,229,000"
"Mar 8, 2017","2,092.27","2,101.56","2,088.19","2,095.41","381,441,000"
"Mar 7, 2017","2,080.77","2,096.79","2,079.16","2,094.05","277,830,000"
"Mar 6, 2017","2,073.20","2,083.80","2,067.68","2,081.36","431,445,000"
"Mar 3, 2017","2,090.92","2,091.59","2,072.09","2,078.75","425,935,000"
"Mar 2, 2017","2,105.19","2,112.58","2,096.31","2,102.65","434,713,000"
"Feb 28, 2017","2,087.26","2,094.41","2,084.36","2,091.64","399,821,000"
"Feb 27, 2017","2,095.47","2,097.24","2,084.08","2,085.52","343,702,000"
"Feb 24, 2017","2,106.43","2,107.83","2,090.05","2,094.12","385,394,000"
"Feb 23, 2017","2,106.15","2,108.99","2,103.11","2,107.63","430,850,000"
"Feb 22, 2017","2,106.42","2,108.98","2,101.56","2,106.61","312,219,000"
"Feb 21, 2017","2,085.97","2,108.48","2,085.00","2,102.93","292,539,000"
"Feb 20, 2017","2,084.16","2,085.59","2,077.13","2,084.39","297,203,000"
"Feb 17, 2017","2,072.57","2,081.18","2,072.57","2,080.58","301,517,000"
"Feb 16, 2017","2,088.09","2,092.59","2,078.35","2,081.84","330,466,000"
"Feb 15, 2017","2,073.60","2,087.69","2,069.89","2,083.86","338,044,000"
"Feb 14, 2017","2,079.30","2,081.59","2,068.16","2,074.57","332,365,000"
"Feb 13, 2017","2,074.94","2,078.66","2,070.36","2,078.65","289,684,000"
"Feb 10, 2017","2,075.80","2,080.74","2,072.23","2,075.08","314,676,000"
"Feb 9, 2017","2,067.15","2,072.69","2,062.12","2,065.88","236,008,000"
"Feb 8, 2017","2,072.58","2,072.58","2,052.29","2,065.08","266,722,000"
"Feb 7, 2017","2,077.80","2,079.23","2,071.05","2,075.21","271,809,000"
"Feb 6, 2017","2,085.73","2,088.37","2,073.03","2,077.66","315,315,000"
"Feb 3, 2017","2,075.90","2,079.85","2,064.05","2,073.16","392,584,000"
"Feb 2, 2017","2,080.23","2,092.45","2,067.76","2,071.01","825,477,000"
"Feb 1, 2017","2,075.31","2,082.70","2,073.97","2,080.48","452,528,000"
"Jan 31, 2017","2,077.66","2,079.97","2,067.57","2,067.57","288,275,000"
"Jan 26, 2017","2,074.77","2,088.60","2,068.50","2,083.59","257,921,000"
"Jan 25, 2017","2,075.33","2,077.72","2,062.96","2,066.94","311,770,000"
"Jan 24, 2017","2,070.22","2,072.66","2,058.59","2,065.76","312,411,000"
"Jan 23, 2017","2,067.62","2,073.80","2,058.91","2,065.99","444,862,000"
"Jan 20, 2017","2,065.54","2,072.32","2,064.00","2,065.61","392,647,000"
"Jan 19, 2017","2,085.61","2,091.02","2,065.03","2,072.79","415,668,000"
"Jan 18, 2017","2,073.77","2,075.23","2,058.35","2,070.54","530,133,000"
"Jan 17, 2017","2,067.52","2,078.80","2,065.53","2,071.87","601,435,000"
"Jan 16, 2017","2,077.03","2,080.05","2,058.93","2,064.17","683,931,000"
"Jan 13, 2017","2,077.12","2,080.94","2,073.44","2,076.79","518,284,000"
"Jan 12, 2017","2,077.69","2,087.14","2,073.89","2,087.14","555,841,000"
"Jan 11, 2017","2,048.08","2,079.70","2,047.56","2,075.17","335,531,000"
"Jan 10, 2017","2,043.30","2,046.78","2,039.50","2,045.12","512,663,000"
"Jan 9, 2017","2,053.18","2,053.18","2,046.47","2,048.78","398,291,000"
"Jan 6, 2017","2,048.11","2,051.84","2,045.66","2,049.12","455,350,000"
"Jan 5, 2017","2,045.52","2,046.50","2,039.49","2,041.95","541,343,000"
"Jan 4, 2017","2,046.29","2,046.29","2,040.61","2,045.64","371,488,000"
"Jan 3, 2017","2,034.31","2,044.07","2,028.47","2,043.97","268,127,000"
"Jan 2, 2017","2,022.23","2,031.79","2,015.68","2,026.16","229,874,000"
"Dec 29, 2016","2,020.42","2,026.57","2,016.25","2,026.46","264,521,000"
"Dec 28, 2016","2,021.86","2,029.69","2,020.86","2,024.49","356,590,000"
"Dec 27, 2016","2,040.74","2,044.43","2,037.12","2,042.17","384,033,000"
"Dec 26, 2016","2,038.33","2,039.76","2,034.80","2,037.75","366,636,000"
"Dec 23, 2016","2,036.17","2,037.71","2,031.54","2,035.90","310,882,000"
"Dec 22, 2016","2,041.61","2,042.90","2,033.99","2,035.73","275,096,000"
"Dec 21, 2016","2,049.47","2,053.46","2,037.96","2,037.96","284,570,000"
"Dec 20, 2016","2,044.87","2,047.38","2,040.81","2,041.94","314,221,000"
"Dec 19, 2016","2,039.40","2,046.03","2,037.04","2,038.39","249,870,000"
"Dec 16, 2016","2,037.35","2,043.60","2,033.23","2,042.24","289,708,000"
"Dec 15, 2016","2,022.14","2,040.62","2,021.76","2,036.65","300,190,000"
"Dec 14, 2016","2,043.07","2,044.42","2,031.18","2,036.87","384,033,000"
"Dec 13, 2016","2,026.39","2,035.99","2,023.61","2,035.98","383,364,000"
"Dec 12, 2016","2,031.95","2,031.95","2,020.97","2,027.24","289,804,000"
"Dec 9, 2016","2,024.52","2,026.83","2,019.79","2,024.69","225,657,000"
"Dec 8, 2016","2,008.31","2,031.07","2,007.57","2,031.07","239,428,000"
"Dec 7, 2016","1,995.69","1,997.62","1,987.26","1,991.89","204,410,000"
"Dec 6, 2016","1,976.51","1,993.47","1,976.51","1,989.86","214,649,000"
"Dec 5, 2016","1,965.71","1,971.24","1,960.65","1,963.36","237,190,000"
"Dec 2, 2016","1,980.14","1,981.64","1,966.42","1,970.61","243,181,000"
"Dec 1, 2016","1,987.48","1,989.08","1,979.67","1,983.75","217,875,000"
"Nov 30, 2016","1,980.38","1,988.44","1,977.09","1,983.48","233,085,000"
"Nov 29, 2016","1,977.10","1,982.53","1,972.31","1,978.39","214,565,000"
"Nov 28, 2016","1,976.58","1,983.43","1,966.78","1,978.13","213,578,000"
"Nov 25, 2016","1,972.60","1,978.45","1,969.09","1,974.46","201,938,000"
"Nov 24, 2016","1,985.11","1,988.96","1,968.50","1,971.26","235,443,000"
"Nov 23, 2016","1,987.64","1,996.65","1,981.22","1,987.95","308,200,000"
"Nov 22, 2016","1,976.07","1,986.82","1,974.05","1,983.47","231,368,000"
"Nov 21, 2016","1,971.03","1,976.23","1,962.42","1,966.05","223,512,000"
"Nov 18, 2016","1,983.07","1,983.26","1,968.13","1,974.58","306,956,000"
"Nov 17, 2016","1,976.21","1,983.87","1,968.80","1,980.55","272,172,000"
"Nov 16, 2016","1,980.82","1,985.67","1,976.63","1,979.65","306,499,000"
"Nov 15, 2016","1,977.33","1,978.94","1,967.21","1,967.53","375,663,000"
"Nov 14, 2016","1,982.93","1,988.65","1,974.27","1,974.40","352,116,000"
"Nov 11, 2016","1,988.87","1,994.05","1,982.15","1,984.43","386,856,000"
"Nov 10, 2016","1,989.85","2,002.60","1,983.26","2,002.60","433,884,000"
"Nov 9, 2016","2,008.08","2,015.23","1,931.07","1,958.38","709,043,000"
"Nov 8, 2016","2,009.56","2,010.17","1,994.33","2,003.38","239,579,000"
"Nov 7, 2016","1,997.58","2,001.74","1,992.14","1,997.58","210,333,000"
"Nov 4, 2016","1,983.87","1,985.29","1,976.57","1,982.02","227,776,000"
"Nov 3, 2016","1,974.93","1,988.82","1,973.58","1,983.80","272,728,000"
"Nov 2, 2016","1,995.41","1,997.46","1,976.34","1,978.94","333,529,000"
"Nov 1, 2016","2,003.41","2,010.51","1,990.45","2,007.39","321,774,000"
"Oct 31, 2016","2,011.29","2,016.01","2,005.95","2,008.19","400,664,000"
"Oct 28, 2016","2,021.97","2,026.85","2,015.72","2,019.42","270,531,000"
"Oct 27, 2016","2,018.24","2,026.33","2,015.66","2,024.12","298,690,000"
"Oct 26, 2016","2,030.37","2,030.37","2,002.29","2,013.89","392,402,000"
"Oct 25, 2016","2,042.29","2,042.65","2,031.25","2,037.17","299,101,000"
"Oct 24, 2016","2,037.19","2,047.74","2,036.77","2,047.74","252,041,000"
"Oct 21, 2016","2,039.40","2,040.40","2,029.79","2,033.00","260,354,000"
"Oct 20, 2016","2,044.12","2,048.25","2,036.54","2,040.60","276,001,000"
"Oct 19, 2016","2,036.18","2,050.51","2,035.90","2,040.94","321,940,000"
"Oct 18, 2016","2,027.81","2,040.72","2,026.47","2,040.43","305,931,000"
"Oct 17, 2016","2,028.93","2,033.56","2,011.81","2,027.61","333,402,000"
"Oct 14, 2016","2,021.66","2,028.76","2,021.11","2,022.66","458,904,000"
"Oct 13, 2016","2,033.99","2,035.93","2,014.89","2,015.44","440,255,000"
"Oct 12, 2016","2,022.97","2,037.02","2,022.39","2,033.73","297,373,000"
"Oct 11, 2016","2,053.29","2,060.78","2,030.51","2,031.93","343,215,000"
"Oct 10, 2016","2,047.19","2,058.73","2,039.99","2,056.82","314,895,000"
"Oct 7, 2016","2,065.95","2,067.49","2,051.60","2,053.80","422,446,000"
"Oct 6, 2016","2,069.30","2,070.43","2,055.83","2,065.30","337,709,000"
"Oct 5, 2016","2,043.37","2,056.01","2,036.87","2,053.00","292,345,000"
"Oct 4, 2016","2,056.94","2,059.25","2,050.46","2,054.86","318,854,000"
"Sep 30, 2016","2,054.25","2,056.33","2,042.77","2,043.63","326,386,000"
"Sep 29, 2016","2,063.74","2,072.09","2,063.74","2,068.72","416,168,000"
"Sep 28, 2016","2,062.57","2,062.98","2,051.68","2,053.06","546,450,000"
"Sep 27, 2016","2,037.32","2,064.89","2,031.13","2,062.82","664,040,000"
"Sep 26, 2016","2,052.76","2,060.71","2,042.70","2,047.11","359,615,000"
"Sep 23, 2016","2,053.22","2,057.35","2,048.96","2,054.07","494,112,000"
"Sep 22, 2016","2,050.31","2,060.26","2,048.80","2,049.70","447,589,000"
"Sep 21, 2016","2,022.81","2,035.99","2,021.78","2,035.99","525,096,000"
"Sep 20, 2016","2,014.50","2,026.56","2,010.25","2,025.71","362,345,000"
"Sep 19, 2016","1,997.43","2,019.45","1,997.10","2,015.78","434,438,000"
"Sep 13, 2016","2,011.93","2,013.03","1,997.58","1,999.36","437,424,000"
"Sep 12, 2016","2,003.67","2,011.04","1,991.47","1,991.48","422,882,000"
"Sep 9, 2016","2,048.94","2,049.30","2,029.46","2,037.87","392,682,000"
"Sep 8, 2016","2,064.96","2,070.66","2,053.20","2,063.73","656,653,000"
