Date,Open,High,Low,Close,Volume
31-Mar-17,38000.00,38350.00,37500.00,38200.00,413582
30-Mar-17,37000.00,38150.00,36700.00,38150.00,442257
29-Mar-17,37000.00,37100.00,36400.00,37000.00,209670
28-Mar-17,37550.00,37550.00,36600.00,36800.00,186343
27-Mar-17,36700.00,37300.00,36600.00,37300.00,180958
24-Mar-17,37300.00,37500.00,36550.00,37150.00,319064
23-Mar-17,37850.00,37850.00,36900.00,37300.00,289487
22-Mar-17,36250.00,37600.00,36100.00,37500.00,834356
21-Mar-17,36400.00,36400.00,35750.00,35950.00,437098
20-Mar-17,35900.00,36350.00,35650.00,35950.00,405211
17-Mar-17,34950.00,36100.00,34600.00,35900.00,508946
16-Mar-17,34850.00,35150.00,34400.00,34600.00,271100
15-Mar-17,34400.00,34500.00,34200.00,34350.00,226163
14-Mar-17,33800.00,34350.00,33750.00,34200.00,323071
13-Mar-17,33850.00,34250.00,33750.00,33750.00,281373
10-Mar-17,33900.00,34400.00,33750.00,33750.00,455137
9-Mar-17,33800.00,34500.00,33800.00,34000.00,378438
8-Mar-17,34050.00,34400.00,33900.00,34250.00,255539
7-Mar-17,33350.00,34350.00,33350.00,34250.00,375034
6-Mar-17,34400.00,34450.00,33200.00,33350.00,468725
3-Mar-17,34500.00,34900.00,34200.00,34350.00,222020
2-Mar-17,35750.00,35750.00,34450.00,34700.00,479632
28-Feb-17,35750.00,35750.00,35100.00,35350.00,324196
27-Feb-17,35750.00,35750.00,35400.00,35650.00,279069
24-Feb-17,35650.00,35700.00,34900.00,35450.00,471932
23-Feb-17,34950.00,35450.00,34400.00,35450.00,422312
22-Feb-17,34450.00,34700.00,34200.00,34650.00,286093
21-Feb-17,34200.00,34500.00,34200.00,34500.00,166412
20-Feb-17,34150.00,34450.00,34100.00,34450.00,278884
17-Feb-17,34300.00,34550.00,34100.00,34150.00,323389
16-Feb-17,35300.00,35350.00,34200.00,34300.00,773293
15-Feb-17,35250.00,35800.00,35250.00,35600.00,209803
14-Feb-17,35500.00,35550.00,35150.00,35500.00,314238
13-Feb-17,35000.00,35450.00,34900.00,35200.00,262467
10-Feb-17,35400.00,35450.00,34900.00,34900.00,352493
9-Feb-17,35000.00,35500.00,34800.00,35350.00,430364
8-Feb-17,35000.00,35400.00,34750.00,35000.00,374078
7-Feb-17,35000.00,35600.00,34850.00,35450.00,387699
6-Feb-17,34900.00,35100.00,34550.00,35100.00,485375
3-Feb-17,34800.00,34950.00,34100.00,34500.00,403362
2-Feb-17,34150.00,34800.00,33900.00,34550.00,642101
1-Feb-17,33000.00,34100.00,32700.00,34000.00,596652
31-Jan-17,32700.00,32750.00,32150.00,32700.00,372733
26-Jan-17,32950.00,33100.00,32650.00,32650.00,397854
25-Jan-17,33850.00,34050.00,32400.00,32950.00,614710
24-Jan-17,34000.00,34200.00,33750.00,33900.00,404356
23-Jan-17,34150.00,34500.00,34000.00,34050.00,277535
20-Jan-17,34300.00,34400.00,34000.00,34000.00,290237
19-Jan-17,34500.00,35100.00,34150.00,34200.00,285687
18-Jan-17,34950.00,35000.00,34500.00,34500.00,256973
17-Jan-17,35000.00,35150.00,34800.00,34950.00,165977
16-Jan-17,35050.00,35100.00,34550.00,34950.00,258503
13-Jan-17,34650.00,35150.00,34650.00,35100.00,228282
12-Jan-17,34450.00,35200.00,34450.00,34650.00,340443
11-Jan-17,34600.00,34900.00,34400.00,34500.00,290366
10-Jan-17,34550.00,34850.00,34350.00,34800.00,391253
9-Jan-17,35800.00,36000.00,34500.00,34550.00,509399
6-Jan-17,36300.00,36600.00,36000.00,36050.00,325248
5-Jan-17,36050.00,36650.00,36050.00,36650.00,327924
4-Jan-17,35550.00,36300.00,35500.00,36300.00,309622
3-Jan-17,35750.00,35800.00,35300.00,35550.00,391357
2-Jan-17,35900.00,36150.00,35600.00,35700.00,188561
29-Dec-16,35900.00,36200.00,35750.00,35750.00,326058
28-Dec-16,36400.00,36650.00,36250.00,36250.00,175188
27-Dec-16,37350.00,37500.00,37100.00,37150.00,211941
26-Dec-16,37500.00,37550.00,36950.00,37350.00,194243
23-Dec-16,36750.00,37550.00,36650.00,37550.00,245650
22-Dec-16,36900.00,37250.00,36550.00,36950.00,242598
21-Dec-16,36600.00,36800.00,36250.00,36550.00,262044
20-Dec-16,37050.00,37300.00,36600.00,36650.00,142135
19-Dec-16,36700.00,37300.00,36600.00,37050.00,238449
16-Dec-16,37500.00,37500.00,36650.00,36650.00,347223
15-Dec-16,36800.00,37350.00,36600.00,37050.00,213350
14-Dec-16,37200.00,37650.00,37050.00,37350.00,272823
13-Dec-16,36750.00,37200.00,36750.00,37050.00,206486
12-Dec-16,37400.00,37800.00,36800.00,36900.00,249831
9-Dec-16,37250.00,37500.00,37200.00,37400.00,208828
8-Dec-16,37050.00,37750.00,36800.00,37750.00,445481
7-Dec-16,36800.00,37000.00,36550.00,36850.00,260081
6-Dec-16,36750.00,36900.00,36250.00,36550.00,286737
5-Dec-16,36350.00,36800.00,36050.00,36250.00,167265
2-Dec-16,37000.00,37200.00,36150.00,36300.00,233667
1-Dec-16,35650.00,36850.00,35600.00,36800.00,374031
30-Nov-16,36700.00,36850.00,35650.00,35650.00,807540
29-Nov-16,36900.00,37400.00,36650.00,37150.00,207985
28-Nov-16,37100.00,37800.00,36950.00,37200.00,215515
25-Nov-16,36650.00,37450.00,36600.00,37450.00,381837
24-Nov-16,36250.00,37000.00,36100.00,36850.00,385758
23-Nov-16,35650.00,36200.00,35550.00,36100.00,373697
22-Nov-16,35600.00,36200.00,35400.00,35900.00,292047
21-Nov-16,35800.00,35800.00,35350.00,35350.00,181308
18-Nov-16,35800.00,36100.00,35600.00,35600.00,267308
17-Nov-16,35500.00,36000.00,35450.00,36000.00,242332
16-Nov-16,35450.00,35850.00,35450.00,35450.00,456831
15-Nov-16,36000.00,36150.00,35500.00,35600.00,461323
14-Nov-16,36600.00,36850.00,36050.00,36150.00,265541
11-Nov-16,37400.00,37450.00,36400.00,36500.00,500422
10-Nov-16,36950.00,37500.00,36700.00,37500.00,426687
9-Nov-16,36950.00,37100.00,36200.00,36850.00,455235
8-Nov-16,36450.00,36650.00,36150.00,36600.00,234612
7-Nov-16,37500.00,37500.00,36400.00,36450.00,473429
4-Nov-16,36200.00,37200.00,36100.00,37200.00,461575
3-Nov-16,38150.00,38150.00,35550.00,36000.00,823740
2-Nov-16,38400.00,38450.00,37800.00,38150.00,152117
1-Nov-16,38100.00,38500.00,38000.00,38450.00,147742
31-Oct-16,38100.00,38450.00,37950.00,37950.00,221683
28-Oct-16,38400.00,38550.00,38000.00,38500.00,184067
27-Oct-16,38850.00,39000.00,38300.00,38900.00,161505
26-Oct-16,38550.00,38850.00,38200.00,38550.00,175510
25-Oct-16,39400.00,39550.00,38650.00,38850.00,188731
24-Oct-16,38950.00,39500.00,38650.00,39500.00,253924
21-Oct-16,39000.00,39100.00,38500.00,38750.00,149396
20-Oct-16,39050.00,39200.00,38650.00,39150.00,207011
19-Oct-16,38550.00,39050.00,38400.00,39050.00,251699
18-Oct-16,38450.00,38700.00,38250.00,38700.00,242976
17-Oct-16,38200.00,38500.00,38000.00,38400.00,404734
14-Oct-16,37950.00,38250.00,37700.00,37700.00,298171
13-Oct-16,38200.00,38250.00,37700.00,37900.00,421819
12-Oct-16,38500.00,38600.00,38150.00,38350.00,361853
11-Oct-16,38750.00,38850.00,38150.00,38250.00,272804
10-Oct-16,38450.00,38800.00,38100.00,38350.00,215678
7-Oct-16,37850.00,38550.00,37800.00,38000.00,286679
6-Oct-16,38500.00,38750.00,37750.00,38000.00,512689
5-Oct-16,39000.00,39250.00,38200.00,38850.00,416485
4-Oct-16,39450.00,39700.00,39050.00,39100.00,176103
30-Sep-16,40100.00,40150.00,39200.00,39300.00,316830
29-Sep-16,39700.00,40200.00,39700.00,39950.00,134738
28-Sep-16,39800.00,40300.00,39500.00,39700.00,168717
27-Sep-16,40000.00,40250.00,39400.00,40150.00,191694
26-Sep-16,39950.00,40000.00,39750.00,39900.00,135903
23-Sep-16,40150.00,40150.00,39400.00,39800.00,332152
22-Sep-16,39700.00,40000.00,39500.00,39600.00,219433
21-Sep-16,39000.00,39500.00,38550.00,39500.00,302757
20-Sep-16,38150.00,39000.00,38150.00,39000.00,405611
19-Sep-16,38200.00,39300.00,38100.00,38400.00,376873
13-Sep-16,39300.00,39400.00,38450.00,38450.00,383201
12-Sep-16,39750.00,39750.00,39000.00,39300.00,223217
9-Sep-16,39600.00,39650.00,39150.00,39300.00,202541
8-Sep-16,40000.00,40100.00,39750.00,39900.00,287516
7-Sep-16,39900.00,40200.00,39850.00,40000.00,178671
6-Sep-16,40150.00,40500.00,39850.00,40000.00,173817
5-Sep-16,40200.00,40600.00,40050.00,40500.00,137549
2-Sep-16,40400.00,40400.00,39800.00,40050.00,155559
1-Sep-16,39700.00,40300.00,39400.00,40200.00,239580
31-Aug-16,40000.00,40200.00,39400.00,39450.00,311780
30-Aug-16,40500.00,40550.00,40050.00,40200.00,217913
29-Aug-16,40100.00,40550.00,39600.00,40500.00,280782
26-Aug-16,39600.00,40300.00,39600.00,40100.00,239857
25-Aug-16,39600.00,40300.00,39400.00,39600.00,378780
24-Aug-16,39800.00,39800.00,39350.00,39600.00,242358
23-Aug-16,39450.00,39600.00,39000.00,39500.00,357567
22-Aug-16,39800.00,40450.00,39350.00,39450.00,307468
