Date,Open,High,Low,Close,Volume
31-Mar-17,57200.00,57800.00,56700.00,57600.00,379881
30-Mar-17,57100.00,57100.00,55900.00,56600.00,395020
29-Mar-17,58100.00,58100.00,56900.00,57100.00,317488
28-Mar-17,57900.00,58300.00,57500.00,57900.00,245497
27-Mar-17,58300.00,58600.00,57600.00,57900.00,237211
24-Mar-17,58100.00,58400.00,57300.00,58000.00,281914
23-Mar-17,57700.00,58300.00,57200.00,58000.00,361164
22-Mar-17,57600.00,57900.00,57100.00,57200.00,251585
21-Mar-17,57400.00,57600.00,57000.00,57600.00,285838
20-Mar-17,57300.00,57500.00,56500.00,56800.00,373919
17-Mar-17,57500.00,58100.00,57000.00,57800.00,346027
16-Mar-17,58200.00,58600.00,56700.00,57200.00,490626
15-Mar-17,57700.00,58200.00,57300.00,57800.00,242759
14-Mar-17,58900.00,59200.00,57600.00,57800.00,519613
13-Mar-17,59600.00,59700.00,58400.00,58800.00,460554
10-Mar-17,57600.00,59000.00,57300.00,59000.00,872627
9-Mar-17,56800.00,58000.00,56500.00,57300.00,407600
8-Mar-17,57200.00,57800.00,56600.00,56700.00,232895
7-Mar-17,57800.00,57900.00,56900.00,57200.00,319982
6-Mar-17,56600.00,57900.00,56500.00,57700.00,499310
3-Mar-17,56600.00,56900.00,55600.00,56300.00,326895
2-Mar-17,58100.00,58400.00,56700.00,56800.00,541911
28-Feb-17,58300.00,58400.00,57200.00,58300.00,395210
27-Feb-17,56900.00,58100.00,56900.00,57700.00,302232
24-Feb-17,58000.00,58000.00,56700.00,57200.00,426189
23-Feb-17,58000.00,58200.00,57500.00,57800.00,547445
22-Feb-17,56800.00,57500.00,56100.00,57300.00,496184
21-Feb-17,56000.00,56600.00,55900.00,56400.00,356161
20-Feb-17,55600.00,56800.00,55400.00,56000.00,553227
17-Feb-17,54800.00,55300.00,54300.00,55300.00,375252
16-Feb-17,56300.00,56400.00,54600.00,55000.00,738402
15-Feb-17,56200.00,57200.00,56100.00,56500.00,738908
14-Feb-17,55200.00,56800.00,54900.00,55800.00,978813
13-Feb-17,54500.00,55200.00,53200.00,54500.00,1206993
10-Feb-17,56900.00,57000.00,54100.00,54400.00,1714112
9-Feb-17,56900.00,57900.00,56200.00,56600.00,932166
8-Feb-17,58600.00,58800.00,56600.00,56800.00,1164096
7-Feb-17,59000.00,59700.00,58600.00,58700.00,521642
6-Feb-17,60200.00,60300.00,58600.00,58700.00,1030265
3-Feb-17,61400.00,61700.00,57700.00,61000.00,2202001
2-Feb-17,63500.00,65300.00,63200.00,65300.00,625100
1-Feb-17,62600.00,63200.00,62100.00,62600.00,387939
31-Jan-17,62500.00,62800.00,60900.00,62000.00,339579
26-Jan-17,61800.00,63300.00,61800.00,62100.00,388260
25-Jan-17,63800.00,64500.00,61600.00,61800.00,877097
24-Jan-17,66800.00,67000.00,63600.00,64300.00,724683
23-Jan-17,66100.00,66700.00,65100.00,66400.00,259123
20-Jan-17,66900.00,66900.00,65900.00,66100.00,376934
