Date,Open,High,Low,Close,Volume
31-Mar-17,45200.00,45500.00,44500.00,44950.00,183028
30-Mar-17,44200.00,45300.00,43900.00,45250.00,235621
29-Mar-17,44100.00,44500.00,44000.00,44100.00,146355
28-Mar-17,44550.00,44750.00,43900.00,44000.00,174557
27-Mar-17,44450.00,44900.00,44350.00,44650.00,90810
24-Mar-17,45350.00,45650.00,44400.00,44750.00,196606
23-Mar-17,45650.00,45950.00,45250.00,45450.00,153726
22-Mar-17,45200.00,45650.00,44500.00,45600.00,245962
21-Mar-17,47000.00,47000.00,44300.00,45000.00,560866
20-Mar-17,46850.00,47100.00,46400.00,46950.00,88704
17-Mar-17,47450.00,47500.00,46350.00,46900.00,205239
16-Mar-17,47500.00,47500.00,46650.00,47400.00,166443
15-Mar-17,47100.00,47600.00,46400.00,46850.00,187222
14-Mar-17,47000.00,47800.00,47000.00,47150.00,127630
13-Mar-17,47150.00,47900.00,47000.00,47350.00,119967
10-Mar-17,46650.00,47450.00,46050.00,47200.00,255091
9-Mar-17,48000.00,48350.00,46950.00,46950.00,207229
8-Mar-17,47300.00,48450.00,47100.00,48450.00,153525
7-Mar-17,47500.00,48450.00,47100.00,47750.00,95110
6-Mar-17,47200.00,47550.00,46650.00,47300.00,149448
3-Mar-17,47900.00,48100.00,46950.00,47500.00,111753
2-Mar-17,49100.00,49100.00,47700.00,48200.00,186100
28-Feb-17,49000.00,49000.00,48200.00,48950.00,149923
27-Feb-17,49200.00,49450.00,48450.00,48850.00,111058
24-Feb-17,49050.00,49300.00,48650.00,49150.00,136429
23-Feb-17,48550.00,49050.00,47900.00,48800.00,155492
22-Feb-17,48800.00,49700.00,48050.00,48250.00,164886
21-Feb-17,48600.00,48750.00,48150.00,48650.00,87248
20-Feb-17,48400.00,48750.00,48050.00,48550.00,81418
17-Feb-17,48450.00,48850.00,47650.00,48400.00,105636
16-Feb-17,48800.00,49450.00,48150.00,48500.00,144330
15-Feb-17,47500.00,49450.00,47400.00,49150.00,315866
14-Feb-17,49000.00,49000.00,48100.00,48500.00,97577
13-Feb-17,48150.00,49000.00,48000.00,48900.00,229739
10-Feb-17,48200.00,48200.00,47350.00,47700.00,108378
9-Feb-17,46700.00,48000.00,46500.00,47800.00,235125
8-Feb-17,46350.00,46950.00,46250.00,46700.00,126783
7-Feb-17,46150.00,47000.00,46150.00,46550.00,147174
6-Feb-17,46700.00,46950.00,45600.00,46050.00,133492
3-Feb-17,46700.00,47150.00,45850.00,46050.00,146522
2-Feb-17,46850.00,47300.00,46300.00,46950.00,146896
1-Feb-17,46900.00,47200.00,46550.00,46800.00,138166
31-Jan-17,45300.00,46900.00,45300.00,46300.00,170015
26-Jan-17,45800.00,46450.00,45600.00,45900.00,120349
25-Jan-17,46000.00,46400.00,45600.00,45800.00,147279
24-Jan-17,46050.00,46200.00,45200.00,45800.00,195343
23-Jan-17,47100.00,47550.00,46100.00,46200.00,179115
20-Jan-17,47100.00,47800.00,46900.00,47550.00,133777
19-Jan-17,47350.00,47900.00,46900.00,47200.00,164529
18-Jan-17,47550.00,47950.00,47250.00,47950.00,89627
17-Jan-17,47300.00,48000.00,47300.00,47550.00,93604
16-Jan-17,47900.00,48000.00,47400.00,48000.00,99043
13-Jan-17,48400.00,48400.00,47100.00,47750.00,142968
12-Jan-17,48700.00,48800.00,47750.00,48200.00,228206
11-Jan-17,47050.00,48700.00,47050.00,48700.00,147120
10-Jan-17,47000.00,47700.00,46200.00,47700.00,216484
9-Jan-17,47300.00,47750.00,47000.00,47550.00,90249
6-Jan-17,47000.00,47750.00,46750.00,47750.00,119673
5-Jan-17,48150.00,48150.00,46950.00,47200.00,208959
4-Jan-17,47350.00,48200.00,46950.00,47850.00,212486
3-Jan-17,48300.00,48650.00,47200.00,47600.00,202856
2-Jan-17,48100.00,48650.00,47650.00,48300.00,80292
29-Dec-16,49150.00,49350.00,48200.00,48450.00,168145
28-Dec-16,48650.00,49700.00,48250.00,49300.00,181427
27-Dec-16,49050.00,49500.00,48700.00,49050.00,170840
26-Dec-16,48000.00,49300.00,48000.00,49050.00,161701
23-Dec-16,47650.00,48600.00,47450.00,48250.00,150526
22-Dec-16,47800.00,48000.00,47250.00,47950.00,109437
21-Dec-16,48000.00,48000.00,47100.00,47800.00,219423
20-Dec-16,48500.00,48850.00,47600.00,47750.00,169463
19-Dec-16,48750.00,48800.00,48100.00,48500.00,115809
16-Dec-16,48350.00,49000.00,48000.00,48750.00,200396
15-Dec-16,47400.00,49200.00,47350.00,48850.00,213979
14-Dec-16,48050.00,48800.00,48050.00,48400.00,149308
13-Dec-16,48900.00,48900.00,47650.00,48400.00,244110
12-Dec-16,47600.00,48850.00,47600.00,48650.00,404158
9-Dec-16,46550.00,47800.00,46550.00,47250.00,284939
8-Dec-16,45500.00,47300.00,45450.00,47100.00,445635
7-Dec-16,46300.00,46300.00,45200.00,45450.00,191472
6-Dec-16,45700.00,46200.00,45300.00,45950.00,194098
5-Dec-16,44850.00,45750.00,44500.00,45450.00,200356
2-Dec-16,44850.00,45250.00,44500.00,44750.00,106680
1-Dec-16,44000.00,45500.00,43850.00,44800.00,466828
30-Nov-16,43250.00,43700.00,42850.00,42850.00,231065
29-Nov-16,43950.00,43950.00,43300.00,43400.00,114528
28-Nov-16,44800.00,44800.00,43650.00,44000.00,166038
25-Nov-16,44850.00,44900.00,44200.00,44850.00,128978
