Date,Open,High,Low,Close,Volume
31-Mar-17,438500.00,438500.00,429000.00,432000.00,69845
30-Mar-17,437500.00,441000.00,429000.00,434500.00,257756
29-Mar-17,419500.00,420000.00,413000.00,419000.00,33841
28-Mar-17,419500.00,423000.00,416000.00,418000.00,41045
27-Mar-17,413500.00,422500.00,413500.00,418000.00,78039
24-Mar-17,417500.00,418000.00,409000.00,413500.00,61384
23-Mar-17,405000.00,418000.00,403500.00,417000.00,69273
22-Mar-17,411500.00,414000.00,403000.00,403500.00,74827
21-Mar-17,418500.00,420000.00,407000.00,414500.00,54485
20-Mar-17,421500.00,422000.00,412000.00,417000.00,61373
17-Mar-17,410000.00,420000.00,408500.00,418500.00,136052
16-Mar-17,396500.00,409000.00,396500.00,408000.00,106498
15-Mar-17,400000.00,401000.00,387500.00,392500.00,103795
14-Mar-17,402500.00,404000.00,398000.00,399500.00,80544
13-Mar-17,405500.00,406500.00,399000.00,399500.00,135767
10-Mar-17,406500.00,408500.00,403000.00,406500.00,58401
9-Mar-17,407000.00,415000.00,406000.00,406000.00,74177
8-Mar-17,409000.00,411000.00,406000.00,409000.00,92428
7-Mar-17,411500.00,413000.00,406500.00,409000.00,102789
6-Mar-17,422000.00,422000.00,410000.00,410500.00,107548
3-Mar-17,424000.00,427000.00,420000.00,420000.00,75565
2-Mar-17,423000.00,427000.00,416500.00,424500.00,118007
28-Feb-17,411500.00,424000.00,411500.00,416500.00,85715
27-Feb-17,418000.00,418500.00,413500.00,415000.00,46655
24-Feb-17,417000.00,419500.00,411000.00,415500.00,83133
23-Feb-17,429000.00,429000.00,409500.00,416500.00,224021
22-Feb-17,429500.00,438000.00,428500.00,428500.00,50778
21-Feb-17,423500.00,433500.00,423500.00,430000.00,67786
20-Feb-17,426500.00,428500.00,420000.00,422500.00,66978
17-Feb-17,430000.00,433000.00,425000.00,426500.00,66622
16-Feb-17,431000.00,434500.00,426000.00,429500.00,49395
15-Feb-17,430500.00,433500.00,427500.00,431000.00,50318
14-Feb-17,435000.00,436000.00,427000.00,427000.00,69064
13-Feb-17,421000.00,437500.00,419500.00,430000.00,115107
10-Feb-17,428500.00,428500.00,417500.00,417500.00,129282
9-Feb-17,431000.00,434500.00,422500.00,425000.00,161303
8-Feb-17,438500.00,442500.00,418000.00,427500.00,291455
7-Feb-17,491000.00,491000.00,435000.00,435500.00,258717
6-Feb-17,496000.00,496000.00,487000.00,487000.00,19772
3-Feb-17,493000.00,494500.00,486500.00,493500.00,21023
2-Feb-17,495500.00,497000.00,488000.00,488000.00,33953
1-Feb-17,490000.00,504000.00,486000.00,500000.00,33844
31-Jan-17,491000.00,496000.00,490000.00,490000.00,24148
26-Jan-17,502000.00,505000.00,486500.00,491500.00,48930
25-Jan-17,511000.00,511000.00,499000.00,507000.00,26631
24-Jan-17,509000.00,510000.00,500000.00,506000.00,13149
23-Jan-17,501000.00,509000.00,500000.00,504000.00,16886
20-Jan-17,515000.00,515000.00,496500.00,503000.00,36336
19-Jan-17,517000.00,519000.00,508000.00,515000.00,21983
18-Jan-17,516000.00,518000.00,506000.00,512000.00,27639
17-Jan-17,508000.00,515000.00,505000.00,511000.00,39476
16-Jan-17,518000.00,519000.00,505000.00,508000.00,35166
13-Jan-17,510000.00,517000.00,506000.00,516000.00,32231
12-Jan-17,512000.00,520000.00,506000.00,510000.00,29589
11-Jan-17,482500.00,510000.00,482500.00,508000.00,85070
10-Jan-17,485000.00,488000.00,478500.00,479500.00,33755
9-Jan-17,482000.00,491500.00,482000.00,489000.00,33155
6-Jan-17,484000.00,495000.00,482000.00,482000.00,54007
5-Jan-17,478000.00,482500.00,472000.00,480000.00,28668
4-Jan-17,479500.00,482500.00,476500.00,478000.00,31754
3-Jan-17,484500.00,484500.00,476500.00,476500.00,29566
2-Jan-17,468000.00,487000.00,468000.00,484000.00,31324
29-Dec-16,466500.00,475000.00,462000.00,475000.00,25487
28-Dec-16,471500.00,476000.00,466000.00,467000.00,28973
27-Dec-16,472000.00,478500.00,472000.00,473500.00,27331
26-Dec-16,480500.00,480500.00,473000.00,473500.00,21596
23-Dec-16,479000.00,479000.00,473500.00,479000.00,21887
22-Dec-16,475500.00,479500.00,473500.00,479500.00,25459
21-Dec-16,477000.00,480500.00,474500.00,475500.00,28724
20-Dec-16,479500.00,480500.00,475000.00,477000.00,27104
19-Dec-16,483000.00,484500.00,476000.00,480500.00,19141
16-Dec-16,485500.00,486000.00,476500.00,482000.00,47599
15-Dec-16,488000.00,494000.00,485000.00,489500.00,22928
14-Dec-16,498000.00,498500.00,490500.00,490500.00,28683
13-Dec-16,497500.00,502000.00,491000.00,498500.00,25383
12-Dec-16,498000.00,502000.00,492000.00,497000.00,21717
9-Dec-16,503000.00,510000.00,492000.00,494500.00,37978
8-Dec-16,515000.00,515000.00,499500.00,507000.00,33337
7-Dec-16,505000.00,509000.00,499000.00,509000.00,27687
6-Dec-16,499000.00,509000.00,496000.00,507000.00,56598
5-Dec-16,472000.00,495000.00,470000.00,491500.00,72498
2-Dec-16,471000.00,471500.00,464500.00,469500.00,25135
1-Dec-16,471000.00,472500.00,463000.00,470000.00,39292
30-Nov-16,477000.00,481500.00,470500.00,472000.00,57320
29-Nov-16,482000.00,485000.00,477000.00,485000.00,39916
28-Nov-16,471000.00,480500.00,471000.00,476000.00,31946
25-Nov-16,480000.00,484000.00,468500.00,471000.00,27636
24-Nov-16,477000.00,486000.00,476500.00,478500.00,27214
23-Nov-16,471000.00,484000.00,470000.00,480000.00,32112
22-Nov-16,465500.00,476500.00,462500.00,474500.00,31649
21-Nov-16,457000.00,466000.00,455500.00,461000.00,18033
18-Nov-16,470500.00,472500.00,459500.00,460000.00,40868
17-Nov-16,469000.00,477500.00,468000.00,475000.00,17789
16-Nov-16,480000.00,482000.00,469500.00,470000.00,33368
15-Nov-16,472500.00,483000.00,469000.00,478500.00,42400
