Date,Open,High,Low,Close,Volume
31-Mar-17,8800.00,8940.00,8790.00,8900.00,151769
30-Mar-17,8880.00,8890.00,8780.00,8800.00,54976
29-Mar-17,8920.00,8920.00,8820.00,8850.00,81779
28-Mar-17,8920.00,8940.00,8850.00,8920.00,93803
27-Mar-17,8780.00,8930.00,8750.00,8920.00,123310
24-Mar-17,8730.00,8780.00,8730.00,8770.00,65067
23-Mar-17,8720.00,8810.00,8680.00,8730.00,78172
22-Mar-17,8720.00,8810.00,8650.00,8690.00,102234
21-Mar-17,8660.00,8790.00,8660.00,8720.00,63093
20-Mar-17,8840.00,8840.00,8670.00,8710.00,81988
17-Mar-17,8700.00,8810.00,8630.00,8810.00,123645
16-Mar-17,8800.00,8800.00,8660.00,8720.00,86995
15-Mar-17,8590.00,8900.00,8510.00,8670.00,310494
14-Mar-17,8700.00,8780.00,8570.00,8590.00,120982
13-Mar-17,8730.00,8830.00,8690.00,8690.00,88307
10-Mar-17,8840.00,8840.00,8700.00,8740.00,101626
9-Mar-17,8730.00,8920.00,8730.00,8830.00,126455
8-Mar-17,8790.00,8820.00,8710.00,8730.00,64242
7-Mar-17,8860.00,8930.00,8670.00,8770.00,145730
6-Mar-17,8870.00,8970.00,8860.00,8890.00,83078
3-Mar-17,9000.00,9050.00,8880.00,8930.00,86984
2-Mar-17,9090.00,9130.00,8850.00,9050.00,169218
28-Feb-17,9150.00,9270.00,9050.00,9050.00,178080
27-Feb-17,9210.00,9250.00,9150.00,9200.00,162130
24-Feb-17,9160.00,9190.00,9070.00,9180.00,160440
23-Feb-17,9020.00,9160.00,9020.00,9120.00,121217
22-Feb-17,9180.00,9180.00,9020.00,9020.00,73002
21-Feb-17,9040.00,9160.00,9040.00,9120.00,82449
20-Feb-17,9120.00,9130.00,8950.00,9040.00,78394
17-Feb-17,8910.00,9100.00,8910.00,9060.00,68754
16-Feb-17,9190.00,9200.00,8930.00,8950.00,156422
15-Feb-17,8940.00,9210.00,8940.00,9090.00,259441
14-Feb-17,8790.00,8990.00,8750.00,8970.00,225769
13-Feb-17,8530.00,8770.00,8490.00,8750.00,198559
10-Feb-17,8480.00,8580.00,8400.00,8530.00,124686
9-Feb-17,8320.00,8430.00,8200.00,8400.00,69905
8-Feb-17,8340.00,8440.00,8080.00,8280.00,83312
7-Feb-17,8280.00,8400.00,8270.00,8400.00,61458
6-Feb-17,8140.00,8320.00,8140.00,8280.00,55456
3-Feb-17,8250.00,8290.00,8130.00,8130.00,96781
2-Feb-17,8320.00,8360.00,8240.00,8250.00,62952
1-Feb-17,8260.00,8370.00,8200.00,8360.00,50013
31-Jan-17,8190.00,8280.00,8190.00,8260.00,38682
26-Jan-17,8310.00,8320.00,8150.00,8220.00,86106
25-Jan-17,8510.00,8540.00,8300.00,8310.00,110091
24-Jan-17,8510.00,8520.00,8450.00,8510.00,71098
23-Jan-17,8610.00,8620.00,8510.00,8510.00,62393
20-Jan-17,8550.00,8650.00,8520.00,8590.00,57728
19-Jan-17,8660.00,8660.00,8540.00,8550.00,62556
18-Jan-17,8600.00,8640.00,8520.00,8600.00,51839
17-Jan-17,8650.00,8690.00,8560.00,8570.00,102313
16-Jan-17,8710.00,8740.00,8600.00,8650.00,73821
13-Jan-17,8510.00,8710.00,8510.00,8710.00,100488
12-Jan-17,8610.00,8640.00,8500.00,8570.00,118336
11-Jan-17,8690.00,8700.00,8500.00,8600.00,125037
10-Jan-17,8620.00,8750.00,8620.00,8700.00,151893
9-Jan-17,8650.00,8700.00,8600.00,8600.00,77957
6-Jan-17,8790.00,8790.00,8620.00,8650.00,71585
5-Jan-17,8630.00,8780.00,8580.00,8730.00,161570
4-Jan-17,8470.00,8630.00,8460.00,8600.00,131935
3-Jan-17,8410.00,8580.00,8390.00,8500.00,87741
2-Jan-17,8480.00,8510.00,8420.00,8430.00,51121
