Date,Open,High,Low,Close,Volume
31-Mar-17,298000.00,300000.00,294000.00,294000.00,249226
30-Mar-17,298500.00,300000.00,293500.00,297000.00,154991
29-Mar-17,296000.00,300000.00,294000.00,299500.00,369645
28-Mar-17,285000.00,294000.00,284500.00,292500.00,263899
27-Mar-17,286000.00,289000.00,281000.00,282500.00,264243
24-Mar-17,290000.00,290500.00,285500.00,286500.00,221042
23-Mar-17,295000.00,299000.00,287000.00,287000.00,331595
22-Mar-17,293000.00,295500.00,288000.00,290500.00,294535
21-Mar-17,285000.00,296500.00,285000.00,295000.00,521423
20-Mar-17,279500.00,283500.00,278500.00,283000.00,185691
17-Mar-17,279500.00,279500.00,274500.00,279500.00,206721
16-Mar-17,279000.00,282000.00,277500.00,278500.00,221496
15-Mar-17,274000.00,276500.00,273000.00,276000.00,177774
14-Mar-17,273000.00,277500.00,272000.00,274000.00,268979
13-Mar-17,267000.00,270500.00,266500.00,269000.00,168787
10-Mar-17,268500.00,269500.00,264000.00,266500.00,364095
9-Mar-17,274000.00,274500.00,269000.00,269500.00,273485
8-Mar-17,273500.00,277000.00,271000.00,273000.00,294878
7-Mar-17,275500.00,279500.00,275000.00,277000.00,153453
6-Mar-17,279000.00,280500.00,272000.00,275500.00,415189
3-Mar-17,287500.00,287500.00,278000.00,282000.00,341530
2-Mar-17,286000.00,288000.00,282000.00,287500.00,403949
28-Feb-17,281500.00,284500.00,279500.00,283000.00,208560
27-Feb-17,282000.00,283000.00,277000.00,282500.00,198580
24-Feb-17,285000.00,285000.00,279500.00,281000.00,272284
23-Feb-17,281500.00,284000.00,279000.00,284000.00,294769
22-Feb-17,281000.00,283000.00,279000.00,279500.00,244355
21-Feb-17,279000.00,280500.00,276500.00,278000.00,185618
20-Feb-17,274000.00,278500.00,272000.00,278500.00,197948
17-Feb-17,273000.00,278000.00,273000.00,277000.00,116376
16-Feb-17,283500.00,283500.00,274500.00,275000.00,283646
15-Feb-17,278500.00,283000.00,278000.00,282000.00,229565
14-Feb-17,281500.00,282000.00,274500.00,277000.00,214487
13-Feb-17,282000.00,282500.00,279000.00,279500.00,190803
10-Feb-17,275000.00,281500.00,274000.00,281000.00,370815
9-Feb-17,273000.00,275000.00,270500.00,272000.00,164790
8-Feb-17,273000.00,274000.00,268000.00,270500.00,161873
7-Feb-17,278500.00,278500.00,271500.00,273000.00,165349
6-Feb-17,280000.00,282000.00,277000.00,277500.00,202115
3-Feb-17,276000.00,277000.00,271500.00,275500.00,191803
2-Feb-17,272500.00,279500.00,272500.00,274500.00,311188
1-Feb-17,265000.00,273000.00,265000.00,272500.00,248185
31-Jan-17,268500.00,270000.00,262000.00,262000.00,322140
26-Jan-17,264500.00,274500.00,262500.00,270000.00,325197
25-Jan-17,265000.00,266000.00,262000.00,263500.00,128669
24-Jan-17,264000.00,264500.00,260500.00,263000.00,162420
23-Jan-17,262000.00,265500.00,261000.00,265500.00,200464
20-Jan-17,266000.00,267000.00,259000.00,261000.00,422237
19-Jan-17,272000.00,274000.00,265500.00,270500.00,278156
18-Jan-17,278000.00,278500.00,270000.00,271500.00,304251
17-Jan-17,278000.00,284000.00,276000.00,278500.00,218400
16-Jan-17,282000.00,283500.00,278000.00,278500.00,198076
13-Jan-17,283000.00,287500.00,281000.00,283000.00,283094
12-Jan-17,281000.00,287000.00,278500.00,285000.00,320882
11-Jan-17,269000.00,281000.00,268000.00,280000.00,558067
10-Jan-17,266500.00,270500.00,266000.00,267500.00,191410
9-Jan-17,264500.00,267000.00,261500.00,264500.00,124266
6-Jan-17,268000.00,268500.00,265000.00,266000.00,84263
5-Jan-17,267000.00,268500.00,265000.00,267500.00,148316
4-Jan-17,263000.00,269000.00,262000.00,268500.00,255175
3-Jan-17,255000.00,264000.00,254000.00,262000.00,252947
2-Jan-17,250000.00,255000.00,247500.00,253000.00,294543
29-Dec-16,263000.00,263000.00,255500.00,261000.00,165256
28-Dec-16,263000.00,265000.00,260000.00,261000.00,165409
27-Dec-16,264500.00,266500.00,261500.00,266500.00,296491
26-Dec-16,266500.00,267000.00,261000.00,263000.00,145271
23-Dec-16,266500.00,266500.00,263500.00,266500.00,216126
22-Dec-16,265000.00,265000.00,262000.00,264000.00,170559
21-Dec-16,260500.00,264000.00,259000.00,263500.00,211468
20-Dec-16,261500.00,263000.00,258000.00,258500.00,207236
19-Dec-16,252000.00,260000.00,252000.00,259500.00,349923
16-Dec-16,253000.00,256500.00,251000.00,251000.00,162823
15-Dec-16,246000.00,255000.00,246000.00,253000.00,254535
14-Dec-16,253000.00,255000.00,247000.00,247000.00,197697
13-Dec-16,250500.00,254500.00,249000.00,254500.00,183069
12-Dec-16,255500.00,256500.00,247500.00,249500.00,223680
9-Dec-16,250500.00,253500.00,248500.00,251500.00,211324
8-Dec-16,246000.00,252000.00,245500.00,252000.00,451430
7-Dec-16,242500.00,245000.00,242000.00,244000.00,217106
6-Dec-16,235000.00,243000.00,233000.00,242000.00,356165
5-Dec-16,231500.00,234500.00,228500.00,233000.00,146250
2-Dec-16,230500.00,233500.00,229500.00,231500.00,158099
1-Dec-16,230000.00,231000.00,227000.00,229500.00,164000
30-Nov-16,227000.00,229500.00,224500.00,226500.00,209398
29-Nov-16,224500.00,226500.00,224500.00,226000.00,147982
28-Nov-16,223000.00,226500.00,222000.00,224500.00,269775
25-Nov-16,218500.00,223000.00,215500.00,222500.00,248558
24-Nov-16,231000.00,232000.00,218000.00,219500.00,794063
23-Nov-16,232500.00,236500.00,232000.00,234500.00,172104
22-Nov-16,232500.00,234000.00,230500.00,232500.00,179145
21-Nov-16,232000.00,234500.00,230500.00,230500.00,184410
18-Nov-16,239000.00,239500.00,233500.00,233500.00,179938
17-Nov-16,238000.00,240000.00,236000.00,239500.00,89619
16-Nov-16,243000.00,243000.00,238000.00,238000.00,151770
15-Nov-16,234500.00,241500.00,233000.00,240500.00,232825
14-Nov-16,236500.00,237000.00,233000.00,235500.00,239852
11-Nov-16,240000.00,243000.00,235500.00,236500.00,296741
10-Nov-16,247000.00,247500.00,240000.00,241000.00,397854
9-Nov-16,254000.00,255000.00,237500.00,242000.00,465760
8-Nov-16,253500.00,254500.00,250000.00,252500.00,169540
7-Nov-16,245500.00,250000.00,245000.00,250000.00,225522
4-Nov-16,243500.00,245000.00,242500.00,244500.00,90946
3-Nov-16,243500.00,245500.00,242000.00,245000.00,154430
2-Nov-16,243500.00,244500.00,241000.00,243000.00,122104
1-Nov-16,245500.00,246000.00,240500.00,244500.00,139371
31-Oct-16,240500.00,246500.00,240500.00,246500.00,184827
28-Oct-16,243000.00,245000.00,240000.00,241500.00,189778
27-Oct-16,242500.00,247000.00,242500.00,245500.00,164295
26-Oct-16,246000.00,246500.00,239500.00,242000.00,290058
25-Oct-16,252500.00,253000.00,246000.00,248500.00,289913
24-Oct-16,252000.00,254500.00,250500.00,251000.00,210903
21-Oct-16,252000.00,252500.00,249500.00,250500.00,197938
20-Oct-16,248500.00,253000.00,248000.00,251000.00,401953
19-Oct-16,242500.00,249500.00,242000.00,244500.00,413305
18-Oct-16,240500.00,245500.00,240000.00,245000.00,410551
17-Oct-16,234000.00,240000.00,232500.00,240000.00,281474
14-Oct-16,231000.00,235500.00,230000.00,232500.00,222099
13-Oct-16,236500.00,237000.00,230500.00,230500.00,297518
12-Oct-16,233500.00,238500.00,233000.00,237000.00,247942
11-Oct-16,235000.00,238000.00,232500.00,235000.00,302253
10-Oct-16,234000.00,237000.00,231500.00,232500.00,255960
7-Oct-16,235000.00,235500.00,232000.00,233500.00,260816
6-Oct-16,238500.00,239500.00,233000.00,234000.00,428509
5-Oct-16,237500.00,240000.00,237000.00,240000.00,171358
4-Oct-16,243000.00,243000.00,237000.00,237500.00,250907
30-Sep-16,242000.00,243000.00,239000.00,241500.00,240610
29-Sep-16,245000.00,247500.00,243500.00,244000.00,252494
28-Sep-16,246000.00,246000.00,242000.00,242000.00,184459
27-Sep-16,242500.00,245000.00,242000.00,244000.00,226356
26-Sep-16,242000.00,244000.00,241500.00,242500.00,226358
23-Sep-16,240000.00,242000.00,238000.00,239000.00,234588
22-Sep-16,244500.00,245000.00,238500.00,238500.00,270728
21-Sep-16,233500.00,241000.00,232500.00,241000.00,354284
20-Sep-16,233000.00,235000.00,230000.00,232500.00,356165
19-Sep-16,234000.00,235000.00,227500.00,233000.00,673107
13-Sep-16,248500.00,249500.00,237000.00,237500.00,585389
