Date,Open,High,Low,Close,Volume
31-Mar-17,194500.00,194500.00,191500.00,192000.00,24663
30-Mar-17,200000.00,200000.00,193000.00,194000.00,31995
29-Mar-17,202000.00,202000.00,197000.00,199000.00,25498
28-Mar-17,198000.00,203500.00,197500.00,201000.00,43232
27-Mar-17,195500.00,198500.00,192500.00,196500.00,26750
24-Mar-17,194000.00,196500.00,193000.00,195500.00,21730
23-Mar-17,195500.00,195500.00,191000.00,193000.00,21474
22-Mar-17,195500.00,197000.00,193500.00,194500.00,25941
21-Mar-17,197000.00,197000.00,193000.00,194000.00,16401
20-Mar-17,197500.00,199000.00,194000.00,194500.00,10880
17-Mar-17,196500.00,198000.00,193000.00,197500.00,17928
16-Mar-17,200000.00,203000.00,194000.00,195500.00,34453
15-Mar-17,192000.00,196000.00,190000.00,196000.00,29878
14-Mar-17,196000.00,198000.00,192500.00,193000.00,23919
13-Mar-17,196500.00,201000.00,195000.00,196000.00,19411
10-Mar-17,195000.00,198500.00,193000.00,194500.00,34067
9-Mar-17,195000.00,198500.00,193500.00,193500.00,25692
8-Mar-17,199500.00,200000.00,193000.00,194000.00,43781
7-Mar-17,196000.00,206000.00,195500.00,202500.00,45435
6-Mar-17,194000.00,197500.00,191000.00,194500.00,24187
3-Mar-17,187500.00,206000.00,187500.00,196500.00,73488
2-Mar-17,195000.00,195000.00,188000.00,190000.00,52413
28-Feb-17,198000.00,199500.00,192500.00,195500.00,54882
27-Feb-17,204000.00,204500.00,199000.00,201000.00,17083
24-Feb-17,203500.00,204500.00,199500.00,203500.00,18832
23-Feb-17,205000.00,206000.00,201000.00,202000.00,30475
22-Feb-17,205000.00,206500.00,200500.00,203500.00,22656
21-Feb-17,203500.00,208500.00,203000.00,207000.00,26637
20-Feb-17,207500.00,207500.00,200000.00,202500.00,41266
17-Feb-17,216000.00,226000.00,207000.00,209500.00,107656
16-Feb-17,220500.00,222000.00,215000.00,216000.00,22249
15-Feb-17,215500.00,224500.00,215500.00,219500.00,35126
14-Feb-17,219500.00,220000.00,215500.00,217500.00,23981
13-Feb-17,221000.00,221000.00,215000.00,218500.00,27663
10-Feb-17,215000.00,219500.00,213500.00,218000.00,34227
9-Feb-17,215000.00,215000.00,207000.00,214500.00,39462
8-Feb-17,214000.00,218500.00,211500.00,214500.00,31956
7-Feb-17,220000.00,221000.00,212500.00,213000.00,47820
6-Feb-17,223500.00,223500.00,214000.00,220000.00,60981
3-Feb-17,230000.00,230000.00,220500.00,223000.00,60239
2-Feb-17,216000.00,229000.00,215500.00,227500.00,111646
1-Feb-17,211000.00,222000.00,210000.00,215000.00,92441
31-Jan-17,203000.00,212000.00,203000.00,204000.00,55151
26-Jan-17,198500.00,212500.00,197500.00,205000.00,100389
25-Jan-17,195500.00,198500.00,189500.00,194500.00,42157
24-Jan-17,199500.00,199500.00,191500.00,198500.00,47403
23-Jan-17,195000.00,201500.00,194500.00,198000.00,74990
20-Jan-17,189000.00,207500.00,186000.00,195000.00,226123
19-Jan-17,173000.00,178000.00,172500.00,177500.00,20041
18-Jan-17,172000.00,175000.00,172000.00,173500.00,15580
17-Jan-17,173500.00,174500.00,171500.00,173000.00,20953
16-Jan-17,174500.00,175000.00,171500.00,172500.00,20292
13-Jan-17,172500.00,174000.00,172500.00,173000.00,24075
12-Jan-17,171500.00,173500.00,171500.00,173500.00,31266
11-Jan-17,171500.00,174000.00,171000.00,172500.00,31658
10-Jan-17,174000.00,174500.00,172000.00,172500.00,14207
9-Jan-17,174000.00,177000.00,172000.00,176000.00,18465
6-Jan-17,176000.00,176000.00,174000.00,174000.00,13148
5-Jan-17,173000.00,176000.00,173000.00,175500.00,11858
4-Jan-17,175000.00,175500.00,173000.00,173500.00,22460
3-Jan-17,175000.00,176000.00,173500.00,175000.00,15070
2-Jan-17,176000.00,178000.00,174500.00,176000.00,13669
29-Dec-16,178500.00,178500.00,177000.00,178500.00,10897
28-Dec-16,176000.00,179500.00,176000.00,177000.00,25246
27-Dec-16,179500.00,179500.00,177000.00,178500.00,13756
26-Dec-16,183000.00,183500.00,176500.00,177500.00,25766
23-Dec-16,181500.00,183500.00,180500.00,183000.00,8079
22-Dec-16,179000.00,183000.00,179000.00,181500.00,13371
21-Dec-16,180500.00,182000.00,179000.00,179000.00,11086
20-Dec-16,183000.00,185000.00,179500.00,180000.00,15114
19-Dec-16,186000.00,187000.00,182500.00,183000.00,7353
16-Dec-16,182500.00,184500.00,182000.00,184000.00,11936
15-Dec-16,180500.00,185000.00,180500.00,183500.00,12632
14-Dec-16,185500.00,187500.00,180500.00,180500.00,13325
13-Dec-16,183500.00,186000.00,181500.00,185000.00,13818
12-Dec-16,178000.00,183500.00,178000.00,183000.00,11805
9-Dec-16,182500.00,182500.00,178000.00,179500.00,7998
