Date,Open,High,Low,Close,Volume
31-Mar-17,304500.00,312500.00,302500.00,305000.00,194910
30-Mar-17,306500.00,311000.00,300000.00,302000.00,182607
29-Mar-17,294000.00,308000.00,284000.00,304500.00,361508
28-Mar-17,287000.00,289500.00,282500.00,289500.00,134495
27-Mar-17,285000.00,287500.00,279000.00,284500.00,228613
24-Mar-17,295500.00,296500.00,286500.00,290000.00,100143
23-Mar-17,298500.00,301500.00,293500.00,294500.00,127684
22-Mar-17,296000.00,299000.00,291500.00,297500.00,126604
21-Mar-17,292500.00,301500.00,291000.00,295000.00,209876
20-Mar-17,289000.00,296000.00,288500.00,292000.00,101702
17-Mar-17,296500.00,297500.00,289000.00,292000.00,108954
16-Mar-17,298500.00,300500.00,294000.00,296500.00,104628
15-Mar-17,295000.00,298500.00,291000.00,297500.00,110993
14-Mar-17,297500.00,299000.00,293500.00,295500.00,148242
13-Mar-17,293000.00,298000.00,290500.00,296500.00,188324
10-Mar-17,284000.00,292500.00,277000.00,290000.00,246417
9-Mar-17,283000.00,287000.00,281500.00,281500.00,183060
8-Mar-17,276000.00,283500.00,274500.00,283000.00,212498
7-Mar-17,270000.00,276000.00,262500.00,273500.00,270519
6-Mar-17,270000.00,281500.00,270000.00,276500.00,359184
3-Mar-17,265500.00,273000.00,261000.00,271500.00,563387
2-Mar-17,275000.00,278000.00,262000.00,263500.00,749522
28-Feb-17,283000.00,286000.00,273000.00,274000.00,416734
27-Feb-17,298000.00,305000.00,279000.00,280000.00,328612
24-Feb-17,304500.00,305000.00,296000.00,300000.00,128395
23-Feb-17,306000.00,308500.00,301000.00,305000.00,82023
22-Feb-17,298000.00,309500.00,297500.00,303500.00,163949
21-Feb-17,293500.00,299500.00,293000.00,297000.00,127105
20-Feb-17,285500.00,293500.00,283500.00,290500.00,121629
17-Feb-17,288000.00,290000.00,281000.00,283000.00,146181
16-Feb-17,287500.00,291000.00,287000.00,289500.00,63373
15-Feb-17,285000.00,289500.00,283500.00,288000.00,88527
14-Feb-17,294500.00,295000.00,283000.00,286000.00,176551
