Date,Open,High,Low,Close,Volume
31-Mar-17,13700.00,14000.00,13650.00,14000.00,87118
30-Mar-17,13750.00,13900.00,13650.00,13700.00,77532
29-Mar-17,13850.00,13900.00,13600.00,13750.00,165490
28-Mar-17,14100.00,14100.00,13850.00,13950.00,110382
27-Mar-17,14000.00,14150.00,13800.00,14100.00,155968
24-Mar-17,13850.00,14250.00,13700.00,14000.00,157087
23-Mar-17,13650.00,13950.00,13600.00,13700.00,104589
22-Mar-17,13600.00,13900.00,13550.00,13700.00,88279
21-Mar-17,13950.00,14000.00,13600.00,13600.00,142546
20-Mar-17,13750.00,13850.00,13550.00,13800.00,89549
17-Mar-17,13700.00,13800.00,13600.00,13750.00,112250
16-Mar-17,13700.00,13800.00,13400.00,13550.00,191686
15-Mar-17,13750.00,13850.00,13550.00,13600.00,96381
14-Mar-17,13950.00,14150.00,13750.00,13750.00,81534
13-Mar-17,14000.00,14200.00,13900.00,14000.00,91231
10-Mar-17,14050.00,14050.00,13600.00,13900.00,126138
9-Mar-17,14050.00,14100.00,13800.00,13850.00,151601
8-Mar-17,13700.00,14000.00,13550.00,13900.00,121560
7-Mar-17,13850.00,13900.00,13650.00,13750.00,59458
6-Mar-17,13550.00,13850.00,13500.00,13650.00,74130
3-Mar-17,13850.00,14000.00,13550.00,13650.00,136882
2-Mar-17,14400.00,14400.00,13850.00,13850.00,103697
28-Feb-17,14350.00,14450.00,14100.00,14100.00,110109
27-Feb-17,14250.00,14450.00,14150.00,14250.00,142159
24-Feb-17,14350.00,14450.00,13950.00,14000.00,134655
23-Feb-17,14350.00,14400.00,14050.00,14350.00,132919
22-Feb-17,14050.00,14200.00,13800.00,14100.00,99839
21-Feb-17,13900.00,14250.00,13900.00,14050.00,105689
20-Feb-17,14100.00,14200.00,13750.00,13800.00,165220
17-Feb-17,14250.00,14500.00,14100.00,14200.00,143503
16-Feb-17,14300.00,14450.00,14000.00,14350.00,160507
15-Feb-17,14250.00,14500.00,14250.00,14350.00,212774
14-Feb-17,13550.00,14450.00,13500.00,14250.00,387743
13-Feb-17,13650.00,13700.00,13400.00,13500.00,108128
10-Feb-17,13400.00,13650.00,13350.00,13550.00,117345
9-Feb-17,13450.00,13500.00,13250.00,13350.00,67308
8-Feb-17,13250.00,13600.00,13250.00,13600.00,134276
7-Feb-17,13250.00,13350.00,13150.00,13200.00,61290
6-Feb-17,13600.00,13600.00,13100.00,13150.00,119214
3-Feb-17,13550.00,13650.00,13300.00,13300.00,144127
2-Feb-17,13200.00,13700.00,13150.00,13550.00,201329
1-Feb-17,13200.00,13550.00,13050.00,13200.00,212370
31-Jan-17,13250.00,13300.00,13000.00,13150.00,70261
26-Jan-17,13300.00,13400.00,13100.00,13150.00,116819
25-Jan-17,13600.00,13600.00,13200.00,13250.00,124087
24-Jan-17,13550.00,13650.00,13300.00,13550.00,111660
23-Jan-17,13350.00,13750.00,13200.00,13500.00,254708
20-Jan-17,14250.00,14300.00,13250.00,13400.00,730172
19-Jan-17,14400.00,14650.00,14350.00,14350.00,97095
18-Jan-17,14750.00,15000.00,14300.00,14550.00,300174
17-Jan-17,14500.00,14750.00,14500.00,14700.00,184459
16-Jan-17,14450.00,14500.00,14100.00,14450.00,137275
13-Jan-17,14200.00,14450.00,14100.00,14400.00,159447
12-Jan-17,14400.00,14500.00,14050.00,14250.00,216962
11-Jan-17,14200.00,14600.00,14200.00,14500.00,372875
10-Jan-17,13500.00,14300.00,13500.00,14150.00,385860
9-Jan-17,13650.00,13800.00,13500.00,13500.00,97045
6-Jan-17,13500.00,13750.00,13400.00,13650.00,176493
5-Jan-17,13300.00,13500.00,13100.00,13450.00,240342
4-Jan-17,13450.00,13450.00,13150.00,13350.00,231613
3-Jan-17,13150.00,13600.00,13050.00,13500.00,233657
2-Jan-17,12950.00,13350.00,12950.00,13050.00,75724
29-Dec-16,13200.00,13200.00,13000.00,13000.00,93792
28-Dec-16,13200.00,13350.00,13100.00,13100.00,79111
27-Dec-16,13350.00,13500.00,13250.00,13350.00,47427
26-Dec-16,13200.00,13400.00,13150.00,13350.00,76920
23-Dec-16,13100.00,13500.00,13050.00,13400.00,171571
22-Dec-16,13250.00,13300.00,13050.00,13100.00,139490
21-Dec-16,13500.00,13550.00,13200.00,13300.00,163254
20-Dec-16,13500.00,13550.00,13450.00,13500.00,73035
19-Dec-16,13450.00,13500.00,13350.00,13450.00,92389
16-Dec-16,13600.00,13650.00,13300.00,13450.00,228720
15-Dec-16,13400.00,13750.00,13400.00,13700.00,110575
14-Dec-16,13700.00,13750.00,13450.00,13550.00,120145
13-Dec-16,13500.00,13700.00,13400.00,13600.00,173320
12-Dec-16,13800.00,13850.00,13350.00,13400.00,125141
9-Dec-16,14050.00,14050.00,13600.00,13800.00,138054
8-Dec-16,13700.00,14050.00,13450.00,14050.00,265056
7-Dec-16,13650.00,13750.00,13300.00,13650.00,177134
6-Dec-16,13800.00,13900.00,13550.00,13650.00,155883
5-Dec-16,13650.00,13700.00,13450.00,13600.00,109044
2-Dec-16,13550.00,13750.00,13400.00,13650.00,167604
1-Dec-16,13300.00,13550.00,13100.00,13550.00,234508
30-Nov-16,13150.00,13300.00,12850.00,13300.00,141089
29-Nov-16,12950.00,13200.00,12850.00,13100.00,117477
28-Nov-16,12550.00,13000.00,12550.00,12900.00,141978
25-Nov-16,12800.00,12900.00,12550.00,12650.00,215294
24-Nov-16,12900.00,13000.00,12700.00,12800.00,168660
23-Nov-16,12950.00,13150.00,12800.00,12850.00,207112
22-Nov-16,13050.00,13250.00,12850.00,13050.00,267272
21-Nov-16,13550.00,13550.00,12850.00,13000.00,252179
18-Nov-16,13350.00,13500.00,13300.00,13500.00,155932
17-Nov-16,13550.00,13700.00,13400.00,13400.00,170335
16-Nov-16,13400.00,13750.00,13400.00,13550.00,265956
15-Nov-16,13550.00,13750.00,13150.00,13250.00,212218
14-Nov-16,13750.00,13850.00,13450.00,13650.00,153357
11-Nov-16,13650.00,13850.00,13350.00,13750.00,210811
10-Nov-16,14400.00,14450.00,13400.00,13650.00,300003
9-Nov-16,14450.00,14450.00,13800.00,14350.00,168381
8-Nov-16,14400.00,14450.00,14150.00,14350.00,93797
7-Nov-16,14250.00,14400.00,13850.00,14300.00,138557
4-Nov-16,13850.00,14100.00,13850.00,14100.00,221762
3-Nov-16,13450.00,14000.00,13350.00,13650.00,236433
2-Nov-16,13250.00,13600.00,13100.00,13450.00,167768
1-Nov-16,13250.00,13500.00,13100.00,13250.00,119469
31-Oct-16,13350.00,13500.00,13100.00,13150.00,103102
28-Oct-16,13250.00,13550.00,13250.00,13500.00,78896
27-Oct-16,13350.00,13550.00,13200.00,13450.00,115173
26-Oct-16,13450.00,13500.00,13100.00,13300.00,142181
25-Oct-16,13250.00,13450.00,13200.00,13450.00,150679
24-Oct-16,13600.00,13750.00,13250.00,13250.00,215278
21-Oct-16,13800.00,14000.00,13600.00,13600.00,123540
20-Oct-16,13750.00,13900.00,13650.00,13900.00,157104
19-Oct-16,14000.00,14050.00,13700.00,13800.00,147841
18-Oct-16,14350.00,14350.00,13950.00,13950.00,88883
17-Oct-16,14400.00,14400.00,14050.00,14250.00,132925
14-Oct-16,14500.00,14800.00,14200.00,14250.00,141565
13-Oct-16,14750.00,14900.00,14400.00,14500.00,108719
12-Oct-16,15000.00,15000.00,14800.00,14900.00,79200
