Date,Open,High,Low,Close,Volume
31-Mar-17,23200.00,24300.00,23000.00,23850.00,663625
30-Mar-17,23300.00,23450.00,22550.00,22700.00,208954
29-Mar-17,23200.00,23500.00,22850.00,23000.00,215349
28-Mar-17,22600.00,23100.00,22500.00,23000.00,282107
27-Mar-17,22750.00,22850.00,22350.00,22400.00,218096
24-Mar-17,23100.00,23250.00,22550.00,22850.00,223897
23-Mar-17,22500.00,23400.00,22400.00,23150.00,333706
22-Mar-17,23000.00,23050.00,22250.00,22300.00,620121
21-Mar-17,23650.00,23700.00,23100.00,23150.00,263758
20-Mar-17,23650.00,23750.00,23250.00,23450.00,159677
17-Mar-17,24200.00,24200.00,23500.00,23600.00,274893
16-Mar-17,23850.00,24300.00,23750.00,24050.00,502808
15-Mar-17,23500.00,23600.00,23050.00,23450.00,180339
14-Mar-17,23650.00,23700.00,23300.00,23550.00,293200
13-Mar-17,23050.00,23750.00,23050.00,23300.00,298311
10-Mar-17,23650.00,23650.00,22950.00,23100.00,520907
9-Mar-17,23950.00,23950.00,23100.00,23650.00,728891
8-Mar-17,24700.00,24750.00,23800.00,24350.00,552975
7-Mar-17,24100.00,25000.00,24050.00,24850.00,282076
6-Mar-17,23900.00,24200.00,23600.00,24050.00,264206
3-Mar-17,24300.00,24500.00,23750.00,24050.00,219041
2-Mar-17,24700.00,24850.00,24150.00,24400.00,242039
28-Feb-17,25000.00,25000.00,24400.00,24550.00,290034
27-Feb-17,25350.00,25400.00,24850.00,24950.00,96086
24-Feb-17,25300.00,25550.00,25100.00,25300.00,159467
23-Feb-17,25250.00,25300.00,24800.00,25250.00,229307
22-Feb-17,25450.00,25450.00,24900.00,25150.00,227502
21-Feb-17,25300.00,25500.00,25100.00,25300.00,340778
20-Feb-17,25800.00,25950.00,25150.00,25300.00,154819
17-Feb-17,26300.00,26600.00,25750.00,25800.00,97858
16-Feb-17,26500.00,26600.00,26200.00,26300.00,98488
15-Feb-17,26650.00,26700.00,26200.00,26300.00,135506
14-Feb-17,26650.00,26650.00,26000.00,26650.00,173834
13-Feb-17,26150.00,26850.00,26150.00,26550.00,218760
10-Feb-17,25900.00,26500.00,25700.00,25900.00,231007
9-Feb-17,24850.00,25750.00,24600.00,25650.00,281581
8-Feb-17,24950.00,25000.00,24450.00,24700.00,279637
7-Feb-17,25500.00,25500.00,24700.00,24950.00,266579
6-Feb-17,25850.00,25900.00,25250.00,25300.00,253654
3-Feb-17,26700.00,26700.00,25450.00,25600.00,230245
2-Feb-17,26300.00,27050.00,26300.00,26300.00,139432
1-Feb-17,25400.00,26450.00,25400.00,26400.00,180240
31-Jan-17,26300.00,26750.00,25400.00,25450.00,382499
26-Jan-17,26850.00,27100.00,26300.00,26750.00,187007
25-Jan-17,27800.00,27800.00,27000.00,27000.00,104172
24-Jan-17,27500.00,27650.00,27200.00,27500.00,89910
23-Jan-17,27300.00,27850.00,27050.00,27400.00,156915
20-Jan-17,27000.00,27300.00,26950.00,27000.00,132258
19-Jan-17,28000.00,28350.00,26900.00,27000.00,504706
18-Jan-17,28050.00,28650.00,27950.00,28350.00,106336
17-Jan-17,28200.00,28550.00,27650.00,28250.00,88657
16-Jan-17,28150.00,28350.00,27750.00,28000.00,87319
13-Jan-17,28800.00,28800.00,27700.00,28150.00,104409
12-Jan-17,28550.00,28850.00,28000.00,28400.00,153406
11-Jan-17,26950.00,28500.00,26950.00,28400.00,250227
10-Jan-17,27400.00,27550.00,27000.00,27250.00,175037
9-Jan-17,27850.00,27850.00,27250.00,27750.00,137892
6-Jan-17,27450.00,27900.00,27150.00,27850.00,126662
5-Jan-17,27600.00,27650.00,26900.00,27400.00,215647
4-Jan-17,26850.00,27750.00,26850.00,27400.00,127982
3-Jan-17,27550.00,27550.00,26850.00,27200.00,193440
2-Jan-17,27200.00,27650.00,26850.00,27450.00,111164
29-Dec-16,27700.00,27700.00,26900.00,27000.00,216176
28-Dec-16,27850.00,28200.00,27400.00,27600.00,148513
27-Dec-16,28400.00,28450.00,27950.00,28100.00,104532
26-Dec-16,28100.00,28700.00,27900.00,28400.00,118791
23-Dec-16,28000.00,28300.00,27600.00,28100.00,126909
22-Dec-16,28100.00,28650.00,27950.00,28200.00,168832
21-Dec-16,28800.00,28800.00,27950.00,28100.00,151710
20-Dec-16,28650.00,29000.00,28200.00,28450.00,125140
19-Dec-16,29400.00,29400.00,28600.00,28600.00,131553
16-Dec-16,28150.00,29050.00,28000.00,29050.00,257739
15-Dec-16,27400.00,28850.00,27150.00,28550.00,291869
14-Dec-16,28000.00,28500.00,27400.00,27550.00,220367
13-Dec-16,29050.00,29050.00,27750.00,27750.00,337050
12-Dec-16,28150.00,29450.00,28000.00,28800.00,433715
9-Dec-16,27650.00,28150.00,27400.00,27450.00,210691
8-Dec-16,26400.00,28000.00,26400.00,28000.00,394272
7-Dec-16,26700.00,26750.00,25900.00,26150.00,193296
6-Dec-16,26650.00,27000.00,26350.00,26650.00,178980
5-Dec-16,26200.00,26300.00,25600.00,26250.00,127464
2-Dec-16,27000.00,27100.00,26000.00,26200.00,178402
1-Dec-16,27600.00,28500.00,26650.00,26700.00,608779
30-Nov-16,25700.00,26650.00,25100.00,26650.00,345772
29-Nov-16,25700.00,26800.00,25550.00,25750.00,234303
28-Nov-16,25500.00,26400.00,25250.00,25650.00,184063
25-Nov-16,25750.00,26200.00,25700.00,25900.00,102875
24-Nov-16,27100.00,27100.00,25650.00,25750.00,217435
23-Nov-16,26650.00,27350.00,26300.00,26850.00,160930
22-Nov-16,27250.00,27550.00,26800.00,27150.00,190265
21-Nov-16,26100.00,26800.00,25800.00,26750.00,175554
18-Nov-16,26950.00,26950.00,26300.00,26800.00,180232
17-Nov-16,27200.00,27250.00,26550.00,26700.00,236792
16-Nov-16,26550.00,27500.00,26250.00,27150.00,655047
15-Nov-16,26400.00,26450.00,25400.00,25450.00,254475
14-Nov-16,25600.00,26700.00,25500.00,26000.00,245860
11-Nov-16,25250.00,26050.00,24750.00,25750.00,401507
