Date,Open,High,Low,Close,Volume
31-Mar-17,99500.00,101000.00,99400.00,100500.00,360125
30-Mar-17,98500.00,101000.00,97400.00,98900.00,323296
29-Mar-17,98500.00,98600.00,96500.00,98500.00,268876
28-Mar-17,95300.00,98300.00,94900.00,98100.00,384298
27-Mar-17,95500.00,96700.00,94300.00,94800.00,213482
24-Mar-17,96900.00,97500.00,95100.00,96100.00,246413
23-Mar-17,97600.00,98300.00,96000.00,96800.00,254897
22-Mar-17,99000.00,99100.00,96000.00,97100.00,413511
21-Mar-17,97500.00,101000.00,97300.00,99300.00,376141
20-Mar-17,97000.00,97300.00,95800.00,96600.00,154867
17-Mar-17,95800.00,96800.00,95000.00,96800.00,236091
16-Mar-17,94600.00,95900.00,94100.00,95400.00,322263
15-Mar-17,92700.00,93700.00,92600.00,93700.00,261659
14-Mar-17,93000.00,93900.00,91600.00,93500.00,503654
13-Mar-17,88600.00,92800.00,88500.00,92700.00,952916
10-Mar-17,86600.00,88300.00,86400.00,87100.00,245092
9-Mar-17,87000.00,87400.00,86500.00,86900.00,319320
8-Mar-17,87600.00,88700.00,87100.00,88400.00,240969
7-Mar-17,88100.00,89000.00,87500.00,87600.00,256458
6-Mar-17,87400.00,88500.00,86100.00,88100.00,345878
3-Mar-17,87500.00,87900.00,86400.00,87400.00,230067
2-Mar-17,87000.00,88100.00,86700.00,87900.00,450366
28-Feb-17,84800.00,86700.00,84400.00,86400.00,266887
27-Feb-17,84200.00,85200.00,84200.00,85000.00,94843
24-Feb-17,84600.00,84600.00,83700.00,84200.00,209581
23-Feb-17,85600.00,85600.00,84300.00,84500.00,269613
22-Feb-17,86000.00,86500.00,85400.00,85700.00,182916
21-Feb-17,85800.00,86500.00,85500.00,86200.00,184653
20-Feb-17,86300.00,86300.00,85000.00,85600.00,158340
17-Feb-17,86200.00,87000.00,86000.00,86400.00,198739
16-Feb-17,87100.00,87100.00,86300.00,87000.00,197954
15-Feb-17,86800.00,87200.00,85700.00,87100.00,326603
14-Feb-17,85900.00,86800.00,85100.00,86300.00,402488
13-Feb-17,84700.00,85900.00,84500.00,85900.00,370229
10-Feb-17,82100.00,84400.00,81800.00,84000.00,438293
9-Feb-17,81600.00,81900.00,80900.00,81900.00,197068
8-Feb-17,80600.00,81600.00,80600.00,81600.00,269284
