Date,Open,High,Low,Close,Volume
31-Mar-17,9220.00,9240.00,9160.00,9240.00,26338
30-Mar-17,9170.00,9190.00,9070.00,9150.00,38213
29-Mar-17,9110.00,9200.00,9070.00,9160.00,52607
28-Mar-17,9230.00,9330.00,9100.00,9130.00,64390
27-Mar-17,9170.00,9390.00,9150.00,9310.00,44712
24-Mar-17,9190.00,9370.00,9150.00,9330.00,62234
23-Mar-17,9150.00,9220.00,9050.00,9160.00,40328
22-Mar-17,9230.00,9300.00,9050.00,9100.00,77795
21-Mar-17,9230.00,9280.00,9150.00,9220.00,39593
20-Mar-17,9120.00,9170.00,9070.00,9170.00,26283
17-Mar-17,9060.00,9150.00,9060.00,9120.00,38253
16-Mar-17,9110.00,9150.00,9060.00,9100.00,42646
15-Mar-17,9060.00,9110.00,9020.00,9110.00,34476
14-Mar-17,9060.00,9130.00,9000.00,9100.00,74617
13-Mar-17,9180.00,9180.00,9020.00,9060.00,94153
10-Mar-17,9360.00,9360.00,9110.00,9150.00,68400
9-Mar-17,9380.00,9480.00,9330.00,9400.00,41648
8-Mar-17,9330.00,9440.00,9330.00,9420.00,18499
7-Mar-17,9160.00,9380.00,9150.00,9360.00,30373
6-Mar-17,9270.00,9310.00,9190.00,9240.00,32077
3-Mar-17,9420.00,9550.00,9280.00,9320.00,32339
2-Mar-17,9550.00,9710.00,9420.00,9420.00,41019
28-Feb-17,9850.00,9850.00,9580.00,9580.00,70978
27-Feb-17,9850.00,9850.00,9790.00,9850.00,24656
24-Feb-17,9780.00,9800.00,9640.00,9800.00,28309
23-Feb-17,9710.00,9810.00,9600.00,9780.00,34056
22-Feb-17,9610.00,9790.00,9490.00,9700.00,57361
21-Feb-17,9600.00,9750.00,9600.00,9690.00,26978
20-Feb-17,9510.00,9700.00,9510.00,9600.00,29382
17-Feb-17,9630.00,9720.00,9590.00,9670.00,16613
16-Feb-17,9730.00,9760.00,9470.00,9680.00,45450
15-Feb-17,9690.00,9800.00,9630.00,9680.00,28363
14-Feb-17,9700.00,9770.00,9510.00,9760.00,40565
13-Feb-17,9640.00,9760.00,9570.00,9680.00,24303
10-Feb-17,9550.00,9620.00,9490.00,9570.00,24123
