Date,Open,High,Low,Close,Volume
31-Mar-17,88900.00,90400.00,88400.00,89700.00,44677
30-Mar-17,88400.00,89100.00,88100.00,89000.00,25015
29-Mar-17,88800.00,89300.00,88300.00,88300.00,43750
28-Mar-17,89900.00,90400.00,87900.00,88500.00,56076
27-Mar-17,89200.00,90700.00,88800.00,89500.00,74607
24-Mar-17,88300.00,89700.00,88300.00,89200.00,85925
23-Mar-17,87600.00,89300.00,87300.00,88000.00,80744
22-Mar-17,87500.00,90500.00,87100.00,87300.00,100702
21-Mar-17,87000.00,87800.00,86100.00,86700.00,68814
20-Mar-17,84700.00,86500.00,84300.00,85900.00,66914
17-Mar-17,85300.00,85400.00,84100.00,84700.00,91896
16-Mar-17,87300.00,88400.00,84500.00,85100.00,116037
15-Mar-17,89400.00,89900.00,86600.00,87100.00,104965
14-Mar-17,90200.00,91000.00,89200.00,89300.00,40089
13-Mar-17,89000.00,91800.00,88800.00,91000.00,55922
10-Mar-17,89000.00,89500.00,87500.00,89000.00,69250
9-Mar-17,90000.00,91100.00,88900.00,89000.00,77339
8-Mar-17,89100.00,91100.00,89000.00,90600.00,61054
7-Mar-17,89500.00,90000.00,88700.00,89500.00,61209
6-Mar-17,90000.00,90300.00,88700.00,89000.00,52771
3-Mar-17,89700.00,90900.00,89400.00,90000.00,38822
2-Mar-17,91800.00,91800.00,89000.00,89700.00,72686
28-Feb-17,91500.00,91500.00,89100.00,91000.00,61633
27-Feb-17,91500.00,92100.00,90300.00,91000.00,42603
24-Feb-17,89300.00,91200.00,89300.00,91100.00,68651
23-Feb-17,89800.00,89800.00,88100.00,89200.00,46415
22-Feb-17,89000.00,89400.00,88400.00,89000.00,41394
21-Feb-17,88700.00,89600.00,88000.00,89100.00,61078
20-Feb-17,87900.00,88600.00,87600.00,88300.00,48838
17-Feb-17,87000.00,88700.00,87000.00,87700.00,36391
16-Feb-17,87500.00,88100.00,86800.00,87600.00,51853
15-Feb-17,88700.00,88700.00,86800.00,87300.00,56614
14-Feb-17,88900.00,89100.00,87300.00,88700.00,57162
13-Feb-17,88500.00,88800.00,86700.00,88200.00,63166
10-Feb-17,84700.00,88300.00,84000.00,88300.00,148566
9-Feb-17,84200.00,84700.00,83700.00,83700.00,56897
8-Feb-17,84200.00,85000.00,83500.00,84900.00,51519
7-Feb-17,85600.00,85600.00,83600.00,84100.00,43456
6-Feb-17,84700.00,85500.00,84200.00,84900.00,73411
3-Feb-17,82600.00,84300.00,82600.00,84000.00,86649
2-Feb-17,83900.00,84400.00,82100.00,82300.00,157476
1-Feb-17,84900.00,84900.00,83800.00,83900.00,103175
31-Jan-17,87000.00,87500.00,84000.00,84100.00,113316
26-Jan-17,88000.00,88300.00,87200.00,87500.00,46442
25-Jan-17,88600.00,88600.00,87000.00,87100.00,50942
24-Jan-17,88500.00,88600.00,87500.00,87900.00,31496
23-Jan-17,88000.00,89200.00,87900.00,88500.00,32158
20-Jan-17,87300.00,88500.00,87300.00,87800.00,43542
19-Jan-17,88100.00,88900.00,87600.00,87600.00,41155
18-Jan-17,88900.00,89200.00,88200.00,88300.00,41592
17-Jan-17,89100.00,89400.00,88000.00,88600.00,43543
16-Jan-17,89800.00,90000.00,88300.00,88800.00,62891
13-Jan-17,89800.00,90100.00,89200.00,89600.00,49181
12-Jan-17,89600.00,89900.00,88700.00,89900.00,52155
11-Jan-17,89200.00,90300.00,89000.00,89500.00,57874
10-Jan-17,89400.00,91100.00,89400.00,90400.00,52222
9-Jan-17,91200.00,91700.00,89600.00,89700.00,39636
6-Jan-17,90000.00,91600.00,89300.00,91100.00,62385
5-Jan-17,88400.00,90100.00,88300.00,90100.00,63670
4-Jan-17,88500.00,89100.00,87300.00,88600.00,64420
3-Jan-17,89400.00,89500.00,88400.00,89000.00,46815
2-Jan-17,88400.00,89900.00,88000.00,89700.00,42098
29-Dec-16,88300.00,88300.00,87000.00,87700.00,39570
28-Dec-16,87200.00,88700.00,87100.00,88000.00,35229
