Date,Open,High,Low,Close,Volume
31-Mar-17,50800.00,50800.00,49900.00,50500.00,2637609
30-Mar-17,51100.00,51500.00,50200.00,50900.00,2198334
29-Mar-17,51000.00,52200.00,50800.00,51300.00,4086819
28-Mar-17,51200.00,51300.00,50000.00,50800.00,2849277
27-Mar-17,50000.00,51100.00,49950.00,50700.00,5573802
24-Mar-17,50000.00,50200.00,49300.00,49500.00,5147373
23-Mar-17,48950.00,49300.00,48150.00,48450.00,2460516
22-Mar-17,47000.00,48800.00,47000.00,48650.00,4140071
21-Mar-17,47900.00,48250.00,47000.00,47550.00,3689137
20-Mar-17,46950.00,47650.00,46550.00,47600.00,3905029
17-Mar-17,48400.00,48400.00,46600.00,46750.00,7909423
16-Mar-17,49350.00,49650.00,48500.00,49150.00,3410328
15-Mar-17,49350.00,49500.00,48550.00,48800.00,4663582
14-Mar-17,51800.00,51900.00,50300.00,50300.00,4006783
13-Mar-17,49550.00,51100.00,49300.00,51000.00,4934450
10-Mar-17,48100.00,49550.00,47500.00,49200.00,3812248
9-Mar-17,48200.00,48850.00,48000.00,48000.00,2834812
8-Mar-17,48800.00,49300.00,47900.00,48000.00,3634052
7-Mar-17,49100.00,49300.00,48050.00,48800.00,3420325
6-Mar-17,47600.00,49400.00,47550.00,49350.00,4953309
3-Mar-17,47650.00,48250.00,46700.00,47100.00,3920243
2-Mar-17,46850.00,47850.00,46800.00,47700.00,6856802
28-Feb-17,46600.00,47600.00,46200.00,46700.00,5422561
27-Feb-17,46850.00,47000.00,45650.00,46000.00,7572279
24-Feb-17,49850.00,50000.00,47400.00,47500.00,7619437
23-Feb-17,50000.00,50400.00,49050.00,50200.00,3344667
22-Feb-17,51600.00,51700.00,50600.00,50600.00,2666264
21-Feb-17,49950.00,51000.00,49350.00,50900.00,2172178
20-Feb-17,50900.00,51000.00,49600.00,49900.00,2253652
17-Feb-17,50400.00,51100.00,50200.00,50400.00,4886661
16-Feb-17,48350.00,49600.00,48200.00,49600.00,4813847
15-Feb-17,48300.00,48700.00,47550.00,47900.00,8553202
14-Feb-17,51100.00,51600.00,48100.00,48450.00,8558987
13-Feb-17,49550.00,51000.00,49500.00,50700.00,4071356
10-Feb-17,52000.00,52200.00,50000.00,50000.00,8863497
9-Feb-17,53100.00,53700.00,52500.00,52700.00,6511411
8-Feb-17,53700.00,54600.00,52400.00,54600.00,3473473
7-Feb-17,53800.00,54500.00,53100.00,53300.00,2391301
6-Feb-17,54200.00,54400.00,53300.00,53700.00,1887305
3-Feb-17,52500.00,53700.00,51800.00,53700.00,3526426
2-Feb-17,53500.00,54000.00,52700.00,52800.00,3466141
1-Feb-17,54300.00,54900.00,53700.00,54000.00,2770880
31-Jan-17,53300.00,54500.00,52700.00,53700.00,4100327
26-Jan-17,52500.00,53500.00,52400.00,53300.00,4497864
25-Jan-17,52200.00,52500.00,51600.00,51700.00,2707845
24-Jan-17,51300.00,52000.00,51100.00,51600.00,3436347
23-Jan-17,49950.00,51000.00,49900.00,50800.00,4118314
20-Jan-17,49700.00,50100.00,49150.00,49150.00,1929327
19-Jan-17,49550.00,50100.00,49100.00,49600.00,2308961
18-Jan-17,48950.00,49400.00,48300.00,48850.00,2966553
17-Jan-17,49300.00,50200.00,49250.00,49300.00,2295590
16-Jan-17,50100.00,50300.00,48800.00,49300.00,4550530
13-Jan-17,49850.00,50700.00,49850.00,50300.00,4208320
12-Jan-17,51600.00,51600.00,50400.00,50600.00,4997577
11-Jan-17,50000.00,51900.00,50000.00,51600.00,4298061
10-Jan-17,49850.00,50200.00,49200.00,49750.00,2552647
