Date,Open,High,Low,Close,Volume
31-Mar-17,1655.00,1670.00,1620.00,1650.00,155150
30-Mar-17,1645.00,1670.00,1610.00,1635.00,190532
29-Mar-17,1685.00,1685.00,1650.00,1665.00,83593
28-Mar-17,1675.00,1690.00,1650.00,1670.00,208888
27-Mar-17,1650.00,1675.00,1645.00,1650.00,100031
24-Mar-17,1675.00,1675.00,1650.00,1650.00,118472
23-Mar-17,1650.00,1675.00,1640.00,1655.00,283481
22-Mar-17,1625.00,1660.00,1615.00,1645.00,162692
21-Mar-17,1630.00,1655.00,1630.00,1645.00,151577
20-Mar-17,1610.00,1655.00,1610.00,1640.00,237244
17-Mar-17,1570.00,1620.00,1570.00,1610.00,210376
16-Mar-17,1585.00,1585.00,1560.00,1580.00,59937
15-Mar-17,1580.00,1600.00,1555.00,1570.00,130077
14-Mar-17,1580.00,1590.00,1565.00,1580.00,117288
13-Mar-17,1560.00,1590.00,1545.00,1575.00,171091
10-Mar-17,1600.00,1600.00,1530.00,1560.00,220410
9-Mar-17,1580.00,1605.00,1565.00,1565.00,71791
8-Mar-17,1595.00,1630.00,1575.00,1575.00,91190
7-Mar-17,1620.00,1635.00,1580.00,1595.00,84498
6-Mar-17,1545.00,1650.00,1540.00,1590.00,378764
3-Mar-17,1595.00,1595.00,1540.00,1545.00,323746
2-Mar-17,1650.00,1660.00,1590.00,1605.00,425417
28-Feb-17,1650.00,1665.00,1615.00,1635.00,209030
27-Feb-17,1645.00,1675.00,1640.00,1650.00,155798
24-Feb-17,1675.00,1675.00,1640.00,1650.00,145680
23-Feb-17,1710.00,1710.00,1640.00,1660.00,243287
22-Feb-17,1680.00,1705.00,1655.00,1680.00,301785
21-Feb-17,1655.00,1690.00,1635.00,1665.00,476902
20-Feb-17,1650.00,1655.00,1635.00,1640.00,125767
17-Feb-17,1655.00,1665.00,1630.00,1645.00,223533
16-Feb-17,1690.00,1690.00,1645.00,1660.00,152386
15-Feb-17,1670.00,1690.00,1615.00,1680.00,270760
14-Feb-17,1690.00,1700.00,1650.00,1660.00,180814
13-Feb-17,1705.00,1730.00,1655.00,1680.00,291190
10-Feb-17,1725.00,1735.00,1655.00,1695.00,961818
9-Feb-17,1645.00,1700.00,1630.00,1690.00,482605
8-Feb-17,1710.00,1830.00,1630.00,1640.00,2847173
7-Feb-17,1585.00,1640.00,1555.00,1640.00,397234
6-Feb-17,1550.00,1575.00,1535.00,1570.00,84461
3-Feb-17,1560.00,1565.00,1540.00,1555.00,93234
2-Feb-17,1595.00,1595.00,1555.00,1560.00,147627
1-Feb-17,1575.00,1590.00,1575.00,1585.00,33217
31-Jan-17,1575.00,1595.00,1550.00,1570.00,86210
26-Jan-17,1540.00,1555.00,1530.00,1555.00,73104
25-Jan-17,1575.00,1575.00,1540.00,1540.00,76185
24-Jan-17,1585.00,1585.00,1545.00,1545.00,116275
23-Jan-17,1570.00,1585.00,1560.00,1575.00,60969
20-Jan-17,1590.00,1590.00,1570.00,1570.00,78574
19-Jan-17,1585.00,1595.00,1570.00,1585.00,51800
18-Jan-17,1610.00,1610.00,1570.00,1585.00,45684
17-Jan-17,1610.00,1610.00,1575.00,1585.00,115306
16-Jan-17,1620.00,1620.00,1590.00,1590.00,75965
13-Jan-17,1620.00,1630.00,1580.00,1605.00,201006
12-Jan-17,1655.00,1655.00,1610.00,1620.00,110490
11-Jan-17,1665.00,1675.00,1630.00,1630.00,159401
10-Jan-17,1660.00,1690.00,1630.00,1665.00,182231
9-Jan-17,1635.00,1675.00,1605.00,1660.00,311837
6-Jan-17,1620.00,1625.00,1590.00,1620.00,122174
5-Jan-17,1630.00,1630.00,1600.00,1615.00,91269
4-Jan-17,1610.00,1620.00,1595.00,1600.00,132648
3-Jan-17,1645.00,1650.00,1605.00,1620.00,111932
2-Jan-17,1650.00,1670.00,1600.00,1635.00,120821
29-Dec-16,1625.00,1655.00,1600.00,1650.00,219487
28-Dec-16,1570.00,1680.00,1570.00,1625.00,1106438
27-Dec-16,1575.00,1590.00,1565.00,1585.00,116949
26-Dec-16,1615.00,1615.00,1555.00,1580.00,105091
23-Dec-16,1620.00,1620.00,1580.00,1585.00,156117
22-Dec-16,1600.00,1630.00,1600.00,1620.00,149907
21-Dec-16,1585.00,1630.00,1585.00,1620.00,152888
20-Dec-16,1610.00,1630.00,1580.00,1585.00,144733
19-Dec-16,1545.00,1725.00,1545.00,1620.00,1127821
16-Dec-16,1550.00,1585.00,1540.00,1565.00,137883
15-Dec-16,1525.00,1540.00,1520.00,1540.00,64975
