Date,Open,High,Low,Close,Volume
31-Mar-17,187500.00,191000.00,187000.00,191000.00,37893
30-Mar-17,188500.00,191500.00,187000.00,187500.00,37889
29-Mar-17,189500.00,190500.00,187000.00,188500.00,30590
28-Mar-17,190000.00,191000.00,187000.00,188000.00,47944
27-Mar-17,187000.00,191000.00,185500.00,190000.00,71688
24-Mar-17,182500.00,187500.00,181000.00,186500.00,53606
23-Mar-17,179500.00,182500.00,178500.00,182000.00,36363
22-Mar-17,181000.00,181000.00,178500.00,178500.00,30560
21-Mar-17,182500.00,182500.00,179000.00,180000.00,40690
20-Mar-17,185000.00,185000.00,180000.00,181500.00,33980
17-Mar-17,180500.00,185500.00,179500.00,185000.00,60649
16-Mar-17,177500.00,180000.00,177000.00,179000.00,37357
15-Mar-17,182500.00,182500.00,176000.00,176500.00,44769
14-Mar-17,184000.00,184000.00,181000.00,182000.00,45904
13-Mar-17,181500.00,185000.00,181000.00,182500.00,30178
10-Mar-17,183000.00,186000.00,181000.00,181500.00,47487
9-Mar-17,181500.00,185500.00,181000.00,183000.00,52925
8-Mar-17,180000.00,182000.00,178500.00,181500.00,44996
7-Mar-17,181500.00,184000.00,179500.00,181500.00,55468
6-Mar-17,182000.00,182000.00,176000.00,180500.00,75681
3-Mar-17,187000.00,187500.00,176000.00,183500.00,174684
2-Mar-17,199500.00,199500.00,191500.00,193000.00,82247
28-Feb-17,197000.00,200000.00,194000.00,199500.00,74447
27-Feb-17,202500.00,203000.00,197000.00,198000.00,52531
24-Feb-17,196000.00,203500.00,196000.00,203000.00,110601
23-Feb-17,192000.00,199500.00,192000.00,198000.00,149586
22-Feb-17,187500.00,191000.00,185000.00,189500.00,87070
21-Feb-17,183500.00,188000.00,183500.00,187500.00,55144
20-Feb-17,183000.00,184000.00,181000.00,182500.00,17928
17-Feb-17,184500.00,185000.00,181000.00,182000.00,36105
16-Feb-17,187500.00,187500.00,183000.00,184500.00,42275
15-Feb-17,183000.00,187500.00,181000.00,187000.00,88363
14-Feb-17,180500.00,183000.00,180000.00,183000.00,53087
13-Feb-17,176000.00,182000.00,175000.00,180000.00,66896
10-Feb-17,175000.00,176000.00,174500.00,175000.00,36502
9-Feb-17,175500.00,176000.00,173500.00,173500.00,34386
8-Feb-17,178000.00,178000.00,174000.00,175500.00,30141
7-Feb-17,174000.00,178000.00,173500.00,178000.00,48117
6-Feb-17,171500.00,175000.00,171000.00,173500.00,32449
3-Feb-17,171500.00,172000.00,169500.00,170500.00,30645
2-Feb-17,172000.00,173500.00,170000.00,170500.00,47265
1-Feb-17,175000.00,177000.00,171000.00,172000.00,62959
31-Jan-17,175500.00,177500.00,173500.00,176000.00,28546
26-Jan-17,174000.00,178000.00,173500.00,176000.00,45919
25-Jan-17,179000.00,179000.00,172500.00,173000.00,40234
24-Jan-17,178000.00,179500.00,176000.00,178000.00,29990
23-Jan-17,178000.00,179500.00,176000.00,177500.00,45620
20-Jan-17,174500.00,177000.00,173000.00,177000.00,38783
19-Jan-17,177000.00,179000.00,173000.00,174000.00,65309
18-Jan-17,173500.00,178500.00,171500.00,178500.00,70121
17-Jan-17,174000.00,174500.00,172000.00,173500.00,41441
16-Jan-17,172500.00,174500.00,171000.00,173500.00,63747
13-Jan-17,167500.00,170500.00,166500.00,170000.00,39793
12-Jan-17,166000.00,168000.00,165500.00,167000.00,44321
11-Jan-17,169000.00,169000.00,164500.00,166000.00,76695
