Date,Open,High,Low,Close,Volume
31-Mar-17,32450.00,33350.00,32250.00,33300.00,117007
30-Mar-17,32500.00,32750.00,31900.00,32450.00,81124
29-Mar-17,32700.00,32800.00,31850.00,32400.00,91813
28-Mar-17,33250.00,33550.00,32500.00,32700.00,110586
27-Mar-17,31800.00,33300.00,31800.00,33200.00,157413
24-Mar-17,31450.00,32300.00,31100.00,31950.00,72967
23-Mar-17,31800.00,32050.00,31400.00,31450.00,61768
22-Mar-17,31550.00,32100.00,31300.00,31800.00,93868
21-Mar-17,32850.00,32850.00,31400.00,31850.00,156955
20-Mar-17,33050.00,33100.00,32000.00,32650.00,126130
17-Mar-17,32100.00,33200.00,31850.00,33050.00,207873
16-Mar-17,31800.00,32200.00,31550.00,31800.00,166925
15-Mar-17,32250.00,32550.00,31400.00,31650.00,137450
14-Mar-17,33700.00,33700.00,31800.00,32200.00,296628
13-Mar-17,33400.00,34100.00,33200.00,33250.00,196355
10-Mar-17,33200.00,33850.00,32800.00,33500.00,201350
9-Mar-17,33450.00,33900.00,32950.00,33100.00,347810
8-Mar-17,32300.00,34050.00,32150.00,33450.00,537943
7-Mar-17,30850.00,32400.00,30750.00,32250.00,223544
6-Mar-17,30900.00,31600.00,30650.00,30700.00,215901
3-Mar-17,31250.00,31400.00,30550.00,30850.00,108415
2-Mar-17,32100.00,32500.00,31250.00,31400.00,144105
28-Feb-17,31650.00,32250.00,31000.00,32100.00,228017
27-Feb-17,30600.00,32200.00,30600.00,31500.00,625283
24-Feb-17,29950.00,30450.00,29850.00,30150.00,117865
23-Feb-17,30500.00,30550.00,29750.00,29900.00,176656
22-Feb-17,30400.00,30550.00,29800.00,30450.00,162124
21-Feb-17,30000.00,30650.00,30000.00,30400.00,110844
20-Feb-17,29750.00,30300.00,29450.00,30100.00,108091
17-Feb-17,29300.00,30000.00,29000.00,29750.00,252462
16-Feb-17,30450.00,30450.00,29750.00,29950.00,149908
15-Feb-17,30300.00,30700.00,29750.00,30550.00,206053
14-Feb-17,31250.00,31250.00,30200.00,30350.00,216778
13-Feb-17,29400.00,31300.00,29300.00,31150.00,539770
10-Feb-17,28000.00,30000.00,27900.00,29150.00,660214
9-Feb-17,27800.00,28050.00,27450.00,27750.00,154243
8-Feb-17,28000.00,28200.00,27400.00,27750.00,242758
7-Feb-17,27100.00,28200.00,27050.00,28100.00,279702
6-Feb-17,26950.00,27600.00,26650.00,26950.00,158648
3-Feb-17,27150.00,27150.00,26450.00,26900.00,155906
2-Feb-17,27150.00,27400.00,27050.00,27150.00,185711
1-Feb-17,26800.00,27200.00,26500.00,27150.00,129476
31-Jan-17,26000.00,26700.00,26000.00,26700.00,103020
26-Jan-17,26700.00,26700.00,26000.00,26200.00,157532
25-Jan-17,27200.00,27200.00,26450.00,26750.00,142805
24-Jan-17,26800.00,27150.00,26600.00,27150.00,135435
23-Jan-17,27150.00,27150.00,26750.00,26850.00,92168
