Date,Open,High,Low,Close,Volume
"Mar 31, 2017",690.20,692.00,677.90,677.90,"13,057,000"
"Mar 30, 2017",689.00,693.00,684.40,690.00,"8,793,000"
"Mar 29, 2017",705.00,706.70,693.80,695.70,"10,046,000"
"Mar 28, 2017",705.10,709.00,701.60,708.00,"14,043,000"
"Mar 27, 2017",715.50,715.50,695.10,696.00,"17,164,000"
"Mar 24, 2017",721.50,728.60,719.00,723.20,"7,453,000"
"Mar 23, 2017",718.10,723.30,717.10,721.50,"5,664,000"
"Mar 22, 2017",726.80,730.50,719.20,719.40,"10,875,000"
"Mar 21, 2017",748.10,749.00,741.30,741.80,"10,641,000"
"Mar 17, 2017",751.30,762.20,750.10,755.70,"13,876,000"
"Mar 16, 2017",732.90,751.80,732.90,747.30,"11,487,000"
"Mar 15, 2017",730.80,739.20,730.10,738.10,"4,056,000"
"Mar 14, 2017",739.30,742.50,739.10,740.00,"4,124,000"
"Mar 13, 2017",739.40,742.80,737.30,740.60,"5,796,000"
"Mar 10, 2017",730.00,744.00,729.50,743.80,"8,721,000"
"Mar 9, 2017",724.40,727.20,720.50,723.00,"5,928,000"
"Mar 8, 2017",727.60,730.60,720.60,721.70,"4,575,000"
"Mar 7, 2017",729.10,730.80,726.10,727.60,"4,942,000"
"Mar 6, 2017",728.00,733.40,726.80,729.10,"5,562,000"
"Mar 3, 2017",734.10,737.90,731.00,733.50,"6,355,000"
"Mar 2, 2017",738.40,746.00,734.90,734.90,"9,391,000"
"Mar 1, 2017",715.10,724.50,706.20,723.40,"7,652,000"
"Feb 28, 2017",704.70,717.50,704.60,712.30,"9,760,000"
"Feb 27, 2017",711.50,713.00,700.80,702.00,"8,604,000"
"Feb 24, 2017",710.80,716.80,709.40,714.10,"4,477,000"
"Feb 23, 2017",725.50,725.50,713.20,715.90,"5,366,000"
"Feb 22, 2017",726.90,727.40,718.00,725.50,"7,096,000"
"Feb 21, 2017",710.30,721.80,710.10,721.20,"5,049,000"
"Feb 20, 2017",705.70,713.20,703.50,711.00,"6,052,000"
"Feb 17, 2017",704.10,710.80,703.50,708.70,"8,846,000"
"Feb 16, 2017",714.30,716.20,706.00,709.00,"10,130,000"
"Feb 15, 2017",720.20,725.90,718.00,719.50,"6,800,000"
"Feb 14, 2017",727.00,727.10,711.80,713.70,"8,943,000"
"Feb 13, 2017",732.00,732.00,723.00,723.80,"7,049,000"
"Feb 10, 2017",720.00,724.00,716.10,722.30,"10,240,000"
"Feb 9, 2017",709.30,709.50,705.00,705.70,"5,723,000"
"Feb 8, 2017",706.30,709.20,702.80,709.00,"5,285,000"
"Feb 7, 2017",702.10,708.00,699.30,706.50,"6,922,000"
"Feb 6, 2017",719.80,724.20,710.30,710.80,"5,151,000"
"Feb 3, 2017",716.90,722.20,706.70,708.60,"7,077,000"
"Feb 2, 2017",727.00,733.40,710.50,711.90,"6,714,000"
"Feb 1, 2017",712.00,720.60,706.50,719.70,"7,350,000"
"Jan 31, 2017",732.00,732.50,720.00,723.50,"7,091,000"
"Jan 30, 2017",736.50,737.70,728.20,732.90,"6,228,000"
"Jan 27, 2017",747.90,747.90,736.60,740.90,"5,471,000"
"Jan 26, 2017",727.80,744.00,725.00,740.50,"8,042,000"
"Jan 25, 2017",716.10,720.30,710.50,712.80,"4,418,000"
"Jan 24, 2017",710.50,713.80,701.10,702.50,"6,194,000"
"Jan 23, 2017",718.00,723.50,713.10,716.90,"5,809,000"
"Jan 20, 2017",727.00,731.60,722.30,727.10,"4,491,000"
"Jan 19, 2017",728.20,729.90,721.70,725.60,"5,510,000"
"Jan 18, 2017",707.50,718.80,699.50,717.10,"6,340,000"
"Jan 17, 2017",721.10,723.00,708.30,709.60,"7,118,000"
"Jan 16, 2017",733.00,734.50,723.80,726.30,"7,191,000"
"Jan 13, 2017",735.30,740.00,731.50,737.80,"5,635,000"
"Jan 12, 2017",738.90,742.00,732.40,737.40,"7,410,000"
"Jan 11, 2017",742.50,743.30,737.10,738.90,"6,039,000"
"Jan 10, 2017",744.00,745.00,736.80,741.20,"6,997,000"
"Jan 6, 2017",736.00,747.00,735.00,745.00,"5,146,000"
"Jan 5, 2017",760.00,761.50,746.20,749.40,"9,185,000"
"Jan 4, 2017",732.90,754.70,730.30,752.30,"13,161,000"
"Dec 30, 2016",713.60,723.80,711.80,720.30,"5,842,000"
"Dec 29, 2016",732.00,734.00,721.40,724.90,"6,163,000"
"Dec 28, 2016",740.40,743.70,736.50,739.10,"6,122,000"
"Dec 27, 2016",740.50,747.30,736.30,740.50,"7,186,000"
"Dec 26, 2016",745.00,745.90,737.40,742.50,"6,190,000"
"Dec 22, 2016",748.50,751.80,744.00,746.90,"10,218,000"
"Dec 21, 2016",756.10,765.60,750.80,752.20,"8,278,000"
"Dec 20, 2016",754.10,758.20,744.60,751.60,"9,206,000"
"Dec 19, 2016",761.10,765.90,753.10,759.10,"8,617,000"
"Dec 16, 2016",776.40,776.90,766.10,766.80,"10,156,000"
