Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,959.00","1,972.00","1,935.00","1,935.00","1,413,600"
"Mar 30, 2017","1,954.00","1,967.00","1,941.00","1,946.00","1,530,000"
"Mar 29, 2017","1,973.00","1,980.00","1,944.00","1,952.00","1,302,100"
"Mar 28, 2017","1,981.00","1,986.00","1,965.00","1,973.00","1,391,500"
"Mar 27, 2017","1,972.00","1,973.00","1,938.00","1,952.00","1,471,100"
"Mar 24, 2017","1,989.00","1,996.00","1,977.00","1,984.00","1,158,400"
"Mar 23, 2017","1,980.00","1,997.00","1,974.00","1,989.00","1,375,300"
"Mar 22, 2017","2,018.00","2,031.00","1,985.00","1,987.00","1,995,000"
"Mar 21, 2017","2,074.00","2,090.00","2,070.00","2,075.00","1,381,500"
"Mar 17, 2017","2,102.00","2,111.00","2,081.00","2,083.00","1,613,300"
"Mar 16, 2017","2,113.00","2,135.00","2,110.00","2,115.00","1,160,100"
"Mar 15, 2017","2,135.00","2,137.00","2,116.00","2,124.00","1,072,600"
"Mar 14, 2017","2,158.00","2,172.00","2,139.00","2,148.00","1,336,600"
"Mar 13, 2017","2,162.00","2,183.00","2,144.00","2,152.00","1,752,200"
"Mar 10, 2017","2,153.00","2,162.00","2,144.00","2,157.00","2,353,500"
"Mar 9, 2017","2,121.00","2,138.00","2,112.00","2,135.00","1,798,300"
"Mar 8, 2017","2,080.00","2,085.00","2,065.00","2,084.00","1,220,700"
"Mar 7, 2017","2,080.00","2,096.00","2,066.00","2,086.00","1,424,900"
"Mar 6, 2017","2,062.00","2,083.00","2,046.00","2,081.00","1,074,000"
"Mar 3, 2017","2,067.00","2,074.00","2,054.00","2,065.00","1,410,400"
"Mar 2, 2017","2,058.00","2,101.00","2,053.00","2,083.00","2,576,100"
"Mar 1, 2017","2,026.00","2,052.00","2,009.00","2,025.00","1,493,900"
"Feb 28, 2017","2,033.00","2,050.00","2,016.00","2,017.00","1,148,100"
"Feb 27, 2017","2,011.00","2,026.00","1,997.00","2,015.00","1,040,900"
"Feb 24, 2017","2,039.00","2,052.00","2,025.00","2,030.00","857,800"
"Feb 23, 2017","2,080.00","2,080.00","2,049.00","2,055.00","741,700"
"Feb 22, 2017","2,088.00","2,090.00","2,073.00","2,077.00","1,211,000"
"Feb 21, 2017","2,038.00","2,079.00","2,033.00","2,066.00","1,111,700"
"Feb 20, 2017","2,034.00","2,062.00","2,029.00","2,053.00","1,357,300"
"Feb 17, 2017","2,010.00","2,022.00","1,998.00","2,016.00","1,706,800"
"Feb 16, 2017","2,000.00","2,019.00","1,992.00","2,009.00","1,327,500"
"Feb 15, 2017","2,042.00","2,047.00","2,022.00","2,027.00","905,400"
"Feb 14, 2017","2,030.00","2,059.00","2,011.00","2,012.00","1,410,900"
"Feb 13, 2017","2,042.00","2,054.00","2,030.00","2,036.00","1,580,600"
"Feb 10, 2017","1,994.00","2,032.00","1,974.00","2,021.00","2,711,400"
"Feb 9, 2017","1,850.00","1,958.00","1,840.00","1,914.00","3,581,000"
"Feb 8, 2017","1,888.00","1,889.00","1,866.00","1,871.00","1,292,600"
"Feb 7, 2017","1,906.00","1,906.00","1,893.00","1,898.00","1,011,500"
"Feb 6, 2017","1,931.00","1,944.00","1,898.00","1,917.00","1,296,300"
"Feb 3, 2017","1,920.00","1,930.00","1,880.00","1,892.00","2,160,900"
"Feb 2, 2017","1,950.00","1,952.00","1,902.00","1,907.00","1,512,600"
"Feb 1, 2017","1,927.00","1,965.00","1,926.00","1,963.00","1,836,800"
"Jan 31, 2017","1,980.00","1,996.00","1,958.00","1,963.00","1,573,200"
"Jan 30, 2017","2,000.00","2,011.00","1,988.00","2,000.00","1,630,800"
"Jan 27, 2017","2,045.00","2,058.00","2,032.00","2,041.00","1,713,800"
"Jan 26, 2017","2,085.00","2,089.00","2,015.00","2,023.00","3,206,700"
"Jan 25, 2017","2,111.00","2,131.00","2,077.00","2,089.00","979,900"
"Jan 24, 2017","2,059.00","2,103.00","2,058.00","2,079.00","1,565,500"
"Jan 23, 2017","2,098.00","2,098.00","2,064.00","2,069.00","1,521,100"
"Jan 20, 2017","2,090.00","2,112.00","2,087.00","2,104.00","1,010,300"
"Jan 19, 2017","2,055.00","2,096.00","2,043.00","2,089.00","1,419,700"
"Jan 18, 2017","2,047.00","2,057.00","2,026.00","2,042.00","1,713,700"
"Jan 17, 2017","2,076.00","2,079.00","2,048.00","2,054.00","1,001,400"
"Jan 16, 2017","2,082.00","2,089.00","2,066.00","2,081.00","1,093,500"
"Jan 13, 2017","2,076.00","2,098.00","2,062.00","2,092.00","1,264,600"
"Jan 12, 2017","2,092.00","2,102.00","2,075.00","2,089.00","1,203,200"
"Jan 11, 2017","2,103.00","2,114.00","2,078.00","2,106.00","1,692,100"
"Jan 10, 2017","2,153.00","2,155.00","2,107.00","2,113.00","1,678,500"
"Jan 6, 2017","2,151.00","2,163.00","2,136.00","2,160.00","1,251,100"
"Jan 5, 2017","2,174.00","2,180.00","2,139.00","2,164.00","1,641,800"
"Jan 4, 2017","2,110.00","2,174.00","2,110.00","2,172.00","1,886,500"
"Dec 30, 2016","2,113.00","2,129.00","2,090.00","2,124.00","1,579,800"
"Dec 29, 2016","2,135.00","2,165.00","2,130.00","2,138.00","1,465,500"
"Dec 28, 2016","2,131.00","2,141.00","2,125.00","2,139.00","1,124,800"
"Dec 27, 2016","2,116.00","2,135.00","2,106.00","2,119.00","999,200"
"Dec 26, 2016","2,130.00","2,139.00","2,118.00","2,127.00","1,182,600"
