Date,Open,High,Low,Close,Volume
"Mar 31, 2017","2,584.00","2,639.00","2,581.00","2,583.00","862,600"
"Mar 30, 2017","2,630.00","2,645.00","2,577.00","2,584.00","452,900"
"Mar 29, 2017","2,662.00","2,663.00","2,625.00","2,640.00","586,100"
"Mar 28, 2017","2,679.00","2,679.00","2,633.00","2,647.00","1,258,200"
"Mar 27, 2017","2,664.00","2,667.00","2,618.00","2,629.00","620,900"
"Mar 24, 2017","2,639.00","2,680.00","2,623.00","2,674.00","616,800"
"Mar 23, 2017","2,610.00","2,642.00","2,591.00","2,640.00","431,600"
"Mar 22, 2017","2,611.00","2,633.00","2,607.00","2,610.00","548,200"
"Mar 21, 2017","2,631.00","2,655.00","2,614.00","2,647.00","570,200"
"Mar 17, 2017","2,661.00","2,668.00","2,636.00","2,653.00","679,700"
"Mar 16, 2017","2,661.00","2,684.00","2,658.00","2,679.00","487,000"
"Mar 15, 2017","2,707.00","2,707.00","2,678.00","2,697.00","234,700"
"Mar 14, 2017","2,722.00","2,729.00","2,707.00","2,709.00","224,500"
"Mar 13, 2017","2,692.00","2,732.00","2,688.00","2,732.00","304,000"
"Mar 10, 2017","2,659.00","2,697.00","2,655.00","2,686.00","786,800"
"Mar 9, 2017","2,672.00","2,672.00","2,648.00","2,659.00","267,300"
"Mar 8, 2017","2,668.00","2,668.00","2,637.00","2,658.00","467,200"
"Mar 7, 2017","2,654.00","2,684.00","2,652.00","2,681.00","455,500"
"Mar 6, 2017","2,698.00","2,698.00","2,644.00","2,658.00","386,600"
"Mar 3, 2017","2,721.00","2,721.00","2,670.00","2,685.00","539,800"
"Mar 2, 2017","2,701.00","2,730.00","2,690.00","2,725.00","625,000"
"Mar 1, 2017","2,682.00","2,691.00","2,651.00","2,670.00","373,800"
"Feb 28, 2017","2,678.00","2,700.00","2,661.00","2,663.00","477,400"
"Feb 27, 2017","2,642.00","2,672.00","2,624.00","2,658.00","376,100"
"Feb 24, 2017","2,652.00","2,681.00","2,648.00","2,655.00","345,800"
"Feb 23, 2017","2,660.00","2,670.00","2,625.00","2,661.00","457,600"
"Feb 22, 2017","2,677.00","2,686.00","2,655.00","2,663.00","355,800"
"Feb 21, 2017","2,650.00","2,678.00","2,647.00","2,675.00","172,000"
"Feb 20, 2017","2,637.00","2,656.00","2,620.00","2,654.00","263,900"
"Feb 17, 2017","2,654.00","2,660.00","2,625.00","2,638.00","272,700"
"Feb 16, 2017","2,679.00","2,679.00","2,651.00","2,666.00","237,100"
"Feb 15, 2017","2,689.00","2,700.00","2,667.00","2,680.00","311,700"
"Feb 14, 2017","2,705.00","2,715.00","2,671.00","2,674.00","389,600"
"Feb 13, 2017","2,705.00","2,725.00","2,691.00","2,713.00","506,800"
"Feb 10, 2017","2,636.00","2,705.00","2,628.00","2,687.00","874,000"
"Feb 9, 2017","2,583.00","2,594.00","2,569.00","2,572.00","259,000"
"Feb 8, 2017","2,581.00","2,603.00","2,577.00","2,592.00","147,400"
"Feb 7, 2017","2,581.00","2,604.00","2,575.00","2,589.00","244,300"
"Feb 6, 2017","2,648.00","2,658.00","2,580.00","2,594.00","317,000"
"Feb 3, 2017","2,591.00","2,627.00","2,580.00","2,609.00","362,300"
"Feb 2, 2017","2,660.00","2,688.00","2,594.00","2,602.00","517,100"
"Feb 1, 2017","2,622.00","2,687.00","2,622.00","2,666.00","692,800"
