Date,Open,High,Low,Close,Volume
"Mar 31, 2017","2,057.50","2,077.50","2,030.00","2,030.00","4,998,000"
"Mar 30, 2017","2,070.00","2,072.00","2,041.50","2,047.00","4,599,000"
"Mar 29, 2017","2,086.50","2,087.50","2,069.50","2,083.00","3,565,000"
"Mar 28, 2017","2,079.50","2,105.00","2,076.00","2,093.50","4,293,000"
"Mar 27, 2017","2,073.50","2,090.50","2,051.50","2,068.00","3,782,000"
"Mar 24, 2017","2,105.00","2,132.50","2,092.00","2,123.50","4,539,000"
"Mar 23, 2017","2,083.50","2,129.50","2,077.00","2,111.50","5,736,000"
"Mar 22, 2017","2,124.50","2,144.50","2,099.50","2,102.00","5,533,000"
"Mar 21, 2017","2,160.00","2,180.50","2,142.50","2,172.50","4,307,000"
"Mar 17, 2017","2,178.50","2,190.50","2,166.50","2,172.00","3,200,000"
"Mar 16, 2017","2,162.00","2,188.00","2,162.00","2,184.50","2,827,000"
"Mar 15, 2017","2,165.00","2,182.50","2,161.00","2,181.50","2,655,000"
"Mar 14, 2017","2,215.50","2,217.00","2,190.00","2,190.50","2,524,000"
"Mar 13, 2017","2,210.00","2,220.00","2,200.00","2,219.00","1,866,000"
"Mar 10, 2017","2,186.50","2,221.50","2,174.50","2,214.00","5,512,000"
"Mar 9, 2017","2,190.00","2,192.50","2,162.00","2,177.50","3,297,000"
"Mar 8, 2017","2,192.00","2,202.00","2,175.50","2,187.50","3,389,000"
"Mar 7, 2017","2,185.50","2,204.00","2,177.00","2,191.00","2,900,000"
"Mar 6, 2017","2,210.00","2,210.50","2,187.50","2,196.00","2,496,000"
"Mar 3, 2017","2,215.00","2,225.00","2,192.50","2,207.00","4,293,000"
"Mar 2, 2017","2,253.00","2,256.50","2,223.50","2,227.50","4,324,000"
"Mar 1, 2017","2,224.00","2,236.00","2,190.50","2,205.00","4,290,000"
"Feb 28, 2017","2,226.00","2,241.00","2,191.50","2,195.00","4,817,000"
"Feb 27, 2017","2,224.00","2,235.50","2,201.50","2,219.00","4,112,000"
"Feb 24, 2017","2,233.00","2,255.50","2,215.50","2,249.50","2,668,000"
"Feb 23, 2017","2,237.00","2,251.00","2,229.50","2,247.50","2,550,000"
"Feb 22, 2017","2,276.00","2,282.00","2,233.50","2,237.00","3,559,000"
"Feb 21, 2017","2,249.00","2,277.50","2,243.50","2,275.00","2,341,000"
"Feb 20, 2017","2,236.00","2,263.50","2,226.50","2,258.50","2,663,000"
"Feb 17, 2017","2,280.00","2,291.50","2,244.50","2,252.50","5,928,000"
"Feb 16, 2017","2,299.00","2,319.00","2,293.00","2,311.00","5,565,000"
"Feb 15, 2017","2,291.00","2,298.50","2,281.50","2,291.50","3,474,000"
"Feb 14, 2017","2,303.50","2,308.00","2,257.00","2,257.50","4,311,000"
"Feb 13, 2017","2,331.00","2,334.50","2,288.00","2,291.50","4,661,000"
"Feb 10, 2017","2,273.50","2,332.00","2,259.00","2,324.00","8,518,000"
"Feb 9, 2017","2,200.00","2,240.00","2,199.50","2,228.50","4,933,000"
"Feb 8, 2017","2,225.50","2,232.50","2,190.50","2,202.50","4,733,000"
"Feb 7, 2017","2,130.00","2,204.50","2,130.00","2,194.50","5,158,000"
"Feb 6, 2017","2,180.00","2,185.50","2,146.00","2,149.00","4,262,000"
"Feb 3, 2017","2,137.50","2,163.50","2,130.50","2,160.00","6,553,000"
"Feb 2, 2017","2,165.00","2,165.00","2,121.00","2,125.00","5,107,000"
"Feb 1, 2017","2,156.50","2,170.00","2,137.50","2,159.50","4,444,000"
"Jan 31, 2017","2,149.00","2,182.00","2,147.00","2,162.50","4,490,000"
"Jan 30, 2017","2,203.00","2,210.50","2,180.00","2,182.00","4,973,000"
"Jan 27, 2017","2,204.00","2,224.50","2,200.00","2,223.00","4,414,000"
"Jan 26, 2017","2,190.00","2,199.00","2,175.50","2,191.50","5,724,000"
"Jan 25, 2017","2,224.50","2,236.00","2,166.00","2,174.00","6,212,000"
"Jan 24, 2017","2,197.00","2,216.00","2,184.50","2,186.50","3,851,000"
"Jan 23, 2017","2,206.50","2,217.50","2,193.00","2,196.00","5,137,000"
"Jan 20, 2017","2,253.50","2,257.00","2,233.00","2,248.00","3,993,000"
"Jan 19, 2017","2,250.00","2,273.00","2,243.00","2,252.00","5,074,000"
"Jan 18, 2017","2,216.00","2,254.00","2,216.00","2,227.00","9,710,000"
"Jan 17, 2017","2,278.50","2,286.50","2,241.50","2,243.00","5,128,000"
"Jan 16, 2017","2,355.00","2,357.00","2,295.00","2,300.50","3,963,000"
"Jan 13, 2017","2,300.50","2,337.50","2,300.50","2,335.50","3,124,000"
"Jan 12, 2017","2,337.00","2,342.00","2,303.50","2,321.50","4,172,000"
"Jan 11, 2017","2,354.50","2,354.50","2,314.50","2,317.00","5,149,000"
"Jan 10, 2017","2,383.50","2,418.50","2,361.00","2,361.00","5,605,000"
"Jan 6, 2017","2,330.00","2,391.00","2,330.00","2,386.50","3,849,000"
"Jan 5, 2017","2,413.00","2,413.00","2,371.00","2,385.50","3,654,000"
"Jan 4, 2017","2,350.00","2,400.00","2,338.00","2,396.00","6,398,000"
"Dec 30, 2016","2,309.00","2,340.00","2,291.00","2,327.50","3,536,000"
"Dec 29, 2016","2,331.50","2,340.50","2,306.00","2,331.50","4,247,000"
"Dec 28, 2016","2,336.00","2,346.50","2,319.50","2,334.50","2,726,000"
"Dec 27, 2016","2,354.50","2,354.50","2,331.00","2,332.00","2,821,000"
"Dec 26, 2016","2,351.00","2,369.00","2,343.00","2,364.50","2,106,000"
"Dec 22, 2016","2,341.50","2,359.50","2,332.50","2,359.00","3,033,000"
"Dec 21, 2016","2,382.50","2,392.50","2,338.50","2,349.00","3,178,000"
"Dec 20, 2016","2,340.00","2,375.00","2,336.50","2,373.00","4,085,000"
"Dec 19, 2016","2,360.00","2,368.50","2,329.50","2,336.00","3,878,000"
"Dec 16, 2016","2,385.00","2,385.00","2,332.00","2,341.00","5,507,000"
"Dec 15, 2016","2,370.00","2,393.50","2,341.00","2,354.50","4,611,000"
