Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,648.50","1,648.50","1,612.50","1,612.50","6,952,900"
"Mar 30, 2017","1,642.50","1,661.00","1,640.50","1,643.00","5,508,200"
"Mar 29, 2017","1,647.50","1,654.00","1,642.00","1,652.00","7,548,000"
"Mar 28, 2017","1,647.50","1,653.00","1,638.00","1,652.00","7,541,700"
"Mar 27, 2017","1,615.00","1,635.00","1,612.50","1,627.00","6,757,700"
"Mar 24, 2017","1,620.00","1,640.00","1,617.50","1,639.00","7,534,300"
"Mar 23, 2017","1,627.00","1,630.50","1,611.50","1,614.50","8,815,800"
"Mar 22, 2017","1,655.00","1,664.00","1,632.00","1,637.50","8,527,900"
"Mar 21, 2017","1,668.50","1,683.00","1,667.00","1,679.00","5,505,000"
"Mar 17, 2017","1,680.00","1,680.50","1,665.00","1,671.50","11,933,400"
"Mar 16, 2017","1,691.00","1,699.00","1,681.00","1,685.00","6,220,100"
"Mar 15, 2017","1,693.00","1,697.50","1,685.00","1,688.00","5,115,500"
"Mar 14, 2017","1,710.50","1,714.00","1,695.50","1,696.50","4,085,600"
"Mar 13, 2017","1,690.00","1,707.50","1,690.00","1,697.00","4,272,900"
"Mar 10, 2017","1,697.00","1,701.50","1,690.50","1,695.00","7,121,300"
"Mar 9, 2017","1,707.00","1,709.00","1,690.50","1,697.00","4,963,500"
"Mar 8, 2017","1,713.00","1,716.00","1,706.50","1,712.50","4,653,200"
"Mar 7, 2017","1,712.50","1,724.00","1,711.00","1,718.00","4,325,100"
"Mar 6, 2017","1,707.50","1,714.00","1,707.00","1,708.00","2,559,500"
"Mar 3, 2017","1,722.00","1,728.00","1,707.50","1,713.50","5,292,300"
"Mar 2, 2017","1,751.00","1,751.50","1,732.50","1,733.50","5,262,300"
"Mar 1, 2017","1,727.50","1,753.00","1,713.50","1,736.50","6,862,000"
"Feb 28, 2017","1,720.00","1,737.00","1,717.50","1,719.00","5,902,600"
"Feb 27, 2017","1,700.00","1,715.50","1,691.00","1,709.50","5,928,700"
"Feb 24, 2017","1,747.00","1,750.00","1,722.50","1,723.50","6,500,600"
"Feb 23, 2017","1,740.00","1,744.00","1,728.00","1,741.00","6,497,600"
"Feb 22, 2017","1,725.00","1,740.00","1,722.50","1,738.50","7,115,500"
"Feb 21, 2017","1,709.50","1,720.00","1,704.00","1,714.00","5,398,100"
"Feb 20, 2017","1,684.50","1,707.00","1,673.50","1,703.00","4,172,300"
"Feb 17, 2017","1,691.00","1,699.00","1,682.50","1,694.50","3,475,500"
"Feb 16, 2017","1,712.00","1,713.00","1,696.50","1,698.00","5,148,300"
"Feb 15, 2017","1,709.50","1,713.50","1,705.00","1,708.00","5,641,000"
"Feb 14, 2017","1,707.00","1,708.00","1,691.00","1,693.00","5,542,600"
"Feb 13, 2017","1,695.50","1,710.00","1,691.00","1,702.00","8,824,700"
"Feb 10, 2017","1,695.00","1,697.50","1,685.50","1,686.00","7,541,300"
"Feb 9, 2017","1,687.00","1,690.00","1,670.00","1,673.50","6,595,300"
"Feb 8, 2017","1,664.00","1,698.50","1,658.50","1,695.00","11,045,000"
"Feb 7, 2017","1,652.50","1,661.50","1,648.00","1,654.00","4,406,200"
"Feb 6, 2017","1,650.00","1,655.50","1,641.50","1,648.00","3,799,400"
"Feb 3, 2017","1,659.50","1,672.00","1,643.50","1,645.00","4,957,500"
"Feb 2, 2017","1,670.00","1,671.00","1,643.00","1,655.00","5,729,300"
"Feb 1, 2017","1,630.00","1,662.50","1,628.00","1,659.00","5,281,200"
"Jan 31, 2017","1,655.00","1,675.00","1,653.00","1,656.50","6,209,000"
"Jan 30, 2017","1,691.50","1,691.50","1,674.00","1,679.00","3,917,100"
"Jan 27, 2017","1,699.50","1,699.50","1,687.50","1,693.50","4,633,900"
"Jan 26, 2017","1,682.00","1,700.00","1,676.00","1,699.50","10,150,400"
"Jan 25, 2017","1,682.00","1,686.50","1,655.00","1,666.00","6,474,100"
"Jan 24, 2017","1,644.50","1,673.00","1,643.50","1,661.00","8,230,900"
"Jan 23, 2017","1,638.50","1,650.00","1,626.00","1,641.00","5,086,000"
