Date,Open,High,Low,Close,Volume
"Mar 31, 2017",241.00,243.00,235.00,235.00,"17,773,000"
"Mar 30, 2017",241.00,245.00,237.00,237.00,"21,876,000"
"Mar 29, 2017",245.00,246.00,239.00,241.00,"20,667,000"
"Mar 28, 2017",238.00,241.00,236.00,238.00,"16,660,000"
"Mar 27, 2017",239.00,239.00,234.00,235.00,"19,625,000"
"Mar 24, 2017",241.00,246.00,240.00,241.00,"18,059,000"
"Mar 23, 2017",244.00,246.00,241.00,242.00,"16,784,000"
"Mar 22, 2017",252.00,253.00,245.00,246.00,"23,744,000"
"Mar 21, 2017",257.00,258.00,253.00,258.00,"13,515,000"
"Mar 17, 2017",261.00,262.00,258.00,258.00,"15,819,000"
"Mar 16, 2017",257.00,264.00,257.00,264.00,"26,196,000"
"Mar 15, 2017",252.00,257.00,252.00,257.00,"17,692,000"
"Mar 14, 2017",256.00,256.00,252.00,254.00,"14,367,000"
"Mar 13, 2017",255.00,256.00,253.00,255.00,"13,519,000"
"Mar 10, 2017",260.00,261.00,255.00,257.00,"19,185,000"
"Mar 9, 2017",259.00,261.00,257.00,258.00,"18,363,000"
"Mar 8, 2017",264.00,264.00,254.00,256.00,"31,332,000"
"Mar 7, 2017",256.00,264.00,256.00,260.00,"44,562,000"
"Mar 6, 2017",257.00,259.00,255.00,256.00,"14,606,000"
"Mar 3, 2017",258.00,261.00,255.00,256.00,"25,463,000"
"Mar 2, 2017",256.00,260.00,255.00,256.00,"30,689,000"
"Mar 1, 2017",251.00,252.00,245.00,251.00,"24,699,000"
"Feb 28, 2017",245.00,250.00,244.00,248.00,"16,246,000"
"Feb 27, 2017",245.00,248.00,240.00,243.00,"28,618,000"
"Feb 24, 2017",252.00,254.00,247.00,247.00,"30,901,000"
"Feb 23, 2017",255.00,258.00,252.00,253.00,"30,995,000"
"Feb 22, 2017",249.00,256.00,248.00,254.00,"31,122,000"
"Feb 21, 2017",249.00,250.00,245.00,249.00,"15,383,000"
