Date,Open,High,Low,Close,Volume
"Mar 31, 2017","3,270.00","3,305.00","3,240.00","3,240.00","1,201,400"
"Mar 30, 2017","3,280.00","3,305.00","3,245.00","3,255.00","596,000"
"Mar 29, 2017","3,315.00","3,320.00","3,265.00","3,290.00","1,285,900"
"Mar 28, 2017","3,335.00","3,335.00","3,265.00","3,285.00","1,248,000"
"Mar 27, 2017","3,320.00","3,345.00","3,275.00","3,290.00","906,300"
"Mar 24, 2017","3,365.00","3,390.00","3,345.00","3,365.00","901,300"
"Mar 23, 2017","3,380.00","3,390.00","3,355.00","3,370.00","681,600"
"Mar 22, 2017","3,390.00","3,420.00","3,370.00","3,380.00","851,200"
"Mar 21, 2017","3,450.00","3,535.00","3,420.00","3,450.00","1,312,400"
"Mar 17, 2017","3,445.00","3,480.00","3,445.00","3,470.00","881,700"
"Mar 16, 2017","3,450.00","3,500.00","3,445.00","3,475.00","880,100"
"Mar 15, 2017","3,500.00","3,505.00","3,455.00","3,500.00","771,300"
"Mar 14, 2017","3,535.00","3,550.00","3,520.00","3,530.00","723,400"
"Mar 13, 2017","3,510.00","3,550.00","3,505.00","3,540.00","744,700"
"Mar 10, 2017","3,415.00","3,530.00","3,415.00","3,520.00","2,328,800"
"Mar 9, 2017","3,480.00","3,490.00","3,455.00","3,480.00","1,024,000"
"Mar 8, 2017","3,505.00","3,520.00","3,445.00","3,450.00","1,525,200"
"Mar 7, 2017","3,525.00","3,570.00","3,515.00","3,545.00","989,600"
"Mar 6, 2017","3,545.00","3,580.00","3,535.00","3,555.00","832,700"
"Mar 3, 2017","3,565.00","3,580.00","3,500.00","3,525.00","1,458,200"
"Mar 2, 2017","3,660.00","3,665.00","3,575.00","3,585.00","1,737,900"
"Mar 1, 2017","3,665.00","3,665.00","3,600.00","3,630.00","1,367,300"
"Feb 28, 2017","3,695.00","3,710.00","3,595.00","3,620.00","1,787,600"
"Feb 27, 2017","3,675.00","3,700.00","3,660.00","3,695.00","816,900"
"Feb 24, 2017","3,720.00","3,735.00","3,670.00","3,705.00","939,400"
"Feb 23, 2017","3,810.00","3,830.00","3,765.00","3,775.00","762,100"
"Feb 22, 2017","3,865.00","3,880.00","3,765.00","3,800.00","1,112,300"
"Feb 21, 2017","3,915.00","3,920.00","3,855.00","3,865.00","647,300"
"Feb 20, 2017","3,910.00","3,930.00","3,875.00","3,915.00","509,200"
"Feb 17, 2017","3,935.00","3,960.00","3,900.00","3,950.00","549,400"
"Feb 16, 2017","3,975.00","3,975.00","3,920.00","3,950.00","775,900"
"Feb 15, 2017","3,960.00","3,985.00","3,950.00","3,980.00","626,900"
"Feb 14, 2017","3,940.00","3,985.00","3,920.00","3,925.00","890,500"
"Feb 13, 2017","3,905.00","3,945.00","3,900.00","3,945.00","882,700"
"Feb 10, 2017","3,800.00","3,855.00","3,770.00","3,850.00","1,133,200"
"Feb 9, 2017","3,750.00","3,775.00","3,730.00","3,750.00","588,500"
"Feb 8, 2017","3,745.00","3,765.00","3,715.00","3,755.00","549,500"
"Feb 7, 2017","3,710.00","3,770.00","3,690.00","3,745.00","761,900"
"Feb 6, 2017","3,770.00","3,795.00","3,715.00","3,715.00","1,013,900"
"Feb 3, 2017","4,035.00","4,125.00","3,660.00","3,740.00","2,075,200"
"Feb 2, 2017","4,085.00","4,135.00","4,030.00","4,045.00","779,600"
"Feb 1, 2017","4,005.00","4,105.00","4,000.00","4,100.00","564,300"
"Jan 31, 2017","4,065.00","4,080.00","4,020.00","4,035.00","726,600"
"Jan 30, 2017","4,075.00","4,120.00","4,070.00","4,110.00","565,000"
"Jan 27, 2017","4,100.00","4,135.00","4,050.00","4,105.00","822,600"
"Jan 26, 2017","3,995.00","4,095.00","3,975.00","4,090.00","1,054,200"
"Jan 25, 2017","3,965.00","3,975.00","3,920.00","3,940.00","498,700"
"Jan 24, 2017","3,885.00","3,935.00","3,870.00","3,895.00","675,700"
"Jan 23, 2017","3,890.00","3,930.00","3,860.00","3,890.00","853,300"
"Jan 20, 2017","3,910.00","3,955.00","3,900.00","3,925.00","643,300"
"Jan 19, 2017","3,905.00","3,955.00","3,905.00","3,935.00","585,000"
"Jan 18, 2017","3,910.00","3,915.00","3,845.00","3,895.00","778,500"
"Jan 17, 2017","3,975.00","3,975.00","3,900.00","3,905.00","583,600"
"Jan 16, 2017","3,970.00","3,995.00","3,930.00","3,955.00","629,600"
"Jan 13, 2017","4,015.00","4,025.00","3,985.00","4,000.00","629,100"
"Jan 12, 2017","4,000.00","4,015.00","3,940.00","3,995.00","666,800"
"Jan 11, 2017","4,000.00","4,040.00","3,990.00","4,005.00","443,800"
"Jan 10, 2017","3,970.00","4,050.00","3,965.00","3,975.00","709,100"
"Jan 6, 2017","3,965.00","4,015.00","3,965.00","4,005.00","506,400"
"Jan 5, 2017","4,045.00","4,050.00","3,965.00","3,980.00","639,100"
"Jan 4, 2017","3,910.00","4,035.00","3,905.00","4,025.00","850,500"
"Dec 30, 2016","3,875.00","3,925.00","3,860.00","3,905.00","507,200"
"Dec 29, 2016","3,980.00","3,990.00","3,895.00","3,915.00","479,300"
"Dec 28, 2016","3,980.00","4,015.00","3,960.00","3,995.00","521,900"
"Dec 27, 2016","3,935.00","3,990.00","3,935.00","3,980.00","525,600"
"Dec 26, 2016","3,975.00","3,985.00","3,925.00","3,930.00","602,800"
"Dec 22, 2016","3,945.00","3,975.00","3,895.00","3,965.00","496,200"
"Dec 21, 2016","3,990.00","4,000.00","3,900.00","3,930.00","855,900"
"Dec 20, 2016","3,955.00","4,000.00","3,930.00","3,970.00","752,300"
"Dec 19, 2016","3,930.00","3,970.00","3,920.00","3,970.00","608,800"
"Dec 16, 2016","3,890.00","3,940.00","3,865.00","3,925.00","1,070,200"
"Dec 15, 2016","3,890.00","3,905.00","3,830.00","3,855.00","904,800"
"Dec 14, 2016","3,905.00","3,910.00","3,840.00","3,875.00","941,600"
"Dec 13, 2016","3,855.00","3,915.00","3,840.00","3,910.00","712,300"
"Dec 12, 2016","3,860.00","3,870.00","3,790.00","3,855.00","1,231,100"
"Dec 9, 2016","3,890.00","3,915.00","3,820.00","3,840.00","1,839,300"
"Dec 8, 2016","3,850.00","3,900.00","3,800.00","3,840.00","890,600"
"Dec 7, 2016","3,845.00","3,875.00","3,795.00","3,820.00","910,200"
"Dec 6, 2016","3,895.00","3,915.00","3,805.00","3,835.00","1,046,200"
"Dec 5, 2016","3,880.00","3,880.00","3,830.00","3,845.00","1,054,600"
"Dec 2, 2016","3,870.00","3,920.00","3,825.00","3,855.00","1,168,800"
"Dec 1, 2016","3,875.00","3,935.00","3,855.00","3,865.00","1,543,100"
"Nov 30, 2016","3,855.00","3,870.00","3,775.00","3,805.00","9,040,200"
"Nov 29, 2016","3,830.00","3,870.00","3,810.00","3,850.00","1,428,500"
"Nov 28, 2016","3,810.00","3,850.00","3,785.00","3,830.00","1,333,800"
"Nov 25, 2016","3,865.00","3,890.00","3,820.00","3,850.00","1,387,000"
"Nov 24, 2016","3,945.00","3,945.00","3,865.00","3,870.00","1,094,000"
"Nov 22, 2016","3,910.00","3,950.00","3,890.00","3,925.00","848,100"
"Nov 21, 2016","3,925.00","3,960.00","3,880.00","3,905.00","1,230,500"
"Nov 18, 2016","3,895.00","3,975.00","3,870.00","3,950.00","1,419,600"
"Nov 17, 2016","3,855.00","3,880.00","3,815.00","3,860.00","987,600"
"Nov 16, 2016","3,870.00","3,890.00","3,835.00","3,875.00","1,076,800"
"Nov 15, 2016","3,850.00","3,920.00","3,760.00","3,855.00","1,984,900"
"Nov 14, 2016","3,720.00","3,850.00","3,700.00","3,835.00","982,300"
