Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,041.00","1,062.00","1,040.00","1,041.00","4,191,200"
"Mar 30, 2017","1,050.00","1,051.00","1,031.00","1,033.00","3,984,000"
"Mar 29, 2017","1,060.00","1,064.00","1,051.00","1,054.00","2,443,000"
"Mar 28, 2017","1,061.00","1,072.00","1,061.00","1,069.00","4,080,300"
"Mar 27, 2017","1,070.00","1,076.00","1,061.00","1,065.00","5,207,400"
"Mar 24, 2017","1,032.00","1,071.00","1,028.00","1,067.00","7,612,000"
"Mar 23, 2017","1,029.00","1,035.00","1,027.00","1,032.00","2,536,500"
"Mar 22, 2017","1,028.00","1,041.00","1,028.00","1,032.00","2,526,000"
"Mar 21, 2017","1,043.00","1,044.00","1,033.00","1,044.00","2,113,900"
"Mar 17, 2017","1,049.00","1,050.00","1,044.00","1,048.00","2,553,300"
"Mar 16, 2017","1,053.00","1,060.00","1,049.00","1,055.00","2,769,000"
"Mar 15, 2017","1,050.00","1,054.00","1,047.00","1,054.00","2,207,500"
"Mar 14, 2017","1,050.00","1,053.00","1,047.00","1,052.00","1,546,000"
"Mar 13, 2017","1,045.00","1,050.00","1,039.00","1,050.00","2,161,700"
"Mar 10, 2017","1,051.00","1,052.00","1,042.00","1,046.00","3,503,100"
"Mar 9, 2017","1,035.00","1,042.00","1,030.00","1,041.00","3,177,800"
"Mar 8, 2017","1,021.00","1,034.00","1,021.00","1,033.00","3,337,100"
"Mar 7, 2017","1,024.00","1,028.00","1,020.00","1,025.00","3,723,700"
"Mar 6, 2017","1,030.00","1,032.00","1,019.00","1,024.00","4,307,600"
"Mar 3, 2017","1,057.00","1,061.00","1,028.00","1,036.00","8,202,300"
"Mar 2, 2017","1,077.00","1,084.00","1,071.00","1,078.00","2,718,600"
"Mar 1, 2017","1,047.00","1,068.00","1,042.00","1,067.00","3,280,700"
"Feb 28, 2017","1,053.00","1,058.00","1,043.00","1,044.00","3,674,900"
"Feb 27, 2017","1,055.00","1,056.00","1,044.00","1,048.00","2,341,200"
"Feb 24, 2017","1,066.00","1,073.00","1,057.00","1,060.00","2,286,900"
"Feb 23, 2017","1,068.00","1,074.00","1,058.00","1,071.00","2,245,700"
"Feb 22, 2017","1,068.00","1,069.00","1,056.00","1,062.00","1,961,500"
"Feb 21, 2017","1,068.00","1,075.00","1,064.00","1,071.00","1,646,500"
"Feb 20, 2017","1,063.00","1,067.00","1,054.00","1,065.00","1,561,500"
"Feb 17, 2017","1,068.00","1,071.00","1,059.00","1,064.00","2,549,200"
"Feb 16, 2017","1,074.00","1,080.00","1,063.00","1,069.00","2,439,700"
