Date,Open,High,Low,Close,Volume
"Mar 31, 2017",224.00,227.00,221.00,221.00,"3,937,300"
"Mar 30, 2017",225.00,231.00,222.00,223.00,"5,323,600"
"Mar 29, 2017",227.00,228.00,224.00,225.00,"2,435,500"
"Mar 28, 2017",225.00,226.00,224.00,224.00,"2,370,100"
"Mar 27, 2017",227.00,228.00,221.00,223.00,"4,352,600"
"Mar 24, 2017",228.00,232.00,227.00,227.00,"4,963,700"
"Mar 23, 2017",232.00,233.00,227.00,228.00,"2,924,400"
"Mar 22, 2017",232.00,234.00,228.00,229.00,"6,047,600"
"Mar 21, 2017",239.00,241.00,236.00,237.00,"3,627,700"
"Mar 17, 2017",235.00,241.00,234.00,238.00,"7,978,700"
"Mar 16, 2017",238.00,243.00,232.00,243.00,"18,936,300"
"Mar 15, 2017",246.00,248.00,244.00,245.00,"4,280,600"
"Mar 14, 2017",243.00,252.00,243.00,249.00,"13,477,800"
"Mar 13, 2017",236.00,245.00,234.00,244.00,"15,520,200"
"Mar 10, 2017",233.00,234.00,230.00,233.00,"4,641,200"
"Mar 9, 2017",230.00,233.00,229.00,232.00,"6,246,800"
"Mar 8, 2017",230.00,232.00,228.00,230.00,"3,841,000"
"Mar 7, 2017",228.00,232.00,227.00,230.00,"4,456,800"
"Mar 6, 2017",227.00,230.00,226.00,228.00,"2,746,200"
"Mar 3, 2017",231.00,233.00,227.00,227.00,"5,068,200"
"Mar 2, 2017",228.00,232.00,227.00,231.00,"6,167,000"
"Mar 1, 2017",228.00,228.00,223.00,226.00,"7,778,300"
"Feb 28, 2017",225.00,231.00,224.00,228.00,"6,542,400"
"Feb 27, 2017",227.00,230.00,224.00,225.00,"7,897,600"
"Feb 24, 2017",227.00,230.00,225.00,226.00,"5,545,500"
"Feb 23, 2017",230.00,230.00,225.00,227.00,"8,978,800"
"Feb 22, 2017",232.00,232.00,230.00,231.00,"2,491,700"
"Feb 21, 2017",231.00,232.00,227.00,230.00,"4,352,000"
"Feb 20, 2017",230.00,232.00,228.00,229.00,"4,817,500"
"Feb 17, 2017",236.00,237.00,231.00,232.00,"6,432,700"
"Feb 16, 2017",240.00,241.00,236.00,237.00,"4,271,600"
"Feb 15, 2017",243.00,244.00,239.00,239.00,"4,592,700"
"Feb 14, 2017",247.00,248.00,237.00,241.00,"19,811,100"
"Feb 13, 2017",264.00,264.00,258.00,258.00,"5,333,000"
"Feb 10, 2017",260.00,265.00,257.00,261.00,"8,550,800"
"Feb 9, 2017",252.00,258.00,250.00,256.00,"6,410,100"
"Feb 8, 2017",250.00,252.00,248.00,252.00,"2,542,000"
"Feb 7, 2017",251.00,252.00,249.00,249.00,"2,643,100"
"Feb 6, 2017",254.00,255.00,251.00,252.00,"2,789,400"
"Feb 3, 2017",250.00,254.00,248.00,252.00,"3,819,500"
"Feb 2, 2017",251.00,256.00,250.00,252.00,"5,652,000"
"Feb 1, 2017",245.00,251.00,245.00,250.00,"3,467,600"
"Jan 31, 2017",248.00,251.00,246.00,248.00,"4,461,600"
"Jan 30, 2017",251.00,253.00,248.00,250.00,"5,247,300"
"Jan 27, 2017",254.00,255.00,251.00,253.00,"3,787,800"
"Jan 26, 2017",257.00,259.00,252.00,254.00,"7,026,200"
"Jan 25, 2017",255.00,258.00,253.00,255.00,"4,292,400"
"Jan 24, 2017",251.00,255.00,250.00,252.00,"4,042,800"
"Jan 23, 2017",255.00,256.00,253.00,253.00,"4,020,200"
"Jan 20, 2017",252.00,254.00,248.00,254.00,"3,299,300"
"Jan 19, 2017",253.00,256.00,249.00,251.00,"5,841,000"
"Jan 18, 2017",246.00,252.00,245.00,251.00,"5,079,300"
"Jan 17, 2017",249.00,251.00,244.00,247.00,"5,298,500"
"Jan 16, 2017",253.00,256.00,249.00,250.00,"4,569,900"
"Jan 13, 2017",252.00,255.00,252.00,254.00,"4,696,000"
"Jan 12, 2017",259.00,259.00,250.00,253.00,"7,819,500"
"Jan 11, 2017",258.00,259.00,252.00,257.00,"7,672,400"
"Jan 10, 2017",268.00,268.00,257.00,259.00,"8,240,200"
"Jan 6, 2017",262.00,269.00,256.00,265.00,"19,162,600"
"Jan 5, 2017",250.00,261.00,249.00,260.00,"14,135,500"
"Jan 4, 2017",239.00,250.00,238.00,248.00,"9,230,700"
"Dec 30, 2016",237.00,240.00,236.00,236.00,"3,254,400"
"Dec 29, 2016",240.00,241.00,235.00,238.00,"7,454,200"
"Dec 28, 2016",238.00,247.00,237.00,244.00,"4,468,600"
"Dec 27, 2016",240.00,243.00,237.00,239.00,"5,823,200"
"Dec 26, 2016",242.00,244.00,239.00,242.00,"5,765,100"
"Dec 22, 2016",245.00,247.00,242.00,247.00,"6,091,200"
"Dec 21, 2016",253.00,253.00,245.00,247.00,"4,855,100"
"Dec 20, 2016",252.00,255.00,244.00,253.00,"6,723,200"
"Dec 19, 2016",254.00,255.00,251.00,252.00,"2,555,700"
"Dec 16, 2016",254.00,256.00,251.00,255.00,"5,305,900"
"Dec 15, 2016",255.00,260.00,247.00,253.00,"9,691,200"
"Dec 14, 2016",246.00,257.00,246.00,256.00,"10,645,900"
"Dec 13, 2016",243.00,247.00,241.00,246.00,"4,725,400"
"Dec 12, 2016",249.00,254.00,241.00,245.00,"6,437,900"
"Dec 9, 2016",250.00,253.00,247.00,249.00,"7,365,500"
"Dec 8, 2016",258.00,259.00,248.00,254.00,"6,849,100"
"Dec 7, 2016",255.00,259.00,253.00,254.00,"7,025,300"
"Dec 6, 2016",246.00,254.00,246.00,254.00,"6,302,500"
"Dec 5, 2016",246.00,246.00,240.00,245.00,"6,382,500"
"Dec 2, 2016",245.00,250.00,242.00,248.00,"11,523,300"
"Dec 1, 2016",238.00,241.00,238.00,240.00,"8,338,900"
"Nov 30, 2016",235.00,237.00,234.00,236.00,"6,049,600"
"Nov 29, 2016",230.00,235.00,229.00,234.00,"6,359,300"
"Nov 28, 2016",230.00,231.00,225.00,231.00,"4,917,400"
"Nov 25, 2016",233.00,235.00,228.00,230.00,"9,429,300"
"Nov 24, 2016",238.00,239.00,232.00,234.00,"6,284,800"
"Nov 22, 2016",229.00,236.00,229.00,236.00,"6,952,300"
"Nov 21, 2016",228.00,233.00,226.00,229.00,"6,793,800"
"Nov 18, 2016",225.00,226.00,222.00,226.00,"4,922,700"
"Nov 17, 2016",219.00,227.00,219.00,222.00,"6,314,700"
"Nov 16, 2016",224.00,226.00,220.00,221.00,"6,435,600"
"Nov 15, 2016",230.00,232.00,222.00,224.00,"8,005,300"
"Nov 14, 2016",230.00,234.00,225.00,229.00,"9,921,100"
"Nov 11, 2016",249.00,250.00,226.00,228.00,"17,054,100"
"Nov 10, 2016",248.00,251.00,242.00,249.00,"10,101,500"
"Nov 9, 2016",250.00,253.00,226.00,229.00,"10,802,700"
"Nov 8, 2016",251.00,252.00,246.00,247.00,"4,003,700"
"Nov 7, 2016",256.00,256.00,248.00,249.00,"4,888,400"
"Nov 4, 2016",250.00,254.00,248.00,251.00,"4,134,500"
"Nov 2, 2016",260.00,260.00,251.00,254.00,"7,897,000"
"Nov 1, 2016",265.00,266.00,257.00,265.00,"9,564,500"
"Oct 31, 2016",251.00,259.00,250.00,258.00,"6,986,100"
"Oct 28, 2016",246.00,254.00,246.00,250.00,"8,916,100"
"Oct 27, 2016",252.00,254.00,243.00,245.00,"9,620,600"
"Oct 26, 2016",240.00,260.00,237.00,257.00,"17,629,500"
"Oct 25, 2016",241.00,243.00,239.00,240.00,"2,532,400"
"Oct 24, 2016",245.00,245.00,238.00,240.00,"2,803,600"
"Oct 21, 2016",243.00,246.00,241.00,242.00,"4,571,000"
"Oct 20, 2016",239.00,243.00,238.00,242.00,"2,569,300"
"Oct 19, 2016",240.00,242.00,238.00,239.00,"1,998,800"
"Oct 18, 2016",244.00,244.00,237.00,242.00,"3,503,200"
"Oct 17, 2016",246.00,249.00,241.00,244.00,"8,697,300"
"Oct 14, 2016",228.00,242.00,226.00,242.00,"11,448,100"
"Oct 13, 2016",224.00,229.00,223.00,227.00,"4,164,500"
"Oct 12, 2016",222.00,223.00,219.00,221.00,"2,568,000"
"Oct 11, 2016",224.00,228.00,223.00,223.00,"2,715,800"
"Oct 7, 2016",225.00,227.00,224.00,226.00,"2,568,900"
"Oct 6, 2016",227.00,229.00,223.00,224.00,"2,878,800"
"Oct 5, 2016",219.00,226.00,217.00,225.00,"4,548,000"
"Oct 4, 2016",216.00,220.00,214.00,219.00,"3,197,000"
"Oct 3, 2016",219.00,220.00,214.00,215.00,"2,490,000"
"Sep 30, 2016",220.00,221.00,216.00,218.00,"4,094,400"
"Sep 29, 2016",222.00,224.00,220.00,223.00,"2,975,300"
"Sep 28, 2016",221.00,223.00,220.00,222.00,"1,770,300"
"Sep 27, 2016",215.00,222.00,211.00,222.00,"4,398,200"
"Sep 26, 2016",226.00,226.00,217.00,219.00,"4,448,300"
"Sep 23, 2016",231.00,231.00,226.00,227.00,"2,526,500"
"Sep 21, 2016",224.00,231.00,222.00,231.00,"3,769,800"
"Sep 20, 2016",223.00,227.00,222.00,222.00,"2,526,000"
"Sep 16, 2016",224.00,225.00,222.00,223.00,"1,818,100"
"Sep 15, 2016",222.00,227.00,220.00,221.00,"3,509,800"
"Sep 14, 2016",230.00,230.00,223.00,224.00,"5,133,500"
"Sep 13, 2016",237.00,238.00,232.00,233.00,"2,477,700"
"Sep 12, 2016",237.00,240.00,233.00,234.00,"3,831,100"
"Sep 9, 2016",237.00,242.00,235.00,242.00,"4,704,800"
"Sep 8, 2016",237.00,238.00,234.00,236.00,"3,244,000"
"Sep 7, 2016",237.00,239.00,234.00,238.00,"4,709,200"
"Sep 6, 2016",235.00,245.00,235.00,241.00,"4,684,400"
"Sep 5, 2016",243.00,243.00,235.00,237.00,"4,278,400"
"Sep 2, 2016",242.00,242.00,237.00,239.00,"7,165,500"
"Sep 1, 2016",230.00,246.00,229.00,241.00,"18,493,000"
"Aug 31, 2016",229.00,229.00,225.00,227.00,"3,260,000"
"Aug 30, 2016",230.00,232.00,224.00,226.00,"5,283,300"
"Aug 29, 2016",233.00,234.00,228.00,229.00,"4,237,900"
"Aug 26, 2016",230.00,230.00,226.00,227.00,"3,044,600"
"Aug 25, 2016",226.00,232.00,222.00,232.00,"5,585,100"
"Aug 24, 2016",226.00,230.00,225.00,227.00,"4,106,300"
"Aug 23, 2016",233.00,233.00,226.00,227.00,"5,268,600"
"Aug 22, 2016",242.00,243.00,232.00,233.00,"5,302,000"
"Aug 19, 2016",232.00,243.00,232.00,239.00,"8,471,500"
"Aug 18, 2016",230.00,235.00,227.00,232.00,"9,337,100"
"Aug 17, 2016",221.00,235.00,218.00,234.00,"10,278,300"
"Aug 16, 2016",226.00,227.00,221.00,221.00,"3,797,100"
"Aug 15, 2016",223.00,232.00,222.00,225.00,"6,059,700"
"Aug 12, 2016",225.00,225.00,217.00,224.00,"7,855,500"
"Aug 10, 2016",227.00,227.00,222.00,223.00,"5,307,100"
"Aug 9, 2016",218.00,229.00,217.00,227.00,"14,298,200"
"Aug 8, 2016",211.00,222.00,206.00,221.00,"21,894,600"
"Aug 5, 2016",189.00,191.00,188.00,189.00,"6,312,900"
"Aug 4, 2016",178.00,189.00,178.00,189.00,"4,884,600"
"Aug 3, 2016",185.00,187.00,178.00,179.00,"5,067,100"
"Aug 2, 2016",189.00,190.00,187.00,187.00,"2,549,600"
"Aug 1, 2016",188.00,192.00,187.00,189.00,"6,605,200"
"Jul 29, 2016",187.00,190.00,183.00,189.00,"7,903,600"
"Jul 28, 2016",191.00,192.00,187.00,188.00,"3,652,000"
"Jul 27, 2016",183.00,191.00,182.00,190.00,"6,752,900"
"Jul 26, 2016",183.00,184.00,179.00,181.00,"3,481,900"
"Jul 25, 2016",185.00,190.00,184.00,185.00,"3,880,300"
"Jul 22, 2016",184.00,187.00,183.00,184.00,"3,781,100"
"Jul 21, 2016",191.00,193.00,187.00,189.00,"4,803,700"
"Jul 20, 2016",195.00,195.00,186.00,188.00,"4,809,000"
"Jul 19, 2016",191.00,194.00,188.00,192.00,"7,618,800"
