Date,Open,High,Low,Close,Volume
"Mar 31, 2017",939.00,940.00,916.00,916.00,"3,620,500"
"Mar 30, 2017",925.00,937.00,923.00,932.00,"3,269,100"
"Mar 29, 2017",935.00,941.00,927.00,932.00,"3,116,100"
"Mar 28, 2017",937.00,948.00,937.00,946.00,"3,503,700"
"Mar 27, 2017",935.00,939.00,926.00,931.00,"4,618,700"
"Mar 24, 2017",936.00,941.00,934.00,937.00,"3,804,200"
"Mar 23, 2017",945.00,950.00,935.00,938.00,"3,622,100"
"Mar 22, 2017",969.00,969.00,948.00,948.00,"5,751,000"
"Mar 21, 2017",997.00,999.00,981.00,982.00,"4,760,900"
"Mar 17, 2017","1,011.00","1,012.00","1,000.00","1,003.00","3,864,500"
"Mar 16, 2017","1,010.00","1,023.00","1,009.00","1,015.00","1,668,600"
"Mar 15, 2017","1,007.00","1,017.00","1,002.00","1,014.00","1,729,500"
"Mar 14, 2017","1,019.00","1,024.00","1,016.00","1,016.00","1,852,300"
"Mar 13, 2017","1,007.00","1,019.00","1,005.00","1,016.00","2,144,900"
"Mar 10, 2017",995.00,"1,006.00",994.00,"1,005.00","3,089,800"
"Mar 9, 2017",986.00,992.00,983.00,991.00,"1,987,800"
"Mar 8, 2017",989.00,990.00,980.00,983.00,"2,368,600"
"Mar 7, 2017",985.00,994.00,983.00,991.00,"1,781,700"
"Mar 6, 2017",984.00,991.00,982.00,987.00,"2,135,800"
"Mar 3, 2017",994.00,995.00,983.00,986.00,"2,070,700"
"Mar 2, 2017",989.00,992.00,983.00,989.00,"2,974,000"
"Mar 1, 2017",980.00,988.00,973.00,980.00,"3,413,800"
"Feb 28, 2017",989.00,993.00,978.00,979.00,"4,283,700"
"Feb 27, 2017",998.00,"1,003.00",990.00,991.00,"2,535,400"
"Feb 24, 2017",999.00,"1,004.00",997.00,"1,001.00","2,511,700"
"Feb 23, 2017","1,000.00","1,002.00",990.00,998.00,"2,089,100"
"Feb 22, 2017","1,000.00","1,001.00",992.00,999.00,"2,371,600"
"Feb 21, 2017",996.00,"1,002.00",994.00,996.00,"2,107,400"
"Feb 20, 2017",993.00,"1,005.00",992.00,"1,002.00","1,934,800"
"Feb 17, 2017",998.00,"1,002.00",989.00,992.00,"3,183,200"
"Feb 16, 2017","1,013.00","1,016.00","1,008.00","1,011.00","2,665,500"
"Feb 15, 2017","1,004.00","1,015.00","1,002.00","1,012.00","2,854,300"
