Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,864.00","1,864.00","1,831.00","1,831.00","3,028,700"
"Mar 30, 2017","1,876.50","1,881.50","1,842.50","1,844.50","2,471,200"
"Mar 29, 2017","1,900.00","1,904.50","1,881.50","1,889.00","2,820,300"
"Mar 28, 2017","1,877.50","1,896.50","1,876.50","1,896.50","3,469,800"
"Mar 27, 2017","1,871.00","1,879.00","1,847.00","1,860.50","2,818,500"
"Mar 24, 2017","1,872.00","1,887.00","1,860.50","1,882.00","4,038,400"
"Mar 23, 2017","1,881.50","1,884.50","1,870.50","1,883.00","2,498,400"
"Mar 22, 2017","1,870.00","1,898.50","1,870.00","1,884.50","3,550,900"
"Mar 21, 2017","1,898.00","1,909.00","1,890.00","1,909.00","2,828,300"
"Mar 17, 2017","1,902.00","1,912.00","1,891.50","1,910.50","3,508,100"
"Mar 16, 2017","1,870.50","1,908.00","1,866.00","1,908.00","4,128,300"
"Mar 15, 2017","1,898.50","1,902.50","1,877.50","1,888.50","3,378,300"
"Mar 14, 2017","1,916.00","1,919.00","1,902.00","1,918.00","2,727,300"
"Mar 13, 2017","1,890.00","1,919.00","1,882.50","1,919.00","3,757,600"
"Mar 10, 2017","1,870.50","1,913.00","1,869.50","1,885.00","7,731,800"
"Mar 9, 2017","1,879.50","1,894.50","1,862.50","1,882.00","4,548,700"
"Mar 8, 2017","1,821.50","1,874.00","1,819.00","1,864.00","5,842,100"
"Mar 7, 2017","1,816.00","1,819.00","1,802.00","1,811.50","2,570,000"
"Mar 6, 2017","1,814.00","1,817.50","1,803.50","1,814.50","1,456,800"
"Mar 3, 2017","1,820.00","1,825.00","1,805.50","1,809.00","2,398,500"
"Mar 2, 2017","1,832.50","1,834.50","1,815.00","1,820.00","2,287,100"
"Mar 1, 2017","1,800.00","1,810.00","1,795.50","1,805.00","2,422,400"
"Feb 28, 2017","1,809.00","1,814.50","1,794.00","1,795.50","2,733,100"
"Feb 27, 2017","1,802.00","1,810.50","1,787.50","1,800.50","2,805,700"
"Feb 24, 2017","1,800.50","1,825.50","1,798.50","1,815.00","2,192,100"
"Feb 23, 2017","1,800.00","1,813.00","1,791.50","1,799.50","2,928,500"
"Feb 22, 2017","1,827.50","1,827.50","1,808.50","1,812.50","2,069,500"
"Feb 21, 2017","1,796.50","1,819.00","1,790.50","1,815.00","1,941,900"
"Feb 20, 2017","1,795.00","1,802.00","1,776.00","1,798.00","2,348,600"
"Feb 17, 2017","1,815.50","1,825.50","1,790.00","1,802.50","2,927,600"
"Feb 16, 2017","1,852.00","1,853.00","1,822.00","1,824.00","3,080,100"
"Feb 15, 2017","1,852.00","1,854.00","1,840.50","1,848.00","1,823,300"
"Feb 14, 2017","1,856.50","1,857.00","1,837.50","1,839.00","2,091,300"
"Feb 13, 2017","1,872.00","1,873.00","1,843.50","1,853.50","2,886,600"
"Feb 10, 2017","1,857.50","1,867.50","1,845.50","1,867.50","3,231,700"
"Feb 9, 2017","1,820.00","1,825.50","1,802.50","1,820.50","1,894,800"
"Feb 8, 2017","1,805.00","1,824.00","1,805.00","1,821.50","1,697,800"
"Feb 7, 2017","1,799.00","1,807.50","1,787.00","1,801.00","2,189,800"
"Feb 6, 2017","1,820.00","1,823.00","1,804.00","1,810.50","1,773,100"
"Feb 3, 2017","1,819.50","1,824.50","1,801.50","1,810.50","2,570,600"
"Feb 2, 2017","1,840.00","1,840.50","1,801.50","1,806.00","2,548,600"
"Feb 1, 2017","1,812.50","1,845.00","1,803.00","1,842.50","2,696,000"
"Jan 31, 2017","1,835.00","1,838.00","1,821.50","1,828.50","3,045,200"
"Jan 30, 2017","1,852.00","1,857.00","1,843.00","1,852.50","2,455,900"
"Jan 27, 2017","1,850.50","1,860.00","1,846.50","1,847.00","3,765,400"
"Jan 26, 2017","1,882.50","1,888.00","1,869.00","1,881.50","7,430,200"
"Jan 25, 2017","1,886.00","1,894.50","1,865.00","1,871.50","3,310,500"
"Jan 24, 2017","1,876.00","1,884.50","1,861.00","1,865.50","3,302,300"
"Jan 23, 2017","1,905.00","1,905.00","1,880.50","1,880.50","3,952,900"
"Jan 20, 2017","1,917.00","1,926.00","1,910.50","1,914.50","2,808,600"
"Jan 19, 2017","1,940.00","1,945.00","1,908.50","1,916.00","3,068,400"
"Jan 18, 2017","1,898.50","1,928.50","1,895.00","1,923.50","2,863,600"
"Jan 17, 2017","1,939.50","1,939.50","1,905.00","1,907.00","2,915,900"
"Jan 16, 2017","1,970.00","1,971.50","1,943.50","1,945.50","2,818,600"
"Jan 13, 2017","1,954.50","1,978.00","1,945.00","1,977.50","2,961,300"
"Jan 12, 2017","1,964.00","1,969.00","1,937.50","1,954.00","3,522,300"
"Jan 11, 2017","1,978.00","1,978.00","1,963.50","1,968.00","2,471,800"
"Jan 10, 2017","1,994.00","1,994.00","1,961.50","1,965.00","3,677,300"
"Jan 6, 2017","1,977.00","1,999.00","1,974.00","1,991.00","2,741,100"
"Jan 5, 2017","1,992.00","1,997.50","1,975.00","1,977.50","3,041,100"
"Jan 4, 2017","1,963.00","1,989.00","1,962.50","1,987.00","3,070,500"
"Dec 30, 2016","1,939.50","1,954.00","1,930.50","1,945.50","2,002,600"
"Dec 29, 2016","1,953.00","1,953.50","1,934.00","1,946.00","2,821,100"
"Dec 28, 2016","1,956.00","1,962.00","1,947.50","1,961.00","1,868,700"
"Dec 27, 2016","1,950.00","1,963.50","1,942.00","1,947.50","1,965,000"
"Dec 26, 2016","1,970.50","1,973.50","1,953.00","1,956.00","2,126,500"
"Dec 22, 2016","1,963.00","1,963.00","1,945.50","1,960.50","2,649,600"
"Dec 21, 2016","1,961.50","1,964.00","1,934.00","1,943.00","2,946,600"
"Dec 20, 2016","1,944.00","1,952.50","1,937.00","1,948.00","2,469,300"
"Dec 19, 2016","1,900.50","1,929.00","1,900.50","1,924.50","1,927,300"
"Dec 16, 2016","1,930.00","1,939.00","1,910.00","1,917.00","3,479,500"
"Dec 15, 2016","1,920.00","1,932.00","1,900.50","1,901.50","3,745,500"
"Dec 14, 2016","1,942.50","1,942.50","1,916.50","1,918.00","2,875,900"
"Dec 13, 2016","1,917.50","1,949.50","1,906.00","1,948.50","3,309,300"
"Dec 12, 2016","1,943.00","1,953.50","1,910.00","1,914.50","3,708,700"
"Dec 9, 2016","1,945.00","1,945.00","1,917.00","1,930.50","5,477,400"
"Dec 8, 2016","1,870.00","1,898.50","1,867.00","1,898.50","3,641,100"
"Dec 7, 2016","1,863.00","1,863.50","1,833.50","1,848.50","2,451,700"
"Dec 6, 2016","1,853.50","1,861.00","1,843.50","1,845.50","2,928,300"
"Dec 5, 2016","1,833.50","1,846.00","1,819.00","1,824.00","2,564,400"
"Dec 2, 2016","1,863.00","1,875.00","1,838.50","1,848.50","3,634,700"
"Dec 1, 2016","1,895.00","1,895.50","1,872.00","1,877.00","3,884,300"
"Nov 30, 2016","1,870.50","1,881.00","1,863.00","1,870.00","3,382,800"
"Nov 29, 2016","1,859.50","1,874.50","1,856.00","1,862.00","2,568,200"
"Nov 28, 2016","1,850.00","1,873.00","1,846.00","1,866.00","4,235,000"
"Nov 25, 2016","1,836.00","1,846.00","1,826.00","1,837.50","2,958,200"
"Nov 24, 2016","1,800.00","1,819.00","1,798.50","1,816.00","3,341,500"
"Nov 22, 2016","1,776.00","1,785.50","1,766.00","1,774.50","2,338,900"
"Nov 21, 2016","1,769.50","1,784.00","1,765.50","1,783.00","2,749,700"
"Nov 18, 2016","1,765.00","1,771.50","1,758.00","1,758.50","2,680,400"
"Nov 17, 2016","1,742.00","1,761.00","1,736.00","1,754.00","3,043,200"
"Nov 16, 2016","1,732.00","1,742.50","1,722.00","1,733.50","2,382,600"
"Nov 15, 2016","1,723.00","1,736.50","1,711.00","1,722.00","1,927,500"
"Nov 14, 2016","1,710.50","1,728.50","1,700.50","1,725.00","2,403,900"
"Nov 11, 2016","1,730.00","1,742.00","1,688.50","1,694.00","3,820,300"
"Nov 10, 2016","1,694.00","1,713.00","1,688.50","1,703.00","4,084,400"
"Nov 9, 2016","1,710.00","1,722.00","1,597.00","1,615.00","5,815,300"
"Nov 8, 2016","1,712.50","1,720.00","1,697.00","1,701.50","1,825,700"
"Nov 7, 2016","1,710.00","1,714.50","1,695.50","1,712.00","2,500,400"
"Nov 4, 2016","1,715.00","1,715.50","1,672.00","1,681.00","2,511,500"
"Nov 2, 2016","1,720.00","1,726.50","1,702.50","1,712.50","1,907,300"
"Nov 1, 2016","1,734.50","1,747.50","1,722.50","1,747.00","2,171,900"
"Oct 31, 2016","1,732.50","1,740.50","1,720.50","1,736.50","2,320,500"
"Oct 28, 2016","1,714.00","1,745.50","1,713.00","1,743.50","5,171,900"
"Oct 27, 2016","1,720.00","1,725.50","1,703.00","1,706.50","1,955,700"
"Oct 26, 2016","1,683.50","1,712.00","1,683.50","1,710.00","2,752,000"
"Oct 25, 2016","1,683.50","1,698.00","1,683.00","1,690.50","2,681,200"
"Oct 24, 2016","1,660.00","1,670.00","1,650.00","1,668.00","2,185,500"
"Oct 21, 2016","1,672.00","1,680.00","1,658.00","1,659.50","2,641,600"
"Oct 20, 2016","1,629.50","1,668.50","1,627.50","1,662.00","3,127,700"
"Oct 19, 2016","1,631.00","1,635.00","1,618.00","1,625.00","2,924,900"
"Oct 18, 2016","1,610.00","1,631.50","1,607.50","1,631.00","3,040,300"
"Oct 17, 2016","1,619.00","1,628.00","1,611.00","1,621.00","2,216,200"
"Oct 14, 2016","1,625.50","1,626.00","1,609.50","1,621.50","2,484,600"
"Oct 13, 2016","1,626.00","1,637.00","1,613.50","1,620.00","2,397,200"
"Oct 12, 2016","1,622.00","1,648.00","1,618.50","1,623.50","2,689,900"
"Oct 11, 2016","1,642.50","1,654.50","1,631.50","1,634.50","2,947,700"
"Oct 7, 2016","1,675.00","1,675.00","1,640.50","1,649.50","3,836,800"
"Oct 6, 2016","1,689.50","1,694.00","1,682.00","1,685.50","3,098,400"
"Oct 5, 2016","1,714.00","1,714.00","1,683.50","1,685.00","2,703,400"
"Oct 4, 2016","1,719.50","1,719.50","1,697.50","1,704.50","2,308,800"
"Oct 3, 2016","1,723.00","1,723.50","1,703.50","1,708.50","2,493,200"
"Sep 30, 2016","1,708.00","1,719.50","1,693.50","1,711.00","2,414,500"
"Sep 29, 2016","1,708.00","1,736.50","1,708.00","1,727.50","2,182,300"
"Sep 28, 2016","1,701.00","1,710.00","1,690.00","1,701.50","2,546,500"
"Sep 27, 2016","1,699.00","1,726.00","1,682.00","1,724.50","2,741,100"
"Sep 26, 2016","1,739.50","1,748.00","1,715.00","1,720.00","2,178,700"
"Sep 23, 2016","1,707.50","1,735.50","1,693.50","1,733.00","2,764,400"
"Sep 21, 2016","1,671.00","1,726.50","1,667.00","1,726.00","4,292,300"
"Sep 20, 2016","1,688.50","1,701.50","1,671.50","1,672.50","3,242,600"
"Sep 16, 2016","1,704.00","1,708.00","1,685.50","1,696.00","2,605,600"
"Sep 15, 2016","1,706.00","1,710.50","1,681.50","1,697.00","2,020,200"
"Sep 14, 2016","1,721.00","1,738.00","1,719.00","1,723.50","1,801,800"
"Sep 13, 2016","1,732.00","1,746.50","1,717.50","1,728.00","3,187,400"
"Sep 12, 2016","1,700.00","1,718.50","1,681.00","1,714.50","2,116,200"
"Sep 9, 2016","1,736.50","1,767.50","1,725.50","1,725.50","4,827,200"
"Sep 8, 2016","1,735.00","1,744.00","1,722.50","1,738.00","2,677,700"
"Sep 7, 2016","1,718.00","1,740.00","1,713.00","1,735.50","3,004,200"
"Sep 6, 2016","1,700.00","1,719.00","1,698.00","1,718.00","1,871,900"
"Sep 5, 2016","1,730.00","1,730.00","1,698.50","1,701.50","1,352,600"
"Sep 2, 2016","1,700.00","1,720.00","1,698.50","1,704.00","2,185,200"
"Sep 1, 2016","1,664.00","1,695.00","1,652.00","1,687.50","1,947,000"
"Aug 31, 2016","1,666.50","1,672.50","1,647.00","1,666.00","2,557,500"
"Aug 30, 2016","1,678.50","1,679.50","1,662.00","1,666.50","1,379,100"
"Aug 29, 2016","1,665.00","1,684.00","1,659.50","1,679.00","3,245,100"
"Aug 26, 2016","1,638.00","1,638.00","1,602.00","1,612.50","2,881,600"
"Aug 25, 2016","1,644.00","1,657.50","1,642.00","1,643.00","2,960,800"
"Aug 24, 2016","1,629.00","1,669.50","1,627.00","1,652.50","3,929,100"
"Aug 23, 2016","1,601.00","1,628.00","1,598.00","1,610.00","3,208,400"
"Aug 22, 2016","1,589.00","1,601.00","1,570.50","1,600.50","2,637,800"
"Aug 19, 2016","1,570.00","1,581.50","1,552.00","1,572.50","3,662,700"
"Aug 18, 2016","1,587.00","1,599.00","1,567.00","1,572.50","4,722,000"
"Aug 17, 2016","1,636.00","1,637.00","1,612.50","1,623.50","2,662,000"
"Aug 16, 2016","1,680.00","1,680.00","1,636.50","1,636.50","2,268,300"
"Aug 15, 2016","1,667.50","1,688.50","1,655.00","1,677.50","1,345,200"
"Aug 12, 2016","1,705.50","1,707.00","1,667.50","1,673.50","3,124,200"
"Aug 10, 2016","1,699.50","1,699.50","1,680.50","1,689.00","2,448,900"
"Aug 9, 2016","1,672.50","1,686.50","1,657.50","1,684.00","3,299,000"
"Aug 8, 2016","1,625.00","1,661.00","1,615.50","1,661.00","2,552,700"
"Aug 5, 2016","1,623.00","1,635.00","1,610.00","1,622.00","3,574,500"
"Aug 4, 2016","1,620.50","1,633.50","1,594.00","1,617.50","3,207,300"
"Aug 3, 2016","1,629.50","1,645.00","1,617.00","1,623.00","2,745,100"
"Aug 2, 2016","1,687.00","1,696.50","1,669.00","1,670.50","2,855,700"
"Aug 1, 2016","1,688.50","1,705.00","1,667.00","1,701.50","3,004,200"
"Jul 29, 2016","1,743.00","1,758.50","1,682.50","1,728.50","4,026,500"
"Jul 28, 2016","1,740.00","1,744.00","1,723.50","1,739.00","1,992,900"
"Jul 27, 2016","1,747.50","1,762.50","1,738.00","1,749.50","4,030,700"
"Jul 26, 2016","1,775.00","1,785.50","1,748.00","1,763.50","4,601,600"
"Jul 25, 2016","1,800.50","1,812.50","1,793.00","1,794.50","2,427,400"
"Jul 22, 2016","1,800.00","1,809.00","1,781.00","1,788.00","2,999,100"
"Jul 21, 2016","1,845.00","1,845.50","1,818.00","1,825.00","2,029,800"
"Jul 20, 2016","1,816.50","1,823.00","1,799.50","1,821.00","2,545,600"
"Jul 19, 2016","1,842.00","1,842.50","1,792.50","1,822.50","3,234,000"
"Jul 15, 2016","1,811.00","1,834.50","1,799.50","1,823.50","4,208,900"
"Jul 14, 2016","1,796.50","1,815.00","1,789.00","1,801.00","4,184,300"
"Jul 13, 2016","1,782.00","1,793.00","1,767.50","1,781.50","5,080,100"
"Jul 12, 2016","1,712.00","1,746.50","1,691.00","1,729.50","5,456,000"
"Jul 11, 2016","1,671.50","1,698.50","1,659.00","1,674.00","6,508,400"
"Jul 8, 2016","1,677.00","1,690.00","1,653.00","1,653.00","4,920,200"
"Jul 7, 2016","1,709.00","1,710.50","1,675.00","1,682.50","4,916,100"
"Jul 6, 2016","1,748.00","1,764.00","1,726.50","1,749.00","3,510,800"
"Jul 5, 2016","1,755.50","1,780.50","1,748.50","1,778.00","2,278,800"
"Jul 4, 2016","1,735.50","1,758.50","1,729.00","1,755.00","2,716,000"
"Jul 1, 2016","1,780.00","1,784.50","1,746.00","1,750.00","4,029,100"
"Jun 30, 2016","1,814.00","1,822.00","1,779.00","1,779.50","3,623,100"
"Jun 29, 2016","1,790.50","1,797.00","1,763.50","1,786.50","3,125,800"
"Jun 28, 2016","1,715.00","1,775.50","1,707.00","1,764.00","3,049,200"
"Jun 27, 2016","1,721.00","1,752.00","1,720.50","1,732.50","3,571,100"
"Jun 24, 2016","1,819.50","1,823.50","1,661.00","1,683.00","4,979,900"
"Jun 23, 2016","1,803.50","1,807.50","1,788.50","1,803.50","1,385,700"
"Jun 22, 2016","1,804.00","1,808.00","1,782.00","1,792.50","2,267,200"
"Jun 21, 2016","1,777.00","1,809.00","1,768.00","1,804.50","2,857,400"
"Jun 20, 2016","1,809.00","1,814.00","1,788.50","1,796.50","3,141,100"
"Jun 17, 2016","1,786.00","1,811.50","1,774.00","1,775.50","2,393,100"
"Jun 16, 2016","1,819.50","1,824.50","1,770.50","1,777.00","2,826,000"
