Date,Open,High,Low,Close,Volume
"Mar 31, 2017",480.00,482.00,470.00,470.00,"831,300"
"Mar 30, 2017",479.00,483.00,474.00,475.00,"672,300"
"Mar 29, 2017",489.00,489.00,482.00,485.00,"565,100"
"Mar 28, 2017",489.00,493.00,485.00,490.00,"860,600"
"Mar 27, 2017",484.00,486.00,480.00,481.00,"757,900"
"Mar 24, 2017",482.00,486.00,481.00,483.00,"1,206,100"
"Mar 23, 2017",482.00,485.00,478.00,480.00,"1,069,500"
"Mar 22, 2017",488.00,490.00,481.00,482.00,"1,200,700"
"Mar 21, 2017",490.00,498.00,490.00,493.00,"789,700"
"Mar 17, 2017",494.00,497.00,490.00,492.00,"935,700"
"Mar 16, 2017",495.00,500.00,493.00,496.00,"854,200"
"Mar 15, 2017",506.00,506.00,497.00,498.00,"832,600"
"Mar 14, 2017",509.00,513.00,507.00,508.00,"479,700"
"Mar 13, 2017",506.00,514.00,505.00,506.00,"630,100"
"Mar 10, 2017",512.00,513.00,503.00,506.00,"906,200"
"Mar 9, 2017",517.00,522.00,507.00,510.00,"1,175,100"
"Mar 8, 2017",497.00,517.00,489.00,509.00,"1,948,600"
"Mar 7, 2017",495.00,502.00,495.00,495.00,"950,900"
"Mar 6, 2017",500.00,502.00,496.00,497.00,"517,700"
"Mar 3, 2017",510.00,510.00,494.00,499.00,"1,279,700"
"Mar 2, 2017",511.00,516.00,509.00,511.00,"960,100"
"Mar 1, 2017",500.00,508.00,498.00,506.00,"775,200"
"Feb 28, 2017",506.00,509.00,498.00,499.00,"798,900"
"Feb 27, 2017",510.00,510.00,501.00,504.00,"551,100"
"Feb 24, 2017",502.00,508.00,502.00,507.00,"596,000"
"Feb 23, 2017",503.00,507.00,497.00,506.00,"715,100"
"Feb 22, 2017",507.00,510.00,505.00,508.00,"636,800"
"Feb 21, 2017",501.00,507.00,499.00,507.00,"623,300"
"Feb 20, 2017",498.00,502.00,495.00,500.00,"439,800"
"Feb 17, 2017",500.00,504.00,496.00,499.00,"712,400"
"Feb 16, 2017",498.00,501.00,492.00,498.00,"942,700"
"Feb 15, 2017",503.00,505.00,491.00,491.00,"1,173,600"
"Feb 14, 2017",501.00,507.00,500.00,501.00,"1,135,100"
"Feb 13, 2017",490.00,497.00,488.00,497.00,"839,400"
"Feb 10, 2017",483.00,485.00,481.00,484.00,"953,600"
"Feb 9, 2017",475.00,476.00,470.00,473.00,"700,000"
"Feb 8, 2017",470.00,478.00,470.00,477.00,"556,400"
"Feb 7, 2017",473.00,479.00,468.00,476.00,"1,317,800"
"Feb 6, 2017",470.00,473.00,464.00,469.00,"900,900"
"Feb 3, 2017",471.00,472.00,460.00,462.00,"1,924,500"
"Feb 2, 2017",479.00,488.00,466.00,470.00,"2,646,000"
"Feb 1, 2017",506.00,507.00,498.00,505.00,"777,700"
"Jan 31, 2017",511.00,512.00,507.00,508.00,"506,300"
"Jan 30, 2017",518.00,519.00,511.00,515.00,"583,700"
"Jan 27, 2017",518.00,520.00,516.00,518.00,"500,800"
"Jan 26, 2017",519.00,519.00,511.00,512.00,"652,200"
"Jan 25, 2017",515.00,521.00,509.00,510.00,"745,400"
"Jan 24, 2017",513.00,514.00,508.00,513.00,"767,600"
"Jan 23, 2017",513.00,515.00,508.00,510.00,"504,600"
"Jan 20, 2017",514.00,521.00,513.00,518.00,"585,000"
"Jan 19, 2017",518.00,522.00,512.00,516.00,"601,500"
"Jan 18, 2017",519.00,520.00,513.00,518.00,"635,200"
"Jan 17, 2017",524.00,525.00,519.00,520.00,"559,500"
"Jan 16, 2017",530.00,532.00,523.00,526.00,"558,700"
"Jan 13, 2017",528.00,535.00,528.00,534.00,"449,200"
"Jan 12, 2017",536.00,537.00,527.00,529.00,"1,000,600"
"Jan 11, 2017",538.00,541.00,537.00,539.00,"620,900"
"Jan 10, 2017",543.00,544.00,531.00,537.00,"981,400"
"Jan 6, 2017",544.00,545.00,541.00,542.00,"920,700"
"Jan 5, 2017",543.00,545.00,541.00,542.00,"845,300"
"Jan 4, 2017",532.00,541.00,532.00,538.00,"912,800"
"Dec 30, 2016",534.00,540.00,532.00,538.00,"487,900"
"Dec 29, 2016",546.00,546.00,536.00,540.00,"495,800"
"Dec 28, 2016",548.00,548.00,544.00,546.00,"462,000"
"Dec 27, 2016",551.00,551.00,543.00,544.00,"428,600"
"Dec 26, 2016",550.00,552.00,546.00,550.00,"487,400"
"Dec 22, 2016",550.00,550.00,547.00,549.00,"393,900"
"Dec 21, 2016",550.00,550.00,546.00,547.00,"629,300"
"Dec 20, 2016",552.00,556.00,549.00,551.00,"663,200"
"Dec 19, 2016",564.00,567.00,559.00,561.00,"580,500"
"Dec 16, 2016",555.00,570.00,555.00,562.00,"946,500"
"Dec 15, 2016",554.00,557.00,546.00,551.00,"1,065,300"
"Dec 14, 2016",559.00,562.00,552.00,554.00,"648,300"
"Dec 13, 2016",555.00,557.00,552.00,556.00,"718,800"
"Dec 12, 2016",555.00,557.00,550.00,552.00,"769,000"
"Dec 9, 2016",543.00,554.00,543.00,553.00,"739,600"
"Dec 8, 2016",550.00,551.00,537.00,548.00,"625,300"
"Dec 7, 2016",533.00,544.00,528.00,543.00,"1,126,000"
"Dec 6, 2016",540.00,541.00,524.00,533.00,"1,109,100"
"Dec 5, 2016",540.00,543.00,534.00,537.00,"562,400"
"Dec 2, 2016",549.00,550.00,544.00,545.00,"874,100"
"Dec 1, 2016",551.00,552.00,544.00,548.00,"1,498,000"
"Nov 30, 2016",537.00,546.00,536.00,546.00,"738,700"
"Nov 29, 2016",526.00,535.00,525.00,533.00,"757,600"
"Nov 28, 2016",531.00,533.00,523.00,531.00,"753,200"
"Nov 25, 2016",522.00,538.00,520.00,537.00,"1,305,400"
"Nov 24, 2016",515.00,518.00,510.00,517.00,"623,800"
"Nov 22, 2016",511.00,512.00,505.00,509.00,"646,700"
"Nov 21, 2016",509.00,511.00,505.00,507.00,"522,200"
"Nov 18, 2016",500.00,503.00,498.00,501.00,"556,600"
"Nov 17, 2016",497.00,499.00,493.00,497.00,"505,100"
"Nov 16, 2016",495.00,499.00,491.00,497.00,"539,600"
"Nov 15, 2016",497.00,500.00,488.00,488.00,"511,500"
"Nov 14, 2016",498.00,498.00,492.00,495.00,"462,700"
"Nov 11, 2016",496.00,498.00,483.00,486.00,"1,065,500"
"Nov 10, 2016",495.00,496.00,488.00,491.00,"965,200"
"Nov 9, 2016",493.00,499.00,465.00,472.00,"1,070,900"
"Nov 8, 2016",497.00,497.00,490.00,493.00,"616,900"
"Nov 7, 2016",496.00,500.00,493.00,496.00,"775,400"
"Nov 4, 2016",507.00,507.00,486.00,489.00,"876,200"
"Nov 2, 2016",515.00,516.00,509.00,510.00,"395,000"
"Nov 1, 2016",518.00,518.00,513.00,517.00,"745,900"
"Oct 31, 2016",517.00,523.00,516.00,521.00,"548,500"
"Oct 28, 2016",515.00,518.00,513.00,517.00,"1,795,200"
"Oct 27, 2016",518.00,520.00,512.00,514.00,"472,100"
"Oct 26, 2016",513.00,517.00,506.00,516.00,"741,900"
"Oct 25, 2016",521.00,523.00,518.00,521.00,"602,800"
"Oct 24, 2016",518.00,519.00,514.00,519.00,"545,800"
"Oct 21, 2016",518.00,520.00,513.00,518.00,"476,100"
"Oct 20, 2016",515.00,522.00,510.00,515.00,"833,000"
"Oct 19, 2016",507.00,512.00,501.00,512.00,"624,600"
"Oct 18, 2016",513.00,514.00,507.00,508.00,"995,000"
"Oct 17, 2016",508.00,517.00,505.00,517.00,"928,100"
"Oct 14, 2016",501.00,506.00,498.00,506.00,"567,600"
"Oct 13, 2016",510.00,510.00,501.00,504.00,"749,200"
"Oct 12, 2016",502.00,510.00,501.00,508.00,"616,500"
"Oct 11, 2016",504.00,510.00,503.00,508.00,"672,700"
"Oct 7, 2016",510.00,510.00,503.00,506.00,"461,300"
"Oct 6, 2016",510.00,516.00,507.00,515.00,"695,900"
"Oct 5, 2016",507.00,509.00,501.00,506.00,"786,300"
"Oct 4, 2016",504.00,508.00,502.00,505.00,"596,700"
"Oct 3, 2016",501.00,504.00,495.00,500.00,"566,600"
"Sep 30, 2016",498.00,500.00,493.00,494.00,"746,700"
"Sep 29, 2016",497.00,507.00,494.00,506.00,"874,000"
"Sep 28, 2016",500.00,501.00,489.00,495.00,"824,500"
"Sep 27, 2016",488.00,500.00,481.00,500.00,"1,133,700"
"Sep 26, 2016",495.00,499.00,490.00,491.00,"645,700"
"Sep 23, 2016",497.00,499.00,488.00,492.00,"833,700"
"Sep 21, 2016",477.00,494.00,473.00,494.00,"907,400"
"Sep 20, 2016",469.00,482.00,465.00,474.00,"728,500"
"Sep 16, 2016",474.00,479.00,470.00,471.00,"693,400"
"Sep 15, 2016",464.00,472.00,464.00,469.00,"730,900"
"Sep 14, 2016",469.00,472.00,466.00,467.00,"779,300"
"Sep 13, 2016",480.00,481.00,471.00,473.00,"781,500"
"Sep 12, 2016",471.00,477.00,470.00,476.00,"844,300"
"Sep 9, 2016",477.00,482.00,475.00,478.00,"841,000"
"Sep 8, 2016",487.00,487.00,479.00,484.00,"973,800"
"Sep 7, 2016",494.00,494.00,487.00,493.00,"521,600"
"Sep 6, 2016",498.00,503.00,495.00,496.00,"717,700"
"Sep 5, 2016",488.00,497.00,482.00,493.00,"677,800"
