Date,Open,High,Low,Close,Volume
"Mar 31, 2017",635.00,639.00,622.00,622.00,"10,174,000"
"Mar 30, 2017",628.00,634.00,626.00,628.00,"5,842,000"
"Mar 29, 2017",630.00,632.00,626.00,628.00,"9,927,000"
"Mar 28, 2017",630.00,633.00,625.00,627.00,"9,134,000"
"Mar 27, 2017",619.00,622.00,617.00,621.00,"9,387,000"
"Mar 24, 2017",631.00,640.00,628.00,633.00,"6,970,000"
"Mar 23, 2017",626.00,632.00,625.00,631.00,"8,151,000"
"Mar 22, 2017",642.00,643.00,631.00,631.00,"9,202,000"
"Mar 21, 2017",651.00,660.00,650.00,656.00,"6,460,000"
"Mar 17, 2017",657.00,661.00,654.00,655.00,"7,703,000"
"Mar 16, 2017",660.00,662.00,655.00,660.00,"8,495,000"
"Mar 15, 2017",657.00,657.00,647.00,656.00,"8,094,000"
"Mar 14, 2017",676.00,682.00,670.00,670.00,"8,722,000"
"Mar 13, 2017",663.00,674.00,663.00,674.00,"14,094,000"
"Mar 10, 2017",653.00,655.00,649.00,655.00,"9,606,000"
"Mar 9, 2017",654.00,654.00,647.00,651.00,"7,717,000"
"Mar 8, 2017",654.00,657.00,648.00,650.00,"9,484,000"
"Mar 7, 2017",656.00,669.00,655.00,658.00,"14,837,000"
"Mar 6, 2017",649.00,652.00,643.00,649.00,"7,445,000"
"Mar 3, 2017",653.00,656.00,648.00,653.00,"13,891,000"
"Mar 2, 2017",650.00,658.00,648.00,652.00,"12,339,000"
"Mar 1, 2017",630.00,636.00,625.00,634.00,"11,897,000"
"Feb 28, 2017",629.00,631.00,624.00,626.00,"11,325,000"
"Feb 27, 2017",636.00,636.00,621.00,626.00,"11,801,000"
"Feb 24, 2017",645.00,646.00,636.00,642.00,"6,689,000"
"Feb 23, 2017",652.00,655.00,647.00,648.00,"7,629,000"
"Feb 22, 2017",650.00,654.00,645.00,648.00,"7,808,000"
"Feb 21, 2017",640.00,653.00,639.00,648.00,"10,038,000"
"Feb 20, 2017",634.00,641.00,630.00,638.00,"7,093,000"
"Feb 17, 2017",635.00,640.00,628.00,638.00,"7,865,000"
"Feb 16, 2017",635.00,645.00,633.00,635.00,"12,935,000"
"Feb 15, 2017",632.00,637.00,629.00,629.00,"8,321,000"
"Feb 14, 2017",638.00,638.00,622.00,624.00,"9,724,000"
"Feb 13, 2017",640.00,642.00,631.00,633.00,"8,323,000"
"Feb 10, 2017",623.00,636.00,620.00,633.00,"11,426,000"
"Feb 9, 2017",615.00,618.00,612.00,615.00,"6,679,000"
"Feb 8, 2017",613.00,622.00,612.00,620.00,"8,954,000"
"Feb 7, 2017",602.00,617.00,597.00,612.00,"11,245,000"
"Feb 6, 2017",615.00,617.00,601.00,606.00,"8,996,000"
"Feb 3, 2017",611.00,622.00,608.00,609.00,"13,508,000"
"Feb 2, 2017",611.00,617.00,602.00,604.00,"13,220,000"
"Feb 1, 2017",596.00,607.00,589.00,605.00,"12,114,000"
"Jan 31, 2017",596.00,610.00,594.00,603.00,"25,662,000"
"Jan 30, 2017",586.00,586.00,577.00,582.00,"7,977,000"
"Jan 27, 2017",583.00,594.00,578.00,589.00,"14,136,000"
"Jan 26, 2017",574.00,585.00,572.00,582.00,"11,361,000"
"Jan 25, 2017",563.00,571.00,562.00,564.00,"9,926,000"
"Jan 24, 2017",556.00,560.00,552.00,554.00,"9,967,000"
"Jan 23, 2017",570.00,571.00,564.00,565.00,"8,575,000"
"Jan 20, 2017",566.00,578.00,566.00,576.00,"11,402,000"
"Jan 19, 2017",560.00,570.00,559.00,565.00,"12,586,000"
"Jan 18, 2017",540.00,553.00,537.00,551.00,"12,442,000"
"Jan 17, 2017",555.00,559.00,546.00,546.00,"11,291,000"
"Jan 16, 2017",555.00,560.00,552.00,554.00,"6,658,000"
"Jan 13, 2017",553.00,560.00,553.00,557.00,"7,844,000"
"Jan 12, 2017",565.00,566.00,556.00,558.00,"11,829,000"
"Jan 11, 2017",562.00,571.00,562.00,570.00,"7,667,000"
"Jan 10, 2017",560.00,566.00,557.00,562.00,"8,400,000"
"Jan 6, 2017",564.00,566.00,559.00,564.00,"8,100,000"
"Jan 5, 2017",575.00,577.00,565.00,569.00,"11,491,000"
"Jan 4, 2017",558.00,575.00,556.00,571.00,"12,512,000"
"Dec 30, 2016",555.00,558.00,549.00,556.00,"8,982,000"
"Dec 29, 2016",561.00,562.00,549.00,553.00,"10,055,000"
"Dec 28, 2016",562.00,566.00,562.00,564.00,"4,591,000"
"Dec 27, 2016",565.00,568.00,560.00,562.00,"11,769,000"
"Dec 26, 2016",578.00,579.00,573.00,573.00,"6,075,000"
"Dec 22, 2016",577.00,579.00,571.00,578.00,"9,944,000"
"Dec 21, 2016",576.00,580.00,563.00,571.00,"15,167,000"
"Dec 20, 2016",583.00,586.00,575.00,577.00,"12,913,000"
"Dec 19, 2016",582.00,589.00,581.00,587.00,"9,778,000"
"Dec 16, 2016",584.00,590.00,583.00,586.00,"13,703,000"
"Dec 15, 2016",580.00,586.00,573.00,577.00,"12,581,000"
"Dec 14, 2016",583.00,584.00,578.00,582.00,"7,884,000"
"Dec 13, 2016",580.00,588.00,576.00,585.00,"11,086,000"
"Dec 12, 2016",600.00,600.00,577.00,589.00,"14,261,000"
"Dec 9, 2016",599.00,600.00,587.00,594.00,"18,221,000"
"Dec 8, 2016",579.00,582.00,567.00,581.00,"18,458,000"
"Dec 7, 2016",583.00,588.00,574.00,577.00,"12,269,000"
"Dec 6, 2016",573.00,582.00,568.00,572.00,"16,852,000"
"Dec 5, 2016",558.00,575.00,557.00,567.00,"24,606,000"
"Dec 2, 2016",550.00,566.00,549.00,554.00,"18,755,000"
"Dec 1, 2016",539.00,554.00,536.00,544.00,"22,111,000"
"Nov 30, 2016",527.00,530.00,519.00,523.00,"11,138,000"
"Nov 29, 2016",526.00,528.00,519.00,524.00,"8,457,000"
"Nov 28, 2016",526.00,531.00,520.00,527.00,"11,436,000"
"Nov 25, 2016",520.00,541.00,518.00,531.00,"16,853,000"
"Nov 24, 2016",513.00,517.00,508.00,516.00,"8,457,000"
"Nov 22, 2016",505.00,510.00,504.00,508.00,"7,028,000"
"Nov 21, 2016",504.00,505.00,500.00,502.00,"7,780,000"
"Nov 18, 2016",507.00,508.00,499.00,500.00,"10,963,000"
"Nov 17, 2016",495.00,497.00,489.00,496.00,"10,651,000"
"Nov 16, 2016",503.00,504.00,499.00,502.00,"8,569,000"
"Nov 15, 2016",493.00,501.00,492.00,495.00,"12,439,000"
"Nov 14, 2016",482.00,491.00,480.00,491.00,"10,822,000"
"Nov 11, 2016",482.00,487.00,477.00,480.00,"11,630,000"
"Nov 10, 2016",481.00,483.00,473.00,476.00,"18,298,000"
"Nov 9, 2016",484.00,486.00,440.00,449.00,"21,960,000"
"Nov 8, 2016",479.00,482.00,477.00,481.00,"7,601,000"
"Nov 7, 2016",485.00,487.00,480.00,483.00,"8,409,000"
"Nov 4, 2016",480.00,482.00,472.00,477.00,"11,086,000"
"Nov 2, 2016",491.00,491.00,481.00,483.00,"10,870,000"
"Nov 1, 2016",500.00,502.00,491.00,498.00,"12,467,000"
"Oct 31, 2016",496.00,500.00,490.00,498.00,"21,721,000"
"Oct 28, 2016",512.00,517.00,511.00,516.00,"10,333,000"
"Oct 27, 2016",512.00,515.00,503.00,508.00,"7,752,000"
"Oct 26, 2016",500.00,513.00,499.00,512.00,"9,256,000"
"Oct 25, 2016",507.00,509.00,502.00,504.00,"7,040,000"
"Oct 24, 2016",502.00,507.00,498.00,504.00,"9,918,000"
"Oct 21, 2016",491.00,503.00,491.00,498.00,"12,265,000"
"Oct 20, 2016",490.00,498.00,489.00,495.00,"7,191,000"
"Oct 19, 2016",496.00,496.00,488.00,491.00,"8,264,000"
"Oct 18, 2016",484.00,494.00,482.00,491.00,"10,435,000"
"Oct 17, 2016",484.00,487.00,480.00,483.00,"6,608,000"
"Oct 14, 2016",480.00,483.00,473.00,482.00,"9,410,000"
"Oct 13, 2016",481.00,484.00,471.00,478.00,"8,636,000"
"Oct 12, 2016",475.00,489.00,473.00,479.00,"11,215,000"
"Oct 11, 2016",474.00,488.00,474.00,478.00,"10,250,000"
"Oct 7, 2016",468.00,473.00,468.00,472.00,"7,159,000"
"Oct 6, 2016",466.00,471.00,465.00,467.00,"10,215,000"
"Oct 5, 2016",453.00,461.00,450.00,456.00,"8,033,000"
"Oct 4, 2016",448.00,453.00,447.00,451.00,"7,077,000"
"Oct 3, 2016",451.00,453.00,444.00,444.00,"7,512,000"
"Sep 30, 2016",442.00,446.00,438.00,445.00,"11,844,000"
"Sep 29, 2016",449.00,462.00,448.00,456.00,"14,686,000"
"Sep 28, 2016",450.00,454.00,437.00,440.00,"13,578,000"
"Sep 27, 2016",450.00,461.00,448.00,461.00,"12,938,000"
"Sep 26, 2016",463.00,463.00,452.00,453.00,"7,529,000"
"Sep 23, 2016",467.00,467.00,460.00,461.00,"7,888,000"
"Sep 21, 2016",453.00,471.00,449.00,470.00,"11,000,000"
"Sep 20, 2016",453.00,463.00,453.00,458.00,"6,667,000"
"Sep 16, 2016",459.00,459.00,454.00,459.00,"7,567,000"
"Sep 15, 2016",459.00,461.00,452.00,459.00,"10,278,000"
"Sep 14, 2016",463.00,468.00,458.00,459.00,"11,765,000"
"Sep 13, 2016",471.00,473.00,464.00,471.00,"6,488,000"
"Sep 12, 2016",471.00,475.00,466.00,472.00,"8,636,000"
"Sep 9, 2016",479.00,486.00,479.00,484.00,"8,803,000"
"Sep 8, 2016",478.00,484.00,476.00,480.00,"6,735,000"
"Sep 7, 2016",478.00,487.00,473.00,479.00,"11,692,000"
"Sep 6, 2016",472.00,484.00,467.00,481.00,"8,173,000"
"Sep 5, 2016",480.00,480.00,469.00,470.00,"6,414,000"
"Sep 2, 2016",469.00,469.00,461.00,467.00,"8,624,000"
"Sep 1, 2016",476.00,489.00,472.00,476.00,"12,227,000"
"Aug 31, 2016",466.00,474.00,462.00,474.00,"10,526,000"
"Aug 30, 2016",455.00,465.00,455.00,457.00,"7,371,000"
"Aug 29, 2016",445.00,460.00,443.00,456.00,"8,464,000"
"Aug 26, 2016",437.00,442.00,433.00,435.00,"8,854,000"
"Aug 25, 2016",433.00,436.00,430.00,436.00,"5,871,000"
"Aug 24, 2016",435.00,439.00,433.00,435.00,"5,451,000"
"Aug 23, 2016",434.00,438.00,428.00,430.00,"7,165,000"
"Aug 22, 2016",432.00,435.00,428.00,434.00,"4,973,000"
"Aug 19, 2016",424.00,437.00,421.00,430.00,"10,978,000"
"Aug 18, 2016",416.00,422.00,411.00,416.00,"18,269,000"
