Date,Open,High,Low,Close,Volume
"Mar 31, 2017","2,897.00","2,943.50","2,886.00","2,886.00","2,811,000"
"Mar 30, 2017","2,943.00","2,943.00","2,876.50","2,886.00","2,414,000"
"Mar 29, 2017","2,959.50","2,963.00","2,934.00","2,956.00","1,611,000"
"Mar 28, 2017","2,951.00","2,964.50","2,929.50","2,941.50","2,060,000"
"Mar 27, 2017","2,964.00","2,975.50","2,911.50","2,920.00","2,080,000"
"Mar 24, 2017","2,973.50","3,015.00","2,953.50","3,011.00","2,009,000"
"Mar 23, 2017","2,910.00","2,996.50","2,905.50","2,981.50","3,150,000"
"Mar 22, 2017","2,958.50","2,978.00","2,918.00","2,921.50","2,442,000"
"Mar 21, 2017","3,010.00","3,029.00","2,989.00","3,015.00","1,860,000"
"Mar 17, 2017","3,072.00","3,078.00","3,020.00","3,028.00","2,761,000"
"Mar 16, 2017","3,056.00","3,097.00","3,049.00","3,094.00","2,265,000"
"Mar 15, 2017","3,070.00","3,085.00","3,054.00","3,084.00","1,550,000"
"Mar 14, 2017","3,100.00","3,102.00","3,079.00","3,093.00","1,311,000"
"Mar 13, 2017","3,077.00","3,103.00","3,063.00","3,090.00","1,361,000"
"Mar 10, 2017","3,060.00","3,094.00","3,047.00","3,091.00","2,541,000"
"Mar 9, 2017","3,059.00","3,062.00","3,034.00","3,049.00","1,453,000"
"Mar 8, 2017","3,054.00","3,075.00","3,038.00","3,051.00","1,702,000"
"Mar 7, 2017","3,039.00","3,064.00","3,031.00","3,054.00","1,342,000"
"Mar 6, 2017","3,085.00","3,085.00","3,035.00","3,053.00","2,012,000"
"Mar 3, 2017","3,128.00","3,130.00","3,061.00","3,077.00","2,473,000"
"Mar 2, 2017","3,180.00","3,184.00","3,118.00","3,119.00","2,812,000"
"Mar 1, 2017","3,127.00","3,153.00","3,105.00","3,127.00","2,402,000"
"Feb 28, 2017","3,136.00","3,155.00","3,096.00","3,101.00","2,211,000"
"Feb 27, 2017","3,160.00","3,165.00","3,108.00","3,120.00","2,373,000"
"Feb 24, 2017","3,167.00","3,225.00","3,164.00","3,205.00","1,362,000"
"Feb 23, 2017","3,226.00","3,242.00","3,188.00","3,200.00","1,952,000"
"Feb 22, 2017","3,273.00","3,285.00","3,230.00","3,242.00","1,599,000"
"Feb 21, 2017","3,228.00","3,264.00","3,228.00","3,262.00","1,055,000"
"Feb 20, 2017","3,205.00","3,252.00","3,175.00","3,246.00","1,481,000"
"Feb 17, 2017","3,249.00","3,250.00","3,221.00","3,231.00","1,744,000"
"Feb 16, 2017","3,280.00","3,307.00","3,264.00","3,286.00","2,084,000"
"Feb 15, 2017","3,271.00","3,287.00","3,261.00","3,278.00","1,784,000"
"Feb 14, 2017","3,274.00","3,288.00","3,220.00","3,224.00","2,014,000"
"Feb 13, 2017","3,306.00","3,308.00","3,252.00","3,269.00","2,462,000"
"Feb 10, 2017","3,250.00","3,282.00","3,163.00","3,271.00","6,144,000"
"Feb 9, 2017","3,072.00","3,121.00","3,062.00","3,110.00","3,081,000"
"Feb 8, 2017","3,050.00","3,079.00","3,039.00","3,073.00","1,711,000"
"Feb 7, 2017","3,005.00","3,053.00","2,992.50","3,034.00","1,589,000"
"Feb 6, 2017","3,050.00","3,060.00","3,016.00","3,028.00","1,776,000"
"Feb 3, 2017","3,028.00","3,061.00","2,993.50","3,021.00","2,117,000"
"Feb 2, 2017","3,045.00","3,045.00","3,008.00","3,013.00","2,418,000"
"Feb 1, 2017","3,062.00","3,066.00","3,022.00","3,050.00","2,067,000"
"Jan 31, 2017","3,071.00","3,108.00","3,052.00","3,064.00","2,220,000"
"Jan 30, 2017","3,146.00","3,155.00","3,107.00","3,115.00","2,295,000"
"Jan 27, 2017","3,159.00","3,175.00","3,134.00","3,164.00","2,187,000"
"Jan 26, 2017","3,111.00","3,156.00","3,096.00","3,151.00","2,681,000"
