Date,Open,High,Low,Close,Volume
"Mar 31, 2017",573.00,574.00,564.00,564.00,"4,644,000"
"Mar 30, 2017",576.00,579.00,568.00,569.00,"2,008,000"
"Mar 29, 2017",577.00,579.00,573.00,577.00,"3,484,000"
"Mar 28, 2017",592.00,592.00,578.00,579.00,"10,485,000"
"Mar 27, 2017",587.00,590.00,585.00,589.00,"3,977,000"
"Mar 24, 2017",582.00,590.00,582.00,590.00,"2,594,000"
"Mar 23, 2017",584.00,585.00,581.00,583.00,"2,670,000"
"Mar 22, 2017",581.00,587.00,581.00,583.00,"3,408,000"
"Mar 21, 2017",583.00,589.00,582.00,587.00,"1,963,000"
"Mar 17, 2017",592.00,592.00,586.00,586.00,"4,177,000"
"Mar 16, 2017",589.00,595.00,588.00,594.00,"2,526,000"
"Mar 15, 2017",588.00,592.00,586.00,592.00,"1,819,000"
"Mar 14, 2017",590.00,591.00,588.00,588.00,"1,576,000"
"Mar 13, 2017",588.00,593.00,586.00,592.00,"2,889,000"
"Mar 10, 2017",584.00,588.00,582.00,588.00,"4,075,000"
"Mar 9, 2017",582.00,582.00,577.00,582.00,"2,756,000"
"Mar 8, 2017",582.00,583.00,577.00,580.00,"2,416,000"
"Mar 7, 2017",577.00,584.00,576.00,584.00,"2,460,000"
"Mar 6, 2017",580.00,581.00,575.00,578.00,"2,377,000"
"Mar 3, 2017",583.00,585.00,577.00,579.00,"3,206,000"
"Mar 2, 2017",586.00,587.00,580.00,582.00,"4,170,000"
"Mar 1, 2017",578.00,580.00,575.00,580.00,"3,603,000"
"Feb 28, 2017",575.00,579.00,574.00,575.00,"3,223,000"
"Feb 27, 2017",571.00,573.00,567.00,573.00,"3,312,000"
"Feb 24, 2017",575.00,580.00,574.00,575.00,"2,385,000"
"Feb 23, 2017",575.00,579.00,573.00,577.00,"2,809,000"
"Feb 22, 2017",578.00,578.00,570.00,572.00,"2,285,000"
"Feb 21, 2017",571.00,577.00,570.00,576.00,"1,924,000"
"Feb 20, 2017",568.00,574.00,566.00,573.00,"2,096,000"
"Feb 17, 2017",565.00,572.00,563.00,570.00,"2,645,000"
"Feb 16, 2017",573.00,574.00,567.00,568.00,"2,181,000"
"Feb 15, 2017",576.00,577.00,571.00,572.00,"1,917,000"
"Feb 14, 2017",579.00,579.00,569.00,570.00,"2,760,000"
"Feb 13, 2017",579.00,582.00,574.00,580.00,"1,995,000"
"Feb 10, 2017",573.00,575.00,568.00,575.00,"2,684,000"
"Feb 9, 2017",560.00,564.00,560.00,563.00,"2,086,000"
"Feb 8, 2017",564.00,566.00,561.00,563.00,"1,947,000"
"Feb 7, 2017",556.00,564.00,556.00,562.00,"2,393,000"
"Feb 6, 2017",568.00,568.00,555.00,557.00,"3,148,000"
"Feb 3, 2017",563.00,567.00,560.00,563.00,"2,323,000"
"Feb 2, 2017",575.00,575.00,563.00,565.00,"2,633,000"
"Feb 1, 2017",572.00,575.00,569.00,575.00,"2,535,000"
"Jan 31, 2017",575.00,577.00,571.00,573.00,"2,751,000"
"Jan 30, 2017",578.00,581.00,575.00,580.00,"1,708,000"
"Jan 27, 2017",581.00,582.00,576.00,578.00,"2,418,000"
"Jan 26, 2017",577.00,580.00,574.00,579.00,"2,338,000"
"Jan 25, 2017",577.00,580.00,570.00,570.00,"1,783,000"
"Jan 24, 2017",572.00,573.00,568.00,571.00,"2,092,000"
"Jan 23, 2017",579.00,581.00,573.00,573.00,"2,282,000"
"Jan 20, 2017",581.00,585.00,579.00,583.00,"2,232,000"
"Jan 19, 2017",580.00,584.00,579.00,584.00,"1,668,000"
"Jan 18, 2017",579.00,581.00,574.00,579.00,"2,217,000"
"Jan 17, 2017",585.00,586.00,579.00,579.00,"2,955,000"
"Jan 16, 2017",586.00,590.00,585.00,585.00,"1,690,000"
"Jan 13, 2017",587.00,592.00,583.00,590.00,"2,787,000"
"Jan 12, 2017",593.00,593.00,583.00,587.00,"2,792,000"
"Jan 11, 2017",596.00,598.00,594.00,594.00,"2,485,000"
"Jan 10, 2017",595.00,600.00,591.00,594.00,"3,995,000"
"Jan 6, 2017",588.00,598.00,587.00,597.00,"3,252,000"
"Jan 5, 2017",586.00,590.00,585.00,587.00,"3,330,000"
"Jan 4, 2017",582.00,589.00,581.00,588.00,"3,688,000"
"Dec 30, 2016",580.00,586.00,577.00,580.00,"2,981,000"
"Dec 29, 2016",586.00,588.00,581.00,583.00,"3,116,000"
"Dec 28, 2016",588.00,590.00,586.00,588.00,"2,252,000"
"Dec 27, 2016",587.00,590.00,584.00,586.00,"2,971,000"
"Dec 26, 2016",583.00,586.00,580.00,585.00,"1,851,000"
"Dec 22, 2016",585.00,586.00,580.00,583.00,"2,743,000"
"Dec 21, 2016",585.00,591.00,584.00,585.00,"3,703,000"
"Dec 20, 2016",578.00,588.00,577.00,584.00,"4,212,000"
"Dec 19, 2016",575.00,578.00,573.00,576.00,"2,186,000"
"Dec 16, 2016",573.00,578.00,571.00,576.00,"3,770,000"
"Dec 15, 2016",568.00,571.00,565.00,569.00,"3,057,000"
"Dec 14, 2016",568.00,570.00,565.00,566.00,"2,641,000"
"Dec 13, 2016",562.00,566.00,558.00,566.00,"2,678,000"
"Dec 12, 2016",559.00,564.00,557.00,561.00,"3,605,000"
"Dec 9, 2016",541.00,558.00,540.00,556.00,"5,814,000"
"Dec 8, 2016",542.00,546.00,542.00,544.00,"3,347,000"
"Dec 7, 2016",540.00,540.00,535.00,539.00,"1,818,000"
"Dec 6, 2016",542.00,542.00,534.00,536.00,"3,523,000"
"Dec 5, 2016",534.00,538.00,533.00,538.00,"3,039,000"
"Dec 2, 2016",539.00,543.00,532.00,535.00,"3,734,000"
"Dec 1, 2016",550.00,550.00,540.00,543.00,"5,518,000"
"Nov 30, 2016",546.00,549.00,543.00,548.00,"3,540,000"
"Nov 29, 2016",542.00,546.00,541.00,546.00,"2,996,000"
"Nov 28, 2016",542.00,545.00,540.00,544.00,"3,066,000"
"Nov 25, 2016",540.00,546.00,538.00,545.00,"3,903,000"
"Nov 24, 2016",544.00,544.00,538.00,541.00,"2,508,000"
"Nov 22, 2016",537.00,541.00,535.00,540.00,"2,188,000"
"Nov 21, 2016",536.00,539.00,533.00,538.00,"2,827,000"
"Nov 18, 2016",532.00,535.00,530.00,535.00,"3,995,000"
"Nov 17, 2016",525.00,531.00,523.00,530.00,"4,700,000"
"Nov 16, 2016",525.00,528.00,519.00,528.00,"3,435,000"
"Nov 15, 2016",522.00,522.00,518.00,520.00,"3,244,000"
"Nov 14, 2016",518.00,521.00,517.00,521.00,"2,505,000"
"Nov 11, 2016",519.00,519.00,510.00,512.00,"3,709,000"
"Nov 10, 2016",520.00,522.00,510.00,517.00,"4,660,000"
"Nov 9, 2016",516.00,524.00,499.00,502.00,"5,048,000"
"Nov 8, 2016",522.00,523.00,515.00,515.00,"2,158,000"
"Nov 7, 2016",516.00,524.00,513.00,522.00,"3,316,000"
"Nov 4, 2016",513.00,514.00,507.00,512.00,"2,859,000"
"Nov 2, 2016",516.00,517.00,511.00,515.00,"3,104,000"
"Nov 1, 2016",520.00,520.00,515.00,520.00,"2,007,000"
"Oct 31, 2016",516.00,521.00,514.00,516.00,"3,401,000"
"Oct 28, 2016",521.00,522.00,517.00,519.00,"3,758,000"
"Oct 27, 2016",522.00,526.00,520.00,521.00,"2,273,000"
"Oct 26, 2016",523.00,524.00,520.00,524.00,"1,960,000"
"Oct 25, 2016",523.00,525.00,521.00,525.00,"2,184,000"
"Oct 24, 2016",519.00,524.00,518.00,523.00,"1,845,000"
"Oct 21, 2016",520.00,520.00,516.00,518.00,"1,999,000"
"Oct 20, 2016",511.00,520.00,511.00,519.00,"2,661,000"
"Oct 19, 2016",509.00,512.00,509.00,510.00,"1,689,000"
"Oct 18, 2016",508.00,511.00,505.00,510.00,"2,312,000"
"Oct 17, 2016",507.00,511.00,504.00,508.00,"2,916,000"
"Oct 14, 2016",505.00,509.00,503.00,508.00,"2,978,000"
"Oct 13, 2016",507.00,507.00,501.00,504.00,"2,700,000"
"Oct 12, 2016",502.00,509.00,502.00,503.00,"2,164,000"
"Oct 11, 2016",502.00,508.00,502.00,504.00,"1,793,000"
"Oct 7, 2016",505.00,505.00,501.00,502.00,"2,268,000"
"Oct 6, 2016",506.00,510.00,505.00,507.00,"1,961,000"
"Oct 5, 2016",509.00,510.00,504.00,505.00,"2,996,000"
"Oct 4, 2016",518.00,519.00,508.00,510.00,"2,861,000"
"Oct 3, 2016",515.00,519.00,513.00,516.00,"1,927,000"
"Sep 30, 2016",514.00,518.00,506.00,513.00,"3,173,000"
"Sep 29, 2016",520.00,522.00,517.00,520.00,"2,143,000"
"Sep 28, 2016",519.00,522.00,515.00,519.00,"4,253,000"
"Sep 27, 2016",516.00,529.00,516.00,529.00,"8,242,000"
"Sep 26, 2016",527.00,530.00,521.00,522.00,"3,627,000"
"Sep 23, 2016",523.00,530.00,521.00,528.00,"3,430,000"
"Sep 21, 2016",515.00,524.00,511.00,523.00,"3,957,000"
"Sep 20, 2016",506.00,515.00,504.00,513.00,"3,460,000"
"Sep 16, 2016",503.00,507.00,502.00,507.00,"3,193,000"
"Sep 15, 2016",507.00,507.00,500.00,500.00,"2,288,000"
"Sep 14, 2016",503.00,510.00,502.00,508.00,"2,418,000"
"Sep 13, 2016",506.00,509.00,502.00,504.00,"3,640,000"
"Sep 12, 2016",504.00,505.00,500.00,502.00,"2,580,000"
"Sep 9, 2016",510.00,512.00,506.00,508.00,"3,684,000"
"Sep 8, 2016",510.00,515.00,510.00,513.00,"2,382,000"
"Sep 7, 2016",517.00,519.00,510.00,513.00,"4,769,000"
"Sep 6, 2016",519.00,521.00,516.00,519.00,"2,065,000"
"Sep 5, 2016",516.00,517.00,514.00,517.00,"2,161,000"
"Sep 2, 2016",507.00,513.00,507.00,512.00,"2,913,000"
"Sep 1, 2016",501.00,506.00,500.00,505.00,"2,131,000"
"Aug 31, 2016",498.00,502.00,494.00,502.00,"3,000,000"
"Aug 30, 2016",495.00,497.00,493.00,494.00,"1,754,000"
"Aug 29, 2016",501.00,502.00,492.00,495.00,"2,681,000"
"Aug 26, 2016",497.00,498.00,492.00,494.00,"3,459,000"
"Aug 25, 2016",501.00,502.00,498.00,499.00,"2,885,000"
"Aug 24, 2016",504.00,506.00,497.00,499.00,"5,396,000"
"Aug 23, 2016",498.00,506.00,497.00,502.00,"2,686,000"
"Aug 22, 2016",497.00,502.00,497.00,498.00,"2,550,000"
"Aug 19, 2016",502.00,502.00,494.00,496.00,"4,539,000"
"Aug 18, 2016",507.00,510.00,501.00,501.00,"3,510,000"
"Aug 17, 2016",510.00,512.00,505.00,507.00,"3,782,000"
"Aug 16, 2016",515.00,516.00,510.00,510.00,"2,627,000"
"Aug 15, 2016",518.00,520.00,512.00,512.00,"2,065,000"
"Aug 12, 2016",523.00,523.00,516.00,519.00,"2,947,000"
"Aug 10, 2016",518.00,523.00,513.00,516.00,"4,691,000"
"Aug 9, 2016",525.00,534.00,518.00,519.00,"4,866,000"
"Aug 8, 2016",529.00,531.00,517.00,524.00,"2,716,000"
"Aug 5, 2016",524.00,526.00,518.00,522.00,"3,266,000"
"Aug 4, 2016",536.00,537.00,524.00,526.00,"4,810,000"
"Aug 3, 2016",538.00,540.00,532.00,532.00,"3,128,000"
"Aug 2, 2016",542.00,546.00,541.00,542.00,"2,458,000"
"Aug 1, 2016",546.00,548.00,540.00,547.00,"2,654,000"
"Jul 29, 2016",551.00,555.00,542.00,555.00,"3,020,000"
"Jul 28, 2016",559.00,559.00,548.00,551.00,"2,638,000"
"Jul 27, 2016",569.00,571.00,560.00,560.00,"2,784,000"
"Jul 26, 2016",565.00,567.00,561.00,563.00,"2,164,000"
"Jul 25, 2016",569.00,574.00,565.00,566.00,"2,112,000"
"Jul 22, 2016",568.00,571.00,566.00,570.00,"1,741,000"
"Jul 21, 2016",579.00,579.00,568.00,572.00,"2,067,000"
"Jul 20, 2016",574.00,580.00,572.00,578.00,"2,341,000"
"Jul 19, 2016",573.00,580.00,570.00,579.00,"1,654,000"
"Jul 15, 2016",577.00,579.00,569.00,571.00,"2,555,000"
"Jul 14, 2016",569.00,579.00,568.00,578.00,"2,560,000"
"Jul 13, 2016",580.00,581.00,566.00,566.00,"3,570,000"
"Jul 12, 2016",580.00,582.00,571.00,572.00,"4,008,000"
"Jul 11, 2016",573.00,580.00,571.00,576.00,"3,082,000"
"Jul 8, 2016",575.00,575.00,562.00,563.00,"3,134,000"
"Jul 7, 2016",572.00,575.00,568.00,572.00,"2,673,000"
"Jul 6, 2016",567.00,572.00,563.00,571.00,"2,579,000"
"Jul 5, 2016",568.00,572.00,566.00,572.00,"2,140,000"
"Jul 4, 2016",560.00,567.00,557.00,567.00,"2,396,000"
"Jul 1, 2016",563.00,567.00,555.00,561.00,"3,059,000"
"Jun 30, 2016",563.00,565.00,559.00,561.00,"3,100,000"
"Jun 29, 2016",554.00,561.00,550.00,559.00,"3,107,000"
"Jun 28, 2016",536.00,556.00,533.00,552.00,"3,884,000"
"Jun 27, 2016",522.00,547.00,521.00,546.00,"5,598,000"
"Jun 24, 2016",547.00,547.00,506.00,513.00,"4,450,000"
"Jun 23, 2016",543.00,545.00,541.00,544.00,"2,036,000"
"Jun 22, 2016",543.00,544.00,537.00,542.00,"2,013,000"
"Jun 21, 2016",538.00,545.00,535.00,544.00,"1,968,000"
"Jun 20, 2016",540.00,541.00,534.00,539.00,"2,681,000"
"Jun 17, 2016",538.00,540.00,530.00,532.00,"3,266,000"
"Jun 16, 2016",542.00,544.00,531.00,533.00,"3,217,000"
"Jun 15, 2016",543.00,547.00,540.00,543.00,"3,058,000"
"Jun 14, 2016",548.00,551.00,542.00,545.00,"2,705,000"
"Jun 13, 2016",556.00,556.00,547.00,547.00,"2,734,000"
"Jun 10, 2016",567.00,567.00,560.00,564.00,"4,265,000"
"Jun 9, 2016",563.00,569.00,562.00,567.00,"2,934,000"
"Jun 8, 2016",556.00,566.00,555.00,566.00,"3,400,000"
"Jun 7, 2016",550.00,556.00,548.00,554.00,"2,273,000"
"Jun 6, 2016",543.00,553.00,542.00,551.00,"2,100,000"
"Jun 3, 2016",546.00,549.00,541.00,549.00,"2,875,000"
"Jun 2, 2016",552.00,555.00,544.00,544.00,"3,773,000"
"Jun 1, 2016",558.00,559.00,552.00,553.00,"3,446,000"
"May 31, 2016",558.00,565.00,556.00,563.00,"5,895,000"
"May 30, 2016",560.00,564.00,556.00,562.00,"2,378,000"
"May 27, 2016",556.00,560.00,555.00,558.00,"2,703,000"
"May 26, 2016",552.00,556.00,549.00,552.00,"2,516,000"
"May 25, 2016",553.00,555.00,546.00,547.00,"1,959,000"
"May 24, 2016",550.00,551.00,545.00,547.00,"2,329,000"
"May 23, 2016",552.00,554.00,544.00,551.00,"2,574,000"
"May 20, 2016",551.00,555.00,550.00,554.00,"2,869,000"
"May 19, 2016",560.00,561.00,552.00,556.00,"1,908,000"
"May 18, 2016",550.00,559.00,550.00,555.00,"3,051,000"
"May 17, 2016",551.00,554.00,547.00,552.00,"2,954,000"
"May 16, 2016",550.00,553.00,540.00,545.00,"3,239,000"
"May 13, 2016",559.00,559.00,545.00,545.00,"3,711,000"
"May 12, 2016",555.00,558.00,552.00,555.00,"2,196,000"
"May 11, 2016",568.00,568.00,556.00,557.00,"2,519,000"
"May 10, 2016",555.00,567.00,554.00,563.00,"4,039,000"
"May 9, 2016",552.00,557.00,549.00,554.00,"2,106,000"
"May 6, 2016",547.00,553.00,543.00,549.00,"4,236,000"
"May 2, 2016",546.00,548.00,535.00,541.00,"5,838,000"
"Apr 28, 2016",578.00,580.00,556.00,562.00,"4,425,000"
"Apr 27, 2016",578.00,580.00,568.00,571.00,"2,176,000"
"Apr 26, 2016",576.00,581.00,573.00,577.00,"2,466,000"
"Apr 25, 2016",578.00,579.00,572.00,575.00,"2,671,000"
"Apr 22, 2016",577.00,582.00,573.00,582.00,"3,300,000"
"Apr 21, 2016",583.00,584.00,577.00,580.00,"3,562,000"
"Apr 20, 2016",578.00,583.00,575.00,578.00,"3,483,000"
"Apr 19, 2016",567.00,576.00,566.00,576.00,"4,954,000"
"Apr 18, 2016",553.00,559.00,552.00,552.00,"2,793,000"
"Apr 15, 2016",561.00,568.00,560.00,566.00,"2,308,000"
"Apr 14, 2016",556.00,568.00,554.00,568.00,"3,453,000"
"Apr 13, 2016",549.00,553.00,545.00,550.00,"2,034,000"
"Apr 12, 2016",550.00,556.00,544.00,547.00,"2,518,000"
"Apr 11, 2016",548.00,550.00,543.00,549.00,"2,383,000"
"Apr 8, 2016",539.00,556.00,536.00,551.00,"4,171,000"
"Apr 7, 2016",537.00,547.00,537.00,546.00,"2,740,000"
"Apr 6, 2016",542.00,543.00,536.00,540.00,"3,490,000"
"Apr 5, 2016",553.00,553.00,540.00,542.00,"4,199,000"
"Apr 4, 2016",551.00,557.00,548.00,552.00,"3,586,000"
"Apr 1, 2016",562.00,563.00,547.00,549.00,"4,929,000"
"Mar 31, 2016",562.00,567.00,553.00,561.00,"6,687,000"
"Mar 30, 2016",571.00,572.00,563.00,565.00,"3,437,000"
"Mar 29, 2016",577.00,579.00,570.00,575.00,"3,978,000"
"Mar 28, 2016",575.00,581.00,573.00,581.00,"8,295,000"
"Mar 25, 2016",567.00,573.00,566.00,570.00,"3,883,000"
"Mar 24, 2016",565.00,568.00,561.00,563.00,"5,069,000"
"Mar 23, 2016",563.00,567.00,561.00,562.00,"2,557,000"
"Mar 22, 2016",563.00,566.00,556.00,563.00,"3,039,000"
"Mar 18, 2016",560.00,561.00,553.00,555.00,"4,519,000"
"Mar 17, 2016",570.00,571.00,552.00,557.00,"6,635,000"
"Mar 16, 2016",571.00,578.00,570.00,572.00,"2,765,000"
"Mar 15, 2016",576.00,582.00,572.00,575.00,"2,986,000"
"Mar 14, 2016",580.00,582.00,575.00,578.00,"2,789,000"
"Mar 11, 2016",566.00,577.00,563.00,572.00,"5,648,000"
