Date,Open,High,Low,Close,Volume
"Mar 31, 2017",799.00,809.00,788.00,788.00,"4,871,000"
"Mar 30, 2017",819.00,822.00,792.00,794.00,"5,282,000"
"Mar 29, 2017",821.00,825.00,815.00,821.00,"2,519,000"
"Mar 28, 2017",822.00,825.00,817.00,823.00,"4,480,000"
"Mar 27, 2017",822.00,822.00,812.00,814.00,"2,439,000"
"Mar 24, 2017",815.00,827.00,814.00,825.00,"2,794,000"
"Mar 23, 2017",812.00,817.00,809.00,815.00,"2,111,000"
"Mar 22, 2017",813.00,818.00,809.00,810.00,"4,135,000"
"Mar 21, 2017",822.00,826.00,817.00,820.00,"2,790,000"
"Mar 17, 2017",831.00,834.00,826.00,827.00,"2,923,000"
"Mar 16, 2017",828.00,836.00,826.00,834.00,"2,102,000"
"Mar 15, 2017",830.00,834.00,827.00,832.00,"1,470,000"
"Mar 14, 2017",840.00,841.00,833.00,833.00,"1,447,000"
"Mar 13, 2017",830.00,840.00,829.00,840.00,"1,958,000"
"Mar 10, 2017",830.00,835.00,827.00,829.00,"3,640,000"
"Mar 9, 2017",827.00,828.00,822.00,824.00,"1,710,000"
"Mar 8, 2017",825.00,827.00,820.00,824.00,"2,208,000"
"Mar 7, 2017",825.00,831.00,822.00,825.00,"2,512,000"
"Mar 6, 2017",838.00,838.00,827.00,827.00,"1,672,000"
"Mar 3, 2017",840.00,845.00,831.00,835.00,"2,486,000"
"Mar 2, 2017",845.00,845.00,836.00,842.00,"3,002,000"
"Mar 1, 2017",837.00,842.00,829.00,836.00,"2,580,000"
"Feb 28, 2017",836.00,843.00,831.00,832.00,"3,054,000"
"Feb 27, 2017",826.00,833.00,822.00,831.00,"2,414,000"
"Feb 24, 2017",828.00,834.00,827.00,829.00,"1,979,000"
"Feb 23, 2017",832.00,833.00,823.00,827.00,"1,867,000"
"Feb 22, 2017",829.00,829.00,823.00,825.00,"2,383,000"
"Feb 21, 2017",826.00,832.00,823.00,831.00,"1,575,000"
"Feb 20, 2017",821.00,826.00,819.00,826.00,"1,568,000"
"Feb 17, 2017",829.00,832.00,825.00,826.00,"1,646,000"
"Feb 16, 2017",840.00,841.00,831.00,833.00,"1,660,000"
"Feb 15, 2017",850.00,851.00,839.00,840.00,"1,788,000"
"Feb 14, 2017",852.00,852.00,834.00,834.00,"2,293,000"
"Feb 13, 2017",847.00,853.00,841.00,848.00,"2,375,000"
"Feb 10, 2017",816.00,835.00,815.00,833.00,"2,728,000"
"Feb 9, 2017",811.00,815.00,800.00,802.00,"3,236,000"
"Feb 8, 2017",810.00,817.00,809.00,816.00,"2,323,000"
"Feb 7, 2017",810.00,813.00,807.00,809.00,"2,121,000"
"Feb 6, 2017",823.00,823.00,810.00,812.00,"2,164,000"
"Feb 3, 2017",812.00,823.00,810.00,819.00,"2,564,000"
"Feb 2, 2017",832.00,833.00,810.00,812.00,"4,912,000"
"Feb 1, 2017",829.00,832.00,825.00,830.00,"2,834,000"
"Jan 31, 2017",840.00,841.00,831.00,831.00,"3,419,000"
"Jan 30, 2017",848.00,852.00,843.00,846.00,"2,329,000"
"Jan 27, 2017",852.00,858.00,847.00,849.00,"2,848,000"
"Jan 26, 2017",849.00,857.00,846.00,852.00,"2,711,000"
"Jan 25, 2017",853.00,858.00,842.00,845.00,"1,864,000"
"Jan 24, 2017",848.00,851.00,840.00,843.00,"2,616,000"
"Jan 23, 2017",858.00,859.00,848.00,848.00,"2,442,000"
"Jan 20, 2017",862.00,867.00,860.00,864.00,"1,765,000"
"Jan 19, 2017",869.00,878.00,866.00,868.00,"2,023,000"
"Jan 18, 2017",865.00,866.00,857.00,863.00,"2,265,000"
"Jan 17, 2017",867.00,875.00,862.00,862.00,"2,356,000"
"Jan 16, 2017",880.00,882.00,868.00,868.00,"3,032,000"
"Jan 13, 2017",880.00,891.00,877.00,889.00,"2,648,000"
"Jan 12, 2017",886.00,886.00,875.00,880.00,"1,968,000"
"Jan 11, 2017",890.00,890.00,883.00,886.00,"2,653,000"
"Jan 10, 2017",900.00,903.00,890.00,891.00,"3,602,000"
"Jan 6, 2017",876.00,897.00,875.00,895.00,"2,690,000"
"Jan 5, 2017",882.00,885.00,877.00,883.00,"2,858,000"
"Jan 4, 2017",870.00,884.00,869.00,883.00,"3,685,000"
"Dec 30, 2016",860.00,863.00,857.00,859.00,"1,824,000"
"Dec 29, 2016",875.00,876.00,861.00,865.00,"2,671,000"
"Dec 28, 2016",878.00,882.00,875.00,880.00,"1,341,000"
"Dec 27, 2016",878.00,882.00,873.00,874.00,"1,980,000"
"Dec 26, 2016",885.00,885.00,876.00,879.00,"1,458,000"
"Dec 22, 2016",882.00,884.00,879.00,883.00,"1,529,000"
"Dec 21, 2016",892.00,895.00,882.00,883.00,"2,611,000"
"Dec 20, 2016",883.00,895.00,881.00,888.00,"2,811,000"
"Dec 19, 2016",878.00,882.00,875.00,882.00,"1,866,000"
"Dec 16, 2016",881.00,883.00,877.00,879.00,"3,003,000"
"Dec 15, 2016",876.00,884.00,874.00,878.00,"2,413,000"
"Dec 14, 2016",886.00,890.00,876.00,878.00,"2,481,000"
"Dec 13, 2016",876.00,887.00,875.00,886.00,"2,747,000"
"Dec 12, 2016",875.00,883.00,871.00,881.00,"3,478,000"
"Dec 9, 2016",846.00,873.00,843.00,871.00,"6,430,000"
"Dec 8, 2016",839.00,844.00,834.00,843.00,"3,368,000"
"Dec 7, 2016",824.00,827.00,821.00,826.00,"2,072,000"
"Dec 6, 2016",833.00,834.00,820.00,822.00,"3,932,000"
"Dec 5, 2016",836.00,839.00,824.00,826.00,"2,559,000"
"Dec 2, 2016",841.00,848.00,835.00,836.00,"3,204,000"
"Dec 1, 2016",860.00,861.00,845.00,847.00,"4,053,000"
"Nov 30, 2016",850.00,859.00,848.00,854.00,"4,798,000"
"Nov 29, 2016",836.00,849.00,833.00,849.00,"3,419,000"
"Nov 28, 2016",839.00,841.00,832.00,839.00,"2,999,000"
"Nov 25, 2016",844.00,846.00,834.00,839.00,"4,147,000"
"Nov 24, 2016",842.00,844.00,831.00,843.00,"4,274,000"
"Nov 22, 2016",842.00,847.00,838.00,842.00,"2,960,000"
"Nov 21, 2016",840.00,842.00,833.00,840.00,"2,547,000"
"Nov 18, 2016",834.00,838.00,827.00,836.00,"4,062,000"
"Nov 17, 2016",820.00,830.00,819.00,826.00,"3,098,000"
"Nov 16, 2016",834.00,837.00,820.00,824.00,"3,999,000"
"Nov 15, 2016",810.00,830.00,804.00,826.00,"5,570,000"
"Nov 14, 2016",804.00,810.00,799.00,810.00,"3,855,000"
"Nov 11, 2016",806.00,806.00,791.00,795.00,"4,379,000"
"Nov 10, 2016",789.00,810.00,769.00,806.00,"5,659,000"
"Nov 9, 2016",780.00,789.00,743.00,749.00,"4,865,000"
"Nov 8, 2016",780.00,782.00,774.00,777.00,"1,864,000"
"Nov 7, 2016",780.00,783.00,770.00,783.00,"2,325,000"
"Nov 4, 2016",778.00,783.00,767.00,769.00,"3,107,000"
"Nov 2, 2016",780.00,780.00,769.00,773.00,"2,391,000"
"Nov 1, 2016",784.00,788.00,778.00,788.00,"2,307,000"
"Oct 31, 2016",788.00,792.00,782.00,787.00,"4,397,000"
"Oct 28, 2016",792.00,795.00,785.00,793.00,"7,333,000"
"Oct 27, 2016",786.00,792.00,781.00,789.00,"3,066,000"
"Oct 26, 2016",787.00,791.00,784.00,789.00,"2,983,000"
"Oct 25, 2016",778.00,784.00,777.00,782.00,"3,053,000"
"Oct 24, 2016",765.00,779.00,765.00,778.00,"3,176,000"
"Oct 21, 2016",762.00,768.00,761.00,764.00,"3,173,000"
"Oct 20, 2016",750.00,764.00,750.00,763.00,"3,559,000"
"Oct 19, 2016",744.00,749.00,741.00,747.00,"2,804,000"
"Oct 18, 2016",735.00,746.00,732.00,744.00,"3,068,000"
"Oct 17, 2016",732.00,738.00,731.00,736.00,"2,483,000"
"Oct 14, 2016",738.00,746.00,732.00,734.00,"3,498,000"
"Oct 13, 2016",745.00,747.00,733.00,738.00,"3,719,000"
"Oct 12, 2016",750.00,756.00,747.00,747.00,"3,356,000"
"Oct 11, 2016",760.00,760.00,751.00,755.00,"3,105,000"
"Oct 7, 2016",763.00,766.00,748.00,755.00,"3,223,000"
"Oct 6, 2016",766.00,768.00,761.00,763.00,"3,002,000"
"Oct 5, 2016",767.00,767.00,759.00,761.00,"4,373,000"
"Oct 4, 2016",781.00,784.00,767.00,770.00,"2,943,000"
"Oct 3, 2016",776.00,783.00,773.00,777.00,"1,751,000"
"Sep 30, 2016",771.00,775.00,764.00,768.00,"3,307,000"
"Sep 29, 2016",785.00,786.00,778.00,778.00,"2,685,000"
"Sep 28, 2016",791.00,796.00,778.00,782.00,"3,459,000"
"Sep 27, 2016",790.00,804.00,786.00,804.00,"4,969,000"
"Sep 26, 2016",811.00,813.00,799.00,801.00,"2,846,000"
"Sep 23, 2016",805.00,815.00,800.00,814.00,"2,813,000"
"Sep 21, 2016",781.00,806.00,781.00,804.00,"3,202,000"
"Sep 20, 2016",777.00,795.00,774.00,781.00,"3,181,000"
"Sep 16, 2016",777.00,786.00,774.00,779.00,"6,934,000"
"Sep 15, 2016",782.00,783.00,775.00,777.00,"2,500,000"
"Sep 14, 2016",786.00,795.00,781.00,787.00,"2,282,000"
"Sep 13, 2016",791.00,795.00,786.00,791.00,"1,808,000"
"Sep 12, 2016",785.00,789.00,777.00,787.00,"1,743,000"
"Sep 9, 2016",799.00,804.00,789.00,793.00,"3,197,000"
"Sep 8, 2016",807.00,807.00,795.00,800.00,"2,636,000"
"Sep 7, 2016",790.00,812.00,789.00,811.00,"5,132,000"
"Sep 6, 2016",786.00,793.00,786.00,792.00,"1,848,000"
"Sep 5, 2016",790.00,792.00,785.00,786.00,"1,615,000"
"Sep 2, 2016",780.00,790.00,780.00,786.00,"2,227,000"
"Sep 1, 2016",773.00,792.00,773.00,784.00,"2,620,000"
"Aug 31, 2016",776.00,778.00,765.00,772.00,"3,527,000"
"Aug 30, 2016",783.00,785.00,777.00,777.00,"1,996,000"
"Aug 29, 2016",797.00,799.00,785.00,790.00,"1,809,000"
"Aug 26, 2016",792.00,793.00,785.00,785.00,"2,649,000"
"Aug 25, 2016",810.00,820.00,799.00,800.00,"3,476,000"
"Aug 24, 2016",782.00,797.00,781.00,796.00,"2,122,000"
"Aug 23, 2016",767.00,781.00,766.00,776.00,"3,053,000"
"Aug 22, 2016",764.00,776.00,763.00,769.00,"2,171,000"
"Aug 19, 2016",771.00,771.00,757.00,760.00,"2,480,000"
"Aug 18, 2016",781.00,787.00,770.00,770.00,"2,683,000"
"Aug 17, 2016",780.00,788.00,779.00,785.00,"2,519,000"
"Aug 16, 2016",795.00,795.00,778.00,778.00,"2,696,000"
"Aug 15, 2016",802.00,804.00,792.00,792.00,"1,350,000"
"Aug 12, 2016",815.00,817.00,800.00,806.00,"2,513,000"
"Aug 10, 2016",803.00,823.00,795.00,814.00,"4,498,000"
"Aug 9, 2016",773.00,782.00,773.00,781.00,"2,505,000"
"Aug 8, 2016",785.00,790.00,769.00,781.00,"3,149,000"
"Aug 5, 2016",778.00,785.00,767.00,771.00,"3,236,000"
"Aug 4, 2016",791.00,792.00,771.00,781.00,"3,466,000"
"Aug 3, 2016",810.00,812.00,787.00,788.00,"5,015,000"
"Aug 2, 2016",826.00,833.00,822.00,822.00,"2,119,000"
"Aug 1, 2016",834.00,844.00,826.00,836.00,"3,161,000"
"Jul 29, 2016",836.00,848.00,829.00,847.00,"3,686,000"
"Jul 28, 2016",845.00,847.00,831.00,834.00,"2,167,000"
"Jul 27, 2016",855.00,861.00,848.00,849.00,"2,674,000"
"Jul 26, 2016",851.00,854.00,843.00,845.00,"1,904,000"
"Jul 25, 2016",856.00,866.00,852.00,853.00,"2,099,000"
"Jul 22, 2016",860.00,865.00,851.00,857.00,"2,677,000"
"Jul 21, 2016",886.00,887.00,865.00,868.00,"2,069,000"
"Jul 20, 2016",872.00,882.00,872.00,882.00,"2,150,000"
"Jul 19, 2016",869.00,876.00,854.00,874.00,"3,053,000"
"Jul 15, 2016",884.00,885.00,864.00,866.00,"3,146,000"
"Jul 14, 2016",877.00,889.00,875.00,884.00,"2,179,000"
"Jul 13, 2016",900.00,900.00,869.00,872.00,"4,065,000"
"Jul 12, 2016",888.00,899.00,885.00,885.00,"2,329,000"
"Jul 11, 2016",879.00,884.00,875.00,878.00,"2,391,000"
"Jul 8, 2016",884.00,886.00,861.00,861.00,"2,855,000"
"Jul 7, 2016",882.00,886.00,875.00,882.00,"2,269,000"
"Jul 6, 2016",881.00,893.00,875.00,892.00,"2,088,000"
"Jul 5, 2016",891.00,897.00,886.00,895.00,"1,620,000"
"Jul 4, 2016",884.00,890.00,879.00,890.00,"1,948,000"
"Jul 1, 2016",901.00,904.00,883.00,892.00,"2,888,000"
"Jun 30, 2016",895.00,902.00,885.00,897.00,"2,746,000"
"Jun 29, 2016",885.00,892.00,873.00,889.00,"2,512,000"
"Jun 28, 2016",859.00,888.00,859.00,880.00,"2,772,000"
"Jun 27, 2016",831.00,871.00,831.00,868.00,"4,199,000"
"Jun 24, 2016",880.00,884.00,809.00,818.00,"5,323,000"
"Jun 23, 2016",881.00,883.00,872.00,874.00,"2,022,000"
"Jun 22, 2016",881.00,885.00,869.00,875.00,"2,272,000"
"Jun 21, 2016",873.00,887.00,867.00,885.00,"2,674,000"
"Jun 20, 2016",876.00,887.00,875.00,879.00,"2,456,000"
"Jun 17, 2016",889.00,897.00,865.00,865.00,"4,301,000"
"Jun 16, 2016",905.00,910.00,881.00,882.00,"2,618,000"
"Jun 15, 2016",905.00,909.00,890.00,903.00,"3,304,000"
"Jun 14, 2016",915.00,925.00,905.00,908.00,"2,792,000"
"Jun 13, 2016",928.00,936.00,918.00,918.00,"2,151,000"
"Jun 10, 2016",963.00,963.00,940.00,947.00,"3,850,000"
"Jun 9, 2016",946.00,960.00,946.00,955.00,"2,714,000"
"Jun 8, 2016",942.00,954.00,937.00,953.00,"3,309,000"
