Date,Open,High,Low,Close,Volume
"Mar 31, 2017","1,149.00","1,153.00","1,135.00","1,135.00","2,356,000"
"Mar 30, 2017","1,144.00","1,149.00","1,136.00","1,137.00","887,000"
"Mar 29, 2017","1,155.00","1,158.00","1,146.00","1,150.00","1,051,000"
"Mar 28, 2017","1,154.00","1,164.00","1,154.00","1,158.00","1,421,000"
"Mar 27, 2017","1,149.00","1,152.00","1,139.00","1,144.00","1,321,000"
"Mar 24, 2017","1,166.00","1,175.00","1,163.00","1,164.00","1,547,000"
"Mar 23, 2017","1,165.00","1,166.00","1,155.00","1,161.00","1,181,000"
"Mar 22, 2017","1,172.00","1,186.00","1,160.00","1,161.00","2,120,000"
"Mar 21, 2017","1,176.00","1,195.00","1,174.00","1,192.00","2,019,000"
"Mar 17, 2017","1,175.00","1,188.00","1,169.00","1,184.00","3,094,000"
"Mar 16, 2017","1,166.00","1,182.00","1,161.00","1,182.00","1,777,000"
"Mar 15, 2017","1,169.00","1,180.00","1,162.00","1,177.00","1,294,000"
"Mar 14, 2017","1,176.00","1,180.00","1,170.00","1,174.00","932,000"
"Mar 13, 2017","1,174.00","1,178.00","1,169.00","1,173.00","1,169,000"
"Mar 10, 2017","1,163.00","1,174.00","1,157.00","1,171.00","2,796,000"
"Mar 9, 2017","1,160.00","1,162.00","1,151.00","1,151.00","1,588,000"
"Mar 8, 2017","1,155.00","1,162.00","1,149.00","1,153.00","1,256,000"
"Mar 7, 2017","1,161.00","1,168.00","1,158.00","1,160.00","1,565,000"
"Mar 6, 2017","1,145.00","1,160.00","1,144.00","1,157.00","1,259,000"
"Mar 3, 2017","1,154.00","1,159.00","1,147.00","1,152.00","1,551,000"
"Mar 2, 2017","1,151.00","1,159.00","1,150.00","1,150.00","1,605,000"
"Mar 1, 2017","1,132.00","1,144.00","1,130.00","1,140.00","1,342,000"
"Feb 28, 2017","1,125.00","1,140.00","1,125.00","1,132.00","1,629,000"
"Feb 27, 2017","1,121.00","1,125.00","1,113.00","1,119.00","1,332,000"
"Feb 24, 2017","1,127.00","1,139.00","1,127.00","1,128.00","982,000"
"Feb 23, 2017","1,136.00","1,136.00","1,127.00","1,133.00","1,144,000"
"Feb 22, 2017","1,137.00","1,139.00","1,129.00","1,133.00","1,291,000"
"Feb 21, 2017","1,124.00","1,136.00","1,124.00","1,136.00","855,000"
"Feb 20, 2017","1,115.00","1,130.00","1,111.00","1,129.00","960,000"
"Feb 17, 2017","1,122.00","1,126.00","1,116.00","1,121.00","1,219,000"
"Feb 16, 2017","1,137.00","1,138.00","1,127.00","1,130.00","1,201,000"
"Feb 15, 2017","1,136.00","1,141.00","1,130.00","1,137.00","1,877,000"
"Feb 14, 2017","1,137.00","1,142.00","1,122.00","1,124.00","1,902,000"
"Feb 13, 2017","1,135.00","1,140.00","1,126.00","1,133.00","1,711,000"
"Feb 10, 2017","1,106.00","1,112.00","1,098.00","1,111.00","2,107,000"
"Feb 9, 2017","1,093.00","1,099.00","1,081.00","1,086.00","1,507,000"
"Feb 8, 2017","1,097.00","1,103.00","1,092.00","1,101.00","1,586,000"
"Feb 7, 2017","1,082.00","1,097.00","1,082.00","1,093.00","1,750,000"
"Feb 6, 2017","1,102.00","1,103.00","1,085.00","1,092.00","1,353,000"
"Feb 3, 2017","1,095.00","1,099.00","1,087.00","1,097.00","1,474,000"
"Feb 2, 2017","1,108.00","1,111.00","1,086.00","1,088.00","2,212,000"
"Feb 1, 2017","1,100.00","1,106.00","1,093.00","1,104.00","2,164,000"
"Jan 31, 2017","1,108.00","1,120.00","1,105.00","1,109.00","1,714,000"
"Jan 30, 2017","1,120.00","1,121.00","1,113.00","1,120.00","1,252,000"
"Jan 27, 2017","1,130.00","1,137.00","1,120.00","1,125.00","2,079,000"
"Jan 26, 2017","1,121.00","1,128.00","1,121.00","1,124.00","1,455,000"
"Jan 25, 2017","1,115.00","1,122.00","1,106.00","1,114.00","1,589,000"
"Jan 24, 2017","1,106.00","1,110.00","1,099.00","1,101.00","1,576,000"
"Jan 23, 2017","1,110.00","1,115.00","1,106.00","1,106.00","1,429,000"
"Jan 20, 2017","1,119.00","1,131.00","1,119.00","1,129.00","1,669,000"
"Jan 19, 2017","1,124.00","1,135.00","1,124.00","1,129.00","1,394,000"
"Jan 18, 2017","1,110.00","1,123.00","1,107.00","1,117.00","1,762,000"
"Jan 17, 2017","1,136.00","1,138.00","1,113.00","1,113.00","1,857,000"
"Jan 16, 2017","1,140.00","1,146.00","1,132.00","1,133.00","1,196,000"
"Jan 13, 2017","1,133.00","1,148.00","1,131.00","1,148.00","2,043,000"
"Jan 12, 2017","1,155.00","1,155.00","1,133.00","1,137.00","1,887,000"
"Jan 11, 2017","1,153.00","1,159.00","1,148.00","1,154.00","1,930,000"
"Jan 10, 2017","1,156.00","1,161.00","1,144.00","1,144.00","1,603,000"
"Jan 6, 2017","1,159.00","1,169.00","1,154.00","1,161.00","1,985,000"
"Jan 5, 2017","1,150.00","1,162.00","1,144.00","1,159.00","2,700,000"
"Jan 4, 2017","1,128.00","1,159.00","1,127.00","1,157.00","2,776,000"
"Dec 30, 2016","1,112.00","1,120.00","1,110.00","1,116.00","1,300,000"
"Dec 29, 2016","1,125.00","1,130.00","1,110.00","1,113.00","2,395,000"
"Dec 28, 2016","1,136.00","1,141.00","1,130.00","1,137.00","1,116,000"
"Dec 27, 2016","1,139.00","1,140.00","1,131.00","1,135.00","1,816,000"
"Dec 26, 2016","1,133.00","1,141.00","1,130.00","1,138.00","1,145,000"
"Dec 22, 2016","1,123.00","1,129.00","1,118.00","1,126.00","1,489,000"
"Dec 21, 2016","1,133.00","1,138.00","1,126.00","1,127.00","1,354,000"
"Dec 20, 2016","1,128.00","1,138.00","1,126.00","1,136.00","1,412,000"
"Dec 19, 2016","1,128.00","1,131.00","1,123.00","1,131.00","1,180,000"
"Dec 16, 2016","1,130.00","1,130.00","1,119.00","1,128.00","1,933,000"
"Dec 15, 2016","1,111.00","1,124.00","1,105.00","1,120.00","1,922,000"
"Dec 14, 2016","1,119.00","1,119.00","1,108.00","1,114.00","1,849,000"
"Dec 13, 2016","1,098.00","1,119.00","1,093.00","1,119.00","2,109,000"
"Dec 12, 2016","1,095.00","1,099.00","1,091.00","1,096.00","4,297,000"
"Dec 9, 2016","1,085.00","1,095.00","1,080.00","1,093.00","3,675,000"
"Dec 8, 2016","1,079.00","1,084.00","1,067.00","1,078.00","2,796,000"
"Dec 7, 2016","1,065.00","1,066.00","1,057.00","1,062.00","1,516,000"
